time (ms),signal 0,signal 1,signal 2,signal3,time (sec)
2502401.0,69.0,39.0,10.0,86.0,2502.401
2502411.0,71.0,40.0,9.0,79.0,2502.411
2502421.0,70.0,41.0,8.0,81.0,2502.421
2502431.0,69.0,42.0,7.0,92.0,2502.431
2502441.0,69.0,42.0,7.0,95.0,2502.441
2502451.0,68.0,43.0,6.0,105.0,2502.451
2502461.0,68.0,43.0,7.0,96.0,2502.461
2502471.0,67.0,44.0,9.0,89.0,2502.471
2502481.0,69.0,44.0,10.0,85.0,2502.481
2502491.0,69.0,44.0,8.0,83.0,2502.491
2502501.0,68.0,44.0,11.0,108.0,2502.501
2502511.0,70.0,44.0,10.0,111.0,2502.511
2502521.0,67.0,44.0,10.0,108.0,2502.521
2502531.0,69.0,44.0,8.0,102.0,2502.531
2502541.0,70.0,44.0,9.0,97.0,2502.541
2502551.0,70.0,44.0,10.0,101.0,2502.551
2502561.0,70.0,43.0,9.0,96.0,2502.561
2502571.0,67.0,43.0,13.0,95.0,2502.571
2502581.0,67.0,41.0,11.0,89.0,2502.581
2502591.0,66.0,42.0,11.0,95.0,2502.591
2502601.0,65.0,41.0,9.0,106.0,2502.601
2502611.0,66.0,41.0,10.0,101.0,2502.611
2502621.0,65.0,41.0,9.0,94.0,2502.621
2502631.0,67.0,40.0,9.0,97.0,2502.631
2502641.0,66.0,40.0,7.0,97.0,2502.641
2502651.0,67.0,39.0,8.0,104.0,2502.651
2502661.0,70.0,41.0,9.0,109.0,2502.661
2502671.0,70.0,39.0,8.0,102.0,2502.671
2502681.0,71.0,39.0,8.0,100.0,2502.681
2502691.0,72.0,41.0,9.0,115.0,2502.691
2502701.0,73.0,41.0,9.0,123.0,2502.701
2502711.0,72.0,41.0,7.0,121.0,2502.711
2502721.0,76.0,41.0,8.0,117.0,2502.721
2502731.0,75.0,41.0,8.0,114.0,2502.731
2502742.0,75.0,41.0,10.0,105.0,2502.742
2502752.0,76.0,43.0,9.0,106.0,2502.752
2502762.0,76.0,43.0,8.0,107.0,2502.762
2502772.0,77.0,44.0,10.0,105.0,2502.772
2502782.0,76.0,46.0,8.0,104.0,2502.782
2502792.0,76.0,45.0,8.0,102.0,2502.792
2502802.0,77.0,46.0,9.0,108.0,2502.802
2502812.0,77.0,48.0,9.0,104.0,2502.812
2502822.0,78.0,49.0,8.0,108.0,2502.822
2502832.0,79.0,50.0,9.0,101.0,2502.832
2502842.0,79.0,49.0,10.0,106.0,2502.842
2502852.0,79.0,49.0,10.0,110.0,2502.852
2502862.0,81.0,50.0,10.0,112.0,2502.862
2502872.0,81.0,51.0,12.0,117.0,2502.872
2502882.0,81.0,52.0,11.0,120.0,2502.882
2502892.0,83.0,52.0,10.0,110.0,2502.892
2502902.0,82.0,53.0,9.0,106.0,2502.902
2502912.0,83.0,52.0,11.0,107.0,2502.912
2502922.0,82.0,52.0,8.0,102.0,2502.922
2502932.0,82.0,53.0,7.0,104.0,2502.932
2502942.0,82.0,53.0,8.0,109.0,2502.942
2502952.0,81.0,52.0,8.0,106.0,2502.952
2502962.0,81.0,52.0,8.0,110.0,2502.962
2502972.0,80.0,54.0,8.0,114.0,2502.972
2502982.0,80.0,56.0,9.0,110.0,2502.982
2502992.0,80.0,58.0,6.0,104.0,2502.992
2503002.0,78.0,56.0,6.0,104.0,2503.002
2503012.0,79.0,57.0,8.0,105.0,2503.012
2503022.0,79.0,58.0,7.0,102.0,2503.022
2503032.0,80.0,55.0,7.0,99.0,2503.032
2503042.0,80.0,55.0,7.0,100.0,2503.042
2503052.0,79.0,55.0,8.0,101.0,2503.052
2503062.0,81.0,55.0,6.0,97.0,2503.062
2503072.0,80.0,53.0,6.0,108.0,2503.072
2503083.0,80.0,53.0,6.0,103.0,2503.083
2503093.0,79.0,53.0,6.0,105.0,2503.093
2503103.0,80.0,53.0,10.0,108.0,2503.103
2503113.0,81.0,53.0,10.0,103.0,2503.113
2503123.0,81.0,54.0,9.0,107.0,2503.123
2503133.0,83.0,53.0,8.0,116.0,2503.133
2503143.0,82.0,52.0,10.0,116.0,2503.143
2503153.0,84.0,51.0,11.0,107.0,2503.153
2503163.0,85.0,53.0,10.0,101.0,2503.163
2503173.0,85.0,50.0,10.0,122.0,2503.173
2503183.0,86.0,48.0,12.0,124.0,2503.183
2503193.0,85.0,47.0,11.0,117.0,2503.193
2503203.0,87.0,47.0,12.0,109.0,2503.203
2503213.0,88.0,48.0,10.0,118.0,2503.213
2503223.0,88.0,48.0,10.0,121.0,2503.223
2503233.0,87.0,49.0,9.0,121.0,2503.233
2503243.0,89.0,50.0,9.0,115.0,2503.243
2503254.0,89.0,49.0,10.0,111.0,2503.254
2503264.0,89.0,50.0,13.0,109.0,2503.264
2503274.0,89.0,50.0,13.0,113.0,2503.274
2503284.0,88.0,50.0,12.0,113.0,2503.284
2503294.0,88.0,49.0,12.0,108.0,2503.294
2503304.0,87.0,47.0,13.0,105.0,2503.304
2503314.0,86.0,46.0,12.0,97.0,2503.314
2503324.0,86.0,46.0,12.0,97.0,2503.324
2503334.0,85.0,46.0,11.0,104.0,2503.334
2503344.0,86.0,44.0,11.0,99.0,2503.344
2503354.0,85.0,46.0,11.0,100.0,2503.354
2503364.0,85.0,44.0,10.0,101.0,2503.364
2503374.0,85.0,46.0,11.0,101.0,2503.374
2503384.0,83.0,45.0,9.0,100.0,2503.384
2503394.0,85.0,46.0,9.0,102.0,2503.394
2503404.0,85.0,48.0,8.0,99.0,2503.404
2503414.0,86.0,49.0,9.0,121.0,2503.414
2503424.0,86.0,49.0,10.0,118.0,2503.424
2503434.0,85.0,49.0,11.0,120.0,2503.434
2503444.0,86.0,51.0,11.0,115.0,2503.444
2503454.0,86.0,53.0,10.0,118.0,2503.454
2503464.0,85.0,52.0,12.0,129.0,2503.464
2503474.0,85.0,52.0,12.0,120.0,2503.474
2503484.0,87.0,52.0,13.0,118.0,2503.484
2503494.0,85.0,51.0,13.0,111.0,2503.494
2503504.0,84.0,50.0,12.0,123.0,2503.504
2503514.0,84.0,51.0,12.0,127.0,2503.514
2503524.0,81.0,50.0,11.0,122.0,2503.524
2503534.0,82.0,49.0,17.0,126.0,2503.534
2503544.0,81.0,50.0,15.0,122.0,2503.544
2503554.0,81.0,50.0,14.0,125.0,2503.554
2503564.0,81.0,50.0,12.0,128.0,2503.564
2503574.0,80.0,52.0,10.0,127.0,2503.574
2503584.0,78.0,52.0,10.0,120.0,2503.584
2503595.0,76.0,54.0,9.0,116.0,2503.595
2503605.0,75.0,53.0,10.0,118.0,2503.605
2503615.0,74.0,53.0,9.0,113.0,2503.615
2503625.0,76.0,53.0,10.0,118.0,2503.625
2503635.0,76.0,53.0,9.0,129.0,2503.635
2503645.0,76.0,53.0,8.0,120.0,2503.645
2503655.0,78.0,51.0,8.0,109.0,2503.655
2503665.0,77.0,49.0,7.0,102.0,2503.665
2503675.0,79.0,46.0,8.0,102.0,2503.675
2503685.0,78.0,45.0,11.0,99.0,2503.685
2503695.0,78.0,44.0,11.0,99.0,2503.695
2503705.0,79.0,42.0,10.0,93.0,2503.705
2503715.0,76.0,41.0,17.0,90.0,2503.715
2503725.0,77.0,41.0,17.0,89.0,2503.725
2503735.0,76.0,41.0,15.0,91.0,2503.735
2503745.0,76.0,41.0,14.0,94.0,2503.745
2503755.0,77.0,40.0,14.0,91.0,2503.755
2503766.0,78.0,40.0,13.0,98.0,2503.766
2503776.0,79.0,40.0,13.0,102.0,2503.776
2503786.0,76.0,40.0,16.0,113.0,2503.786
2503796.0,76.0,40.0,15.0,106.0,2503.796
2503806.0,75.0,40.0,15.0,101.0,2503.806
2503816.0,74.0,40.0,15.0,97.0,2503.816
2503826.0,74.0,40.0,14.0,101.0,2503.826
2503836.0,72.0,41.0,15.0,96.0,2503.836
2503846.0,71.0,39.0,14.0,95.0,2503.846
2503856.0,68.0,39.0,12.0,96.0,2503.856
2503866.0,69.0,39.0,13.0,92.0,2503.866
2503876.0,68.0,39.0,12.0,94.0,2503.876
