time (ms),signal 0,signal 1,signal 2,signal3,time (sec)
2417924.0,50.0,40.0,22.0,71.0,2417.924
2417934.0,52.0,39.0,26.0,91.0,2417.934
2417944.0,55.0,40.0,22.0,89.0,2417.944
2417954.0,56.0,39.0,23.0,87.0,2417.954
2417964.0,58.0,40.0,20.0,83.0,2417.964
2417974.0,58.0,40.0,21.0,86.0,2417.974
2417984.0,59.0,40.0,18.0,89.0,2417.984
2417994.0,61.0,43.0,31.0,84.0,2417.994
2418004.0,64.0,42.0,29.0,78.0,2418.004
2418014.0,62.0,44.0,29.0,74.0,2418.014
2418024.0,63.0,44.0,31.0,79.0,2418.024
2418034.0,63.0,44.0,26.0,76.0,2418.034
2418044.0,63.0,43.0,23.0,74.0,2418.044
2418054.0,63.0,42.0,21.0,76.0,2418.054
2418064.0,62.0,43.0,22.0,77.0,2418.064
2418074.0,63.0,42.0,37.0,75.0,2418.074
2418084.0,64.0,42.0,34.0,71.0,2418.084
2418094.0,64.0,41.0,33.0,66.0,2418.094
2418104.0,65.0,40.0,30.0,62.0,2418.104
2418114.0,64.0,39.0,29.0,67.0,2418.114
2418124.0,66.0,38.0,26.0,66.0,2418.124
2418134.0,65.0,37.0,23.0,65.0,2418.134
2418144.0,66.0,38.0,20.0,66.0,2418.144
2418154.0,66.0,39.0,25.0,70.0,2418.154
2418164.0,65.0,38.0,26.0,69.0,2418.164
2418174.0,66.0,37.0,22.0,83.0,2418.174
2418184.0,65.0,38.0,23.0,86.0,2418.184
2418194.0,65.0,36.0,21.0,78.0,2418.194
2418204.0,65.0,37.0,19.0,76.0,2418.204
2418214.0,65.0,36.0,17.0,72.0,2418.214
2418224.0,66.0,36.0,15.0,71.0,2418.224
2418234.0,64.0,37.0,16.0,72.0,2418.234
2418244.0,65.0,37.0,17.0,70.0,2418.244
2418254.0,64.0,37.0,16.0,69.0,2418.254
2418264.0,65.0,37.0,27.0,70.0,2418.264
2418274.0,65.0,39.0,25.0,68.0,2418.274
2418284.0,65.0,39.0,26.0,76.0,2418.284
2418294.0,67.0,37.0,23.0,87.0,2418.294
2418304.0,65.0,37.0,20.0,80.0,2418.304
2418314.0,64.0,37.0,18.0,81.0,2418.314
2418324.0,64.0,37.0,18.0,76.0,2418.324
2418334.0,64.0,39.0,32.0,77.0,2418.334
2418344.0,65.0,38.0,33.0,73.0,2418.344
2418354.0,65.0,37.0,30.0,70.0,2418.354
2418364.0,66.0,36.0,29.0,67.0,2418.364
2418374.0,65.0,36.0,27.0,68.0,2418.374
2418384.0,65.0,37.0,23.0,71.0,2418.384
2418394.0,68.0,41.0,30.0,70.0,2418.394
2418404.0,68.0,40.0,26.0,71.0,2418.404
2418414.0,70.0,38.0,23.0,70.0,2418.414
2418424.0,71.0,40.0,21.0,68.0,2418.424
2418434.0,71.0,38.0,19.0,71.0,2418.434
2418444.0,70.0,38.0,18.0,76.0,2418.444
2418454.0,71.0,38.0,19.0,74.0,2418.454
2418464.0,71.0,39.0,18.0,72.0,2418.464
2418475.0,71.0,38.0,17.0,70.0,2418.475
2418485.0,71.0,40.0,24.0,71.0,2418.485
2418495.0,71.0,41.0,22.0,68.0,2418.495
2418505.0,71.0,39.0,23.0,80.0,2418.505
2418515.0,70.0,39.0,20.0,76.0,2418.515
2418525.0,71.0,40.0,21.0,78.0,2418.525
2418535.0,69.0,38.0,19.0,83.0,2418.535
2418545.0,68.0,38.0,18.0,78.0,2418.545
2418555.0,67.0,39.0,32.0,75.0,2418.555
2418565.0,67.0,40.0,29.0,77.0,2418.565
2418575.0,67.0,38.0,28.0,76.0,2418.575
2418585.0,68.0,39.0,26.0,71.0,2418.585
2418595.0,67.0,38.0,23.0,71.0,2418.595
2418605.0,69.0,38.0,21.0,72.0,2418.605
2418615.0,69.0,39.0,19.0,69.0,2418.615
2418625.0,69.0,39.0,18.0,69.0,2418.625
2418635.0,68.0,38.0,17.0,75.0,2418.635
2418646.0,68.0,40.0,21.0,74.0,2418.646
2418656.0,68.0,39.0,23.0,72.0,2418.656
2418666.0,66.0,38.0,23.0,79.0,2418.666
2418676.0,66.0,37.0,20.0,75.0,2418.676
2418686.0,66.0,37.0,18.0,70.0,2418.686
2418696.0,65.0,37.0,16.0,71.0,2418.696
2418706.0,65.0,37.0,17.0,68.0,2418.706
2418716.0,65.0,37.0,16.0,64.0,2418.716
2418726.0,64.0,36.0,14.0,61.0,2418.726
2418736.0,62.0,37.0,13.0,74.0,2418.736
2418746.0,63.0,38.0,27.0,74.0,2418.746
2418756.0,62.0,39.0,24.0,69.0,2418.756
2418766.0,62.0,37.0,22.0,67.0,2418.766
2418776.0,63.0,38.0,20.0,66.0,2418.776
2418786.0,61.0,38.0,17.0,60.0,2418.786
2418796.0,61.0,36.0,15.0,64.0,2418.796
2418806.0,59.0,38.0,18.0,72.0,2418.806
2418816.0,59.0,36.0,17.0,67.0,2418.816
2418826.0,60.0,36.0,18.0,67.0,2418.826
2418836.0,59.0,38.0,34.0,64.0,2418.836
2418846.0,63.0,40.0,35.0,68.0,2418.846
2418856.0,64.0,39.0,31.0,64.0,2418.856
2418866.0,65.0,38.0,28.0,63.0,2418.866
2418876.0,65.0,39.0,25.0,69.0,2418.876
2418886.0,63.0,39.0,23.0,65.0,2418.886
2418896.0,64.0,39.0,21.0,65.0,2418.896
2418906.0,64.0,38.0,18.0,77.0,2418.906
2418916.0,65.0,40.0,21.0,79.0,2418.916
2418926.0,65.0,41.0,35.0,77.0,2418.926
2418936.0,66.0,39.0,32.0,78.0,2418.936
2418946.0,67.0,40.0,29.0,83.0,2418.946
2418956.0,68.0,40.0,27.0,81.0,2418.956
2418966.0,66.0,40.0,28.0,91.0,2418.966
2418976.0,69.0,40.0,26.0,88.0,2418.976
2418987.0,69.0,39.0,24.0,85.0,2418.987
2418997.0,68.0,43.0,36.0,81.0,2418.997
2419007.0,68.0,40.0,34.0,84.0,2419.007
2419017.0,68.0,40.0,29.0,82.0,2419.017
2419027.0,69.0,40.0,27.0,78.0,2419.027
2419037.0,70.0,38.0,24.0,75.0,2419.037
2419047.0,68.0,38.0,21.0,78.0,2419.047
2419057.0,68.0,37.0,22.0,79.0,2419.057
2419067.0,68.0,37.0,19.0,77.0,2419.067
2419077.0,69.0,38.0,19.0,80.0,2419.077
2419087.0,69.0,38.0,31.0,79.0,2419.087
2419097.0,70.0,38.0,28.0,76.0,2419.097
2419107.0,73.0,37.0,25.0,81.0,2419.107
2419117.0,71.0,37.0,22.0,80.0,2419.117
2419127.0,72.0,36.0,20.0,78.0,2419.127
2419137.0,73.0,38.0,21.0,81.0,2419.137
2419147.0,73.0,38.0,19.0,82.0,2419.147
2419158.0,73.0,39.0,20.0,85.0,2419.158
2419168.0,72.0,41.0,30.0,84.0,2419.168
2419178.0,73.0,40.0,27.0,79.0,2419.178
2419188.0,72.0,41.0,26.0,85.0,2419.188
2419198.0,71.0,40.0,23.0,83.0,2419.198
2419208.0,71.0,40.0,21.0,79.0,2419.208
2419218.0,69.0,41.0,20.0,77.0,2419.218
2419228.0,70.0,41.0,20.0,72.0,2419.228
2419238.0,68.0,44.0,30.0,76.0,2419.238
2419248.0,70.0,41.0,33.0,69.0,2419.248
2419258.0,70.0,43.0,31.0,72.0,2419.258
2419268.0,70.0,43.0,27.0,78.0,2419.268
2419278.0,69.0,43.0,24.0,84.0,2419.278
2419288.0,67.0,45.0,23.0,91.0,2419.288
2419298.0,67.0,44.0,24.0,86.0,2419.298
2419308.0,68.0,45.0,20.0,83.0,2419.308
2419318.0,66.0,45.0,22.0,84.0,2419.318
2419328.0,68.0,45.0,30.0,85.0,2419.328
2419338.0,66.0,47.0,27.0,77.0,2419.338
2419348.0,64.0,47.0,31.0,76.0,2419.348
2419358.0,65.0,47.0,28.0,71.0,2419.358
2419368.0,64.0,48.0,31.0,78.0,2419.368
2419378.0,64.0,47.0,28.0,85.0,2419.378
