time (ms),signal 0,signal 1,signal 2,signal3,time (sec)
1331523.0,399.0,312.0,34.0,109.0,1331.523
1331533.0,403.0,317.0,34.0,137.0,1331.533
1331543.0,403.0,319.0,40.0,126.0,1331.543
1331553.0,404.0,321.0,39.0,127.0,1331.553
1331563.0,406.0,324.0,37.0,126.0,1331.563
1331573.0,405.0,326.0,35.0,132.0,1331.573
1331584.0,405.0,330.0,44.0,127.0,1331.584
1331594.0,405.0,334.0,43.0,126.0,1331.594
1331604.0,404.0,336.0,41.0,118.0,1331.604
1331614.0,403.0,340.0,44.0,130.0,1331.614
1331624.0,401.0,342.0,45.0,126.0,1331.624
1331634.0,401.0,345.0,42.0,125.0,1331.634
1331644.0,400.0,348.0,39.0,116.0,1331.644
1331654.0,399.0,350.0,37.0,112.0,1331.654
1331664.0,398.0,351.0,36.0,126.0,1331.664
1331674.0,396.0,354.0,38.0,120.0,1331.674
1331684.0,396.0,356.0,37.0,119.0,1331.684
1331694.0,392.0,356.0,38.0,124.0,1331.694
1331704.0,391.0,358.0,36.0,113.0,1331.704
1331714.0,388.0,357.0,36.0,110.0,1331.714
1331724.0,387.0,358.0,33.0,117.0,1331.724
1331734.0,384.0,355.0,32.0,115.0,1331.734
1331744.0,385.0,356.0,34.0,111.0,1331.744
1331755.0,381.0,354.0,33.0,119.0,1331.755
1331765.0,379.0,352.0,36.0,115.0,1331.765
1331775.0,375.0,350.0,31.0,106.0,1331.775
1331785.0,374.0,349.0,33.0,104.0,1331.785
1331795.0,372.0,346.0,32.0,100.0,1331.795
1331805.0,369.0,344.0,35.0,98.0,1331.805
1331815.0,367.0,339.0,35.0,98.0,1331.815
1331825.0,365.0,336.0,33.0,96.0,1331.825
1331835.0,365.0,333.0,37.0,99.0,1331.835
1331845.0,363.0,329.0,35.0,97.0,1331.845
1331855.0,361.0,325.0,32.0,109.0,1331.855
1331865.0,359.0,320.0,31.0,106.0,1331.865
1331875.0,355.0,317.0,27.0,104.0,1331.875
1331885.0,354.0,311.0,29.0,102.0,1331.885
1331895.0,351.0,306.0,29.0,101.0,1331.895
1331905.0,352.0,302.0,28.0,110.0,1331.905
1331915.0,349.0,297.0,25.0,105.0,1331.915
1331926.0,345.0,292.0,22.0,105.0,1331.926
1331936.0,343.0,287.0,26.0,97.0,1331.936
1331946.0,341.0,282.0,23.0,96.0,1331.946
1331956.0,339.0,276.0,24.0,114.0,1331.956
1331966.0,336.0,271.0,21.0,108.0,1331.966
1331976.0,334.0,267.0,21.0,101.0,1331.976
1331986.0,331.0,261.0,20.0,102.0,1331.986
1331996.0,326.0,257.0,22.0,102.0,1331.996
1332006.0,324.0,253.0,20.0,114.0,1332.006
1332016.0,322.0,249.0,21.0,117.0,1332.016
1332026.0,320.0,243.0,23.0,108.0,1332.026
