time (ms),signal 0,signal 1,signal 2,signal3,time (sec)
5586.0,46.0,42.0,19.0,73.0,5.586
5596.0,45.0,42.0,16.0,70.0,5.596
5606.0,45.0,42.0,14.0,68.0,5.606
5616.0,45.0,43.0,13.0,65.0,5.616
5626.0,45.0,43.0,13.0,64.0,5.626
5636.0,46.0,45.0,14.0,70.0,5.636
5646.0,46.0,45.0,22.0,77.0,5.646
5656.0,47.0,47.0,22.0,81.0,5.656
5666.0,47.0,49.0,19.0,78.0,5.666
5676.0,47.0,47.0,17.0,75.0,5.676
5686.0,47.0,47.0,17.0,75.0,5.686
5696.0,48.0,46.0,22.0,74.0,5.696
5706.0,48.0,45.0,30.0,72.0,5.706
5716.0,50.0,47.0,29.0,69.0,5.716
5726.0,50.0,45.0,26.0,70.0,5.726
5736.0,50.0,45.0,26.0,73.0,5.736
5746.0,50.0,42.0,23.0,80.0,5.746
5756.0,52.0,44.0,24.0,74.0,5.756
5766.0,51.0,42.0,31.0,72.0,5.766
5776.0,53.0,44.0,36.0,74.0,5.776
5786.0,54.0,47.0,36.0,69.0,5.786
5796.0,55.0,47.0,32.0,71.0,5.796
5806.0,55.0,48.0,28.0,69.0,5.806
5816.0,55.0,49.0,24.0,64.0,5.816
5826.0,55.0,49.0,21.0,64.0,5.826
5836.0,55.0,49.0,20.0,67.0,5.836
5846.0,53.0,48.0,17.0,67.0,5.846
5856.0,54.0,50.0,17.0,66.0,5.856
5866.0,53.0,50.0,18.0,61.0,5.866
5876.0,55.0,50.0,16.0,58.0,5.876
5886.0,55.0,48.0,27.0,59.0,5.886
5896.0,55.0,49.0,25.0,61.0,5.896
5906.0,56.0,49.0,24.0,64.0,5.906
5916.0,56.0,51.0,22.0,65.0,5.916
5926.0,56.0,51.0,18.0,61.0,5.926
5936.0,57.0,50.0,17.0,57.0,5.936
5946.0,55.0,51.0,29.0,57.0,5.946
5956.0,54.0,50.0,26.0,55.0,5.956
5966.0,53.0,50.0,23.0,60.0,5.966
