time (ms),signal 0,signal 1,signal 2,signal3,time (sec)
310266.0,49.0,41.0,25.0,57.0,310.266
310276.0,51.0,43.0,30.0,59.0,310.276
310286.0,51.0,44.0,30.0,56.0,310.286
310296.0,51.0,42.0,27.0,66.0,310.296
310306.0,52.0,42.0,24.0,67.0,310.306
310316.0,53.0,40.0,25.0,62.0,310.316
310326.0,53.0,40.0,22.0,59.0,310.326
310336.0,52.0,39.0,23.0,63.0,310.336
310346.0,53.0,39.0,22.0,65.0,310.346
310356.0,54.0,41.0,22.0,64.0,310.356
310366.0,54.0,42.0,35.0,73.0,310.366
310376.0,55.0,42.0,30.0,72.0,310.376
310386.0,56.0,42.0,29.0,67.0,310.386
310396.0,53.0,43.0,26.0,65.0,310.396
310406.0,52.0,43.0,33.0,68.0,310.406
310416.0,54.0,41.0,29.0,71.0,310.416
310426.0,54.0,44.0,31.0,69.0,310.426
310436.0,54.0,43.0,31.0,66.0,310.436
310446.0,53.0,44.0,27.0,62.0,310.446
310456.0,53.0,45.0,25.0,59.0,310.456
310466.0,53.0,46.0,24.0,61.0,310.466
310476.0,52.0,47.0,23.0,60.0,310.476
310486.0,53.0,45.0,21.0,59.0,310.486
310496.0,53.0,46.0,19.0,57.0,310.496
310506.0,53.0,45.0,17.0,58.0,310.506
310516.0,53.0,47.0,21.0,58.0,310.516
310526.0,55.0,46.0,22.0,57.0,310.526
310536.0,55.0,47.0,21.0,54.0,310.536
310546.0,53.0,48.0,22.0,60.0,310.546
310556.0,54.0,47.0,21.0,61.0,310.556
310566.0,52.0,46.0,26.0,58.0,310.566
310576.0,53.0,46.0,23.0,55.0,310.576
310586.0,52.0,48.0,25.0,53.0,310.586
310596.0,53.0,47.0,38.0,53.0,310.596
310606.0,53.0,47.0,42.0,62.0,310.606
310616.0,52.0,46.0,38.0,61.0,310.616
310626.0,51.0,45.0,34.0,63.0,310.626
310636.0,51.0,46.0,30.0,63.0,310.636
310646.0,50.0,46.0,27.0,58.0,310.646
310656.0,49.0,49.0,24.0,55.0,310.656
310666.0,49.0,50.0,33.0,52.0,310.666
310676.0,48.0,51.0,36.0,57.0,310.676
310686.0,48.0,51.0,36.0,65.0,310.686
310696.0,48.0,49.0,32.0,65.0,310.696
310706.0,48.0,47.0,28.0,67.0,310.706
310716.0,48.0,45.0,24.0,70.0,310.716
310726.0,49.0,45.0,23.0,66.0,310.726
310736.0,47.0,45.0,21.0,65.0,310.736
310746.0,47.0,44.0,23.0,67.0,310.746
310756.0,46.0,45.0,26.0,66.0,310.756
310766.0,46.0,44.0,25.0,67.0,310.766
310776.0,47.0,44.0,22.0,64.0,310.776
310786.0,47.0,43.0,22.0,66.0,310.786
310796.0,47.0,43.0,23.0,67.0,310.796
310806.0,47.0,42.0,21.0,66.0,310.806
310816.0,47.0,42.0,21.0,64.0,310.816
310827.0,46.0,42.0,20.0,60.0,310.827
310837.0,46.0,42.0,20.0,57.0,310.837
310847.0,46.0,47.0,27.0,61.0,310.847
310857.0,47.0,44.0,30.0,60.0,310.857
310867.0,47.0,44.0,26.0,59.0,310.867
310877.0,47.0,44.0,25.0,57.0,310.877
310887.0,50.0,45.0,22.0,55.0,310.887
310897.0,52.0,46.0,19.0,51.0,310.897
310907.0,52.0,47.0,18.0,48.0,310.907
310917.0,53.0,47.0,19.0,54.0,310.917
310927.0,54.0,48.0,17.0,52.0,310.927
310937.0,55.0,48.0,15.0,54.0,310.937
310947.0,55.0,49.0,25.0,58.0,310.947
310957.0,56.0,48.0,21.0,55.0,310.957
310967.0,54.0,49.0,24.0,54.0,310.967
310977.0,54.0,49.0,26.0,53.0,310.977
310987.0,54.0,51.0,24.0,62.0,310.987
310998.0,54.0,52.0,27.0,66.0,310.998
311008.0,55.0,51.0,23.0,69.0,311.008
311018.0,57.0,49.0,25.0,68.0,311.018
311028.0,56.0,51.0,22.0,63.0,311.028
311038.0,55.0,51.0,20.0,60.0,311.038
311048.0,54.0,51.0,20.0,61.0,311.048
311058.0,53.0,53.0,20.0,61.0,311.058
311068.0,55.0,52.0,23.0,57.0,311.068
311078.0,55.0,53.0,37.0,63.0,311.078
311088.0,55.0,53.0,36.0,64.0,311.088
311098.0,55.0,53.0,32.0,64.0,311.098
311108.0,54.0,55.0,28.0,62.0,311.108
311118.0,56.0,56.0,30.0,61.0,311.118
311128.0,55.0,57.0,26.0,59.0,311.128
311138.0,57.0,56.0,25.0,58.0,311.138
311148.0,57.0,56.0,28.0,54.0,311.148
311158.0,58.0,55.0,39.0,62.0,311.158
311168.0,59.0,54.0,35.0,60.0,311.168
311178.0,56.0,56.0,32.0,60.0,311.178
311188.0,57.0,55.0,32.0,64.0,311.188
311198.0,58.0,57.0,32.0,64.0,311.198
311208.0,57.0,57.0,29.0,60.0,311.208
311218.0,56.0,59.0,38.0,60.0,311.218
311228.0,57.0,57.0,39.0,56.0,311.228
311238.0,57.0,55.0,33.0,60.0,311.238
311248.0,58.0,54.0,32.0,58.0,311.248
311258.0,58.0,52.0,29.0,54.0,311.258
311268.0,56.0,54.0,25.0,54.0,311.268
311278.0,57.0,52.0,25.0,52.0,311.278
311288.0,58.0,54.0,23.0,56.0,311.288
311298.0,59.0,56.0,22.0,54.0,311.298
311308.0,60.0,57.0,27.0,54.0,311.308
311318.0,60.0,57.0,23.0,59.0,311.318
311328.0,60.0,57.0,21.0,57.0,311.328
311339.0,59.0,60.0,24.0,57.0,311.339
311349.0,59.0,60.0,24.0,54.0,311.349
311359.0,61.0,60.0,21.0,57.0,311.359
311369.0,60.0,61.0,28.0,57.0,311.369
311379.0,61.0,61.0,36.0,55.0,311.379
311389.0,61.0,59.0,33.0,56.0,311.389
311399.0,61.0,58.0,32.0,59.0,311.399
311409.0,61.0,57.0,31.0,65.0,311.409
