time (ms),signal 0,signal 1,signal 2,signal3,time (sec)
355037.0,61.0,51.0,40.0,102.0,355.037
355047.0,61.0,52.0,35.0,96.0,355.047
355057.0,60.0,53.0,40.0,102.0,355.057
355067.0,59.0,50.0,48.0,105.0,355.067
355077.0,61.0,49.0,46.0,112.0,355.077
355087.0,62.0,47.0,42.0,107.0,355.087
355097.0,61.0,46.0,40.0,99.0,355.097
355107.0,62.0,46.0,43.0,102.0,355.107
355117.0,62.0,44.0,40.0,104.0,355.117
355127.0,59.0,45.0,34.0,99.0,355.127
355137.0,58.0,45.0,41.0,95.0,355.137
355147.0,56.0,44.0,47.0,96.0,355.147
355158.0,56.0,44.0,42.0,93.0,355.158
355168.0,56.0,45.0,41.0,95.0,355.168
355178.0,57.0,45.0,41.0,102.0,355.178
355188.0,57.0,45.0,37.0,100.0,355.188
355198.0,56.0,45.0,33.0,97.0,355.198
355208.0,57.0,44.0,31.0,96.0,355.208
355218.0,57.0,45.0,41.0,97.0,355.218
355228.0,57.0,44.0,43.0,101.0,355.228
355238.0,58.0,42.0,40.0,104.0,355.238
355248.0,58.0,43.0,44.0,100.0,355.248
355258.0,59.0,42.0,42.0,102.0,355.258
355268.0,59.0,42.0,38.0,102.0,355.268
355278.0,61.0,44.0,40.0,98.0,355.278
355288.0,62.0,43.0,35.0,97.0,355.288
355298.0,60.0,42.0,37.0,98.0,355.298
355308.0,60.0,41.0,37.0,101.0,355.308
355318.0,60.0,41.0,34.0,102.0,355.318
355328.0,63.0,40.0,31.0,99.0,355.328
355338.0,63.0,40.0,34.0,97.0,355.338
355348.0,63.0,41.0,33.0,101.0,355.348
355358.0,62.0,42.0,31.0,99.0,355.358
355368.0,62.0,43.0,30.0,105.0,355.368
355378.0,62.0,41.0,28.0,106.0,355.378
355388.0,61.0,42.0,27.0,103.0,355.388
355398.0,62.0,42.0,30.0,100.0,355.398
355408.0,61.0,42.0,30.0,99.0,355.408
355418.0,61.0,41.0,35.0,104.0,355.418
355428.0,61.0,42.0,36.0,109.0,355.428
355438.0,62.0,43.0,32.0,109.0,355.438
355448.0,63.0,43.0,28.0,99.0,355.448
355458.0,63.0,43.0,25.0,93.0,355.458
355468.0,63.0,42.0,25.0,90.0,355.468
355478.0,63.0,42.0,23.0,91.0,355.478
355488.0,63.0,41.0,27.0,95.0,355.488
355499.0,61.0,41.0,37.0,99.0,355.499
355509.0,60.0,42.0,39.0,103.0,355.509
355519.0,63.0,43.0,36.0,99.0,355.519
355529.0,63.0,43.0,31.0,97.0,355.529
355539.0,62.0,39.0,28.0,98.0,355.539
355549.0,62.0,40.0,26.0,103.0,355.549
355559.0,63.0,39.0,25.0,97.0,355.559
355569.0,61.0,38.0,26.0,99.0,355.569
355579.0,61.0,38.0,28.0,98.0,355.579
355589.0,59.0,39.0,33.0,99.0,355.589
355599.0,59.0,42.0,38.0,105.0,355.599
355609.0,60.0,41.0,38.0,107.0,355.609
355619.0,59.0,42.0,36.0,103.0,355.619
355629.0,60.0,41.0,33.0,99.0,355.629
355639.0,57.0,42.0,32.0,98.0,355.639
355649.0,55.0,43.0,30.0,109.0,355.649
355659.0,57.0,44.0,34.0,114.0,355.659
355670.0,56.0,43.0,35.0,116.0,355.67
355680.0,55.0,44.0,42.0,118.0,355.68
355690.0,56.0,45.0,43.0,114.0,355.69
355700.0,58.0,44.0,38.0,110.0,355.7
355710.0,56.0,43.0,34.0,112.0,355.71
355720.0,57.0,44.0,32.0,108.0,355.72
355730.0,57.0,45.0,39.0,103.0,355.73
355740.0,55.0,45.0,37.0,104.0,355.74
355750.0,55.0,44.0,42.0,107.0,355.75
355760.0,57.0,45.0,41.0,101.0,355.76
355770.0,57.0,43.0,41.0,93.0,355.77
355780.0,57.0,43.0,34.0,101.0,355.78
355790.0,56.0,43.0,44.0,101.0,355.79
355800.0,56.0,42.0,40.0,97.0,355.8
355810.0,55.0,43.0,39.0,94.0,355.81
355820.0,55.0,42.0,50.0,92.0,355.82
355830.0,56.0,43.0,50.0,88.0,355.83
355840.0,57.0,42.0,45.0,87.0,355.84
355850.0,57.0,43.0,45.0,99.0,355.85
355860.0,56.0,43.0,39.0,96.0,355.86
355870.0,57.0,41.0,36.0,99.0,355.87
355880.0,58.0,42.0,37.0,97.0,355.88
355890.0,59.0,42.0,50.0,100.0,355.89
355900.0,58.0,42.0,50.0,107.0,355.9
355910.0,60.0,40.0,45.0,97.0,355.91
355920.0,60.0,41.0,44.0,95.0,355.92
355930.0,60.0,40.0,39.0,95.0,355.93
355940.0,60.0,41.0,39.0,88.0,355.94
355950.0,61.0,44.0,53.0,87.0,355.95
355960.0,60.0,42.0,54.0,87.0,355.96
355970.0,60.0,42.0,49.0,93.0,355.97
355980.0,60.0,42.0,58.0,98.0,355.98
355990.0,61.0,41.0,55.0,91.0,355.99
356000.0,60.0,40.0,48.0,96.0,356.0
356011.0,59.0,40.0,45.0,101.0,356.011
356021.0,58.0,39.0,39.0,101.0,356.021
356031.0,58.0,39.0,47.0,98.0,356.031
356041.0,58.0,42.0,57.0,97.0,356.041
356051.0,57.0,42.0,56.0,97.0,356.051
356061.0,57.0,41.0,48.0,101.0,356.061
356071.0,56.0,41.0,45.0,102.0,356.071
356081.0,55.0,39.0,41.0,101.0,356.081
356091.0,54.0,39.0,39.0,104.0,356.091
