time (ms),signal 0,signal 1,signal 2,signal3,time (sec)
622619.0,64.0,49.0,33.0,88.0,622.619
622629.0,65.0,51.0,33.0,91.0,622.629
622639.0,64.0,52.0,30.0,93.0,622.639
622649.0,63.0,50.0,27.0,89.0,622.649
622659.0,61.0,52.0,27.0,86.0,622.659
622669.0,63.0,50.0,30.0,91.0,622.669
622679.0,64.0,48.0,27.0,86.0,622.679
622689.0,64.0,50.0,33.0,82.0,622.689
622699.0,65.0,49.0,33.0,79.0,622.699
622709.0,64.0,50.0,29.0,81.0,622.709
622720.0,64.0,48.0,26.0,74.0,622.72
622730.0,63.0,51.0,24.0,78.0,622.73
622740.0,63.0,50.0,28.0,80.0,622.74
622750.0,64.0,50.0,26.0,91.0,622.75
622760.0,63.0,50.0,24.0,90.0,622.76
622770.0,63.0,50.0,23.0,90.0,622.77
622780.0,62.0,49.0,19.0,90.0,622.78
622790.0,61.0,47.0,17.0,86.0,622.79
622800.0,60.0,46.0,15.0,83.0,622.8
622810.0,59.0,48.0,20.0,83.0,622.81
622820.0,60.0,47.0,21.0,93.0,622.82
622830.0,58.0,46.0,20.0,94.0,622.83
622840.0,57.0,45.0,24.0,85.0,622.84
622850.0,56.0,46.0,26.0,87.0,622.85
622860.0,57.0,44.0,23.0,94.0,622.86
622870.0,56.0,43.0,21.0,89.0,622.87
622880.0,55.0,41.0,20.0,96.0,622.88
622891.0,56.0,43.0,26.0,89.0,622.891
622901.0,55.0,43.0,24.0,107.0,622.901
622911.0,57.0,42.0,24.0,114.0,622.911
622921.0,57.0,44.0,27.0,111.0,622.921
622931.0,59.0,43.0,26.0,116.0,622.931
622941.0,58.0,42.0,25.0,111.0,622.941
622951.0,59.0,43.0,25.0,106.0,622.951
622961.0,61.0,43.0,22.0,99.0,622.961
622971.0,61.0,42.0,23.0,105.0,622.971
622981.0,61.0,45.0,24.0,104.0,622.981
622991.0,62.0,44.0,26.0,99.0,622.991
623001.0,62.0,43.0,25.0,95.0,623.001
623011.0,63.0,42.0,27.0,96.0,623.011
623021.0,63.0,42.0,26.0,92.0,623.021
623031.0,64.0,43.0,23.0,97.0,623.031
623041.0,64.0,44.0,20.0,101.0,623.041
623051.0,64.0,43.0,19.0,99.0,623.051
623062.0,62.0,45.0,24.0,96.0,623.062
623072.0,62.0,46.0,24.0,110.0,623.072
623082.0,61.0,49.0,23.0,103.0,623.082
623092.0,60.0,49.0,23.0,119.0,623.092
623102.0,59.0,48.0,30.0,118.0,623.102
623112.0,58.0,50.0,27.0,118.0,623.112
623122.0,58.0,50.0,25.0,107.0,623.122
623132.0,57.0,50.0,22.0,108.0,623.132
623142.0,58.0,53.0,35.0,125.0,623.142
623152.0,57.0,53.0,34.0,123.0,623.152
623162.0,57.0,51.0,36.0,119.0,623.162
623172.0,56.0,51.0,33.0,111.0,623.172
623182.0,55.0,50.0,28.0,115.0,623.182
623192.0,55.0,49.0,28.0,126.0,623.192
623202.0,54.0,50.0,24.0,129.0,623.202
623212.0,54.0,50.0,22.0,124.0,623.212
623222.0,54.0,51.0,19.0,120.0,623.222
623232.0,53.0,50.0,18.0,110.0,623.232
623242.0,56.0,51.0,17.0,114.0,623.242
623252.0,54.0,52.0,28.0,103.0,623.252
623262.0,54.0,49.0,28.0,104.0,623.262
623272.0,55.0,49.0,25.0,103.0,623.272
623282.0,57.0,47.0,23.0,96.0,623.282
623292.0,57.0,47.0,21.0,110.0,623.292
623302.0,56.0,46.0,24.0,107.0,623.302
623312.0,55.0,46.0,20.0,98.0,623.312
623322.0,54.0,44.0,18.0,97.0,623.322
623332.0,54.0,46.0,17.0,97.0,623.332
623342.0,54.0,47.0,15.0,101.0,623.342
623352.0,54.0,48.0,14.0,93.0,623.352
623362.0,53.0,49.0,12.0,88.0,623.362
623372.0,51.0,51.0,12.0,101.0,623.372
623382.0,51.0,53.0,17.0,103.0,623.382
623392.0,50.0,55.0,16.0,97.0,623.392
623403.0,50.0,53.0,15.0,96.0,623.403
