time (ms),signal 0,signal 1,signal 2,signal3,time (sec)
651714.0,314.0,536.0,41.0,108.0,651.714
651724.0,316.0,540.0,57.0,113.0,651.724
651734.0,316.0,541.0,61.0,110.0,651.734
651744.0,318.0,545.0,55.0,114.0,651.744
651754.0,318.0,545.0,59.0,117.0,651.754
651764.0,320.0,548.0,57.0,113.0,651.764
651774.0,320.0,550.0,50.0,108.0,651.774
651784.0,320.0,552.0,56.0,117.0,651.784
651794.0,321.0,553.0,49.0,120.0,651.794
651804.0,320.0,556.0,45.0,120.0,651.804
651814.0,322.0,560.0,47.0,116.0,651.814
651824.0,322.0,562.0,41.0,112.0,651.824
651834.0,321.0,561.0,51.0,112.0,651.834
651844.0,324.0,565.0,48.0,115.0,651.844
651854.0,326.0,566.0,45.0,112.0,651.854
651864.0,328.0,568.0,43.0,107.0,651.864
651874.0,328.0,567.0,48.0,106.0,651.874
651884.0,330.0,569.0,45.0,112.0,651.884
651894.0,330.0,569.0,51.0,114.0,651.894
651904.0,332.0,569.0,47.0,114.0,651.904
651914.0,332.0,570.0,48.0,122.0,651.914
651924.0,332.0,570.0,44.0,115.0,651.924
651934.0,331.0,569.0,40.0,108.0,651.934
651944.0,330.0,568.0,37.0,100.0,651.944
651954.0,328.0,566.0,43.0,107.0,651.954
651964.0,328.0,564.0,61.0,109.0,651.964
651974.0,330.0,563.0,55.0,107.0,651.974
651984.0,328.0,561.0,58.0,106.0,651.984
651994.0,328.0,561.0,53.0,104.0,651.994
652004.0,327.0,560.0,46.0,100.0,652.004
652014.0,326.0,558.0,43.0,99.0,652.014
652024.0,326.0,556.0,40.0,96.0,652.024
652034.0,321.0,554.0,35.0,96.0,652.034
652044.0,322.0,551.0,36.0,109.0,652.044
652054.0,317.0,546.0,33.0,112.0,652.054
652064.0,318.0,544.0,41.0,120.0,652.064
652075.0,317.0,542.0,36.0,113.0,652.075
652085.0,315.0,539.0,35.0,110.0,652.085
652095.0,314.0,537.0,33.0,111.0,652.095
652105.0,312.0,533.0,31.0,112.0,652.105
652115.0,314.0,529.0,30.0,111.0,652.115
652125.0,310.0,525.0,28.0,118.0,652.125
652135.0,311.0,520.0,25.0,114.0,652.135
652145.0,311.0,516.0,24.0,125.0,652.145
652155.0,309.0,511.0,21.0,116.0,652.155
652165.0,309.0,505.0,19.0,106.0,652.165
652175.0,306.0,500.0,27.0,120.0,652.175
652185.0,307.0,493.0,43.0,115.0,652.185
652195.0,306.0,486.0,38.0,115.0,652.195
652205.0,303.0,480.0,34.0,116.0,652.205
652215.0,303.0,474.0,31.0,111.0,652.215
652225.0,302.0,467.0,27.0,106.0,652.225
652235.0,299.0,460.0,28.0,114.0,652.235
652246.0,297.0,453.0,25.0,109.0,652.246
652256.0,296.0,446.0,26.0,115.0,652.256
652266.0,295.0,438.0,31.0,118.0,652.266
652276.0,293.0,431.0,29.0,111.0,652.276
652286.0,294.0,425.0,43.0,108.0,652.286
652296.0,295.0,419.0,42.0,107.0,652.296
652306.0,295.0,411.0,37.0,107.0,652.306
652316.0,292.0,403.0,34.0,114.0,652.316
652326.0,291.0,396.0,32.0,115.0,652.326
652336.0,288.0,389.0,32.0,110.0,652.336
652346.0,286.0,383.0,32.0,111.0,652.346
652356.0,285.0,376.0,41.0,116.0,652.356
652366.0,285.0,370.0,36.0,124.0,652.366
652376.0,283.0,363.0,34.0,121.0,652.376
652386.0,281.0,358.0,30.0,117.0,652.386
652396.0,279.0,351.0,29.0,121.0,652.396
652406.0,277.0,345.0,29.0,128.0,652.406
652416.0,274.0,338.0,39.0,129.0,652.416
652426.0,271.0,333.0,37.0,123.0,652.426
652436.0,270.0,327.0,34.0,133.0,652.436
652446.0,268.0,321.0,34.0,127.0,652.446
652456.0,265.0,315.0,30.0,117.0,652.456
652466.0,264.0,310.0,28.0,113.0,652.466
652476.0,262.0,305.0,26.0,114.0,652.476
652486.0,260.0,299.0,23.0,113.0,652.486
652496.0,258.0,293.0,21.0,119.0,652.496
652506.0,254.0,288.0,28.0,127.0,652.506
652516.0,254.0,282.0,28.0,122.0,652.516
652526.0,254.0,278.0,27.0,125.0,652.526
652536.0,250.0,272.0,27.0,116.0,652.536
652546.0,251.0,268.0,26.0,119.0,652.546
652556.0,249.0,263.0,25.0,112.0,652.556
652566.0,248.0,258.0,25.0,108.0,652.566
652576.0,247.0,254.0,22.0,118.0,652.576
652587.0,244.0,248.0,20.0,130.0,652.587
652597.0,241.0,245.0,24.0,129.0,652.597
652607.0,241.0,240.0,39.0,143.0,652.607
652617.0,240.0,236.0,35.0,132.0,652.617
652627.0,237.0,231.0,34.0,136.0,652.627
652637.0,237.0,227.0,31.0,132.0,652.637
652647.0,235.0,224.0,31.0,138.0,652.647
652657.0,234.0,219.0,27.0,142.0,652.657
652667.0,232.0,216.0,27.0,152.0,652.667
652677.0,232.0,212.0,25.0,145.0,652.677
652687.0,230.0,208.0,21.0,140.0,652.687
652697.0,228.0,205.0,25.0,137.0,652.697
652707.0,228.0,201.0,33.0,144.0,652.707
652717.0,227.0,199.0,31.0,155.0,652.717
652727.0,226.0,195.0,29.0,148.0,652.727
652737.0,225.0,192.0,28.0,141.0,652.737
652747.0,223.0,188.0,31.0,131.0,652.747
652758.0,223.0,185.0,30.0,134.0,652.758
652768.0,222.0,182.0,28.0,132.0,652.768
652778.0,218.0,179.0,28.0,144.0,652.778
652788.0,214.0,176.0,26.0,138.0,652.788
652798.0,214.0,172.0,23.0,126.0,652.798
652808.0,212.0,170.0,38.0,127.0,652.808
652818.0,213.0,168.0,37.0,131.0,652.818
652828.0,210.0,165.0,36.0,143.0,652.828
652838.0,209.0,162.0,35.0,155.0,652.838
652848.0,209.0,159.0,32.0,158.0,652.848
652858.0,207.0,158.0,27.0,149.0,652.858
652868.0,207.0,154.0,31.0,156.0,652.868
652878.0,207.0,151.0,29.0,169.0,652.878
652888.0,205.0,150.0,27.0,155.0,652.888
652898.0,208.0,147.0,24.0,145.0,652.898
652908.0,208.0,145.0,21.0,138.0,652.908
652918.0,208.0,143.0,23.0,150.0,652.918
652928.0,205.0,141.0,38.0,159.0,652.928
652938.0,203.0,139.0,36.0,151.0,652.938
652948.0,196.0,138.0,57.0,139.0,652.948
652958.0,193.0,135.0,65.0,130.0,652.958
652968.0,190.0,133.0,76.0,124.0,652.968
652978.0,192.0,132.0,76.0,121.0,652.978
652988.0,193.0,129.0,78.0,120.0,652.988
652998.0,204.0,128.0,86.0,145.0,652.998
653008.0,203.0,126.0,83.0,160.0,653.008
653018.0,196.0,124.0,80.0,154.0,653.018
653028.0,217.0,122.0,89.0,179.0,653.028
653038.0,221.0,119.0,85.0,191.0,653.038
653048.0,218.0,118.0,81.0,196.0,653.048
653058.0,213.0,115.0,82.0,211.0,653.058
653068.0,209.0,115.0,81.0,217.0,653.068
653078.0,207.0,112.0,74.0,220.0,653.078
653088.0,198.0,110.0,72.0,217.0,653.088
653099.0,205.0,109.0,73.0,220.0,653.099
653109.0,198.0,107.0,85.0,205.0,653.109
653119.0,192.0,106.0,83.0,209.0,653.119
653129.0,190.0,105.0,99.0,196.0,653.129
653139.0,186.0,104.0,94.0,235.0,653.139
653149.0,184.0,102.0,86.0,234.0,653.149
653159.0,183.0,101.0,92.0,240.0,653.159
653169.0,180.0,100.0,99.0,243.0,653.169
653179.0,175.0,98.0,91.0,241.0,653.179
653189.0,167.0,97.0,94.0,239.0,653.189
653199.0,164.0,96.0,97.0,261.0,653.199
653209.0,160.0,96.0,94.0,263.0,653.209
653219.0,153.0,94.0,102.0,256.0,653.219
653229.0,146.0,93.0,105.0,244.0,653.229
653239.0,141.0,93.0,99.0,244.0,653.239
653249.0,140.0,91.0,109.0,247.0,653.249
653259.0,136.0,90.0,104.0,243.0,653.259
653270.0,137.0,90.0,93.0,231.0,653.27
653280.0,131.0,91.0,92.0,234.0,653.28
653290.0,128.0,88.0,82.0,246.0,653.29
653300.0,125.0,88.0,71.0,241.0,653.3
653310.0,121.0,87.0,63.0,245.0,653.31
653320.0,119.0,86.0,60.0,234.0,653.32
653330.0,115.0,86.0,54.0,262.0,653.33
653340.0,112.0,85.0,88.0,261.0,653.34
653350.0,108.0,85.0,127.0,250.0,653.35
653360.0,108.0,84.0,115.0,270.0,653.36
653370.0,105.0,84.0,119.0,259.0,653.37
653380.0,101.0,82.0,105.0,254.0,653.38
653390.0,97.0,82.0,95.0,241.0,653.39
653400.0,94.0,81.0,85.0,233.0,653.4
653410.0,95.0,80.0,74.0,220.0,653.41
653420.0,91.0,80.0,64.0,211.0,653.42
653430.0,88.0,79.0,66.0,209.0,653.43
653440.0,86.0,79.0,63.0,203.0,653.44
653450.0,81.0,78.0,94.0,191.0,653.45
653460.0,81.0,76.0,99.0,190.0,653.46
653470.0,80.0,76.0,88.0,200.0,653.47
653480.0,81.0,75.0,96.0,191.0,653.48
653490.0,79.0,75.0,84.0,190.0,653.49
653500.0,77.0,74.0,73.0,208.0,653.5
653510.0,76.0,75.0,65.0,210.0,653.51
653520.0,76.0,73.0,56.0,209.0,653.52
653530.0,74.0,72.0,53.0,192.0,653.53
653540.0,69.0,72.0,51.0,177.0,653.54
653550.0,68.0,71.0,52.0,180.0,653.55
653560.0,66.0,70.0,46.0,171.0,653.56
653570.0,64.0,71.0,69.0,173.0,653.57
653580.0,62.0,70.0,65.0,162.0,653.58
653590.0,59.0,70.0,57.0,156.0,653.59
653600.0,60.0,70.0,52.0,153.0,653.6
653611.0,58.0,69.0,55.0,152.0,653.611
653621.0,58.0,68.0,49.0,145.0,653.621
653631.0,58.0,68.0,48.0,155.0,653.631
653641.0,58.0,67.0,53.0,156.0,653.641
653651.0,58.0,67.0,64.0,152.0,653.651
653661.0,60.0,66.0,61.0,162.0,653.661
653671.0,58.0,65.0,54.0,154.0,653.671
653681.0,57.0,65.0,47.0,156.0,653.681
653691.0,57.0,65.0,44.0,165.0,653.691
653701.0,56.0,65.0,54.0,155.0,653.701
653711.0,55.0,64.0,61.0,151.0,653.711
653721.0,54.0,63.0,73.0,140.0,653.721
653731.0,53.0,64.0,79.0,130.0,653.731
653741.0,54.0,63.0,87.0,141.0,653.741
653751.0,57.0,63.0,84.0,153.0,653.751
653761.0,58.0,62.0,78.0,157.0,653.761
653771.0,56.0,62.0,80.0,154.0,653.771
653782.0,57.0,62.0,100.0,144.0,653.782
653792.0,58.0,60.0,107.0,135.0,653.792
653802.0,57.0,60.0,104.0,146.0,653.802
653812.0,56.0,59.0,90.0,154.0,653.812
653822.0,55.0,60.0,78.0,151.0,653.822
653832.0,55.0,60.0,69.0,167.0,653.832
653842.0,54.0,59.0,60.0,164.0,653.842
653852.0,53.0,58.0,53.0,152.0,653.852
653862.0,53.0,60.0,47.0,138.0,653.862
653872.0,53.0,58.0,46.0,129.0,653.872
653882.0,55.0,58.0,81.0,119.0,653.882
653892.0,56.0,58.0,96.0,120.0,653.892
653902.0,55.0,57.0,84.0,122.0,653.902
653912.0,56.0,59.0,73.0,121.0,653.912
653922.0,58.0,57.0,82.0,112.0,653.922
653932.0,57.0,57.0,79.0,116.0,653.932
653942.0,57.0,57.0,73.0,105.0,653.942
653952.0,58.0,56.0,85.0,103.0,653.952
653962.0,57.0,56.0,77.0,106.0,653.962
653972.0,55.0,56.0,68.0,101.0,653.972
653982.0,55.0,56.0,62.0,104.0,653.982
653992.0,55.0,55.0,65.0,107.0,653.992
654002.0,55.0,54.0,64.0,108.0,654.002
654012.0,55.0,55.0,79.0,106.0,654.012
654022.0,58.0,54.0,77.0,117.0,654.022
654032.0,56.0,53.0,69.0,115.0,654.032
654042.0,57.0,53.0,62.0,113.0,654.042
654052.0,58.0,53.0,58.0,116.0,654.052
654062.0,59.0,53.0,51.0,108.0,654.062
654072.0,61.0,53.0,45.0,110.0,654.072
654082.0,62.0,52.0,44.0,108.0,654.082
654092.0,63.0,52.0,59.0,108.0,654.092
654102.0,62.0,51.0,71.0,122.0,654.102
654112.0,65.0,51.0,68.0,128.0,654.112
654123.0,64.0,51.0,69.0,137.0,654.123
654133.0,64.0,51.0,63.0,141.0,654.133
654143.0,64.0,50.0,62.0,132.0,654.143
654153.0,63.0,50.0,54.0,143.0,654.153
654163.0,67.0,50.0,51.0,134.0,654.163
654173.0,66.0,49.0,74.0,140.0,654.173
654183.0,67.0,48.0,83.0,134.0,654.183
654193.0,65.0,48.0,82.0,131.0,654.193
654203.0,65.0,47.0,73.0,129.0,654.203
654213.0,66.0,46.0,78.0,123.0,654.213
654223.0,66.0,47.0,67.0,140.0,654.223
654233.0,68.0,44.0,61.0,134.0,654.233
654243.0,69.0,43.0,57.0,125.0,654.243
654253.0,73.0,48.0,52.0,118.0,654.253
654263.0,74.0,52.0,47.0,116.0,654.263
654273.0,73.0,55.0,42.0,116.0,654.273
654283.0,74.0,57.0,42.0,109.0,654.283
654294.0,75.0,62.0,46.0,102.0,654.294
654304.0,77.0,64.0,48.0,95.0,654.304
654314.0,79.0,69.0,68.0,98.0,654.314
654324.0,79.0,69.0,66.0,110.0,654.324
654334.0,78.0,70.0,58.0,113.0,654.334
654344.0,80.0,72.0,57.0,111.0,654.344
654354.0,79.0,72.0,52.0,107.0,654.354
654364.0,80.0,74.0,55.0,103.0,654.364
654374.0,79.0,74.0,49.0,97.0,654.374
654384.0,79.0,76.0,44.0,98.0,654.384
654394.0,80.0,76.0,41.0,94.0,654.394
654404.0,81.0,79.0,40.0,98.0,654.404
654414.0,83.0,84.0,55.0,110.0,654.414
654424.0,78.0,80.0,55.0,119.0,654.424
654434.0,81.0,81.0,50.0,116.0,654.434
654444.0,79.0,81.0,46.0,109.0,654.444
654454.0,77.0,82.0,40.0,110.0,654.454
654464.0,77.0,83.0,37.0,117.0,654.464
654474.0,75.0,84.0,31.0,122.0,654.474
654484.0,75.0,85.0,28.0,126.0,654.484
654494.0,75.0,87.0,27.0,118.0,654.494
654504.0,75.0,92.0,27.0,111.0,654.504
654514.0,77.0,94.0,41.0,107.0,654.514
654524.0,76.0,92.0,38.0,113.0,654.524
654534.0,75.0,92.0,38.0,124.0,654.534
654544.0,74.0,92.0,33.0,113.0,654.544
654554.0,73.0,93.0,30.0,111.0,654.554
654564.0,73.0,94.0,26.0,104.0,654.564
654574.0,73.0,95.0,27.0,100.0,654.574
654584.0,77.0,97.0,36.0,94.0,654.584
654594.0,74.0,96.0,32.0,95.0,654.594
654604.0,74.0,96.0,47.0,92.0,654.604
654614.0,73.0,99.0,44.0,99.0,654.614
654624.0,72.0,100.0,40.0,111.0,654.624
654635.0,81.0,106.0,53.0,106.0,654.635
654645.0,79.0,103.0,49.0,109.0,654.645
654655.0,76.0,105.0,44.0,117.0,654.655
654665.0,72.0,107.0,36.0,126.0,654.665
654675.0,72.0,107.0,48.0,119.0,654.675
654685.0,72.0,109.0,50.0,112.0,654.685
654695.0,71.0,110.0,52.0,118.0,654.695
654705.0,70.0,112.0,52.0,114.0,654.705
