time (ms),signal 0,signal 1,signal 2,signal3,time (sec)
761585.0,50.0,47.0,39.0,62.0,761.585
761595.0,50.0,46.0,35.0,60.0,761.595
761605.0,49.0,47.0,36.0,61.0,761.605
761615.0,50.0,47.0,35.0,62.0,761.615
761625.0,52.0,49.0,31.0,60.0,761.625
761635.0,53.0,50.0,42.0,59.0,761.635
761645.0,53.0,50.0,40.0,57.0,761.645
761655.0,54.0,52.0,37.0,55.0,761.655
761665.0,55.0,51.0,34.0,56.0,761.665
761675.0,55.0,51.0,29.0,55.0,761.675
761686.0,55.0,53.0,26.0,55.0,761.686
761696.0,56.0,54.0,24.0,57.0,761.696
761706.0,56.0,55.0,25.0,62.0,761.706
761716.0,55.0,54.0,32.0,65.0,761.716
761726.0,55.0,59.0,33.0,63.0,761.726
761736.0,55.0,59.0,30.0,66.0,761.736
761746.0,54.0,59.0,26.0,64.0,761.746
761756.0,53.0,60.0,24.0,61.0,761.756
761766.0,52.0,61.0,23.0,61.0,761.766
761776.0,52.0,61.0,36.0,64.0,761.776
761786.0,53.0,61.0,35.0,62.0,761.786
761796.0,51.0,59.0,29.0,64.0,761.796
761806.0,52.0,59.0,39.0,63.0,761.806
761816.0,53.0,61.0,36.0,61.0,761.816
761826.0,52.0,59.0,32.0,59.0,761.826
761836.0,52.0,58.0,29.0,57.0,761.836
761846.0,53.0,58.0,26.0,62.0,761.846
761856.0,53.0,59.0,24.0,63.0,761.856
761866.0,53.0,59.0,23.0,65.0,761.866
761876.0,54.0,58.0,35.0,65.0,761.876
761886.0,54.0,58.0,34.0,64.0,761.886
761896.0,55.0,57.0,30.0,64.0,761.896
761906.0,55.0,55.0,39.0,65.0,761.906
761916.0,56.0,56.0,39.0,64.0,761.916
761926.0,56.0,54.0,36.0,62.0,761.926
761936.0,56.0,52.0,32.0,60.0,761.936
761946.0,58.0,52.0,32.0,60.0,761.946
761956.0,57.0,51.0,28.0,65.0,761.956
761966.0,56.0,51.0,28.0,64.0,761.966
761976.0,56.0,50.0,27.0,62.0,761.976
761986.0,56.0,50.0,38.0,62.0,761.986
761996.0,57.0,51.0,36.0,58.0,761.996
762006.0,56.0,51.0,32.0,60.0,762.006
762016.0,57.0,51.0,29.0,63.0,762.016
762027.0,58.0,51.0,24.0,60.0,762.027
762037.0,58.0,51.0,27.0,59.0,762.037
762047.0,57.0,51.0,25.0,60.0,762.047
762057.0,59.0,52.0,24.0,58.0,762.057
762067.0,58.0,53.0,21.0,52.0,762.067
762077.0,57.0,54.0,19.0,50.0,762.077
762087.0,57.0,52.0,25.0,49.0,762.087
762097.0,55.0,52.0,30.0,49.0,762.097
762107.0,56.0,52.0,27.0,52.0,762.107
762117.0,55.0,50.0,26.0,57.0,762.117
762127.0,56.0,51.0,25.0,58.0,762.127
762137.0,55.0,49.0,25.0,55.0,762.137
762147.0,55.0,48.0,23.0,55.0,762.147
762157.0,55.0,46.0,21.0,54.0,762.157
762167.0,55.0,47.0,30.0,52.0,762.167
762177.0,56.0,47.0,29.0,52.0,762.177
762187.0,58.0,47.0,26.0,59.0,762.187
762198.0,58.0,46.0,24.0,54.0,762.198
762208.0,60.0,46.0,21.0,55.0,762.208
762218.0,61.0,45.0,20.0,53.0,762.218
762228.0,61.0,44.0,19.0,54.0,762.228
762238.0,62.0,45.0,16.0,52.0,762.238
762248.0,62.0,43.0,17.0,50.0,762.248
762258.0,62.0,45.0,15.0,52.0,762.258
762268.0,60.0,43.0,19.0,50.0,762.268
762278.0,62.0,44.0,25.0,50.0,762.278
762288.0,61.0,45.0,22.0,50.0,762.288
762298.0,61.0,43.0,22.0,48.0,762.298
762308.0,58.0,44.0,22.0,50.0,762.308
762318.0,58.0,44.0,26.0,52.0,762.318
762328.0,60.0,43.0,26.0,58.0,762.328
762338.0,61.0,43.0,23.0,60.0,762.338
762348.0,62.0,41.0,20.0,58.0,762.348
762358.0,62.0,42.0,29.0,55.0,762.358
762368.0,64.0,42.0,37.0,55.0,762.368
762378.0,64.0,42.0,40.0,59.0,762.378
762388.0,66.0,41.0,36.0,61.0,762.388
762398.0,67.0,40.0,32.0,66.0,762.398
762408.0,69.0,39.0,31.0,68.0,762.408
762418.0,70.0,39.0,31.0,68.0,762.418
762428.0,69.0,38.0,27.0,66.0,762.428
762438.0,72.0,37.0,24.0,62.0,762.438
762448.0,70.0,40.0,36.0,61.0,762.448
762458.0,72.0,38.0,33.0,62.0,762.458
762468.0,71.0,38.0,29.0,62.0,762.468
762478.0,70.0,38.0,34.0,64.0,762.478
762488.0,69.0,38.0,37.0,66.0,762.488
762498.0,70.0,40.0,35.0,67.0,762.498
762508.0,73.0,41.0,33.0,72.0,762.508
762518.0,70.0,40.0,28.0,68.0,762.518
762528.0,69.0,40.0,25.0,69.0,762.528
762539.0,69.0,40.0,35.0,66.0,762.539
762549.0,67.0,41.0,31.0,66.0,762.549
762559.0,68.0,39.0,32.0,64.0,762.559
762569.0,65.0,39.0,28.0,63.0,762.569
762579.0,65.0,39.0,28.0,59.0,762.579
762589.0,63.0,40.0,27.0,61.0,762.589
762599.0,60.0,42.0,23.0,56.0,762.599
762609.0,59.0,46.0,21.0,55.0,762.609
762619.0,58.0,48.0,19.0,54.0,762.619
762629.0,57.0,55.0,21.0,55.0,762.629
762639.0,56.0,58.0,20.0,52.0,762.639
762649.0,58.0,59.0,18.0,50.0,762.649
762659.0,56.0,70.0,22.0,55.0,762.659
762669.0,58.0,87.0,27.0,56.0,762.669
762679.0,56.0,86.0,28.0,58.0,762.679
762689.0,57.0,80.0,32.0,56.0,762.689
762699.0,60.0,76.0,32.0,69.0,762.699
762710.0,60.0,73.0,29.0,70.0,762.71
762720.0,59.0,83.0,33.0,65.0,762.72
762730.0,58.0,81.0,28.0,65.0,762.73
762740.0,59.0,88.0,34.0,65.0,762.74
762750.0,61.0,85.0,30.0,69.0,762.75
762760.0,62.0,78.0,27.0,68.0,762.76
762770.0,61.0,73.0,26.0,66.0,762.77
762780.0,60.0,69.0,24.0,66.0,762.78
762790.0,59.0,72.0,32.0,67.0,762.79
762800.0,59.0,69.0,31.0,69.0,762.8
762810.0,58.0,68.0,31.0,69.0,762.81
762820.0,59.0,64.0,29.0,74.0,762.82
762830.0,58.0,63.0,29.0,74.0,762.83
762840.0,59.0,63.0,29.0,76.0,762.84
762850.0,59.0,61.0,33.0,77.0,762.85
762860.0,62.0,59.0,30.0,75.0,762.86
762870.0,62.0,61.0,44.0,74.0,762.87
762880.0,64.0,59.0,43.0,74.0,762.88
762890.0,62.0,59.0,38.0,79.0,762.89
762900.0,62.0,62.0,34.0,77.0,762.9
762910.0,62.0,62.0,30.0,73.0,762.91
762920.0,60.0,61.0,31.0,73.0,762.92
762930.0,61.0,60.0,29.0,71.0,762.93
762940.0,58.0,60.0,27.0,69.0,762.94
762950.0,60.0,62.0,51.0,67.0,762.95
762960.0,59.0,63.0,48.0,71.0,762.96
762970.0,60.0,67.0,44.0,71.0,762.97
762980.0,61.0,65.0,40.0,70.0,762.98
762990.0,60.0,63.0,36.0,70.0,762.99
763000.0,59.0,62.0,33.0,65.0,763.0
763010.0,59.0,62.0,29.0,65.0,763.01
763020.0,57.0,64.0,27.0,64.0,763.02
763030.0,56.0,65.0,29.0,71.0,763.03
763040.0,55.0,64.0,31.0,68.0,763.04
763051.0,56.0,64.0,45.0,76.0,763.051
763061.0,55.0,66.0,43.0,74.0,763.061
