time (ms),signal 0,signal 1,signal 2,signal3,time (sec)
856009.0,66.0,61.0,17.0,89.0,856.009
856019.0,66.0,60.0,16.0,88.0,856.019
856029.0,66.0,60.0,16.0,90.0,856.029
856039.0,65.0,58.0,15.0,98.0,856.039
856049.0,65.0,57.0,13.0,91.0,856.049
856059.0,65.0,57.0,13.0,87.0,856.059
856069.0,66.0,55.0,12.0,81.0,856.069
856079.0,64.0,56.0,14.0,83.0,856.079
856089.0,65.0,53.0,13.0,85.0,856.089
856099.0,65.0,52.0,13.0,91.0,856.099
856109.0,64.0,51.0,15.0,87.0,856.109
856119.0,65.0,50.0,13.0,84.0,856.119
856129.0,67.0,49.0,12.0,93.0,856.129
856139.0,69.0,48.0,12.0,93.0,856.139
856150.0,68.0,47.0,12.0,89.0,856.15
856160.0,68.0,47.0,14.0,83.0,856.16
856170.0,67.0,47.0,16.0,89.0,856.17
856180.0,67.0,46.0,19.0,84.0,856.18
856190.0,69.0,45.0,17.0,85.0,856.19
856200.0,68.0,43.0,15.0,98.0,856.2
856210.0,69.0,43.0,15.0,97.0,856.21
856220.0,68.0,42.0,12.0,97.0,856.22
856230.0,68.0,44.0,13.0,96.0,856.23
856240.0,66.0,44.0,14.0,88.0,856.24
856250.0,66.0,44.0,14.0,90.0,856.25
856260.0,66.0,45.0,16.0,89.0,856.26
856270.0,64.0,47.0,20.0,87.0,856.27
856280.0,66.0,45.0,19.0,91.0,856.28
856290.0,63.0,46.0,16.0,86.0,856.29
856300.0,63.0,45.0,19.0,91.0,856.3
856310.0,63.0,47.0,16.0,104.0,856.31
856320.0,64.0,46.0,16.0,111.0,856.32
856330.0,64.0,47.0,17.0,111.0,856.33
856340.0,64.0,48.0,20.0,105.0,856.34
856350.0,65.0,48.0,19.0,103.0,856.35
856360.0,64.0,47.0,18.0,105.0,856.36
856370.0,65.0,45.0,19.0,110.0,856.37
856380.0,66.0,46.0,17.0,120.0,856.38
856390.0,65.0,46.0,16.0,114.0,856.39
856400.0,64.0,47.0,14.0,108.0,856.4
856410.0,63.0,46.0,15.0,103.0,856.41
856420.0,64.0,47.0,16.0,106.0,856.42
856430.0,63.0,47.0,13.0,114.0,856.43
856440.0,63.0,45.0,13.0,116.0,856.44
856450.0,63.0,46.0,13.0,117.0,856.45
856460.0,63.0,47.0,12.0,118.0,856.46
856470.0,64.0,48.0,11.0,115.0,856.47
856480.0,63.0,49.0,12.0,118.0,856.48
856491.0,63.0,50.0,12.0,112.0,856.491
856501.0,61.0,52.0,21.0,113.0,856.501
856511.0,62.0,51.0,21.0,105.0,856.511
856521.0,64.0,50.0,20.0,110.0,856.521
856531.0,64.0,50.0,23.0,108.0,856.531
856541.0,64.0,50.0,21.0,107.0,856.541
856551.0,63.0,50.0,19.0,100.0,856.551
856561.0,63.0,49.0,17.0,99.0,856.561
856571.0,62.0,49.0,22.0,96.0,856.571
856581.0,63.0,48.0,22.0,97.0,856.581
856591.0,64.0,47.0,21.0,110.0,856.591
