time (ms),signal 0,signal 1,signal 2,signal3,time (sec)
956707.0,52.0,39.0,6.0,45.0,956.707
956717.0,53.0,40.0,7.0,45.0,956.717
956727.0,51.0,41.0,7.0,44.0,956.727
956737.0,52.0,40.0,8.0,46.0,956.737
956747.0,53.0,40.0,7.0,47.0,956.747
956758.0,54.0,40.0,6.0,47.0,956.758
956768.0,55.0,41.0,6.0,51.0,956.768
956778.0,54.0,43.0,6.0,53.0,956.778
956788.0,55.0,45.0,6.0,53.0,956.788
956798.0,57.0,46.0,5.0,53.0,956.798
956808.0,57.0,46.0,6.0,54.0,956.808
956818.0,57.0,47.0,5.0,55.0,956.818
956828.0,58.0,46.0,7.0,53.0,956.828
956838.0,57.0,46.0,5.0,55.0,956.838
956848.0,56.0,47.0,4.0,54.0,956.848
956858.0,56.0,47.0,5.0,53.0,956.858
956868.0,57.0,49.0,5.0,55.0,956.868
956878.0,56.0,49.0,5.0,52.0,956.878
956888.0,55.0,51.0,6.0,54.0,956.888
956898.0,56.0,49.0,7.0,55.0,956.898
956908.0,55.0,50.0,5.0,54.0,956.908
956918.0,55.0,50.0,4.0,50.0,956.918
956928.0,58.0,49.0,4.0,53.0,956.928
956938.0,58.0,50.0,5.0,56.0,956.938
956948.0,59.0,50.0,5.0,51.0,956.948
956958.0,58.0,52.0,4.0,51.0,956.958
956968.0,58.0,52.0,6.0,50.0,956.968
956978.0,59.0,51.0,5.0,50.0,956.978
956988.0,58.0,52.0,4.0,54.0,956.988
956998.0,58.0,49.0,4.0,52.0,956.998
957008.0,58.0,51.0,3.0,51.0,957.008
957018.0,57.0,50.0,4.0,48.0,957.018
957028.0,56.0,49.0,5.0,51.0,957.028
957038.0,56.0,49.0,6.0,51.0,957.038
957048.0,56.0,49.0,5.0,51.0,957.048
957058.0,54.0,48.0,4.0,55.0,957.058
957068.0,55.0,47.0,5.0,55.0,957.068
957078.0,54.0,47.0,5.0,59.0,957.078
957088.0,55.0,44.0,4.0,62.0,957.088
957099.0,55.0,44.0,4.0,60.0,957.099
957109.0,55.0,43.0,4.0,60.0,957.109
957119.0,56.0,43.0,4.0,60.0,957.119
957129.0,55.0,44.0,4.0,62.0,957.129
957139.0,56.0,44.0,5.0,60.0,957.139
957149.0,57.0,44.0,5.0,60.0,957.149
957159.0,57.0,42.0,5.0,60.0,957.159
957169.0,57.0,43.0,7.0,59.0,957.169
957179.0,56.0,42.0,7.0,59.0,957.179
957189.0,55.0,43.0,6.0,57.0,957.189
957199.0,54.0,43.0,6.0,56.0,957.199
957209.0,53.0,42.0,6.0,56.0,957.209
957219.0,54.0,44.0,6.0,59.0,957.219
957229.0,54.0,42.0,7.0,58.0,957.229
957239.0,55.0,40.0,5.0,57.0,957.239
957249.0,57.0,39.0,7.0,55.0,957.249
957259.0,58.0,39.0,6.0,53.0,957.259
957270.0,59.0,38.0,6.0,52.0,957.27
957280.0,58.0,38.0,6.0,49.0,957.28
957290.0,59.0,39.0,7.0,49.0,957.29
957300.0,60.0,38.0,7.0,46.0,957.3
957310.0,60.0,38.0,5.0,47.0,957.31
957320.0,60.0,41.0,6.0,46.0,957.32
957330.0,60.0,42.0,8.0,43.0,957.33
957340.0,60.0,42.0,7.0,44.0,957.34
