time (ms),signal 0,signal 1,signal 2,signal3,time (sec)
1023706.0,52.0,36.0,13.0,90.0,1023.706
1023716.0,54.0,37.0,12.0,85.0,1023.716
1023726.0,53.0,37.0,16.0,83.0,1023.726
1023736.0,53.0,36.0,16.0,85.0,1023.736
1023746.0,51.0,38.0,16.0,84.0,1023.746
1023756.0,50.0,37.0,14.0,87.0,1023.756
1023766.0,48.0,37.0,13.0,93.0,1023.766
1023776.0,49.0,36.0,14.0,94.0,1023.776
1023787.0,47.0,36.0,14.0,97.0,1023.787
1023797.0,47.0,36.0,13.0,92.0,1023.797
1023807.0,46.0,37.0,16.0,87.0,1023.807
1023817.0,45.0,38.0,14.0,83.0,1023.817
1023827.0,46.0,36.0,16.0,90.0,1023.827
1023837.0,45.0,37.0,15.0,94.0,1023.837
1023847.0,45.0,38.0,15.0,92.0,1023.847
1023857.0,45.0,40.0,14.0,89.0,1023.857
1023867.0,47.0,39.0,12.0,85.0,1023.867
1023877.0,48.0,40.0,12.0,91.0,1023.877
1023887.0,48.0,41.0,11.0,85.0,1023.887
1023897.0,49.0,39.0,18.0,81.0,1023.897
1023907.0,49.0,41.0,17.0,93.0,1023.907
1023917.0,51.0,41.0,17.0,92.0,1023.917
1023927.0,50.0,40.0,14.0,88.0,1023.927
1023937.0,52.0,41.0,19.0,95.0,1023.937
1023947.0,53.0,39.0,18.0,97.0,1023.947
1023958.0,54.0,39.0,17.0,92.0,1023.958
1023968.0,54.0,39.0,16.0,92.0,1023.968
1023978.0,53.0,39.0,15.0,83.0,1023.978
1023988.0,54.0,39.0,18.0,82.0,1023.988
1023998.0,54.0,39.0,17.0,89.0,1023.998
1024008.0,54.0,39.0,16.0,87.0,1024.008
1024018.0,56.0,39.0,15.0,84.0,1024.018
1024028.0,56.0,38.0,14.0,88.0,1024.028
1024038.0,56.0,36.0,16.0,80.0,1024.038
1024048.0,57.0,38.0,14.0,81.0,1024.048
1024058.0,57.0,36.0,15.0,78.0,1024.058
1024068.0,57.0,35.0,14.0,77.0,1024.068
1024078.0,58.0,36.0,13.0,72.0,1024.078
1024088.0,57.0,36.0,16.0,66.0,1024.088
1024098.0,58.0,36.0,16.0,62.0,1024.098
1024108.0,59.0,35.0,14.0,70.0,1024.108
1024118.0,58.0,36.0,13.0,76.0,1024.118
1024128.0,60.0,36.0,15.0,75.0,1024.128
1024138.0,61.0,35.0,14.0,75.0,1024.138
1024148.0,62.0,36.0,12.0,74.0,1024.148
1024158.0,62.0,36.0,12.0,73.0,1024.158
1024168.0,61.0,37.0,10.0,94.0,1024.168
1024178.0,62.0,36.0,10.0,91.0,1024.178
1024188.0,61.0,36.0,10.0,90.0,1024.188
1024198.0,61.0,36.0,11.0,92.0,1024.198
1024208.0,61.0,35.0,9.0,91.0,1024.208
1024218.0,61.0,35.0,10.0,103.0,1024.218
1024228.0,62.0,35.0,10.0,113.0,1024.228
1024238.0,64.0,36.0,11.0,114.0,1024.238
1024248.0,66.0,35.0,11.0,109.0,1024.248
1024258.0,67.0,35.0,9.0,102.0,1024.258
1024268.0,65.0,35.0,9.0,118.0,1024.268
1024278.0,65.0,37.0,15.0,107.0,1024.278
1024288.0,64.0,37.0,14.0,102.0,1024.288
1024299.0,65.0,36.0,14.0,101.0,1024.299
1024309.0,67.0,39.0,13.0,95.0,1024.309
1024319.0,67.0,38.0,15.0,102.0,1024.319
1024329.0,67.0,40.0,13.0,98.0,1024.329
1024339.0,68.0,40.0,13.0,99.0,1024.339
1024349.0,69.0,40.0,11.0,102.0,1024.349
1024359.0,66.0,42.0,11.0,108.0,1024.359
1024369.0,68.0,41.0,15.0,109.0,1024.369
1024379.0,67.0,42.0,19.0,104.0,1024.379
1024389.0,67.0,40.0,17.0,108.0,1024.389
1024399.0,66.0,42.0,16.0,105.0,1024.399
1024409.0,66.0,41.0,15.0,117.0,1024.409
1024419.0,66.0,39.0,12.0,114.0,1024.419
1024429.0,65.0,38.0,12.0,105.0,1024.429
1024439.0,64.0,37.0,11.0,101.0,1024.439
1024449.0,62.0,38.0,10.0,101.0,1024.449
1024459.0,60.0,37.0,9.0,106.0,1024.459
1024470.0,58.0,40.0,8.0,105.0,1024.47
1024480.0,56.0,43.0,9.0,99.0,1024.48
1024490.0,55.0,44.0,7.0,92.0,1024.49
1024500.0,55.0,44.0,7.0,87.0,1024.5
1024510.0,54.0,43.0,6.0,89.0,1024.51
1024520.0,54.0,44.0,7.0,86.0,1024.52
1024530.0,54.0,42.0,7.0,82.0,1024.53
1024540.0,53.0,42.0,8.0,84.0,1024.54
1024550.0,56.0,41.0,9.0,82.0,1024.55
1024560.0,56.0,40.0,14.0,88.0,1024.56
1024570.0,55.0,41.0,17.0,97.0,1024.57
1024580.0,53.0,45.0,16.0,99.0,1024.58
1024590.0,55.0,48.0,17.0,92.0,1024.59
1024600.0,57.0,46.0,15.0,90.0,1024.6
1024610.0,56.0,51.0,15.0,88.0,1024.61
1024620.0,57.0,62.0,14.0,98.0,1024.62
1024630.0,59.0,69.0,13.0,109.0,1024.63
1024640.0,57.0,75.0,12.0,123.0,1024.64
1024650.0,57.0,100.0,11.0,118.0,1024.65
1024660.0,61.0,118.0,23.0,116.0,1024.66
1024670.0,71.0,174.0,40.0,111.0,1024.67
1024680.0,77.0,229.0,59.0,114.0,1024.68
1024690.0,78.0,268.0,59.0,112.0,1024.69
1024700.0,84.0,304.0,56.0,128.0,1024.7
1024710.0,87.0,294.0,48.0,128.0,1024.71
1024720.0,90.0,327.0,53.0,117.0,1024.72
1024730.0,94.0,320.0,48.0,107.0,1024.73
1024740.0,88.0,293.0,46.0,100.0,1024.74
1024750.0,83.0,275.0,49.0,108.0,1024.75
1024760.0,85.0,304.0,53.0,122.0,1024.76
1024770.0,90.0,301.0,50.0,124.0,1024.77
1024780.0,90.0,348.0,62.0,132.0,1024.78
1024790.0,97.0,337.0,57.0,138.0,1024.79
1024800.0,98.0,345.0,54.0,141.0,1024.8
1024811.0,102.0,325.0,52.0,144.0,1024.811
1024821.0,102.0,330.0,49.0,138.0,1024.821
1024831.0,111.0,355.0,49.0,138.0,1024.831
1024841.0,120.0,347.0,52.0,149.0,1024.841
1024851.0,119.0,347.0,45.0,157.0,1024.851
1024861.0,119.0,362.0,51.0,179.0,1024.861
1024871.0,123.0,406.0,61.0,199.0,1024.871
1024881.0,129.0,388.0,60.0,194.0,1024.881
1024891.0,124.0,376.0,53.0,194.0,1024.891
1024901.0,124.0,370.0,55.0,199.0,1024.901
1024911.0,123.0,378.0,57.0,210.0,1024.911
1024921.0,123.0,389.0,61.0,201.0,1024.921
1024931.0,125.0,386.0,67.0,207.0,1024.931
1024941.0,124.0,369.0,62.0,214.0,1024.941
1024951.0,118.0,364.0,66.0,219.0,1024.951
1024961.0,117.0,364.0,60.0,203.0,1024.961
1024971.0,116.0,364.0,68.0,201.0,1024.971
1024982.0,113.0,344.0,58.0,209.0,1024.982
1024992.0,108.0,344.0,57.0,202.0,1024.992
1025002.0,120.0,349.0,56.0,206.0,1025.002
1025012.0,111.0,353.0,56.0,205.0,1025.012
1025022.0,114.0,352.0,57.0,206.0,1025.022
1025032.0,112.0,334.0,53.0,208.0,1025.032
1025042.0,108.0,330.0,51.0,194.0,1025.042
1025052.0,110.0,326.0,46.0,187.0,1025.052
1025062.0,108.0,326.0,48.0,187.0,1025.062
