time (ms),signal 0,signal 1,signal 2,signal3,time (sec)
1057273.0,72.0,54.0,36.0,91.0,1057.273
1057283.0,76.0,55.0,37.0,91.0,1057.283
1057293.0,76.0,54.0,32.0,92.0,1057.293
1057303.0,76.0,54.0,27.0,86.0,1057.303
1057313.0,76.0,54.0,25.0,84.0,1057.313
1057323.0,75.0,55.0,22.0,77.0,1057.323
1057333.0,75.0,54.0,20.0,80.0,1057.333
1057343.0,76.0,55.0,17.0,82.0,1057.343
1057353.0,76.0,54.0,18.0,79.0,1057.353
1057363.0,76.0,54.0,34.0,76.0,1057.363
1057373.0,76.0,54.0,34.0,77.0,1057.373
1057383.0,77.0,54.0,30.0,76.0,1057.383
1057393.0,77.0,56.0,27.0,74.0,1057.393
1057403.0,74.0,52.0,32.0,70.0,1057.403
1057413.0,73.0,54.0,32.0,72.0,1057.413
1057423.0,73.0,55.0,28.0,74.0,1057.423
1057433.0,72.0,54.0,31.0,75.0,1057.433
1057443.0,73.0,55.0,33.0,77.0,1057.443
1057453.0,73.0,54.0,33.0,81.0,1057.453
1057463.0,72.0,52.0,29.0,78.0,1057.463
1057473.0,70.0,52.0,25.0,71.0,1057.473
1057483.0,67.0,51.0,22.0,72.0,1057.483
1057494.0,67.0,51.0,22.0,70.0,1057.494
1057504.0,66.0,51.0,20.0,65.0,1057.504
1057514.0,65.0,53.0,20.0,63.0,1057.514
1057524.0,65.0,53.0,18.0,68.0,1057.524
1057534.0,64.0,53.0,25.0,73.0,1057.534
1057544.0,65.0,52.0,25.0,72.0,1057.544
1057554.0,65.0,52.0,37.0,74.0,1057.554
1057564.0,67.0,52.0,33.0,70.0,1057.564
1057574.0,67.0,51.0,30.0,71.0,1057.574
1057584.0,66.0,51.0,34.0,73.0,1057.584
1057594.0,68.0,51.0,31.0,73.0,1057.594
1057604.0,67.0,51.0,27.0,72.0,1057.604
1057614.0,67.0,50.0,28.0,70.0,1057.614
1057624.0,68.0,50.0,24.0,74.0,1057.624
1057634.0,68.0,49.0,29.0,73.0,1057.634
1057644.0,68.0,49.0,34.0,72.0,1057.644
1057654.0,67.0,51.0,41.0,73.0,1057.654
1057664.0,68.0,51.0,38.0,71.0,1057.664
1057674.0,67.0,52.0,33.0,71.0,1057.674
1057684.0,68.0,52.0,29.0,70.0,1057.684
1057694.0,68.0,54.0,25.0,70.0,1057.694
1057704.0,68.0,54.0,24.0,67.0,1057.704
1057714.0,67.0,53.0,22.0,65.0,1057.714
1057724.0,66.0,52.0,19.0,68.0,1057.724
1057734.0,66.0,52.0,25.0,68.0,1057.734
1057744.0,67.0,53.0,23.0,72.0,1057.744
