time (ms),signal 0,signal 1,signal 2,signal3,time (sec)
1170877.0,57.0,50.0,7.0,67.0,1170.877
1170887.0,59.0,51.0,7.0,66.0,1170.887
1170897.0,56.0,54.0,6.0,68.0,1170.897
1170907.0,59.0,56.0,7.0,67.0,1170.907
1170917.0,58.0,58.0,5.0,68.0,1170.917
1170927.0,57.0,59.0,5.0,66.0,1170.927
1170937.0,56.0,61.0,6.0,65.0,1170.937
1170947.0,57.0,62.0,6.0,64.0,1170.947
1170957.0,58.0,61.0,6.0,67.0,1170.957
1170967.0,58.0,62.0,6.0,69.0,1170.967
1170977.0,58.0,61.0,6.0,70.0,1170.977
1170987.0,58.0,61.0,4.0,66.0,1170.987
1170997.0,59.0,60.0,5.0,66.0,1170.997
1171007.0,59.0,58.0,5.0,68.0,1171.007
1171017.0,59.0,57.0,5.0,73.0,1171.017
1171027.0,60.0,56.0,6.0,69.0,1171.027
1171037.0,60.0,56.0,4.0,73.0,1171.037
1171047.0,62.0,54.0,5.0,70.0,1171.047
1171057.0,64.0,54.0,5.0,67.0,1171.057
1171067.0,65.0,52.0,5.0,66.0,1171.067
1171077.0,66.0,52.0,5.0,69.0,1171.077
1171087.0,65.0,50.0,5.0,80.0,1171.087
1171097.0,67.0,49.0,5.0,77.0,1171.097
1171107.0,66.0,50.0,4.0,73.0,1171.107
1171117.0,65.0,48.0,6.0,67.0,1171.117
1171127.0,64.0,47.0,6.0,69.0,1171.127
1171137.0,64.0,47.0,6.0,66.0,1171.137
1171147.0,64.0,46.0,5.0,67.0,1171.147
1171158.0,63.0,46.0,5.0,67.0,1171.158
1171168.0,63.0,47.0,6.0,63.0,1171.168
1171178.0,62.0,48.0,4.0,65.0,1171.178
1171188.0,62.0,47.0,8.0,66.0,1171.188
1171198.0,63.0,48.0,9.0,67.0,1171.198
1171208.0,62.0,48.0,8.0,68.0,1171.208
1171218.0,61.0,48.0,8.0,63.0,1171.218
1171228.0,60.0,50.0,7.0,63.0,1171.228
1171238.0,61.0,49.0,7.0,65.0,1171.238
1171248.0,59.0,50.0,6.0,64.0,1171.248
1171258.0,58.0,51.0,6.0,63.0,1171.258
1171268.0,58.0,52.0,6.0,66.0,1171.268
1171278.0,55.0,52.0,6.0,60.0,1171.278
1171288.0,55.0,52.0,6.0,60.0,1171.288
1171298.0,54.0,51.0,5.0,62.0,1171.298
1171308.0,56.0,49.0,6.0,65.0,1171.308
1171318.0,54.0,49.0,4.0,70.0,1171.318
1171328.0,56.0,49.0,6.0,70.0,1171.328
1171338.0,55.0,49.0,5.0,72.0,1171.338
1171348.0,55.0,50.0,4.0,71.0,1171.348
1171358.0,54.0,50.0,4.0,71.0,1171.358
1171368.0,54.0,51.0,5.0,71.0,1171.368
1171378.0,54.0,51.0,5.0,73.0,1171.378
1171388.0,54.0,51.0,4.0,71.0,1171.388
1171398.0,54.0,52.0,4.0,69.0,1171.398
1171408.0,55.0,51.0,4.0,68.0,1171.408
1171418.0,55.0,52.0,9.0,78.0,1171.418
1171428.0,55.0,51.0,12.0,74.0,1171.428
1171438.0,56.0,51.0,11.0,78.0,1171.438
1171448.0,57.0,49.0,11.0,87.0,1171.448
1171458.0,56.0,48.0,8.0,81.0,1171.458
1171468.0,55.0,47.0,8.0,80.0,1171.468
1171478.0,54.0,48.0,10.0,78.0,1171.478
1171488.0,54.0,47.0,10.0,75.0,1171.488
1171499.0,55.0,46.0,9.0,87.0,1171.499
1171509.0,53.0,47.0,8.0,90.0,1171.509
1171519.0,54.0,47.0,8.0,87.0,1171.519
1171529.0,52.0,48.0,7.0,81.0,1171.529
1171539.0,52.0,48.0,7.0,83.0,1171.539
1171549.0,54.0,48.0,6.0,78.0,1171.549
1171559.0,54.0,48.0,7.0,76.0,1171.559
1171569.0,55.0,48.0,6.0,73.0,1171.569
1171579.0,55.0,49.0,5.0,75.0,1171.579
1171589.0,56.0,48.0,6.0,71.0,1171.589
1171599.0,56.0,48.0,5.0,68.0,1171.599
1171609.0,56.0,48.0,6.0,64.0,1171.609
1171619.0,57.0,49.0,6.0,61.0,1171.619
1171629.0,59.0,49.0,5.0,67.0,1171.629
1171639.0,61.0,50.0,5.0,72.0,1171.639
1171649.0,61.0,52.0,5.0,75.0,1171.649
1171659.0,65.0,53.0,8.0,75.0,1171.659
1171670.0,66.0,54.0,7.0,72.0,1171.67
1171680.0,69.0,54.0,7.0,76.0,1171.68
1171690.0,70.0,57.0,7.0,74.0,1171.69
1171700.0,70.0,58.0,6.0,73.0,1171.7
1171710.0,78.0,57.0,5.0,68.0,1171.71
1171720.0,78.0,64.0,5.0,67.0,1171.72
1171730.0,84.0,63.0,6.0,65.0,1171.73
1171740.0,95.0,75.0,6.0,74.0,1171.74
1171750.0,110.0,82.0,6.0,79.0,1171.75
1171760.0,123.0,80.0,7.0,83.0,1171.76
1171770.0,133.0,87.0,6.0,82.0,1171.77
1171780.0,158.0,95.0,8.0,93.0,1171.78
1171790.0,173.0,100.0,9.0,90.0,1171.79
1171800.0,172.0,96.0,9.0,94.0,1171.8
1171810.0,173.0,108.0,12.0,118.0,1171.81
1171820.0,171.0,108.0,16.0,128.0,1171.82
1171830.0,234.0,153.0,31.0,189.0,1171.83
1171840.0,243.0,216.0,37.0,296.0,1171.84
1171850.0,238.0,239.0,40.0,349.0,1171.85
1171860.0,240.0,289.0,40.0,381.0,1171.86
1171870.0,243.0,304.0,44.0,360.0,1171.87
1171880.0,222.0,290.0,52.0,350.0,1171.88
1171890.0,202.0,289.0,51.0,329.0,1171.89
1171900.0,200.0,304.0,45.0,309.0,1171.9
1171910.0,193.0,343.0,42.0,282.0,1171.91
1171920.0,188.0,380.0,37.0,266.0,1171.92
1171930.0,187.0,422.0,33.0,286.0,1171.93
1171940.0,189.0,482.0,33.0,283.0,1171.94
1171950.0,198.0,552.0,46.0,251.0,1171.95
1171960.0,218.0,580.0,51.0,231.0,1171.96
1171970.0,204.0,599.0,45.0,224.0,1171.97
1171980.0,198.0,642.0,49.0,245.0,1171.98
1171990.0,196.0,669.0,44.0,242.0,1171.99
1172000.0,202.0,669.0,45.0,276.0,1172.0
1172011.0,217.0,668.0,47.0,270.0,1172.011
1172021.0,202.0,668.0,44.0,298.0,1172.021
1172031.0,193.0,668.0,38.0,279.0,1172.031
1172041.0,181.0,668.0,37.0,281.0,1172.041
1172051.0,185.0,670.0,37.0,288.0,1172.051
1172061.0,176.0,668.0,35.0,268.0,1172.061
