time (ms),signal 0,signal 1,signal 2,signal3,time (sec)
1228778.0,52.0,42.0,11.0,97.0,1228.778
1228788.0,53.0,42.0,11.0,99.0,1228.788
1228798.0,52.0,44.0,11.0,109.0,1228.798
1228808.0,53.0,45.0,10.0,102.0,1228.808
1228818.0,52.0,46.0,10.0,101.0,1228.818
1228828.0,51.0,46.0,9.0,98.0,1228.828
1228838.0,51.0,48.0,8.0,91.0,1228.838
1228848.0,50.0,48.0,7.0,105.0,1228.848
1228858.0,51.0,48.0,7.0,108.0,1228.858
1228868.0,50.0,48.0,6.0,111.0,1228.868
1228878.0,50.0,50.0,7.0,118.0,1228.878
1228888.0,49.0,51.0,6.0,115.0,1228.888
1228898.0,49.0,52.0,6.0,121.0,1228.898
1228908.0,47.0,53.0,12.0,114.0,1228.908
1228918.0,47.0,51.0,10.0,116.0,1228.918
1228928.0,48.0,51.0,10.0,109.0,1228.928
1228938.0,46.0,51.0,8.0,107.0,1228.938
1228948.0,47.0,50.0,9.0,106.0,1228.948
1228958.0,46.0,51.0,8.0,102.0,1228.958
1228968.0,46.0,50.0,9.0,94.0,1228.968
1228978.0,46.0,48.0,11.0,93.0,1228.978
1228988.0,45.0,46.0,11.0,96.0,1228.988
1228998.0,46.0,45.0,11.0,93.0,1228.998
1229008.0,45.0,44.0,10.0,95.0,1229.008
1229018.0,46.0,43.0,9.0,91.0,1229.018
1229028.0,46.0,43.0,8.0,88.0,1229.028
1229038.0,47.0,40.0,7.0,91.0,1229.038
1229048.0,47.0,38.0,7.0,98.0,1229.048
1229058.0,47.0,40.0,11.0,93.0,1229.058
1229068.0,46.0,38.0,10.0,90.0,1229.068
1229078.0,48.0,37.0,8.0,94.0,1229.078
1229088.0,50.0,37.0,9.0,93.0,1229.088
1229099.0,50.0,38.0,8.0,98.0,1229.099
1229109.0,50.0,37.0,7.0,98.0,1229.109
1229119.0,50.0,36.0,7.0,95.0,1229.119
1229129.0,49.0,35.0,7.0,88.0,1229.129
1229139.0,51.0,35.0,7.0,83.0,1229.139
1229149.0,50.0,35.0,5.0,99.0,1229.149
1229159.0,49.0,36.0,6.0,116.0,1229.159
1229169.0,48.0,37.0,6.0,123.0,1229.169
1229179.0,47.0,36.0,6.0,122.0,1229.179
1229189.0,47.0,36.0,5.0,116.0,1229.189
1229199.0,48.0,40.0,5.0,121.0,1229.199
1229209.0,49.0,39.0,6.0,122.0,1229.209
1229219.0,49.0,40.0,5.0,129.0,1229.219
1229229.0,49.0,54.0,10.0,183.0,1229.229
1229239.0,51.0,56.0,10.0,189.0,1229.239
1229249.0,58.0,88.0,10.0,190.0,1229.249
1229259.0,61.0,94.0,10.0,200.0,1229.259
1229270.0,66.0,106.0,11.0,218.0,1229.27
1229280.0,65.0,104.0,12.0,209.0,1229.28
1229290.0,65.0,101.0,12.0,202.0,1229.29
1229300.0,70.0,115.0,16.0,206.0,1229.3
1229310.0,82.0,136.0,37.0,267.0,1229.31
1229320.0,101.0,132.0,41.0,295.0,1229.32
1229330.0,112.0,143.0,43.0,277.0,1229.33
1229340.0,117.0,178.0,47.0,279.0,1229.34
1229350.0,126.0,182.0,58.0,266.0,1229.35
1229360.0,123.0,179.0,56.0,280.0,1229.36
1229370.0,135.0,207.0,65.0,275.0,1229.37
1229380.0,143.0,197.0,74.0,299.0,1229.38
1229390.0,139.0,212.0,86.0,298.0,1229.39
1229400.0,146.0,208.0,117.0,354.0,1229.4
1229410.0,160.0,214.0,128.0,417.0,1229.41
1229420.0,174.0,204.0,121.0,408.0,1229.42
1229430.0,183.0,223.0,158.0,419.0,1229.43
1229440.0,195.0,221.0,180.0,430.0,1229.44
1229450.0,205.0,214.0,191.0,445.0,1229.45
1229460.0,211.0,204.0,186.0,420.0,1229.46
1229470.0,222.0,194.0,199.0,442.0,1229.47
1229480.0,222.0,189.0,208.0,439.0,1229.48
1229490.0,214.0,232.0,238.0,421.0,1229.49
1229500.0,198.0,233.0,232.0,420.0,1229.5
1229510.0,186.0,216.0,236.0,524.0,1229.51
1229520.0,176.0,221.0,246.0,498.0,1229.52
1229530.0,170.0,214.0,259.0,569.0,1229.53
1229540.0,164.0,206.0,276.0,614.0,1229.54
1229550.0,160.0,207.0,292.0,588.0,1229.55
1229560.0,165.0,203.0,290.0,572.0,1229.56
1229570.0,154.0,188.0,286.0,575.0,1229.57
1229580.0,156.0,178.0,274.0,572.0,1229.58
1229590.0,154.0,180.0,275.0,668.0,1229.59
1229600.0,162.0,176.0,279.0,648.0,1229.6
1229611.0,156.0,170.0,260.0,626.0,1229.611
1229621.0,145.0,177.0,261.0,630.0,1229.621
1229631.0,145.0,170.0,245.0,630.0,1229.631
1229641.0,144.0,166.0,225.0,598.0,1229.641
1229651.0,133.0,152.0,233.0,568.0,1229.651
1229661.0,126.0,146.0,223.0,571.0,1229.661
1229671.0,121.0,163.0,202.0,580.0,1229.671
1229681.0,116.0,158.0,185.0,541.0,1229.681
1229691.0,112.0,154.0,183.0,518.0,1229.691
1229701.0,111.0,147.0,169.0,503.0,1229.701
1229711.0,106.0,139.0,166.0,482.0,1229.711
1229721.0,106.0,138.0,157.0,458.0,1229.721
1229731.0,114.0,129.0,150.0,492.0,1229.731
1229741.0,121.0,128.0,173.0,467.0,1229.741
1229751.0,119.0,132.0,171.0,452.0,1229.751
1229761.0,111.0,137.0,157.0,424.0,1229.761
1229771.0,109.0,131.0,180.0,425.0,1229.771
1229782.0,102.0,125.0,172.0,392.0,1229.782
1229792.0,103.0,124.0,189.0,437.0,1229.792
1229802.0,96.0,114.0,185.0,435.0,1229.802
1229812.0,90.0,106.0,168.0,423.0,1229.812
1229822.0,88.0,100.0,158.0,434.0,1229.822
1229832.0,83.0,106.0,148.0,432.0,1229.832
1229842.0,80.0,112.0,157.0,438.0,1229.842
1229852.0,78.0,105.0,148.0,435.0,1229.852
1229862.0,76.0,100.0,148.0,403.0,1229.862
1229872.0,73.0,104.0,140.0,412.0,1229.872
1229882.0,74.0,104.0,131.0,396.0,1229.882
1229892.0,74.0,100.0,120.0,399.0,1229.892
1229902.0,73.0,99.0,114.0,375.0,1229.902
1229912.0,73.0,105.0,106.0,348.0,1229.912
1229922.0,74.0,103.0,112.0,349.0,1229.922
1229932.0,72.0,104.0,117.0,351.0,1229.932
1229942.0,69.0,97.0,121.0,351.0,1229.942
1229952.0,67.0,94.0,120.0,401.0,1229.952
1229962.0,71.0,89.0,115.0,394.0,1229.962
1229972.0,69.0,94.0,114.0,375.0,1229.972
1229982.0,69.0,98.0,122.0,384.0,1229.982
1229992.0,66.0,98.0,122.0,365.0,1229.992
1230002.0,66.0,94.0,133.0,357.0,1230.002
1230012.0,63.0,96.0,126.0,361.0,1230.012
1230022.0,63.0,107.0,118.0,365.0,1230.022
1230032.0,62.0,100.0,122.0,369.0,1230.032
1230042.0,61.0,94.0,125.0,391.0,1230.042
1230052.0,63.0,91.0,124.0,384.0,1230.052
1230062.0,63.0,85.0,120.0,353.0,1230.062
1230072.0,62.0,87.0,114.0,337.0,1230.072
1230082.0,62.0,85.0,118.0,346.0,1230.082
1230092.0,62.0,86.0,117.0,364.0,1230.092
1230102.0,61.0,88.0,120.0,378.0,1230.102
1230112.0,63.0,86.0,119.0,369.0,1230.112
1230123.0,60.0,82.0,121.0,363.0,1230.123
1230133.0,60.0,80.0,138.0,331.0,1230.133
1230143.0,60.0,84.0,125.0,339.0,1230.143
1230153.0,62.0,88.0,127.0,345.0,1230.153
1230163.0,59.0,103.0,129.0,374.0,1230.163
1230173.0,60.0,104.0,140.0,371.0,1230.173
1230183.0,58.0,101.0,127.0,382.0,1230.183
1230193.0,60.0,95.0,121.0,383.0,1230.193
1230203.0,61.0,92.0,128.0,359.0,1230.203
1230213.0,62.0,96.0,126.0,353.0,1230.213
1230223.0,62.0,92.0,127.0,341.0,1230.223
1230233.0,61.0,86.0,123.0,330.0,1230.233
1230243.0,59.0,84.0,110.0,331.0,1230.243
1230253.0,57.0,80.0,104.0,327.0,1230.253
1230263.0,58.0,76.0,96.0,321.0,1230.263
1230273.0,61.0,81.0,92.0,333.0,1230.273
1230283.0,60.0,79.0,91.0,322.0,1230.283
1230294.0,59.0,77.0,85.0,309.0,1230.294
1230304.0,58.0,72.0,80.0,300.0,1230.304
1230314.0,57.0,68.0,77.0,281.0,1230.314
1230324.0,57.0,68.0,88.0,276.0,1230.324
1230334.0,58.0,69.0,89.0,265.0,1230.334
1230344.0,58.0,71.0,119.0,283.0,1230.344
1230354.0,56.0,69.0,111.0,288.0,1230.354
1230364.0,57.0,69.0,112.0,303.0,1230.364
1230374.0,56.0,74.0,105.0,322.0,1230.374
1230384.0,56.0,79.0,111.0,310.0,1230.384
1230394.0,57.0,81.0,113.0,304.0,1230.394
1230404.0,56.0,81.0,104.0,292.0,1230.404
1230414.0,57.0,98.0,102.0,312.0,1230.414
1230424.0,55.0,95.0,100.0,296.0,1230.424
1230434.0,55.0,87.0,91.0,300.0,1230.434
1230444.0,53.0,86.0,93.0,313.0,1230.444
1230454.0,55.0,95.0,108.0,319.0,1230.454
1230464.0,54.0,90.0,108.0,298.0,1230.464
1230474.0,55.0,94.0,100.0,303.0,1230.474
1230484.0,54.0,95.0,92.0,291.0,1230.484
1230494.0,54.0,91.0,86.0,314.0,1230.494
1230504.0,59.0,106.0,125.0,328.0,1230.504
1230514.0,59.0,105.0,117.0,306.0,1230.514
1230524.0,57.0,96.0,107.0,290.0,1230.524
1230534.0,57.0,93.0,101.0,270.0,1230.534
1230544.0,57.0,92.0,99.0,252.0,1230.544
1230554.0,58.0,93.0,90.0,251.0,1230.554
1230564.0,58.0,93.0,123.0,259.0,1230.564
1230574.0,57.0,94.0,114.0,258.0,1230.574
1230584.0,57.0,92.0,105.0,274.0,1230.584
1230594.0,56.0,94.0,99.0,263.0,1230.594
1230604.0,57.0,90.0,89.0,245.0,1230.604
1230614.0,57.0,85.0,86.0,265.0,1230.614
1230624.0,56.0,95.0,98.0,259.0,1230.624
