time (ms),signal 0,signal 1,signal 2,signal3,time (sec)
1306063.0,81.0,52.0,6.0,48.0,1306.063
1306073.0,84.0,54.0,6.0,45.0,1306.073
1306083.0,84.0,52.0,6.0,46.0,1306.083
1306093.0,83.0,51.0,5.0,47.0,1306.093
1306103.0,84.0,52.0,6.0,47.0,1306.103
1306113.0,84.0,54.0,6.0,48.0,1306.113
1306123.0,82.0,53.0,5.0,48.0,1306.123
1306133.0,80.0,52.0,5.0,49.0,1306.133
1306143.0,81.0,51.0,7.0,50.0,1306.143
1306153.0,80.0,50.0,6.0,48.0,1306.153
1306163.0,79.0,52.0,6.0,49.0,1306.163
1306173.0,79.0,52.0,5.0,47.0,1306.173
1306183.0,80.0,52.0,6.0,46.0,1306.183
1306193.0,81.0,52.0,5.0,44.0,1306.193
1306203.0,81.0,52.0,6.0,48.0,1306.203
1306213.0,83.0,51.0,6.0,48.0,1306.213
1306223.0,84.0,51.0,4.0,47.0,1306.223
1306233.0,83.0,50.0,4.0,46.0,1306.233
1306243.0,84.0,49.0,7.0,46.0,1306.243
1306253.0,84.0,50.0,7.0,46.0,1306.253
1306263.0,85.0,50.0,7.0,50.0,1306.263
1306273.0,87.0,53.0,8.0,52.0,1306.273
1306283.0,86.0,53.0,7.0,56.0,1306.283
1306293.0,88.0,54.0,6.0,58.0,1306.293
1306303.0,86.0,53.0,6.0,59.0,1306.303
1306313.0,88.0,52.0,7.0,64.0,1306.313
1306323.0,89.0,53.0,6.0,62.0,1306.323
1306333.0,89.0,53.0,6.0,59.0,1306.333
1306343.0,88.0,52.0,7.0,66.0,1306.343
1306353.0,88.0,53.0,8.0,66.0,1306.353
1306363.0,90.0,56.0,6.0,68.0,1306.363
1306373.0,89.0,55.0,5.0,69.0,1306.373
1306383.0,90.0,56.0,7.0,65.0,1306.383
1306393.0,90.0,57.0,7.0,64.0,1306.393
1306403.0,88.0,56.0,6.0,61.0,1306.403
1306413.0,87.0,58.0,6.0,61.0,1306.413
1306423.0,89.0,58.0,6.0,61.0,1306.423
1306433.0,89.0,57.0,6.0,58.0,1306.433
1306443.0,87.0,58.0,6.0,54.0,1306.443
1306454.0,86.0,56.0,5.0,52.0,1306.454
1306464.0,86.0,59.0,6.0,51.0,1306.464
1306474.0,86.0,57.0,7.0,50.0,1306.474
1306484.0,85.0,57.0,6.0,47.0,1306.484
1306494.0,85.0,55.0,5.0,53.0,1306.494
1306504.0,85.0,54.0,7.0,55.0,1306.504
1306514.0,84.0,52.0,6.0,57.0,1306.514
1306524.0,85.0,52.0,6.0,57.0,1306.524
1306534.0,87.0,52.0,6.0,56.0,1306.534
1306544.0,87.0,51.0,6.0,55.0,1306.544
1306554.0,87.0,50.0,5.0,55.0,1306.554
1306564.0,85.0,48.0,5.0,54.0,1306.564
1306574.0,88.0,49.0,5.0,51.0,1306.574
1306584.0,85.0,47.0,10.0,51.0,1306.584
1306594.0,86.0,48.0,11.0,52.0,1306.594
1306604.0,86.0,49.0,10.0,51.0,1306.604
1306614.0,86.0,48.0,10.0,48.0,1306.614
1306624.0,86.0,48.0,8.0,45.0,1306.624
1306634.0,84.0,48.0,8.0,46.0,1306.634
1306644.0,84.0,47.0,9.0,47.0,1306.644
1306654.0,83.0,46.0,6.0,47.0,1306.654
1306664.0,84.0,47.0,7.0,45.0,1306.664
1306674.0,84.0,49.0,6.0,45.0,1306.674
1306684.0,85.0,48.0,6.0,43.0,1306.684
1306694.0,86.0,47.0,6.0,45.0,1306.694
1306704.0,85.0,47.0,5.0,47.0,1306.704
1306714.0,85.0,44.0,6.0,47.0,1306.714
1306724.0,84.0,46.0,6.0,48.0,1306.724
1306734.0,85.0,47.0,5.0,47.0,1306.734
1306744.0,85.0,49.0,5.0,49.0,1306.744
1306754.0,84.0,48.0,4.0,48.0,1306.754
1306764.0,85.0,49.0,5.0,48.0,1306.764
1306774.0,84.0,49.0,5.0,50.0,1306.774
1306784.0,84.0,49.0,5.0,56.0,1306.784
1306795.0,84.0,51.0,4.0,62.0,1306.795
1306805.0,86.0,53.0,4.0,61.0,1306.805
1306815.0,86.0,53.0,3.0,60.0,1306.815
1306825.0,88.0,54.0,5.0,58.0,1306.825
1306835.0,87.0,54.0,5.0,58.0,1306.835
1306845.0,87.0,55.0,3.0,54.0,1306.845
1306855.0,88.0,53.0,5.0,54.0,1306.855
1306865.0,87.0,53.0,5.0,52.0,1306.865
1306875.0,88.0,55.0,5.0,53.0,1306.875
1306885.0,88.0,55.0,4.0,53.0,1306.885
1306895.0,89.0,55.0,5.0,52.0,1306.895
1306905.0,89.0,55.0,5.0,52.0,1306.905
1306915.0,88.0,56.0,5.0,54.0,1306.915
1306925.0,90.0,56.0,5.0,54.0,1306.925
1306935.0,90.0,56.0,4.0,52.0,1306.935
1306945.0,90.0,57.0,5.0,51.0,1306.945
1306955.0,90.0,57.0,5.0,51.0,1306.955
1306966.0,89.0,56.0,5.0,48.0,1306.966
1306976.0,88.0,58.0,6.0,49.0,1306.976
1306986.0,87.0,57.0,5.0,47.0,1306.986
1306996.0,87.0,58.0,6.0,49.0,1306.996
1307006.0,86.0,57.0,5.0,52.0,1307.006
1307016.0,86.0,57.0,6.0,50.0,1307.016
1307026.0,85.0,58.0,5.0,49.0,1307.026
1307036.0,85.0,57.0,5.0,48.0,1307.036
1307046.0,84.0,55.0,5.0,48.0,1307.046
1307056.0,84.0,55.0,5.0,47.0,1307.056
1307066.0,85.0,53.0,5.0,48.0,1307.066
1307076.0,84.0,52.0,4.0,48.0,1307.076
1307086.0,83.0,52.0,5.0,47.0,1307.086
1307096.0,82.0,51.0,4.0,48.0,1307.096
1307106.0,81.0,51.0,4.0,50.0,1307.106
1307116.0,80.0,50.0,5.0,48.0,1307.116
1307126.0,79.0,48.0,4.0,49.0,1307.126
1307136.0,78.0,46.0,5.0,50.0,1307.136
1307146.0,77.0,46.0,4.0,47.0,1307.146
1307156.0,76.0,44.0,4.0,45.0,1307.156
1307166.0,74.0,42.0,3.0,50.0,1307.166
1307176.0,74.0,41.0,3.0,51.0,1307.176
1307186.0,72.0,39.0,4.0,49.0,1307.186
1307196.0,71.0,39.0,4.0,48.0,1307.196
1307206.0,70.0,38.0,5.0,50.0,1307.206
1307216.0,70.0,37.0,4.0,53.0,1307.216
1307226.0,69.0,37.0,7.0,51.0,1307.226
1307236.0,68.0,37.0,5.0,50.0,1307.236
1307246.0,68.0,36.0,5.0,48.0,1307.246
1307256.0,68.0,34.0,5.0,46.0,1307.256
1307266.0,68.0,36.0,5.0,48.0,1307.266
1307276.0,70.0,33.0,5.0,47.0,1307.276
1307286.0,69.0,33.0,4.0,45.0,1307.286
1307296.0,69.0,34.0,4.0,45.0,1307.296
1307307.0,71.0,35.0,5.0,44.0,1307.307
1307317.0,71.0,35.0,5.0,41.0,1307.317
1307327.0,72.0,34.0,5.0,42.0,1307.327
1307337.0,72.0,34.0,5.0,43.0,1307.337
1307347.0,73.0,34.0,6.0,43.0,1307.347
1307357.0,71.0,35.0,4.0,45.0,1307.357
1307367.0,70.0,34.0,4.0,47.0,1307.367
1307377.0,70.0,34.0,4.0,45.0,1307.377
1307387.0,70.0,34.0,4.0,44.0,1307.387
