time (ms),signal 0,signal 1,signal 2,signal3,time (sec)
1444511.0,87.0,127.0,6.0,88.0,1444.511
1444521.0,90.0,128.0,6.0,83.0,1444.521
1444531.0,92.0,129.0,5.0,111.0,1444.531
1444541.0,92.0,129.0,6.0,120.0,1444.541
1444551.0,92.0,129.0,6.0,116.0,1444.551
1444561.0,94.0,130.0,5.0,110.0,1444.561
1444571.0,94.0,130.0,5.0,107.0,1444.571
1444581.0,93.0,132.0,5.0,106.0,1444.581
1444591.0,93.0,130.0,5.0,104.0,1444.591
1444601.0,92.0,130.0,4.0,104.0,1444.601
1444611.0,90.0,128.0,5.0,106.0,1444.611
1444621.0,91.0,128.0,5.0,109.0,1444.621
1444631.0,92.0,131.0,5.0,126.0,1444.631
1444641.0,93.0,129.0,5.0,129.0,1444.641
1444651.0,92.0,130.0,4.0,127.0,1444.651
1444661.0,93.0,129.0,5.0,118.0,1444.661
1444671.0,93.0,130.0,5.0,113.0,1444.671
1444681.0,93.0,130.0,6.0,113.0,1444.681
1444691.0,93.0,130.0,6.0,123.0,1444.691
1444701.0,94.0,131.0,5.0,125.0,1444.701
1444711.0,95.0,133.0,5.0,126.0,1444.711
1444721.0,95.0,135.0,6.0,119.0,1444.721
1444731.0,94.0,133.0,6.0,116.0,1444.731
1444741.0,96.0,135.0,6.0,117.0,1444.741
1444751.0,95.0,134.0,5.0,115.0,1444.751
1444761.0,96.0,135.0,6.0,113.0,1444.761
1444771.0,94.0,134.0,5.0,121.0,1444.771
1444781.0,96.0,136.0,8.0,115.0,1444.781
1444791.0,94.0,136.0,9.0,112.0,1444.791
1444801.0,94.0,136.0,11.0,109.0,1444.801
1444811.0,93.0,138.0,11.0,108.0,1444.811
1444822.0,92.0,139.0,10.0,105.0,1444.822
1444832.0,91.0,139.0,11.0,107.0,1444.832
1444842.0,88.0,141.0,10.0,109.0,1444.842
1444852.0,88.0,140.0,9.0,108.0,1444.852
1444862.0,87.0,140.0,9.0,110.0,1444.862
1444872.0,87.0,141.0,9.0,107.0,1444.872
1444882.0,87.0,142.0,8.0,103.0,1444.882
1444892.0,88.0,143.0,8.0,103.0,1444.892
1444902.0,88.0,144.0,8.0,107.0,1444.902
1444912.0,89.0,144.0,7.0,105.0,1444.912
1444922.0,90.0,142.0,7.0,104.0,1444.922
1444932.0,92.0,145.0,7.0,99.0,1444.932
1444942.0,94.0,144.0,6.0,98.0,1444.942
1444952.0,94.0,141.0,6.0,105.0,1444.952
1444962.0,96.0,140.0,5.0,110.0,1444.962
1444972.0,97.0,137.0,6.0,109.0,1444.972
1444982.0,98.0,137.0,4.0,107.0,1444.982
1444992.0,99.0,134.0,7.0,99.0,1444.992
1445002.0,100.0,133.0,6.0,105.0,1445.002
1445012.0,102.0,133.0,5.0,104.0,1445.012
1445022.0,102.0,132.0,5.0,107.0,1445.022
1445032.0,101.0,132.0,5.0,109.0,1445.032
1445042.0,103.0,131.0,6.0,102.0,1445.042
1445052.0,100.0,130.0,4.0,95.0,1445.052
1445062.0,99.0,129.0,9.0,111.0,1445.062
1445072.0,100.0,128.0,11.0,125.0,1445.072
1445082.0,99.0,128.0,10.0,119.0,1445.082
1445092.0,99.0,126.0,9.0,119.0,1445.092
1445102.0,98.0,127.0,8.0,110.0,1445.102
1445112.0,98.0,126.0,9.0,113.0,1445.112
1445122.0,97.0,125.0,7.0,114.0,1445.122
1445132.0,95.0,124.0,7.0,107.0,1445.132
1445142.0,94.0,124.0,6.0,98.0,1445.142
1445152.0,93.0,124.0,6.0,91.0,1445.152
1445163.0,93.0,123.0,6.0,105.0,1445.163
1445173.0,91.0,122.0,5.0,107.0,1445.173
1445183.0,91.0,121.0,7.0,102.0,1445.183
1445193.0,91.0,120.0,6.0,100.0,1445.193
1445203.0,91.0,117.0,8.0,102.0,1445.203
1445213.0,91.0,117.0,8.0,100.0,1445.213
1445223.0,91.0,117.0,8.0,99.0,1445.223
1445233.0,91.0,114.0,9.0,97.0,1445.233
1445243.0,90.0,112.0,8.0,101.0,1445.243
1445253.0,90.0,110.0,7.0,100.0,1445.253
