time (ms),signal 0,signal 1,signal 2,signal3,time (sec)
1504596.0,62.0,85.0,23.0,65.0,1504.596
1504606.0,63.0,86.0,21.0,64.0,1504.606
1504616.0,62.0,85.0,22.0,60.0,1504.616
1504626.0,61.0,84.0,21.0,57.0,1504.626
1504636.0,63.0,84.0,29.0,56.0,1504.636
1504646.0,60.0,84.0,32.0,58.0,1504.646
1504656.0,60.0,80.0,36.0,56.0,1504.656
1504666.0,58.0,81.0,42.0,60.0,1504.666
1504676.0,59.0,79.0,42.0,64.0,1504.676
1504686.0,59.0,78.0,38.0,62.0,1504.686
1504696.0,58.0,79.0,35.0,63.0,1504.696
1504706.0,58.0,78.0,40.0,64.0,1504.706
1504716.0,57.0,76.0,36.0,63.0,1504.716
1504726.0,57.0,76.0,37.0,61.0,1504.726
1504736.0,57.0,76.0,32.0,58.0,1504.736
1504746.0,56.0,78.0,34.0,55.0,1504.746
1504756.0,57.0,76.0,37.0,54.0,1504.756
1504766.0,56.0,79.0,41.0,59.0,1504.766
1504776.0,57.0,78.0,41.0,64.0,1504.776
1504786.0,58.0,78.0,37.0,62.0,1504.786
1504796.0,58.0,77.0,37.0,63.0,1504.796
1504806.0,59.0,77.0,33.0,64.0,1504.806
1504816.0,59.0,79.0,35.0,63.0,1504.816
1504826.0,60.0,76.0,33.0,61.0,1504.826
1504836.0,61.0,76.0,33.0,61.0,1504.836
1504846.0,62.0,74.0,30.0,59.0,1504.846
1504856.0,62.0,74.0,29.0,58.0,1504.856
1504866.0,64.0,74.0,30.0,57.0,1504.866
1504876.0,64.0,73.0,33.0,55.0,1504.876
1504886.0,64.0,75.0,30.0,57.0,1504.886
1504896.0,63.0,73.0,27.0,60.0,1504.896
1504906.0,61.0,74.0,25.0,61.0,1504.906
1504916.0,61.0,73.0,23.0,59.0,1504.916
1504926.0,60.0,74.0,32.0,55.0,1504.926
1504936.0,60.0,74.0,34.0,52.0,1504.936
1504946.0,61.0,75.0,37.0,59.0,1504.946
1504956.0,62.0,76.0,42.0,64.0,1504.956
1504966.0,63.0,75.0,37.0,61.0,1504.966
1504976.0,61.0,77.0,33.0,60.0,1504.976
1504986.0,62.0,76.0,29.0,58.0,1504.986
1504996.0,61.0,77.0,35.0,64.0,1504.996
1505006.0,61.0,75.0,33.0,66.0,1505.006
1505016.0,61.0,73.0,30.0,68.0,1505.016
1505026.0,60.0,73.0,31.0,74.0,1505.026
1505036.0,60.0,72.0,35.0,70.0,1505.036
1505046.0,59.0,70.0,32.0,67.0,1505.046
1505056.0,58.0,70.0,32.0,66.0,1505.056
1505067.0,58.0,70.0,49.0,68.0,1505.067
1505077.0,55.0,70.0,43.0,67.0,1505.077
1505087.0,54.0,69.0,37.0,61.0,1505.087
1505097.0,52.0,70.0,34.0,56.0,1505.097
1505107.0,51.0,69.0,31.0,56.0,1505.107
1505117.0,51.0,68.0,38.0,54.0,1505.117
1505127.0,50.0,68.0,35.0,53.0,1505.127
1505137.0,50.0,66.0,34.0,54.0,1505.137
1505147.0,47.0,71.0,32.0,57.0,1505.147
1505157.0,47.0,70.0,31.0,56.0,1505.157
1505167.0,46.0,77.0,30.0,63.0,1505.167
1505177.0,47.0,75.0,28.0,65.0,1505.177
1505187.0,48.0,90.0,32.0,76.0,1505.187
1505197.0,49.0,87.0,28.0,84.0,1505.197
1505207.0,49.0,84.0,28.0,88.0,1505.207
1505217.0,50.0,82.0,30.0,87.0,1505.217
1505227.0,52.0,81.0,28.0,87.0,1505.227
1505238.0,51.0,83.0,24.0,88.0,1505.238
1505248.0,51.0,88.0,27.0,85.0,1505.248
1505258.0,52.0,89.0,32.0,81.0,1505.258
1505268.0,51.0,96.0,35.0,79.0,1505.268
1505278.0,51.0,93.0,32.0,77.0,1505.278
1505288.0,50.0,99.0,34.0,75.0,1505.288
1505298.0,53.0,99.0,32.0,74.0,1505.298
1505308.0,52.0,102.0,38.0,74.0,1505.308
1505318.0,52.0,108.0,41.0,73.0,1505.318
1505328.0,54.0,106.0,52.0,71.0,1505.328
1505338.0,53.0,110.0,50.0,73.0,1505.338
1505348.0,59.0,116.0,65.0,79.0,1505.348
1505358.0,57.0,121.0,58.0,80.0,1505.358
1505368.0,57.0,124.0,70.0,77.0,1505.368
1505378.0,56.0,129.0,63.0,75.0,1505.378
1505388.0,58.0,138.0,81.0,80.0,1505.388
1505398.0,57.0,138.0,80.0,80.0,1505.398
1505408.0,56.0,143.0,77.0,77.0,1505.408
1505418.0,57.0,145.0,73.0,81.0,1505.418
1505428.0,55.0,149.0,72.0,77.0,1505.428
1505438.0,55.0,153.0,65.0,72.0,1505.438
1505448.0,55.0,157.0,62.0,68.0,1505.448
1505458.0,55.0,157.0,58.0,64.0,1505.458
1505468.0,54.0,156.0,63.0,63.0,1505.468
