time (ms),signal 0,signal 1,signal 2,signal3,time (sec)
1640058.0,83.0,60.0,6.0,111.0,1640.058
1640068.0,84.0,60.0,8.0,110.0,1640.068
1640078.0,83.0,59.0,11.0,115.0,1640.078
1640088.0,81.0,59.0,10.0,115.0,1640.088
1640098.0,80.0,59.0,9.0,116.0,1640.098
1640108.0,79.0,58.0,9.0,106.0,1640.108
1640118.0,75.0,57.0,8.0,116.0,1640.118
1640128.0,76.0,57.0,8.0,115.0,1640.128
1640138.0,71.0,55.0,11.0,116.0,1640.138
1640148.0,70.0,55.0,14.0,112.0,1640.148
1640158.0,68.0,55.0,12.0,113.0,1640.158
1640168.0,67.0,56.0,11.0,125.0,1640.168
1640178.0,64.0,54.0,11.0,123.0,1640.178
1640188.0,61.0,54.0,9.0,112.0,1640.188
1640198.0,59.0,52.0,11.0,111.0,1640.198
1640208.0,56.0,49.0,10.0,119.0,1640.208
1640218.0,54.0,49.0,11.0,133.0,1640.218
1640228.0,54.0,47.0,10.0,137.0,1640.228
1640238.0,51.0,47.0,9.0,129.0,1640.238
1640248.0,51.0,45.0,10.0,120.0,1640.248
1640258.0,50.0,44.0,12.0,127.0,1640.258
1640268.0,48.0,44.0,13.0,128.0,1640.268
1640278.0,47.0,43.0,12.0,122.0,1640.278
1640288.0,48.0,42.0,10.0,119.0,1640.288
1640298.0,47.0,41.0,10.0,118.0,1640.298
1640308.0,48.0,41.0,9.0,121.0,1640.308
1640318.0,49.0,39.0,9.0,125.0,1640.318
1640328.0,48.0,38.0,8.0,121.0,1640.328
1640338.0,49.0,38.0,7.0,121.0,1640.338
1640348.0,49.0,37.0,8.0,119.0,1640.348
1640358.0,50.0,39.0,8.0,123.0,1640.358
1640368.0,50.0,38.0,12.0,131.0,1640.368
1640378.0,48.0,38.0,10.0,123.0,1640.378
1640388.0,48.0,39.0,9.0,118.0,1640.388
1640398.0,49.0,39.0,11.0,123.0,1640.398
1640408.0,49.0,40.0,10.0,127.0,1640.408
1640418.0,50.0,40.0,10.0,133.0,1640.418
1640428.0,49.0,40.0,8.0,139.0,1640.428
1640438.0,53.0,42.0,14.0,143.0,1640.438
1640448.0,54.0,42.0,12.0,150.0,1640.448
1640458.0,55.0,42.0,14.0,139.0,1640.458
1640468.0,56.0,42.0,13.0,144.0,1640.468
1640478.0,57.0,42.0,12.0,135.0,1640.478
1640488.0,61.0,43.0,13.0,131.0,1640.488
