time (ms),signal 0,signal 1,signal 2,signal3,time (sec)
1756420.0,667.0,43.0,23.0,105.0,1756.42
1756430.0,670.0,44.0,22.0,102.0,1756.43
1756440.0,668.0,43.0,21.0,105.0,1756.44
1756450.0,668.0,42.0,23.0,104.0,1756.45
1756460.0,668.0,43.0,29.0,98.0,1756.46
1756470.0,669.0,43.0,28.0,101.0,1756.47
1756480.0,668.0,42.0,30.0,98.0,1756.48
1756490.0,667.0,43.0,27.0,93.0,1756.49
1756500.0,668.0,42.0,24.0,97.0,1756.5
1756510.0,668.0,42.0,21.0,97.0,1756.51
1756520.0,668.0,42.0,25.0,108.0,1756.52
1756530.0,668.0,42.0,31.0,107.0,1756.53
1756540.0,668.0,44.0,34.0,102.0,1756.54
1756550.0,668.0,42.0,40.0,99.0,1756.55
1756560.0,668.0,41.0,36.0,101.0,1756.56
1756570.0,667.0,41.0,31.0,96.0,1756.57
1756580.0,668.0,41.0,27.0,90.0,1756.58
1756590.0,668.0,40.0,25.0,95.0,1756.59
1756600.0,669.0,43.0,36.0,105.0,1756.6
1756610.0,668.0,44.0,39.0,111.0,1756.61
1756620.0,668.0,45.0,37.0,118.0,1756.62
1756630.0,668.0,46.0,35.0,116.0,1756.63
1756640.0,667.0,43.0,32.0,118.0,1756.64
1756650.0,666.0,44.0,27.0,117.0,1756.65
1756660.0,667.0,44.0,26.0,119.0,1756.66
1756670.0,666.0,43.0,21.0,112.0,1756.67
1756680.0,666.0,44.0,33.0,105.0,1756.68
1756690.0,668.0,45.0,34.0,109.0,1756.69
1756700.0,667.0,43.0,30.0,117.0,1756.7
1756710.0,668.0,42.0,31.0,114.0,1756.71
1756720.0,667.0,41.0,26.0,117.0,1756.72
1756730.0,665.0,42.0,25.0,115.0,1756.73
1756740.0,656.0,41.0,23.0,118.0,1756.74
1756750.0,649.0,45.0,28.0,138.0,1756.75
1756760.0,642.0,46.0,27.0,143.0,1756.76
1756770.0,633.0,45.0,25.0,136.0,1756.77
1756780.0,625.0,47.0,33.0,126.0,1756.78
1756790.0,619.0,48.0,32.0,122.0,1756.79
1756800.0,612.0,48.0,28.0,122.0,1756.8
1756810.0,604.0,48.0,33.0,112.0,1756.81
1756820.0,597.0,48.0,29.0,109.0,1756.82
1756830.0,589.0,48.0,27.0,107.0,1756.83
1756840.0,584.0,47.0,24.0,116.0,1756.84
1756850.0,579.0,46.0,21.0,122.0,1756.85
1756860.0,571.0,47.0,26.0,123.0,1756.86
1756870.0,565.0,49.0,31.0,118.0,1756.87
1756880.0,561.0,45.0,28.0,111.0,1756.88
1756890.0,556.0,47.0,34.0,110.0,1756.89
1756900.0,550.0,45.0,29.0,107.0,1756.9
1756910.0,547.0,43.0,30.0,109.0,1756.91
1756920.0,540.0,43.0,26.0,105.0,1756.92
1756930.0,535.0,43.0,25.0,98.0,1756.93
1756940.0,529.0,43.0,30.0,94.0,1756.94
1756950.0,524.0,44.0,29.0,96.0,1756.95
1756960.0,518.0,42.0,27.0,94.0,1756.96
1756971.0,512.0,45.0,31.0,90.0,1756.971
1756981.0,506.0,45.0,30.0,97.0,1756.981
1756991.0,500.0,46.0,26.0,93.0,1756.991
