time (ms),signal 0,signal 1,signal 2,signal3,time (sec)
1881550.0,48.0,49.0,31.0,65.0,1881.55
1881560.0,48.0,48.0,31.0,63.0,1881.56
1881570.0,47.0,47.0,27.0,61.0,1881.57
1881580.0,47.0,47.0,24.0,58.0,1881.58
1881590.0,49.0,46.0,24.0,55.0,1881.59
1881600.0,47.0,46.0,26.0,53.0,1881.6
1881610.0,48.0,45.0,28.0,60.0,1881.61
1881620.0,47.0,45.0,25.0,59.0,1881.62
1881630.0,47.0,46.0,25.0,63.0,1881.63
1881640.0,47.0,44.0,25.0,63.0,1881.64
1881650.0,47.0,45.0,29.0,64.0,1881.65
1881660.0,48.0,43.0,27.0,62.0,1881.66
1881670.0,48.0,42.0,22.0,58.0,1881.67
1881680.0,48.0,42.0,19.0,54.0,1881.68
1881690.0,48.0,41.0,18.0,53.0,1881.69
1881700.0,48.0,43.0,16.0,51.0,1881.7
1881710.0,47.0,42.0,14.0,47.0,1881.71
1881720.0,47.0,42.0,13.0,47.0,1881.72
1881730.0,47.0,43.0,18.0,50.0,1881.73
1881740.0,48.0,43.0,17.0,51.0,1881.74
1881750.0,46.0,46.0,18.0,52.0,1881.75
1881760.0,51.0,47.0,22.0,53.0,1881.76
1881771.0,50.0,47.0,24.0,59.0,1881.771
1881781.0,51.0,46.0,23.0,59.0,1881.781
1881791.0,52.0,45.0,20.0,57.0,1881.791
1881801.0,50.0,44.0,17.0,54.0,1881.801
1881811.0,51.0,43.0,17.0,51.0,1881.811
1881821.0,50.0,45.0,30.0,54.0,1881.821
1881831.0,52.0,43.0,28.0,56.0,1881.831
1881841.0,52.0,46.0,42.0,60.0,1881.841
1881851.0,51.0,46.0,37.0,58.0,1881.851
1881861.0,51.0,44.0,34.0,59.0,1881.861
1881871.0,51.0,45.0,29.0,59.0,1881.871
1881881.0,50.0,45.0,34.0,57.0,1881.881
1881891.0,51.0,45.0,33.0,54.0,1881.891
1881901.0,49.0,47.0,30.0,56.0,1881.901
1881911.0,50.0,45.0,26.0,53.0,1881.911
1881921.0,51.0,49.0,33.0,51.0,1881.921
1881931.0,51.0,48.0,40.0,52.0,1881.931
1881942.0,53.0,49.0,41.0,59.0,1881.942
1881952.0,54.0,49.0,44.0,59.0,1881.952
1881962.0,56.0,48.0,40.0,61.0,1881.962
