time (ms),signal 0,signal 1,signal 2,signal3,time (sec)
1952015.0,114.0,68.0,7.0,91.0,1952.015
1952025.0,114.0,66.0,8.0,95.0,1952.025
1952035.0,113.0,67.0,8.0,100.0,1952.035
1952045.0,110.0,65.0,7.0,97.0,1952.045
1952055.0,108.0,65.0,8.0,91.0,1952.055
1952065.0,107.0,64.0,9.0,89.0,1952.065
1952075.0,106.0,64.0,7.0,90.0,1952.075
1952086.0,105.0,64.0,7.0,97.0,1952.086
1952096.0,104.0,65.0,6.0,91.0,1952.096
1952106.0,103.0,64.0,8.0,84.0,1952.106
1952116.0,103.0,61.0,10.0,84.0,1952.116
1952126.0,103.0,60.0,9.0,96.0,1952.126
1952136.0,101.0,59.0,9.0,94.0,1952.136
1952146.0,103.0,57.0,9.0,96.0,1952.146
1952156.0,101.0,58.0,6.0,98.0,1952.156
1952166.0,100.0,57.0,7.0,93.0,1952.166
1952176.0,98.0,59.0,6.0,104.0,1952.176
1952186.0,97.0,58.0,8.0,106.0,1952.186
1952196.0,96.0,54.0,10.0,110.0,1952.196
1952206.0,96.0,53.0,9.0,111.0,1952.206
1952216.0,96.0,52.0,9.0,104.0,1952.216
1952226.0,95.0,51.0,8.0,98.0,1952.226
1952236.0,94.0,51.0,11.0,100.0,1952.236
1952246.0,94.0,49.0,12.0,100.0,1952.246
1952256.0,95.0,50.0,16.0,104.0,1952.256
1952266.0,97.0,48.0,14.0,106.0,1952.266
1952276.0,97.0,48.0,17.0,111.0,1952.276
1952286.0,98.0,47.0,15.0,116.0,1952.286
1952296.0,99.0,47.0,16.0,112.0,1952.296
1952306.0,99.0,47.0,15.0,115.0,1952.306
1952316.0,99.0,47.0,14.0,110.0,1952.316
1952326.0,99.0,45.0,13.0,100.0,1952.326
1952336.0,99.0,45.0,11.0,102.0,1952.336
1952346.0,99.0,44.0,11.0,102.0,1952.346
1952356.0,101.0,44.0,13.0,103.0,1952.356
1952366.0,105.0,44.0,18.0,107.0,1952.366
1952376.0,104.0,43.0,16.0,109.0,1952.376
1952386.0,104.0,42.0,15.0,103.0,1952.386
1952396.0,104.0,41.0,14.0,102.0,1952.396
1952406.0,105.0,41.0,11.0,98.0,1952.406
1952416.0,106.0,40.0,11.0,90.0,1952.416
1952427.0,108.0,40.0,9.0,84.0,1952.427
1952437.0,109.0,39.0,9.0,92.0,1952.437
1952447.0,110.0,38.0,9.0,92.0,1952.447
1952457.0,108.0,39.0,21.0,92.0,1952.457
1952467.0,110.0,40.0,21.0,97.0,1952.467
1952477.0,110.0,40.0,19.0,96.0,1952.477
1952487.0,111.0,39.0,17.0,97.0,1952.487
1952497.0,112.0,39.0,16.0,98.0,1952.497
1952507.0,113.0,39.0,13.0,105.0,1952.507
1952517.0,115.0,40.0,14.0,103.0,1952.517
1952527.0,114.0,40.0,14.0,105.0,1952.527
1952537.0,114.0,41.0,13.0,108.0,1952.537
1952547.0,114.0,41.0,15.0,103.0,1952.547
1952557.0,115.0,44.0,16.0,104.0,1952.557
1952567.0,117.0,44.0,14.0,99.0,1952.567
1952577.0,117.0,45.0,13.0,96.0,1952.577
1952587.0,119.0,46.0,13.0,99.0,1952.587
1952598.0,118.0,45.0,12.0,105.0,1952.598
1952608.0,119.0,45.0,11.0,100.0,1952.608
1952618.0,121.0,44.0,11.0,96.0,1952.618
1952628.0,122.0,45.0,10.0,89.0,1952.628
1952638.0,125.0,46.0,9.0,96.0,1952.638
1952648.0,127.0,46.0,8.0,94.0,1952.648
1952658.0,128.0,47.0,13.0,92.0,1952.658
1952668.0,131.0,49.0,13.0,90.0,1952.668
1952678.0,132.0,49.0,14.0,91.0,1952.678
1952688.0,134.0,49.0,13.0,99.0,1952.688
1952698.0,136.0,50.0,11.0,101.0,1952.698
1952708.0,137.0,51.0,10.0,100.0,1952.708
1952718.0,140.0,52.0,10.0,97.0,1952.718
1952728.0,140.0,52.0,9.0,96.0,1952.728
1952738.0,143.0,51.0,9.0,91.0,1952.738
1952748.0,146.0,54.0,8.0,102.0,1952.748
1952758.0,148.0,54.0,9.0,100.0,1952.758
1952768.0,152.0,55.0,13.0,99.0,1952.768
1952778.0,154.0,57.0,12.0,96.0,1952.778
1952788.0,156.0,58.0,14.0,94.0,1952.788
1952798.0,157.0,60.0,12.0,90.0,1952.798
1952808.0,160.0,62.0,12.0,90.0,1952.808
1952818.0,160.0,64.0,11.0,91.0,1952.818
1952828.0,162.0,65.0,10.0,97.0,1952.828
1952838.0,164.0,67.0,10.0,95.0,1952.838
1952848.0,166.0,69.0,11.0,93.0,1952.848
1952858.0,168.0,71.0,12.0,89.0,1952.858
1952868.0,169.0,72.0,12.0,82.0,1952.868
1952878.0,168.0,74.0,13.0,86.0,1952.878
1952888.0,173.0,76.0,14.0,89.0,1952.888
1952898.0,173.0,77.0,12.0,95.0,1952.898
1952908.0,174.0,79.0,12.0,111.0,1952.908
1952918.0,177.0,81.0,14.0,104.0,1952.918
1952928.0,178.0,83.0,12.0,102.0,1952.928
1952939.0,180.0,84.0,12.0,118.0,1952.939
1952949.0,180.0,85.0,12.0,122.0,1952.949
1952959.0,181.0,87.0,13.0,117.0,1952.959
1952969.0,182.0,89.0,11.0,110.0,1952.969
1952979.0,181.0,91.0,11.0,100.0,1952.979
1952989.0,182.0,92.0,13.0,109.0,1952.989
1952999.0,182.0,94.0,11.0,105.0,1952.999
1953009.0,184.0,93.0,14.0,101.0,1953.009
1953019.0,186.0,94.0,17.0,106.0,1953.019
1953029.0,188.0,96.0,15.0,104.0,1953.029
1953039.0,191.0,97.0,15.0,107.0,1953.039
1953049.0,192.0,96.0,14.0,102.0,1953.049
1953059.0,195.0,98.0,14.0,105.0,1953.059
1953069.0,195.0,98.0,12.0,107.0,1953.069
1953079.0,198.0,101.0,12.0,103.0,1953.079
1953089.0,199.0,101.0,12.0,98.0,1953.089
1953099.0,198.0,100.0,17.0,100.0,1953.099
1953110.0,200.0,99.0,17.0,103.0,1953.11
1953120.0,201.0,101.0,17.0,114.0,1953.12
1953130.0,200.0,99.0,17.0,108.0,1953.13
1953140.0,203.0,101.0,15.0,109.0,1953.14
1953150.0,203.0,103.0,13.0,106.0,1953.15
1953160.0,203.0,103.0,13.0,102.0,1953.16
1953170.0,205.0,104.0,11.0,95.0,1953.17
1953180.0,205.0,104.0,10.0,89.0,1953.18
1953190.0,207.0,105.0,11.0,93.0,1953.19
1953200.0,207.0,105.0,8.0,93.0,1953.2
1953210.0,206.0,104.0,11.0,93.0,1953.21
1953220.0,206.0,105.0,10.0,90.0,1953.22
1953230.0,206.0,106.0,11.0,130.0,1953.23
1953240.0,206.0,106.0,10.0,131.0,1953.24
1953250.0,205.0,107.0,9.0,124.0,1953.25
1953260.0,207.0,107.0,13.0,117.0,1953.26
1953270.0,206.0,107.0,10.0,114.0,1953.27
1953280.0,204.0,107.0,12.0,132.0,1953.28
1953290.0,204.0,105.0,11.0,142.0,1953.29
1953300.0,205.0,108.0,11.0,142.0,1953.3
1953310.0,204.0,106.0,10.0,140.0,1953.31
1953320.0,203.0,106.0,9.0,131.0,1953.32
1953330.0,203.0,107.0,9.0,136.0,1953.33
1953340.0,203.0,107.0,8.0,127.0,1953.34
1953350.0,201.0,108.0,7.0,131.0,1953.35
1953360.0,199.0,108.0,9.0,135.0,1953.36
1953370.0,196.0,108.0,12.0,134.0,1953.37
1953380.0,194.0,107.0,11.0,146.0,1953.38
1953390.0,194.0,107.0,11.0,134.0,1953.39
1953400.0,192.0,107.0,10.0,125.0,1953.4
1953410.0,192.0,107.0,10.0,119.0,1953.41
1953420.0,189.0,106.0,8.0,120.0,1953.42
1953430.0,187.0,105.0,7.0,118.0,1953.43
1953440.0,185.0,102.0,8.0,114.0,1953.44
1953451.0,184.0,101.0,6.0,110.0,1953.451
1953461.0,184.0,98.0,8.0,114.0,1953.461
1953471.0,181.0,97.0,7.0,115.0,1953.471
1953481.0,181.0,95.0,7.0,109.0,1953.481
1953491.0,179.0,94.0,6.0,105.0,1953.491
1953501.0,177.0,93.0,6.0,104.0,1953.501
1953511.0,175.0,89.0,6.0,105.0,1953.511
1953521.0,173.0,89.0,12.0,111.0,1953.521
1953531.0,171.0,86.0,12.0,110.0,1953.531
1953541.0,173.0,86.0,12.0,106.0,1953.541
1953551.0,172.0,85.0,12.0,106.0,1953.551
1953561.0,172.0,82.0,11.0,105.0,1953.561
1953571.0,170.0,82.0,10.0,107.0,1953.571
1953581.0,170.0,81.0,9.0,111.0,1953.581
1953591.0,170.0,80.0,10.0,115.0,1953.591
1953601.0,170.0,80.0,12.0,112.0,1953.601
1953611.0,170.0,81.0,11.0,117.0,1953.611
1953622.0,168.0,81.0,13.0,116.0,1953.622
1953632.0,165.0,81.0,13.0,114.0,1953.632
1953642.0,164.0,83.0,10.0,123.0,1953.642
1953652.0,162.0,84.0,10.0,119.0,1953.652
1953662.0,161.0,84.0,9.0,118.0,1953.662
1953672.0,160.0,85.0,11.0,118.0,1953.672
1953682.0,159.0,85.0,12.0,120.0,1953.682
1953692.0,157.0,85.0,10.0,121.0,1953.692
1953702.0,156.0,84.0,11.0,114.0,1953.702
1953712.0,155.0,84.0,9.0,109.0,1953.712
1953722.0,154.0,86.0,8.0,109.0,1953.722
1953732.0,153.0,84.0,8.0,112.0,1953.732
1953742.0,153.0,85.0,7.0,112.0,1953.742
1953752.0,153.0,83.0,7.0,104.0,1953.752
1953762.0,153.0,82.0,7.0,98.0,1953.762
1953772.0,152.0,81.0,7.0,96.0,1953.772
1953782.0,150.0,80.0,9.0,97.0,1953.782
1953792.0,149.0,80.0,10.0,95.0,1953.792
1953802.0,147.0,79.0,9.0,94.0,1953.802
1953812.0,146.0,77.0,8.0,91.0,1953.812
1953822.0,144.0,77.0,7.0,94.0,1953.822
1953832.0,142.0,76.0,6.0,90.0,1953.832
1953842.0,139.0,75.0,5.0,89.0,1953.842
1953852.0,139.0,75.0,7.0,91.0,1953.852
1953862.0,138.0,74.0,16.0,92.0,1953.862
1953872.0,138.0,76.0,16.0,94.0,1953.872
1953882.0,137.0,75.0,15.0,95.0,1953.882
1953892.0,134.0,75.0,13.0,98.0,1953.892
1953902.0,133.0,75.0,12.0,96.0,1953.902
1953912.0,131.0,74.0,11.0,103.0,1953.912
1953922.0,129.0,73.0,10.0,110.0,1953.922
1953932.0,128.0,71.0,10.0,111.0,1953.932
