time (ms),signal 0,signal 1,signal 2,signal3,time (sec)
2060803.0,61.0,49.0,19.0,102.0,2060.803
2060813.0,60.0,50.0,23.0,118.0,2060.813
2060823.0,61.0,50.0,25.0,118.0,2060.823
2060833.0,61.0,50.0,26.0,117.0,2060.833
2060843.0,61.0,47.0,24.0,113.0,2060.843
2060853.0,60.0,47.0,22.0,116.0,2060.853
2060863.0,60.0,45.0,25.0,108.0,2060.863
2060873.0,61.0,47.0,35.0,115.0,2060.873
2060883.0,59.0,46.0,32.0,116.0,2060.883
2060893.0,60.0,46.0,31.0,129.0,2060.893
2060903.0,59.0,46.0,28.0,123.0,2060.903
2060913.0,59.0,46.0,27.0,116.0,2060.913
2060923.0,58.0,46.0,27.0,119.0,2060.923
2060933.0,58.0,48.0,34.0,121.0,2060.933
2060943.0,59.0,49.0,33.0,117.0,2060.943
2060953.0,58.0,49.0,31.0,126.0,2060.953
2060963.0,58.0,50.0,30.0,124.0,2060.963
2060973.0,57.0,50.0,32.0,118.0,2060.973
2060983.0,56.0,50.0,31.0,126.0,2060.983
2060993.0,56.0,51.0,34.0,124.0,2060.993
2061003.0,55.0,52.0,43.0,125.0,2061.003
2061014.0,56.0,52.0,39.0,132.0,2061.014
2061024.0,56.0,52.0,34.0,124.0,2061.024
2061034.0,56.0,51.0,30.0,122.0,2061.034
2061044.0,55.0,50.0,28.0,134.0,2061.044
2061054.0,55.0,50.0,30.0,144.0,2061.054
2061064.0,55.0,48.0,29.0,134.0,2061.064
2061074.0,55.0,52.0,46.0,128.0,2061.074
2061084.0,55.0,53.0,42.0,128.0,2061.084
2061094.0,56.0,56.0,37.0,119.0,2061.094
2061104.0,54.0,55.0,35.0,129.0,2061.104
2061114.0,54.0,54.0,31.0,126.0,2061.114
2061124.0,53.0,54.0,32.0,123.0,2061.124
2061134.0,56.0,55.0,33.0,121.0,2061.134
2061144.0,56.0,55.0,30.0,113.0,2061.144
2061154.0,54.0,55.0,39.0,109.0,2061.154
2061164.0,56.0,57.0,35.0,111.0,2061.164
2061174.0,56.0,59.0,31.0,111.0,2061.174
2061184.0,57.0,58.0,30.0,110.0,2061.184
2061194.0,57.0,60.0,28.0,113.0,2061.194
2061204.0,57.0,61.0,27.0,112.0,2061.204
2061214.0,57.0,59.0,29.0,111.0,2061.214
2061224.0,58.0,61.0,44.0,114.0,2061.224
2061234.0,58.0,62.0,39.0,125.0,2061.234
2061244.0,60.0,64.0,35.0,122.0,2061.244
2061254.0,59.0,62.0,34.0,114.0,2061.254
2061264.0,61.0,63.0,30.0,116.0,2061.264
