time (ms),signal 0,signal 1,signal 2,signal3,time (sec)
2098370.0,57.0,42.0,18.0,155.0,2098.37
2098380.0,57.0,41.0,17.0,151.0,2098.38
2098390.0,58.0,41.0,16.0,151.0,2098.39
2098400.0,58.0,41.0,14.0,149.0,2098.4
2098410.0,58.0,41.0,13.0,135.0,2098.41
2098420.0,57.0,40.0,12.0,127.0,2098.42
2098430.0,57.0,42.0,21.0,124.0,2098.43
2098440.0,57.0,42.0,27.0,114.0,2098.44
2098450.0,57.0,42.0,24.0,106.0,2098.45
2098460.0,57.0,42.0,25.0,112.0,2098.46
2098470.0,57.0,42.0,21.0,104.0,2098.47
2098480.0,58.0,41.0,18.0,98.0,2098.48
2098490.0,57.0,40.0,19.0,95.0,2098.49
2098500.0,55.0,40.0,17.0,95.0,2098.5
2098510.0,55.0,38.0,15.0,92.0,2098.51
2098520.0,55.0,38.0,15.0,97.0,2098.52
2098530.0,56.0,43.0,31.0,94.0,2098.53
2098540.0,56.0,42.0,31.0,89.0,2098.54
2098550.0,58.0,43.0,29.0,83.0,2098.55
2098560.0,58.0,41.0,26.0,81.0,2098.56
2098570.0,57.0,43.0,26.0,84.0,2098.57
2098580.0,58.0,42.0,23.0,90.0,2098.58
2098590.0,57.0,42.0,21.0,95.0,2098.59
2098600.0,59.0,41.0,18.0,91.0,2098.6
2098610.0,58.0,41.0,18.0,93.0,2098.61
2098620.0,58.0,43.0,20.0,93.0,2098.62
2098630.0,59.0,42.0,26.0,91.0,2098.63
2098640.0,60.0,42.0,23.0,89.0,2098.64
2098650.0,61.0,42.0,21.0,108.0,2098.65
2098660.0,60.0,42.0,24.0,107.0,2098.66
2098670.0,61.0,42.0,21.0,105.0,2098.67
2098680.0,62.0,42.0,21.0,106.0,2098.68
2098690.0,63.0,42.0,23.0,109.0,2098.69
2098700.0,62.0,41.0,21.0,105.0,2098.7
2098710.0,62.0,45.0,29.0,103.0,2098.71
2098720.0,61.0,46.0,30.0,98.0,2098.72
2098731.0,62.0,44.0,26.0,101.0,2098.731
2098741.0,60.0,42.0,23.0,101.0,2098.741
2098751.0,60.0,42.0,23.0,98.0,2098.751
2098761.0,60.0,41.0,21.0,95.0,2098.761
2098771.0,58.0,42.0,23.0,102.0,2098.771
2098781.0,58.0,40.0,21.0,95.0,2098.781
2098791.0,56.0,41.0,21.0,90.0,2098.791
