time (ms),signal 0,signal 1,signal 2,signal3,time (sec)
2158196.0,63.0,42.0,16.0,66.0,2158.196
2158206.0,63.0,42.0,17.0,67.0,2158.206
2158216.0,64.0,43.0,27.0,70.0,2158.216
2158226.0,64.0,42.0,27.0,71.0,2158.226
2158236.0,65.0,43.0,23.0,68.0,2158.236
2158246.0,65.0,43.0,21.0,67.0,2158.246
2158256.0,65.0,42.0,19.0,65.0,2158.256
2158266.0,64.0,41.0,17.0,64.0,2158.266
2158276.0,65.0,42.0,16.0,62.0,2158.276
2158286.0,67.0,42.0,14.0,62.0,2158.286
2158296.0,67.0,40.0,14.0,60.0,2158.296
2158306.0,70.0,42.0,13.0,61.0,2158.306
2158316.0,69.0,42.0,12.0,64.0,2158.316
2158326.0,70.0,44.0,22.0,65.0,2158.326
2158336.0,71.0,44.0,21.0,65.0,2158.336
2158346.0,72.0,44.0,20.0,64.0,2158.346
2158356.0,72.0,43.0,18.0,62.0,2158.356
2158366.0,71.0,44.0,17.0,61.0,2158.366
2158376.0,72.0,43.0,16.0,61.0,2158.376
2158386.0,72.0,46.0,16.0,66.0,2158.386
2158396.0,71.0,43.0,15.0,66.0,2158.396
2158406.0,71.0,45.0,21.0,66.0,2158.406
2158416.0,72.0,47.0,21.0,65.0,2158.416
2158426.0,73.0,45.0,19.0,64.0,2158.426
2158436.0,73.0,47.0,17.0,61.0,2158.436
2158446.0,73.0,46.0,17.0,61.0,2158.446
2158456.0,74.0,48.0,16.0,57.0,2158.456
2158466.0,75.0,49.0,16.0,61.0,2158.466
2158476.0,76.0,48.0,14.0,61.0,2158.476
2158486.0,77.0,50.0,13.0,58.0,2158.486
2158496.0,77.0,49.0,19.0,65.0,2158.496
2158507.0,77.0,51.0,17.0,73.0,2158.507
2158517.0,78.0,50.0,27.0,71.0,2158.517
2158527.0,79.0,52.0,29.0,71.0,2158.527
2158537.0,79.0,53.0,26.0,70.0,2158.537
2158547.0,79.0,53.0,23.0,73.0,2158.547
2158557.0,78.0,57.0,21.0,73.0,2158.557
2158567.0,74.0,61.0,28.0,69.0,2158.567
2158577.0,76.0,65.0,24.0,71.0,2158.577
2158587.0,77.0,68.0,29.0,69.0,2158.587
2158597.0,79.0,70.0,28.0,74.0,2158.597
2158607.0,78.0,70.0,26.0,77.0,2158.607
2158617.0,80.0,67.0,24.0,73.0,2158.617
2158627.0,79.0,67.0,21.0,69.0,2158.627
2158637.0,80.0,68.0,19.0,72.0,2158.637
2158647.0,80.0,68.0,18.0,70.0,2158.647
2158657.0,79.0,67.0,17.0,72.0,2158.657
2158667.0,79.0,66.0,17.0,76.0,2158.667
2158678.0,77.0,65.0,18.0,75.0,2158.678
2158688.0,78.0,66.0,25.0,70.0,2158.688
2158698.0,77.0,66.0,22.0,73.0,2158.698
2158708.0,78.0,67.0,19.0,73.0,2158.708
2158718.0,78.0,68.0,20.0,78.0,2158.718
2158728.0,77.0,67.0,17.0,78.0,2158.728
2158738.0,78.0,68.0,17.0,77.0,2158.738
2158748.0,75.0,66.0,17.0,76.0,2158.748
2158758.0,74.0,65.0,16.0,72.0,2158.758
2158768.0,74.0,67.0,16.0,76.0,2158.768
2158778.0,74.0,69.0,14.0,77.0,2158.778
2158788.0,75.0,69.0,14.0,73.0,2158.788
2158798.0,74.0,70.0,24.0,72.0,2158.798
2158808.0,73.0,69.0,21.0,70.0,2158.808
2158818.0,72.0,69.0,21.0,71.0,2158.818
2158828.0,69.0,67.0,21.0,76.0,2158.828
2158838.0,70.0,69.0,21.0,77.0,2158.838
2158848.0,70.0,69.0,23.0,84.0,2158.848
2158858.0,70.0,69.0,20.0,80.0,2158.858
2158868.0,70.0,69.0,32.0,82.0,2158.868
2158878.0,69.0,68.0,29.0,85.0,2158.878
2158888.0,70.0,70.0,26.0,81.0,2158.888
2158898.0,68.0,68.0,34.0,82.0,2158.898
2158908.0,66.0,65.0,41.0,81.0,2158.908
2158918.0,67.0,67.0,48.0,87.0,2158.918
2158928.0,67.0,71.0,49.0,100.0,2158.928
2158938.0,66.0,70.0,47.0,104.0,2158.938
2158948.0,65.0,72.0,40.0,103.0,2158.948
2158958.0,67.0,71.0,36.0,103.0,2158.958
2158968.0,65.0,71.0,35.0,94.0,2158.968
2158978.0,65.0,70.0,33.0,95.0,2158.978
2158988.0,66.0,69.0,30.0,92.0,2158.988
2158998.0,65.0,70.0,42.0,88.0,2158.998
2159008.0,64.0,66.0,39.0,85.0,2159.008
2159019.0,63.0,67.0,36.0,89.0,2159.019
2159029.0,64.0,66.0,43.0,82.0,2159.029
2159039.0,66.0,67.0,41.0,83.0,2159.039
2159049.0,65.0,68.0,41.0,91.0,2159.049
2159059.0,66.0,68.0,36.0,89.0,2159.059
2159069.0,66.0,67.0,41.0,83.0,2159.069
2159079.0,64.0,68.0,39.0,80.0,2159.079
2159089.0,64.0,66.0,40.0,82.0,2159.089
2159099.0,64.0,68.0,37.0,78.0,2159.099
2159109.0,65.0,70.0,37.0,75.0,2159.109
2159119.0,66.0,73.0,34.0,71.0,2159.119
2159129.0,65.0,71.0,39.0,74.0,2159.129
2159139.0,63.0,70.0,48.0,76.0,2159.139
2159149.0,63.0,71.0,51.0,73.0,2159.149
2159159.0,64.0,73.0,52.0,75.0,2159.159
2159169.0,65.0,76.0,50.0,78.0,2159.169
2159179.0,66.0,74.0,58.0,72.0,2159.179
2159190.0,66.0,75.0,64.0,68.0,2159.19
2159200.0,66.0,74.0,61.0,69.0,2159.2
2159210.0,67.0,75.0,53.0,70.0,2159.21
2159220.0,64.0,73.0,47.0,78.0,2159.22
2159230.0,64.0,71.0,49.0,74.0,2159.23
2159240.0,65.0,72.0,49.0,80.0,2159.24
2159250.0,66.0,72.0,45.0,79.0,2159.25
2159260.0,66.0,71.0,42.0,78.0,2159.26
2159270.0,66.0,71.0,36.0,76.0,2159.27
2159280.0,66.0,71.0,34.0,75.0,2159.28
2159290.0,64.0,71.0,34.0,81.0,2159.29
2159300.0,64.0,71.0,32.0,78.0,2159.3
2159310.0,65.0,70.0,47.0,80.0,2159.31
2159320.0,63.0,69.0,45.0,88.0,2159.32
2159330.0,65.0,69.0,41.0,91.0,2159.33
2159340.0,65.0,71.0,38.0,90.0,2159.34
2159350.0,65.0,71.0,35.0,88.0,2159.35
2159360.0,63.0,68.0,35.0,87.0,2159.36
2159370.0,64.0,69.0,42.0,85.0,2159.37
