time (ms),signal 0,signal 1,signal 2,signal3,time (sec)
2208286.0,57.0,147.0,95.0,160.0,2208.286
2208296.0,56.0,152.0,93.0,158.0,2208.296
2208306.0,55.0,153.0,93.0,155.0,2208.306
2208316.0,53.0,154.0,88.0,153.0,2208.316
2208326.0,54.0,155.0,86.0,153.0,2208.326
2208336.0,52.0,155.0,87.0,157.0,2208.336
2208346.0,53.0,154.0,82.0,164.0,2208.346
2208356.0,52.0,156.0,74.0,156.0,2208.356
2208366.0,59.0,157.0,75.0,159.0,2208.366
2208376.0,57.0,159.0,74.0,158.0,2208.376
2208386.0,56.0,159.0,72.0,155.0,2208.386
2208396.0,54.0,160.0,68.0,160.0,2208.396
2208406.0,54.0,157.0,66.0,164.0,2208.406
2208416.0,54.0,161.0,66.0,158.0,2208.416
2208427.0,51.0,159.0,62.0,159.0,2208.427
2208437.0,50.0,158.0,59.0,159.0,2208.437
2208447.0,50.0,158.0,61.0,162.0,2208.447
2208457.0,52.0,153.0,70.0,163.0,2208.457
2208467.0,49.0,158.0,64.0,159.0,2208.467
2208477.0,51.0,158.0,62.0,162.0,2208.477
2208487.0,49.0,158.0,58.0,164.0,2208.487
2208497.0,50.0,157.0,59.0,166.0,2208.497
2208507.0,49.0,156.0,55.0,166.0,2208.507
2208517.0,47.0,156.0,51.0,171.0,2208.517
2208527.0,58.0,152.0,65.0,167.0,2208.527
2208537.0,56.0,154.0,66.0,175.0,2208.537
2208547.0,55.0,155.0,63.0,168.0,2208.547
2208557.0,54.0,155.0,58.0,179.0,2208.557
2208567.0,54.0,157.0,59.0,176.0,2208.567
2208577.0,52.0,154.0,53.0,178.0,2208.577
2208587.0,51.0,155.0,54.0,177.0,2208.587
2208598.0,50.0,155.0,55.0,178.0,2208.598
2208608.0,51.0,153.0,55.0,179.0,2208.608
2208618.0,49.0,155.0,50.0,178.0,2208.618
2208628.0,48.0,154.0,44.0,185.0,2208.628
2208638.0,48.0,154.0,46.0,182.0,2208.638
2208648.0,47.0,157.0,43.0,179.0,2208.648
2208658.0,47.0,159.0,46.0,177.0,2208.658
2208668.0,46.0,160.0,43.0,173.0,2208.668
2208678.0,49.0,158.0,38.0,176.0,2208.678
2208688.0,48.0,160.0,40.0,178.0,2208.688
2208698.0,49.0,161.0,36.0,175.0,2208.698
2208708.0,50.0,160.0,37.0,180.0,2208.708
2208718.0,51.0,162.0,39.0,180.0,2208.718
2208728.0,51.0,162.0,37.0,177.0,2208.728
2208738.0,51.0,162.0,43.0,177.0,2208.738
2208748.0,51.0,163.0,39.0,173.0,2208.748
2208758.0,51.0,165.0,34.0,180.0,2208.758
2208768.0,51.0,165.0,39.0,175.0,2208.768
2208778.0,52.0,165.0,34.0,178.0,2208.778
2208788.0,53.0,164.0,35.0,186.0,2208.788
2208798.0,53.0,163.0,42.0,181.0,2208.798
2208808.0,52.0,165.0,37.0,181.0,2208.808
2208818.0,51.0,166.0,40.0,174.0,2208.818
2208828.0,50.0,165.0,36.0,177.0,2208.828
2208838.0,50.0,166.0,38.0,175.0,2208.838
2208848.0,49.0,165.0,41.0,183.0,2208.848
2208858.0,49.0,167.0,49.0,181.0,2208.858
2208868.0,49.0,162.0,53.0,184.0,2208.868
2208878.0,50.0,162.0,59.0,182.0,2208.878
2208888.0,51.0,160.0,65.0,182.0,2208.888
2208898.0,50.0,159.0,64.0,185.0,2208.898
2208908.0,50.0,157.0,59.0,186.0,2208.908
2208918.0,48.0,156.0,55.0,181.0,2208.918
2208928.0,49.0,157.0,59.0,174.0,2208.928
2208939.0,48.0,156.0,51.0,176.0,2208.939
2208949.0,47.0,155.0,45.0,184.0,2208.949
2208959.0,46.0,156.0,43.0,178.0,2208.959
2208969.0,47.0,155.0,41.0,182.0,2208.969
2208979.0,46.0,155.0,40.0,179.0,2208.979
2208989.0,46.0,156.0,44.0,177.0,2208.989
2208999.0,46.0,155.0,46.0,174.0,2208.999
2209009.0,47.0,156.0,45.0,172.0,2209.009
2209019.0,48.0,156.0,48.0,174.0,2209.019
2209029.0,49.0,158.0,57.0,171.0,2209.029
2209039.0,47.0,159.0,50.0,166.0,2209.039
2209049.0,46.0,161.0,44.0,169.0,2209.049
2209059.0,45.0,161.0,41.0,169.0,2209.059
2209069.0,46.0,163.0,44.0,177.0,2209.069
2209079.0,48.0,163.0,48.0,174.0,2209.079
2209089.0,48.0,162.0,45.0,174.0,2209.089
2209099.0,49.0,164.0,47.0,175.0,2209.099
2209110.0,49.0,166.0,47.0,180.0,2209.11
2209120.0,49.0,165.0,46.0,174.0,2209.12
2209130.0,48.0,165.0,46.0,167.0,2209.13
2209140.0,48.0,164.0,43.0,170.0,2209.14
2209150.0,49.0,166.0,51.0,167.0,2209.15
2209160.0,48.0,167.0,46.0,166.0,2209.16
2209170.0,48.0,167.0,41.0,165.0,2209.17
2209180.0,49.0,165.0,47.0,171.0,2209.18
2209190.0,49.0,165.0,42.0,169.0,2209.19
2209200.0,47.0,166.0,46.0,171.0,2209.2
2209210.0,47.0,166.0,51.0,172.0,2209.21
2209220.0,47.0,167.0,50.0,170.0,2209.22
2209230.0,47.0,168.0,46.0,164.0,2209.23
2209240.0,46.0,168.0,43.0,169.0,2209.24
2209250.0,46.0,167.0,42.0,172.0,2209.25
2209260.0,47.0,166.0,49.0,168.0,2209.26
2209270.0,48.0,169.0,43.0,168.0,2209.27
2209280.0,46.0,168.0,39.0,175.0,2209.28
2209290.0,47.0,168.0,42.0,179.0,2209.29
2209300.0,47.0,168.0,43.0,173.0,2209.3
2209310.0,49.0,166.0,44.0,178.0,2209.31
2209320.0,48.0,166.0,38.0,174.0,2209.32
2209330.0,49.0,166.0,38.0,171.0,2209.33
2209340.0,48.0,166.0,33.0,169.0,2209.34
2209350.0,48.0,166.0,30.0,169.0,2209.35
2209360.0,48.0,163.0,32.0,175.0,2209.36
2209370.0,48.0,165.0,33.0,178.0,2209.37
2209380.0,48.0,163.0,33.0,170.0,2209.38
2209390.0,49.0,164.0,29.0,171.0,2209.39
2209400.0,51.0,167.0,30.0,165.0,2209.4
2209410.0,50.0,167.0,30.0,167.0,2209.41
2209420.0,49.0,166.0,32.0,164.0,2209.42
2209430.0,50.0,165.0,31.0,161.0,2209.43
2209440.0,50.0,166.0,30.0,159.0,2209.44
2209451.0,52.0,166.0,27.0,157.0,2209.451
2209461.0,52.0,166.0,26.0,159.0,2209.461
2209471.0,52.0,165.0,35.0,161.0,2209.471
2209481.0,52.0,165.0,32.0,157.0,2209.481
2209491.0,50.0,164.0,32.0,160.0,2209.491
2209501.0,52.0,164.0,35.0,161.0,2209.501
2209511.0,50.0,165.0,32.0,159.0,2209.511
2209521.0,51.0,164.0,30.0,158.0,2209.521
2209531.0,51.0,163.0,41.0,158.0,2209.531
2209541.0,51.0,164.0,49.0,155.0,2209.541
2209551.0,52.0,164.0,43.0,155.0,2209.551
2209561.0,51.0,165.0,43.0,154.0,2209.561
2209571.0,52.0,167.0,39.0,156.0,2209.571
2209581.0,52.0,167.0,40.0,155.0,2209.581
2209591.0,52.0,168.0,34.0,151.0,2209.591
2209601.0,52.0,165.0,35.0,151.0,2209.601
2209611.0,53.0,167.0,33.0,143.0,2209.611
2209622.0,54.0,167.0,30.0,142.0,2209.622
2209632.0,54.0,167.0,26.0,142.0,2209.632
2209642.0,52.0,167.0,23.0,143.0,2209.642
2209652.0,52.0,165.0,21.0,148.0,2209.652
2209662.0,53.0,168.0,19.0,149.0,2209.662
2209672.0,52.0,165.0,17.0,157.0,2209.672
2209682.0,50.0,157.0,16.0,154.0,2209.682
2209692.0,54.0,150.0,15.0,156.0,2209.692
2209702.0,55.0,152.0,15.0,167.0,2209.702
2209712.0,63.0,146.0,20.0,189.0,2209.712
2209722.0,85.0,143.0,32.0,215.0,2209.722
2209732.0,99.0,157.0,39.0,212.0,2209.732
2209742.0,116.0,156.0,48.0,246.0,2209.742
2209752.0,139.0,158.0,64.0,245.0,2209.752
2209762.0,156.0,162.0,68.0,237.0,2209.762
2209772.0,168.0,171.0,69.0,249.0,2209.772
2209782.0,168.0,171.0,73.0,275.0,2209.782
2209792.0,181.0,173.0,78.0,306.0,2209.792
2209802.0,171.0,162.0,75.0,275.0,2209.802
2209812.0,155.0,156.0,77.0,257.0,2209.812
2209822.0,145.0,158.0,85.0,247.0,2209.822
2209832.0,137.0,154.0,79.0,230.0,2209.832
2209842.0,132.0,147.0,88.0,218.0,2209.842
2209852.0,123.0,145.0,94.0,204.0,2209.852
2209862.0,118.0,147.0,97.0,195.0,2209.862
2209872.0,112.0,145.0,103.0,239.0,2209.872
2209882.0,111.0,177.0,95.0,240.0,2209.882
2209892.0,105.0,181.0,104.0,263.0,2209.892
2209902.0,98.0,173.0,108.0,302.0,2209.902
2209912.0,93.0,184.0,111.0,273.0,2209.912
2209922.0,87.0,200.0,124.0,287.0,2209.922
2209932.0,86.0,205.0,140.0,268.0,2209.932
2209942.0,83.0,240.0,157.0,245.0,2209.942
2209952.0,86.0,234.0,168.0,240.0,2209.952
2209963.0,83.0,231.0,157.0,318.0,2209.963
2209973.0,81.0,233.0,165.0,302.0,2209.973
2209983.0,79.0,234.0,155.0,334.0,2209.983
2209993.0,77.0,236.0,164.0,339.0,2209.993
2210003.0,76.0,249.0,154.0,305.0,2210.003
2210013.0,81.0,255.0,150.0,353.0,2210.013
