time (ms),signal 0,signal 1,signal 2,signal3,time (sec)
2270986.0,128.0,167.0,64.0,92.0,2270.986
2270996.0,127.0,165.0,68.0,90.0,2270.996
2271006.0,127.0,162.0,60.0,93.0,2271.006
2271016.0,128.0,161.0,58.0,93.0,2271.016
2271026.0,128.0,158.0,59.0,91.0,2271.026
2271036.0,127.0,154.0,60.0,92.0,2271.036
2271046.0,127.0,153.0,56.0,92.0,2271.046
2271056.0,125.0,149.0,64.0,88.0,2271.056
2271066.0,127.0,149.0,56.0,86.0,2271.066
2271076.0,127.0,145.0,57.0,85.0,2271.076
2271086.0,124.0,142.0,61.0,88.0,2271.086
2271096.0,126.0,142.0,74.0,94.0,2271.096
2271106.0,127.0,141.0,68.0,94.0,2271.106
2271116.0,128.0,142.0,66.0,93.0,2271.116
2271126.0,128.0,140.0,59.0,96.0,2271.126
2271136.0,128.0,141.0,56.0,93.0,2271.136
2271147.0,127.0,139.0,57.0,94.0,2271.147
2271157.0,127.0,138.0,64.0,97.0,2271.157
2271167.0,128.0,139.0,60.0,96.0,2271.167
2271177.0,127.0,136.0,63.0,95.0,2271.177
2271187.0,127.0,135.0,65.0,90.0,2271.187
2271197.0,130.0,135.0,59.0,92.0,2271.197
2271207.0,130.0,134.0,56.0,90.0,2271.207
2271217.0,132.0,133.0,64.0,94.0,2271.217
2271227.0,133.0,133.0,62.0,87.0,2271.227
2271237.0,131.0,131.0,65.0,86.0,2271.237
2271247.0,133.0,132.0,58.0,89.0,2271.247
2271257.0,134.0,131.0,56.0,86.0,2271.257
2271267.0,133.0,128.0,56.0,81.0,2271.267
2271277.0,134.0,130.0,65.0,80.0,2271.277
2271287.0,135.0,131.0,66.0,78.0,2271.287
2271297.0,136.0,130.0,62.0,75.0,2271.297
2271307.0,134.0,130.0,53.0,73.0,2271.307
2271318.0,134.0,129.0,53.0,69.0,2271.318
2271328.0,134.0,129.0,51.0,66.0,2271.328
2271338.0,133.0,127.0,57.0,65.0,2271.338
2271348.0,136.0,129.0,62.0,67.0,2271.348
2271358.0,135.0,130.0,63.0,64.0,2271.358
2271368.0,137.0,131.0,61.0,64.0,2271.368
2271378.0,137.0,131.0,53.0,64.0,2271.378
2271388.0,135.0,130.0,48.0,62.0,2271.388
2271398.0,138.0,131.0,42.0,60.0,2271.398
2271408.0,138.0,131.0,38.0,58.0,2271.408
2271418.0,139.0,132.0,34.0,57.0,2271.418
2271428.0,140.0,133.0,51.0,57.0,2271.428
2271438.0,141.0,131.0,49.0,55.0,2271.438
2271448.0,143.0,133.0,42.0,55.0,2271.448
2271458.0,143.0,132.0,38.0,51.0,2271.458
2271468.0,144.0,132.0,34.0,49.0,2271.468
2271478.0,144.0,132.0,32.0,48.0,2271.478
2271488.0,145.0,129.0,34.0,47.0,2271.488
2271498.0,145.0,130.0,35.0,53.0,2271.498
2271508.0,146.0,132.0,43.0,54.0,2271.508
2271518.0,147.0,134.0,38.0,54.0,2271.518
2271528.0,145.0,134.0,35.0,54.0,2271.528
2271538.0,147.0,135.0,33.0,58.0,2271.538
2271548.0,147.0,137.0,30.0,61.0,2271.548
2271558.0,147.0,136.0,28.0,60.0,2271.558
