time (ms),signal 0,signal 1,signal 2,signal3,time (sec)
2334853.0,231.0,232.0,278.0,115.0,2334.853
2334863.0,232.0,231.0,276.0,123.0,2334.863
2334873.0,229.0,228.0,285.0,119.0,2334.873
2334883.0,228.0,227.0,285.0,126.0,2334.883
2334893.0,225.0,224.0,270.0,117.0,2334.893
2334903.0,224.0,225.0,274.0,116.0,2334.903
2334913.0,224.0,225.0,277.0,125.0,2334.913
2334923.0,220.0,225.0,280.0,122.0,2334.923
2334934.0,218.0,222.0,276.0,115.0,2334.934
2334944.0,216.0,221.0,271.0,108.0,2334.944
2334954.0,212.0,220.0,273.0,104.0,2334.954
2334964.0,211.0,221.0,268.0,101.0,2334.964
2334974.0,207.0,220.0,270.0,98.0,2334.974
2334984.0,206.0,217.0,267.0,96.0,2334.984
2334994.0,203.0,218.0,266.0,91.0,2334.994
2335004.0,203.0,216.0,264.0,91.0,2335.004
2335014.0,202.0,214.0,262.0,94.0,2335.014
2335024.0,201.0,213.0,271.0,91.0,2335.024
2335034.0,200.0,210.0,270.0,97.0,2335.034
2335044.0,199.0,210.0,270.0,92.0,2335.044
2335054.0,199.0,210.0,271.0,89.0,2335.054
2335064.0,199.0,211.0,271.0,95.0,2335.064
2335074.0,198.0,209.0,274.0,93.0,2335.074
2335084.0,198.0,206.0,270.0,93.0,2335.084
2335094.0,197.0,204.0,267.0,93.0,2335.094
2335104.0,197.0,203.0,277.0,85.0,2335.104
2335114.0,194.0,199.0,271.0,91.0,2335.114
2335124.0,193.0,197.0,269.0,85.0,2335.124
2335134.0,191.0,196.0,269.0,86.0,2335.134
2335144.0,189.0,193.0,266.0,83.0,2335.144
2335154.0,188.0,191.0,265.0,89.0,2335.154
2335164.0,188.0,189.0,259.0,91.0,2335.164
2335174.0,187.0,185.0,265.0,87.0,2335.174
2335184.0,184.0,180.0,264.0,92.0,2335.184
2335194.0,184.0,182.0,267.0,86.0,2335.194
2335204.0,182.0,179.0,277.0,89.0,2335.204
2335214.0,182.0,180.0,260.0,81.0,2335.214
2335224.0,180.0,178.0,259.0,80.0,2335.224
2335234.0,179.0,178.0,253.0,77.0,2335.234
2335244.0,179.0,179.0,245.0,91.0,2335.244
2335254.0,178.0,177.0,246.0,97.0,2335.254
2335264.0,178.0,177.0,244.0,95.0,2335.264
