time (ms),signal 0,signal 1,signal 2,signal 3,time (sec)
3450097.0,221.0,32.0,4.0,242.0,3450.097
3450107.0,216.0,32.0,3.0,238.0,3450.107
3450117.0,220.0,32.0,4.0,239.0,3450.117
3450127.0,210.0,32.0,4.0,230.0,3450.127
3450137.0,215.0,31.0,3.0,236.0,3450.137
3450147.0,221.0,31.0,4.0,241.0,3450.147
3450157.0,217.0,31.0,3.0,239.0,3450.157
3450167.0,219.0,32.0,3.0,238.0,3450.167
3450177.0,210.0,30.0,4.0,230.0,3450.177
3450187.0,214.0,31.0,4.0,236.0,3450.187
3450198.0,223.0,31.0,5.0,242.0,3450.198
3450208.0,215.0,31.0,2.0,238.0,3450.208
3450218.0,217.0,31.0,4.0,237.0,3450.218
3450228.0,210.0,32.0,3.0,234.0,3450.228
3450238.0,220.0,30.0,3.0,243.0,3450.238
3450248.0,223.0,31.0,3.0,245.0,3450.248
3450258.0,217.0,31.0,7.0,240.0,3450.258
3450268.0,220.0,31.0,6.0,242.0,3450.268
3450278.0,214.0,30.0,6.0,239.0,3450.278
3450288.0,220.0,31.0,6.0,247.0,3450.288
3450298.0,225.0,31.0,9.0,248.0,3450.298
3450308.0,218.0,30.0,15.0,242.0,3450.308
3450318.0,220.0,31.0,14.0,242.0,3450.318
3450328.0,213.0,30.0,20.0,237.0,3450.328
3450338.0,220.0,31.0,17.0,247.0,3450.338
3450348.0,227.0,31.0,21.0,248.0,3450.348
3450358.0,217.0,32.0,26.0,240.0,3450.358
3450368.0,222.0,30.0,24.0,242.0,3450.368
3450378.0,213.0,32.0,30.0,237.0,3450.378
3450388.0,222.0,31.0,30.0,247.0,3450.388
3450398.0,226.0,32.0,33.0,250.0,3450.398
3450408.0,217.0,31.0,43.0,242.0,3450.408
3450418.0,221.0,32.0,38.0,246.0,3450.418
3450428.0,214.0,32.0,45.0,239.0,3450.428
3450438.0,222.0,32.0,46.0,248.0,3450.438
3450448.0,227.0,32.0,49.0,248.0,3450.448
3450458.0,219.0,32.0,57.0,242.0,3450.458
3450468.0,221.0,33.0,51.0,243.0,3450.468
3450478.0,216.0,31.0,60.0,239.0,3450.478
3450488.0,223.0,32.0,62.0,247.0,3450.488
3450498.0,227.0,32.0,63.0,250.0,3450.498
3450508.0,219.0,33.0,71.0,243.0,3450.508
3450518.0,222.0,33.0,63.0,243.0,3450.518
3450528.0,217.0,33.0,71.0,241.0,3450.528
3450539.0,224.0,33.0,75.0,247.0,3450.539
3450549.0,226.0,33.0,72.0,247.0,3450.549
3450559.0,217.0,32.0,83.0,238.0,3450.559
3450569.0,219.0,34.0,72.0,244.0,3450.569
3450579.0,224.0,33.0,84.0,249.0,3450.579
3450589.0,224.0,33.0,88.0,249.0,3450.589
3450599.0,226.0,34.0,84.0,248.0,3450.599
3450609.0,216.0,33.0,93.0,239.0,3450.609
3450619.0,219.0,33.0,82.0,240.0,3450.619
3450629.0,219.0,33.0,95.0,243.0,3450.629
3450639.0,224.0,33.0,101.0,246.0,3450.639
3450649.0,226.0,33.0,95.0,247.0,3450.649
3450659.0,216.0,33.0,106.0,239.0,3450.659
3450669.0,221.0,33.0,95.0,245.0,3450.669
3450679.0,222.0,33.0,106.0,247.0,3450.679
3450689.0,225.0,32.0,114.0,248.0,3450.689
3450699.0,225.0,34.0,105.0,247.0,3450.699
3450710.0,217.0,33.0,119.0,237.0,3450.71
3450720.0,220.0,34.0,108.0,244.0,3450.72
3450730.0,226.0,33.0,116.0,250.0,3450.73
3450740.0,222.0,34.0,129.0,245.0,3450.74
3450750.0,222.0,34.0,118.0,246.0,3450.75
3450760.0,216.0,34.0,129.0,239.0,3450.76
3450770.0,221.0,34.0,124.0,246.0,3450.77
3450780.0,228.0,34.0,128.0,252.0,3450.78
3450790.0,223.0,33.0,141.0,248.0,3450.79
3450800.0,225.0,35.0,130.0,253.0,3450.8
3450810.0,216.0,34.0,141.0,241.0,3450.81
3450820.0,223.0,35.0,137.0,250.0,3450.82
3450830.0,228.0,35.0,138.0,254.0,3450.83
3450840.0,227.0,34.0,151.0,248.0,3450.84
3450850.0,224.0,35.0,138.0,247.0,3450.85
3450860.0,216.0,33.0,148.0,236.0,3450.86
3450870.0,223.0,35.0,147.0,246.0,3450.87
3450880.0,227.0,34.0,149.0,251.0,3450.88
3450890.0,225.0,34.0,161.0,246.0,3450.89
3450900.0,225.0,35.0,149.0,248.0,3450.9
3450910.0,216.0,34.0,160.0,239.0,3450.91
3450920.0,224.0,34.0,160.0,248.0,3450.92
3450930.0,227.0,35.0,159.0,253.0,3450.93
3450940.0,223.0,34.0,169.0,244.0,3450.94
3450950.0,224.0,34.0,157.0,246.0,3450.95
3450960.0,216.0,34.0,166.0,239.0,3450.96
3450970.0,222.0,34.0,165.0,245.0,3450.97
3450980.0,228.0,35.0,168.0,252.0,3450.98
3450990.0,224.0,33.0,179.0,247.0,3450.99
3451000.0,224.0,35.0,167.0,249.0,3451.0
3451010.0,218.0,34.0,178.0,240.0,3451.01
3451020.0,223.0,34.0,177.0,251.0,3451.02
3451030.0,231.0,34.0,178.0,258.0,3451.03
3451040.0,224.0,34.0,188.0,250.0,3451.04
3451051.0,224.0,34.0,176.0,250.0,3451.051
3451061.0,219.0,34.0,185.0,245.0,3451.061
3451071.0,226.0,34.0,193.0,250.0,3451.071
3451081.0,229.0,34.0,185.0,250.0,3451.081
3451091.0,221.0,34.0,195.0,237.0,3451.091
3451101.0,225.0,34.0,184.0,243.0,3451.101
3451111.0,220.0,34.0,193.0,239.0,3451.111
3451121.0,228.0,33.0,201.0,246.0,3451.121
3451131.0,230.0,35.0,193.0,247.0,3451.131
3451141.0,224.0,34.0,203.0,241.0,3451.141
3451151.0,225.0,34.0,194.0,241.0,3451.151
3451161.0,224.0,33.0,200.0,239.0,3451.161
3451171.0,229.0,34.0,211.0,247.0,3451.171
3451181.0,232.0,33.0,203.0,250.0,3451.181
3451191.0,226.0,34.0,214.0,242.0,3451.191
3451201.0,226.0,34.0,205.0,242.0,3451.201
3451211.0,224.0,33.0,209.0,244.0,3451.211
3451222.0,230.0,34.0,222.0,247.0,3451.222
3451232.0,230.0,34.0,214.0,249.0,3451.232
3451242.0,221.0,33.0,222.0,241.0,3451.242
3451252.0,225.0,34.0,217.0,250.0,3451.252
3451262.0,230.0,34.0,223.0,254.0,3451.262
3451272.0,231.0,34.0,234.0,251.0,3451.272
3451282.0,231.0,34.0,222.0,251.0,3451.282
3451292.0,222.0,33.0,232.0,240.0,3451.292
3451302.0,224.0,33.0,228.0,248.0,3451.302
3451312.0,226.0,33.0,239.0,259.0,3451.312
3451322.0,227.0,34.0,243.0,252.0,3451.322
3451332.0,227.0,32.0,231.0,250.0,3451.332
3451342.0,216.0,33.0,238.0,241.0,3451.342
3451352.0,221.0,33.0,235.0,248.0,3451.352
3451362.0,224.0,33.0,236.0,256.0,3451.362
3451372.0,226.0,33.0,250.0,259.0,3451.372
3451382.0,227.0,34.0,238.0,261.0,3451.382
3451392.0,221.0,32.0,250.0,254.0,3451.392
3451402.0,226.0,33.0,247.0,259.0,3451.402
3451412.0,230.0,34.0,253.0,276.0,3451.412
3451422.0,228.0,33.0,261.0,271.0,3451.422
3451432.0,229.0,33.0,248.0,269.0,3451.432
3451442.0,224.0,33.0,257.0,259.0,3451.442
3451452.0,228.0,34.0,254.0,262.0,3451.452
3451462.0,236.0,34.0,257.0,274.0,3451.462
3451472.0,231.0,33.0,265.0,264.0,3451.472
3451482.0,233.0,33.0,255.0,265.0,3451.482
3451492.0,223.0,33.0,266.0,256.0,3451.492
3451502.0,227.0,32.0,260.0,260.0,3451.502
3451512.0,230.0,34.0,269.0,267.0,3451.512
3451522.0,231.0,33.0,276.0,262.0,3451.522
3451532.0,229.0,32.0,266.0,262.0,3451.532
3451542.0,221.0,32.0,280.0,250.0,3451.542
3451552.0,226.0,33.0,279.0,264.0,3451.552
3451563.0,233.0,33.0,286.0,272.0,3451.563
3451573.0,226.0,33.0,295.0,259.0,3451.573
3451583.0,227.0,32.0,283.0,256.0,3451.583
3451593.0,223.0,32.0,298.0,249.0,3451.593
3451603.0,233.0,32.0,308.0,259.0,3451.603
3451613.0,236.0,33.0,309.0,268.0,3451.613
3451623.0,232.0,32.0,330.0,266.0,3451.623
3451633.0,236.0,32.0,317.0,268.0,3451.633
3451643.0,231.0,33.0,335.0,264.0,3451.643
3451653.0,235.0,32.0,339.0,268.0,3451.653
3451663.0,243.0,33.0,338.0,275.0,3451.663
3451673.0,238.0,32.0,365.0,269.0,3451.673
3451683.0,237.0,33.0,349.0,271.0,3451.683
