time (ms),signal 0,signal 1,signal 2,signal 3,time (sec)
3549314.0,207.0,30.0,199.0,231.0,3549.314
3549324.0,212.0,31.0,194.0,235.0,3549.324
3549334.0,214.0,32.0,196.0,240.0,3549.334
3549344.0,214.0,31.0,206.0,240.0,3549.344
3549355.0,214.0,33.0,195.0,240.0,3549.355
3549365.0,205.0,31.0,196.0,230.0,3549.365
3549375.0,211.0,31.0,199.0,240.0,3549.375
3549385.0,218.0,31.0,201.0,245.0,3549.385
3549395.0,212.0,31.0,206.0,239.0,3549.395
3549405.0,214.0,31.0,197.0,239.0,3549.405
3549415.0,206.0,31.0,200.0,233.0,3549.415
3549425.0,213.0,31.0,204.0,241.0,3549.425
3549435.0,218.0,31.0,202.0,243.0,3549.435
3549445.0,214.0,31.0,210.0,240.0,3549.445
3549455.0,214.0,31.0,203.0,239.0,3549.455
3549465.0,205.0,31.0,203.0,232.0,3549.465
3549475.0,214.0,31.0,210.0,241.0,3549.475
3549485.0,217.0,32.0,207.0,245.0,3549.485
3549495.0,214.0,31.0,215.0,240.0,3549.495
3549505.0,213.0,31.0,205.0,239.0,3549.505
3549515.0,208.0,30.0,209.0,233.0,3549.515
3549526.0,214.0,31.0,215.0,243.0,3549.526
3549536.0,218.0,32.0,212.0,245.0,3549.536
3549546.0,210.0,30.0,214.0,237.0,3549.546
3549556.0,212.0,31.0,207.0,238.0,3549.556
3549566.0,212.0,31.0,209.0,241.0,3549.566
3549576.0,215.0,31.0,218.0,246.0,3549.576
3549586.0,220.0,31.0,212.0,246.0,3549.586
3549596.0,210.0,30.0,214.0,237.0,3549.596
3549606.0,212.0,32.0,208.0,239.0,3549.606
3549616.0,208.0,31.0,209.0,236.0,3549.616
3549626.0,215.0,30.0,218.0,244.0,3549.626
3549636.0,217.0,32.0,212.0,244.0,3549.636
3549646.0,210.0,31.0,215.0,236.0,3549.646
3549656.0,213.0,31.0,211.0,240.0,3549.656
3549666.0,210.0,30.0,212.0,238.0,3549.666
3549676.0,216.0,32.0,222.0,246.0,3549.676
3549686.0,219.0,30.0,216.0,244.0,3549.686
3549696.0,211.0,31.0,217.0,239.0,3549.696
3549706.0,213.0,31.0,210.0,240.0,3549.706
3549716.0,211.0,31.0,211.0,239.0,3549.716
3549726.0,217.0,31.0,221.0,245.0,3549.726
3549736.0,218.0,32.0,213.0,245.0,3549.736
3549746.0,211.0,31.0,216.0,238.0,3549.746
3549756.0,214.0,31.0,211.0,240.0,3549.756
3549766.0,213.0,31.0,215.0,242.0,3549.766
3549776.0,219.0,31.0,224.0,246.0,3549.776
3549786.0,220.0,32.0,218.0,248.0,3549.786
3549796.0,213.0,31.0,219.0,238.0,3549.796
3549806.0,214.0,32.0,214.0,240.0,3549.806
3549816.0,216.0,30.0,217.0,244.0,3549.816
3549826.0,219.0,31.0,225.0,248.0,3549.826
3549836.0,222.0,32.0,220.0,248.0,3549.836
3549846.0,213.0,31.0,222.0,240.0,3549.846
3549856.0,216.0,31.0,218.0,241.0,3549.856
3549867.0,218.0,32.0,223.0,247.0,3549.867
3549877.0,219.0,32.0,231.0,246.0,3549.877
3549887.0,220.0,31.0,223.0,245.0,3549.887
3549897.0,211.0,31.0,223.0,236.0,3549.897
3549907.0,216.0,31.0,224.0,244.0,3549.907
3549917.0,219.0,31.0,226.0,247.0,3549.917
3549927.0,219.0,32.0,235.0,249.0,3549.927
3549937.0,220.0,33.0,226.0,246.0,3549.937
3549947.0,211.0,31.0,230.0,237.0,3549.947
3549957.0,216.0,32.0,228.0,242.0,3549.957
3549967.0,222.0,31.0,234.0,249.0,3549.967
3549977.0,219.0,31.0,242.0,248.0,3549.977
3549987.0,221.0,32.0,232.0,247.0,3549.987
3549997.0,213.0,32.0,237.0,241.0,3549.997
3550007.0,216.0,32.0,233.0,245.0,3550.007
3550017.0,223.0,32.0,237.0,254.0,3550.017
3550027.0,220.0,32.0,245.0,250.0,3550.027
3550038.0,221.0,31.0,233.0,249.0,3550.038
3550048.0,211.0,31.0,236.0,242.0,3550.048
3550058.0,220.0,32.0,241.0,253.0,3550.058
3550068.0,225.0,32.0,239.0,254.0,3550.068
3550078.0,217.0,32.0,241.0,245.0,3550.078
3550088.0,221.0,33.0,234.0,247.0,3550.088
3550098.0,214.0,31.0,234.0,240.0,3550.098
3550108.0,222.0,32.0,244.0,253.0,3550.108
3550118.0,226.0,33.0,239.0,253.0,3550.118
3550128.0,220.0,33.0,243.0,248.0,3550.128
3550138.0,222.0,32.0,236.0,247.0,3550.138
3550148.0,213.0,32.0,235.0,242.0,3550.148
3550158.0,224.0,32.0,244.0,252.0,3550.158
3550168.0,226.0,32.0,240.0,254.0,3550.168
3550178.0,220.0,32.0,243.0,249.0,3550.178
3550188.0,222.0,33.0,234.0,250.0,3550.188
3550198.0,215.0,32.0,234.0,244.0,3550.198
3550208.0,220.0,32.0,238.0,249.0,3550.208
3550218.0,226.0,32.0,239.0,253.0,3550.218
3550228.0,219.0,31.0,241.0,246.0,3550.228
3550238.0,221.0,32.0,235.0,246.0,3550.238
3550248.0,217.0,32.0,234.0,243.0,3550.248
3550258.0,221.0,33.0,239.0,248.0,3550.258
3550268.0,226.0,32.0,239.0,251.0,3550.268
3550278.0,218.0,32.0,239.0,242.0,3550.278
3550288.0,221.0,33.0,232.0,243.0,3550.288
3550298.0,214.0,32.0,230.0,239.0,3550.298
3550308.0,223.0,32.0,240.0,250.0,3550.308
3550318.0,227.0,33.0,237.0,254.0,3550.318
3550328.0,219.0,31.0,238.0,244.0,3550.328
3550338.0,222.0,33.0,232.0,248.0,3550.338
3550348.0,215.0,32.0,232.0,241.0,3550.348
3550358.0,222.0,32.0,239.0,251.0,3550.358
3550368.0,226.0,32.0,237.0,252.0,3550.368
3550379.0,218.0,32.0,239.0,244.0,3550.379
3550389.0,219.0,32.0,233.0,244.0,3550.389
3550399.0,220.0,32.0,239.0,247.0,3550.399
3550409.0,224.0,31.0,247.0,252.0,3550.409
3550419.0,224.0,31.0,240.0,256.0,3550.419
3550429.0,217.0,32.0,244.0,251.0,3550.429
3550439.0,220.0,32.0,239.0,252.0,3550.439
3550449.0,221.0,33.0,241.0,253.0,3550.449
3550459.0,223.0,32.0,246.0,250.0,3550.459
3550469.0,223.0,32.0,237.0,252.0,3550.469
3550479.0,214.0,31.0,241.0,243.0,3550.479
3550489.0,220.0,32.0,238.0,253.0,3550.489
3550499.0,226.0,32.0,248.0,264.0,3550.499
3550509.0,229.0,32.0,256.0,269.0,3550.509
3550519.0,234.0,32.0,251.0,268.0,3550.519
3550529.0,227.0,32.0,252.0,253.0,3550.529
3550539.0,229.0,32.0,248.0,255.0,3550.539
3550550.0,234.0,31.0,259.0,263.0,3550.55
3550560.0,236.0,31.0,268.0,258.0,3550.56
3550570.0,245.0,32.0,259.0,263.0,3550.57
3550580.0,228.0,32.0,267.0,250.0,3550.58
3550590.0,233.0,31.0,272.0,259.0,3550.59
3550600.0,229.0,32.0,276.0,258.0,3550.6
3550610.0,231.0,31.0,295.0,263.0,3550.61
3550620.0,234.0,32.0,279.0,271.0,3550.62
3550630.0,234.0,31.0,281.0,260.0,3550.63
3550640.0,244.0,32.0,285.0,271.0,3550.64
3550650.0,264.0,32.0,304.0,282.0,3550.65
3550660.0,254.0,32.0,313.0,271.0,3550.66
3550670.0,246.0,32.0,307.0,284.0,3550.67
3550680.0,234.0,31.0,321.0,271.0,3550.68
3550690.0,229.0,32.0,297.0,265.0,3550.69
3550700.0,236.0,32.0,296.0,265.0,3550.7
3550710.0,234.0,32.0,320.0,260.0,3550.71
3550720.0,240.0,32.0,308.0,265.0,3550.72
3550730.0,231.0,32.0,324.0,254.0,3550.73
3550740.0,242.0,31.0,325.0,267.0,3550.74
3550750.0,244.0,32.0,325.0,274.0,3550.75
3550760.0,244.0,32.0,342.0,268.0,3550.76
3550770.0,243.0,33.0,319.0,268.0,3550.77
3550780.0,234.0,32.0,338.0,256.0,3550.78
3550790.0,240.0,32.0,335.0,262.0,3550.79
3550800.0,251.0,32.0,337.0,267.0,3550.8
3550810.0,254.0,31.0,363.0,270.0,3550.81
3550820.0,254.0,32.0,344.0,264.0,3550.82
3550830.0,249.0,32.0,364.0,254.0,3550.83
3550840.0,254.0,31.0,364.0,254.0,3550.84
3550850.0,263.0,32.0,367.0,269.0,3550.85
3550860.0,289.0,32.0,390.0,268.0,3550.86
3550870.0,290.0,31.0,368.0,262.0,3550.87
3550880.0,307.0,32.0,390.0,256.0,3550.88
3550891.0,310.0,33.0,393.0,269.0,3550.891
3550901.0,304.0,33.0,383.0,267.0,3550.901
3550911.0,293.0,32.0,411.0,254.0,3550.911
3550921.0,284.0,33.0,393.0,253.0,3550.921
3550931.0,244.0,34.0,415.0,252.0,3550.931
3550941.0,180.0,34.0,432.0,266.0,3550.941
3550951.0,183.0,35.0,418.0,272.0,3550.951
3550961.0,152.0,38.0,444.0,269.0,3550.961
3550971.0,657.0,43.0,443.0,287.0,3550.971
3550981.0,659.0,42.0,449.0,277.0,3550.981
3550991.0,662.0,41.0,443.0,279.0,3550.991
3551001.0,663.0,42.0,424.0,271.0,3551.001
3551011.0,664.0,41.0,442.0,260.0,3551.011
3551021.0,665.0,41.0,422.0,271.0,3551.021
3551031.0,666.0,40.0,452.0,286.0,3551.031
3551041.0,665.0,39.0,447.0,288.0,3551.041
3551051.0,666.0,39.0,426.0,268.0,3551.051
3551062.0,666.0,38.0,446.0,260.0,3551.062
3551072.0,666.0,38.0,431.0,267.0,3551.072
3551082.0,666.0,37.0,436.0,273.0,3551.082
3551092.0,663.0,38.0,451.0,277.0,3551.092
3551102.0,664.0,36.0,436.0,265.0,3551.102
3551112.0,664.0,38.0,446.0,252.0,3551.112
