time (ms),signal 0,signal 1,signal 2,signal 3,time (sec)
3411826.0,216.0,30.0,4.0,240.0,3411.826
3411836.0,218.0,32.0,3.0,240.0,3411.836
3411846.0,212.0,31.0,5.0,234.0,3411.846
3411856.0,213.0,33.0,3.0,234.0,3411.856
3411866.0,209.0,32.0,4.0,231.0,3411.866
3411876.0,217.0,31.0,4.0,240.0,3411.876
3411886.0,219.0,32.0,4.0,240.0,3411.886
3411896.0,212.0,31.0,4.0,234.0,3411.896
3411906.0,213.0,32.0,3.0,235.0,3411.906
3411916.0,211.0,32.0,4.0,236.0,3411.916
3411926.0,215.0,32.0,3.0,239.0,3411.926
3411936.0,219.0,32.0,4.0,240.0,3411.936
3411946.0,212.0,31.0,4.0,234.0,3411.946
3411956.0,214.0,31.0,4.0,235.0,3411.956
3411966.0,212.0,32.0,4.0,236.0,3411.966
3411976.0,217.0,31.0,4.0,239.0,3411.976
3411986.0,219.0,33.0,3.0,241.0,3411.986
3411996.0,212.0,32.0,3.0,232.0,3411.996
3412006.0,213.0,32.0,3.0,234.0,3412.006
3412016.0,210.0,32.0,4.0,231.0,3412.016
3412026.0,218.0,31.0,4.0,239.0,3412.026
3412036.0,220.0,32.0,4.0,241.0,3412.036
3412046.0,212.0,32.0,3.0,234.0,3412.046
3412056.0,215.0,32.0,4.0,235.0,3412.056
3412066.0,209.0,32.0,4.0,231.0,3412.066
3412076.0,217.0,32.0,4.0,238.0,3412.076
3412086.0,220.0,31.0,4.0,238.0,3412.086
3412096.0,214.0,32.0,3.0,234.0,3412.096
3412106.0,215.0,32.0,3.0,236.0,3412.106
3412116.0,212.0,33.0,3.0,235.0,3412.116
3412126.0,219.0,32.0,4.0,240.0,3412.126
3412136.0,220.0,33.0,3.0,239.0,3412.136
3412146.0,214.0,32.0,4.0,232.0,3412.146
3412156.0,216.0,32.0,3.0,234.0,3412.156
3412166.0,214.0,32.0,4.0,236.0,3412.166
3412176.0,220.0,33.0,3.0,242.0,3412.176
3412186.0,222.0,32.0,4.0,244.0,3412.186
3412196.0,215.0,32.0,4.0,235.0,3412.196
3412206.0,216.0,32.0,4.0,237.0,3412.206
3412216.0,216.0,32.0,4.0,238.0,3412.216
3412226.0,219.0,33.0,4.0,242.0,3412.226
3412236.0,221.0,32.0,4.0,243.0,3412.236
3412246.0,212.0,33.0,3.0,235.0,3412.246
3412256.0,215.0,32.0,3.0,236.0,3412.256
3412267.0,216.0,32.0,4.0,240.0,3412.267
3412277.0,220.0,32.0,4.0,243.0,3412.277
3412287.0,219.0,33.0,4.0,242.0,3412.287
3412297.0,211.0,32.0,4.0,234.0,3412.297
3412307.0,214.0,34.0,3.0,239.0,3412.307
3412317.0,218.0,32.0,4.0,241.0,3412.317
3412327.0,220.0,32.0,4.0,242.0,3412.327
3412337.0,220.0,33.0,5.0,240.0,3412.337
3412347.0,211.0,31.0,4.0,231.0,3412.347
3412357.0,216.0,32.0,5.0,235.0,3412.357
3412367.0,219.0,33.0,4.0,240.0,3412.367
3412377.0,219.0,32.0,3.0,240.0,3412.377
3412387.0,219.0,32.0,4.0,239.0,3412.387
3412397.0,213.0,32.0,4.0,233.0,3412.397
3412407.0,216.0,33.0,4.0,236.0,3412.407
3412417.0,220.0,33.0,3.0,243.0,3412.417
3412427.0,221.0,32.0,4.0,240.0,3412.427
3412438.0,219.0,34.0,3.0,239.0,3412.438
3412448.0,212.0,32.0,4.0,230.0,3412.448
3412458.0,218.0,32.0,4.0,241.0,3412.458
3412468.0,225.0,32.0,4.0,245.0,3412.468
3412478.0,218.0,32.0,4.0,240.0,3412.478
3412488.0,220.0,33.0,3.0,241.0,3412.488
3412498.0,211.0,33.0,4.0,234.0,3412.498
3412508.0,219.0,32.0,3.0,244.0,3412.508
3412518.0,224.0,32.0,3.0,247.0,3412.518
3412528.0,219.0,32.0,4.0,240.0,3412.528
3412538.0,220.0,32.0,3.0,240.0,3412.538
3412548.0,211.0,32.0,4.0,233.0,3412.548
3412558.0,220.0,32.0,3.0,244.0,3412.558
3412568.0,222.0,33.0,3.0,245.0,3412.568
3412578.0,219.0,32.0,4.0,240.0,3412.578
3412588.0,219.0,32.0,4.0,240.0,3412.588
3412598.0,213.0,31.0,3.0,234.0,3412.598
3412608.0,217.0,32.0,4.0,241.0,3412.608
3412618.0,223.0,32.0,4.0,245.0,3412.618
3412628.0,218.0,32.0,3.0,240.0,3412.628
3412638.0,219.0,32.0,4.0,241.0,3412.638
3412648.0,213.0,32.0,3.0,237.0,3412.648
3412658.0,219.0,32.0,4.0,242.0,3412.658
3412668.0,225.0,31.0,4.0,248.0,3412.668
3412678.0,218.0,32.0,3.0,243.0,3412.678
3412688.0,219.0,32.0,4.0,245.0,3412.688
3412698.0,213.0,32.0,3.0,237.0,3412.698
3412708.0,221.0,32.0,3.0,247.0,3412.708
3412718.0,225.0,32.0,4.0,250.0,3412.718
3412728.0,219.0,31.0,4.0,241.0,3412.728
3412738.0,220.0,32.0,4.0,244.0,3412.738
3412748.0,212.0,32.0,3.0,236.0,3412.748
3412758.0,220.0,33.0,3.0,246.0,3412.758
3412768.0,224.0,32.0,4.0,248.0,3412.768
3412779.0,217.0,31.0,4.0,240.0,3412.779
