time (ms),signal 0,signal 1,signal 2,signal 3,time (sec)
3285059.0,215.0,32.0,276.0,244.0,3285.059
3285069.0,209.0,32.0,286.0,236.0,3285.069
3285079.0,213.0,33.0,280.0,242.0,3285.079
3285089.0,218.0,33.0,287.0,250.0,3285.089
3285099.0,215.0,33.0,295.0,246.0,3285.099
3285109.0,215.0,32.0,281.0,244.0,3285.109
3285120.0,208.0,32.0,289.0,238.0,3285.12
3285130.0,216.0,33.0,293.0,247.0,3285.13
3285140.0,219.0,33.0,286.0,250.0,3285.14
3285150.0,213.0,32.0,297.0,242.0,3285.15
3285160.0,213.0,33.0,285.0,244.0,3285.16
3285170.0,208.0,32.0,291.0,238.0,3285.17
3285180.0,218.0,32.0,298.0,249.0,3285.18
3285190.0,220.0,33.0,288.0,249.0,3285.19
3285200.0,213.0,31.0,298.0,241.0,3285.2
3285210.0,214.0,33.0,285.0,243.0,3285.21
3285220.0,209.0,32.0,294.0,239.0,3285.22
3285230.0,218.0,33.0,301.0,248.0,3285.23
3285240.0,220.0,32.0,287.0,247.0,3285.24
3285250.0,214.0,32.0,300.0,243.0,3285.25
3285260.0,215.0,32.0,287.0,243.0,3285.26
3285270.0,211.0,32.0,294.0,240.0,3285.27
3285280.0,218.0,32.0,300.0,248.0,3285.28
3285291.0,221.0,33.0,287.0,247.0,3285.291
3285301.0,212.0,32.0,298.0,238.0,3285.301
3285311.0,213.0,32.0,287.0,241.0,3285.311
3285321.0,218.0,32.0,294.0,245.0,3285.321
3285331.0,218.0,32.0,302.0,246.0,3285.331
3285341.0,220.0,32.0,286.0,247.0,3285.341
3285351.0,213.0,33.0,298.0,239.0,3285.351
3285361.0,215.0,32.0,288.0,240.0,3285.361
3285371.0,219.0,32.0,295.0,247.0,3285.371
3285381.0,220.0,31.0,301.0,247.0,3285.381
3285391.0,221.0,32.0,286.0,246.0,3285.391
3285401.0,212.0,31.0,299.0,236.0,3285.401
3285411.0,215.0,32.0,290.0,242.0,3285.411
3285421.0,216.0,33.0,299.0,245.0,3285.421
3285431.0,220.0,31.0,307.0,249.0,3285.431
3285441.0,220.0,32.0,291.0,247.0,3285.441
3285451.0,213.0,31.0,307.0,238.0,3285.451
3285462.0,214.0,31.0,299.0,243.0,3285.462
3285472.0,221.0,32.0,305.0,249.0,3285.472
3285482.0,218.0,33.0,313.0,245.0,3285.482
3285492.0,218.0,31.0,299.0,246.0,3285.492
3285502.0,209.0,31.0,311.0,239.0,3285.502
3285512.0,216.0,32.0,308.0,244.0,3285.512
3285522.0,221.0,31.0,310.0,251.0,3285.522
3285532.0,218.0,32.0,319.0,247.0,3285.532
3285542.0,217.0,32.0,304.0,247.0,3285.542
3285552.0,211.0,32.0,318.0,240.0,3285.552
3285562.0,216.0,31.0,313.0,248.0,3285.562
3285572.0,222.0,32.0,313.0,254.0,3285.572
3285582.0,219.0,31.0,323.0,249.0,3285.582
3285592.0,218.0,32.0,307.0,250.0,3285.592
3285602.0,211.0,31.0,321.0,242.0,3285.602
3285612.0,217.0,32.0,317.0,251.0,3285.612
3285622.0,223.0,30.0,314.0,254.0,3285.622
3285632.0,219.0,31.0,325.0,252.0,3285.632
3285642.0,220.0,32.0,308.0,248.0,3285.642
3285652.0,210.0,31.0,317.0,242.0,3285.652
3285662.0,217.0,32.0,319.0,252.0,3285.662
3285672.0,222.0,33.0,313.0,255.0,3285.672
3285682.0,219.0,32.0,326.0,253.0,3285.682
3285692.0,219.0,32.0,308.0,250.0,3285.692
3285702.0,211.0,31.0,317.0,243.0,3285.702
3285712.0,220.0,31.0,318.0,255.0,3285.712
3285722.0,222.0,32.0,315.0,256.0,3285.722
3285732.0,219.0,32.0,324.0,252.0,3285.732
3285742.0,219.0,32.0,308.0,251.0,3285.742
3285752.0,211.0,32.0,318.0,246.0,3285.752
3285762.0,217.0,32.0,314.0,251.0,3285.762
3285772.0,224.0,32.0,317.0,258.0,3285.772
3285782.0,218.0,32.0,325.0,254.0,3285.782
3285792.0,218.0,32.0,308.0,252.0,3285.792
3285803.0,211.0,33.0,317.0,250.0,3285.803
3285813.0,220.0,32.0,323.0,259.0,3285.813
3285823.0,221.0,32.0,309.0,257.0,3285.823
3285833.0,215.0,31.0,322.0,251.0,3285.833
3285843.0,216.0,31.0,309.0,251.0,3285.843
3285853.0,212.0,31.0,316.0,249.0,3285.853
3285863.0,220.0,32.0,324.0,259.0,3285.863
3285873.0,223.0,32.0,308.0,256.0,3285.873
3285883.0,214.0,31.0,322.0,248.0,3285.883
3285893.0,218.0,31.0,308.0,252.0,3285.893
3285903.0,215.0,31.0,317.0,251.0,3285.903
3285913.0,221.0,32.0,323.0,258.0,3285.913
3285923.0,222.0,32.0,307.0,255.0,3285.923
3285933.0,215.0,33.0,322.0,251.0,3285.933
3285943.0,217.0,32.0,309.0,250.0,3285.943
3285953.0,215.0,32.0,317.0,250.0,3285.953
3285963.0,221.0,32.0,323.0,257.0,3285.963
3285974.0,222.0,32.0,305.0,254.0,3285.974
3285984.0,212.0,31.0,318.0,247.0,3285.984
3285994.0,215.0,32.0,307.0,251.0,3285.994
3286004.0,219.0,32.0,314.0,256.0,3286.004
3286014.0,218.0,31.0,319.0,255.0,3286.014
3286024.0,221.0,32.0,303.0,254.0,3286.024
3286034.0,212.0,31.0,314.0,247.0,3286.034
3286044.0,215.0,31.0,306.0,251.0,3286.044
3286054.0,221.0,32.0,311.0,258.0,3286.054
3286064.0,219.0,32.0,318.0,258.0,3286.064
3286074.0,220.0,32.0,300.0,254.0,3286.074
3286084.0,211.0,31.0,312.0,246.0,3286.084
3286094.0,216.0,31.0,305.0,250.0,3286.094
3286104.0,218.0,32.0,309.0,253.0,3286.104
3286114.0,220.0,31.0,315.0,256.0,3286.114
3286124.0,219.0,33.0,297.0,253.0,3286.124
3286134.0,211.0,32.0,307.0,242.0,3286.134
3286144.0,215.0,32.0,297.0,247.0,3286.144
3286154.0,220.0,32.0,305.0,253.0,3286.154
3286164.0,220.0,31.0,311.0,253.0,3286.164
3286174.0,219.0,32.0,295.0,251.0,3286.174
3286184.0,211.0,32.0,303.0,244.0,3286.184
3286194.0,217.0,32.0,296.0,248.0,3286.194
3286204.0,221.0,32.0,301.0,255.0,3286.204
3286214.0,220.0,32.0,306.0,253.0,3286.214
3286224.0,220.0,31.0,291.0,250.0,3286.224
3286234.0,212.0,32.0,301.0,244.0,3286.234
3286244.0,216.0,32.0,293.0,247.0,3286.244
3286254.0,221.0,33.0,299.0,256.0,3286.254
3286264.0,219.0,32.0,307.0,253.0,3286.264
3286274.0,219.0,32.0,291.0,252.0,3286.274
3286284.0,212.0,32.0,304.0,244.0,3286.284
3286294.0,215.0,32.0,296.0,249.0,3286.294
3286304.0,222.0,32.0,303.0,255.0,3286.304
3286315.0,219.0,32.0,310.0,251.0,3286.315
3286325.0,218.0,32.0,294.0,250.0,3286.325
3286335.0,211.0,32.0,301.0,243.0,3286.335
3286345.0,220.0,32.0,307.0,253.0,3286.345
3286355.0,223.0,31.0,298.0,255.0,3286.355
3286365.0,218.0,32.0,310.0,249.0,3286.365
3286375.0,218.0,32.0,295.0,248.0,3286.375
3286385.0,212.0,32.0,302.0,244.0,3286.385
3286395.0,222.0,32.0,310.0,254.0,3286.395
3286405.0,224.0,32.0,302.0,254.0,3286.405
3286415.0,219.0,31.0,310.0,248.0,3286.415
3286425.0,218.0,32.0,295.0,248.0,3286.425
3286435.0,214.0,32.0,303.0,244.0,3286.435
3286445.0,218.0,33.0,302.0,249.0,3286.445
3286455.0,223.0,32.0,299.0,252.0,3286.455
3286465.0,218.0,31.0,310.0,246.0,3286.465
3286475.0,220.0,32.0,299.0,246.0,3286.475
3286486.0,216.0,31.0,307.0,245.0,3286.486
3286496.0,220.0,32.0,312.0,249.0,3286.496
3286506.0,222.0,33.0,297.0,249.0,3286.506
3286516.0,215.0,32.0,311.0,243.0,3286.516
3286526.0,213.0,32.0,302.0,244.0,3286.526
3286536.0,211.0,32.0,308.0,244.0,3286.536
3286546.0,222.0,31.0,318.0,253.0,3286.546
3286556.0,218.0,32.0,300.0,242.0,3286.556
3286566.0,218.0,31.0,310.0,237.0,3286.566
3286576.0,223.0,33.0,297.0,240.0,3286.576
3286586.0,228.0,32.0,311.0,245.0,3286.586
3286596.0,241.0,31.0,315.0,250.0,3286.596
3286606.0,243.0,32.0,306.0,252.0,3286.606
3286616.0,232.0,31.0,321.0,253.0,3286.616
3286626.0,226.0,32.0,302.0,242.0,3286.626
3286636.0,220.0,33.0,308.0,242.0,3286.636
3286646.0,223.0,32.0,315.0,244.0,3286.646
3286656.0,230.0,32.0,310.0,253.0,3286.656
3286666.0,219.0,32.0,326.0,251.0,3286.666
3286676.0,225.0,31.0,320.0,255.0,3286.676
3286686.0,230.0,32.0,338.0,274.0,3286.686
3286696.0,225.0,32.0,344.0,275.0,3286.696
3286706.0,236.0,33.0,328.0,274.0,3286.706
3286716.0,225.0,32.0,347.0,270.0,3286.716
3286726.0,230.0,32.0,341.0,270.0,3286.726
3286736.0,235.0,32.0,356.0,281.0,3286.736
3286746.0,240.0,32.0,366.0,285.0,3286.746
3286756.0,243.0,33.0,347.0,278.0,3286.756
3286766.0,236.0,33.0,368.0,272.0,3286.766
3286776.0,232.0,32.0,354.0,269.0,3286.776
3286786.0,228.0,32.0,365.0,268.0,3286.786
3286796.0,230.0,32.0,379.0,273.0,3286.796
3286806.0,243.0,31.0,362.0,276.0,3286.806
3286816.0,240.0,32.0,392.0,274.0,3286.816
3286827.0,231.0,32.0,369.0,270.0,3286.827
3286837.0,236.0,33.0,371.0,271.0,3286.837
3286847.0,228.0,32.0,386.0,270.0,3286.847
3286857.0,233.0,32.0,368.0,268.0,3286.857
3286867.0,233.0,31.0,385.0,263.0,3286.867
3286877.0,244.0,32.0,380.0,273.0,3286.877
3286887.0,254.0,33.0,385.0,281.0,3286.887
3286897.0,251.0,33.0,401.0,281.0,3286.897
3286907.0,251.0,32.0,382.0,279.0,3286.907
3286917.0,248.0,32.0,405.0,278.0,3286.917
3286927.0,251.0,33.0,393.0,276.0,3286.927
3286937.0,263.0,33.0,394.0,285.0,3286.937
3286947.0,251.0,32.0,407.0,276.0,3286.947
3286957.0,249.0,33.0,381.0,271.0,3286.957
3286967.0,240.0,32.0,401.0,258.0,3286.967
3286977.0,250.0,32.0,394.0,264.0,3286.977
3286987.0,255.0,33.0,392.0,269.0,3286.987
3286998.0,250.0,31.0,411.0,264.0,3286.998
3287008.0,249.0,33.0,388.0,262.0,3287.008
3287018.0,240.0,32.0,405.0,256.0,3287.018
3287028.0,250.0,33.0,415.0,268.0,3287.028
3287038.0,251.0,32.0,396.0,263.0,3287.038
3287048.0,239.0,32.0,421.0,255.0,3287.048
3287058.0,242.0,32.0,404.0,257.0,3287.058
3287068.0,240.0,32.0,425.0,260.0,3287.068
3287078.0,250.0,32.0,434.0,268.0,3287.078
3287088.0,254.0,34.0,420.0,272.0,3287.088
3287098.0,244.0,32.0,450.0,264.0,3287.098
3287108.0,244.0,33.0,431.0,268.0,3287.108
3287118.0,240.0,33.0,446.0,263.0,3287.118
3287128.0,243.0,33.0,451.0,266.0,3287.128
3287138.0,252.0,33.0,440.0,273.0,3287.138
3287148.0,244.0,32.0,468.0,258.0,3287.148
3287158.0,244.0,32.0,448.0,258.0,3287.158
3287168.0,240.0,32.0,468.0,256.0,3287.168
3287178.0,248.0,33.0,471.0,269.0,3287.178
3287188.0,257.0,33.0,454.0,274.0,3287.188
3287198.0,244.0,33.0,481.0,263.0,3287.198
3287208.0,245.0,32.0,460.0,265.0,3287.208
3287218.0,246.0,33.0,480.0,264.0,3287.218
3287228.0,261.0,32.0,484.0,271.0,3287.228
3287238.0,259.0,33.0,465.0,274.0,3287.238
3287248.0,247.0,32.0,495.0,265.0,3287.248
3287258.0,245.0,33.0,471.0,265.0,3287.258
3287268.0,238.0,34.0,486.0,260.0,3287.268
3287278.0,250.0,33.0,493.0,269.0,3287.278
3287288.0,248.0,33.0,468.0,267.0,3287.288
3287298.0,242.0,32.0,498.0,262.0,3287.298
3287308.0,249.0,32.0,477.0,264.0,3287.308
3287318.0,250.0,31.0,494.0,260.0,3287.318
3287328.0,254.0,32.0,499.0,266.0,3287.328
3287339.0,251.0,33.0,475.0,264.0,3287.339
3287349.0,241.0,33.0,508.0,253.0,3287.349
3287359.0,246.0,32.0,490.0,258.0,3287.359
3287369.0,247.0,33.0,493.0,263.0,3287.369
3287379.0,250.0,32.0,512.0,262.0,3287.379
3287389.0,260.0,33.0,487.0,265.0,3287.389
3287399.0,250.0,32.0,518.0,256.0,3287.399
3287409.0,250.0,33.0,499.0,261.0,3287.409
3287419.0,253.0,32.0,501.0,266.0,3287.419
3287429.0,248.0,32.0,519.0,259.0,3287.429
3287439.0,248.0,33.0,495.0,258.0,3287.439
3287449.0,236.0,32.0,524.0,250.0,3287.449
3287459.0,235.0,34.0,506.0,255.0,3287.459
3287469.0,239.0,33.0,513.0,260.0,3287.469
3287479.0,243.0,33.0,525.0,258.0,3287.479
3287489.0,242.0,33.0,500.0,257.0,3287.489
3287499.0,231.0,32.0,529.0,248.0,3287.499
3287510.0,234.0,32.0,513.0,255.0,3287.51
3287520.0,238.0,32.0,508.0,262.0,3287.52
3287530.0,231.0,32.0,532.0,257.0,3287.53
3287540.0,236.0,34.0,504.0,258.0,3287.54
3287550.0,228.0,32.0,528.0,252.0,3287.55
3287560.0,236.0,32.0,516.0,260.0,3287.56
3287570.0,251.0,33.0,507.0,265.0,3287.57
3287580.0,244.0,31.0,527.0,260.0,3287.58
3287590.0,248.0,33.0,502.0,262.0,3287.59
3287600.0,238.0,33.0,524.0,255.0,3287.6
3287610.0,242.0,32.0,509.0,261.0,3287.61
3287620.0,247.0,32.0,496.0,263.0,3287.62
3287630.0,241.0,32.0,519.0,259.0,3287.63
3287640.0,248.0,32.0,488.0,263.0,3287.64
3287650.0,233.0,32.0,509.0,255.0,3287.65
