time (ms),signal 0,signal 1,signal 2,signal 3,time (sec)
246047.0,349.0,426.0,3.0,415.0,246.047
246057.0,342.0,415.0,4.0,404.0,246.057
246067.0,344.0,420.0,3.0,407.0,246.067
246077.0,346.0,423.0,4.0,414.0,246.077
246087.0,351.0,431.0,3.0,418.0,246.087
246097.0,352.0,426.0,3.0,415.0,246.097
246107.0,345.0,419.0,3.0,409.0,246.107
246117.0,344.0,419.0,5.0,406.0,246.117
246127.0,346.0,425.0,3.0,414.0,246.127
246137.0,350.0,430.0,4.0,417.0,246.137
246147.0,355.0,432.0,3.0,419.0,246.147
246157.0,343.0,418.0,4.0,406.0,246.157
246167.0,337.0,419.0,3.0,405.0,246.167
246177.0,343.0,425.0,5.0,415.0,246.177
246187.0,344.0,430.0,3.0,416.0,246.187
246197.0,349.0,430.0,4.0,417.0,246.197
246207.0,338.0,419.0,3.0,406.0,246.207
246217.0,339.0,420.0,3.0,406.0,246.217
246227.0,345.0,429.0,3.0,417.0,246.227
246237.0,347.0,432.0,4.0,417.0,246.237
246247.0,350.0,430.0,2.0,416.0,246.247
246257.0,338.0,418.0,3.0,404.0,246.257
246267.0,341.0,423.0,4.0,407.0,246.267
246277.0,342.0,425.0,3.0,410.0,246.277
246287.0,349.0,433.0,4.0,417.0,246.287
246297.0,351.0,431.0,4.0,415.0,246.297
246307.0,339.0,419.0,3.0,404.0,246.307
246317.0,342.0,425.0,4.0,407.0,246.317
246327.0,345.0,427.0,4.0,413.0,246.327
246337.0,350.0,435.0,3.0,417.0,246.337
246347.0,351.0,432.0,4.0,414.0,246.347
246358.0,340.0,419.0,4.0,401.0,246.358
246368.0,343.0,427.0,3.0,408.0,246.368
246378.0,352.0,435.0,3.0,419.0,246.378
246388.0,350.0,433.0,4.0,415.0,246.388
246398.0,347.0,429.0,3.0,410.0,246.398
246408.0,342.0,418.0,4.0,401.0,246.408
246418.0,345.0,428.0,3.0,409.0,246.418
246428.0,356.0,437.0,4.0,420.0,246.428
246438.0,351.0,434.0,3.0,414.0,246.438
246448.0,352.0,431.0,4.0,413.0,246.448
246458.0,341.0,419.0,3.0,401.0,246.458
246468.0,347.0,430.0,3.0,410.0,246.468
246478.0,356.0,438.0,4.0,420.0,246.478
