time (ms),signal 0,signal 1,signal 2,signal 3,time (sec)
317011.0,360.0,442.0,2.0,421.0,317.011
317021.0,357.0,437.0,4.0,418.0,317.021
317031.0,366.0,453.0,4.0,430.0,317.031
317041.0,375.0,456.0,4.0,436.0,317.041
317051.0,366.0,446.0,3.0,423.0,317.051
317061.0,367.0,446.0,4.0,423.0,317.061
317071.0,358.0,437.0,4.0,416.0,317.071
317081.0,368.0,452.0,4.0,428.0,317.081
317091.0,375.0,456.0,3.0,435.0,317.091
317101.0,367.0,450.0,4.0,424.0,317.101
317111.0,364.0,445.0,3.0,421.0,317.111
317121.0,357.0,438.0,5.0,415.0,317.121
317131.0,368.0,454.0,3.0,428.0,317.131
317142.0,374.0,455.0,3.0,433.0,317.142
317152.0,361.0,444.0,2.0,420.0,317.152
317162.0,358.0,444.0,4.0,420.0,317.162
317172.0,361.0,449.0,3.0,429.0,317.172
317182.0,366.0,455.0,4.0,431.0,317.182
317192.0,370.0,454.0,2.0,433.0,317.192
317202.0,358.0,442.0,5.0,419.0,317.202
317212.0,358.0,445.0,3.0,421.0,317.212
317222.0,364.0,451.0,3.0,431.0,317.222
317232.0,366.0,456.0,3.0,433.0,317.232
317242.0,371.0,453.0,3.0,434.0,317.242
317252.0,362.0,442.0,4.0,422.0,317.252
317262.0,362.0,445.0,4.0,424.0,317.262
317272.0,363.0,446.0,4.0,427.0,317.272
317282.0,370.0,458.0,3.0,434.0,317.282
317292.0,372.0,453.0,3.0,434.0,317.292
317302.0,359.0,442.0,4.0,419.0,317.302
317312.0,363.0,446.0,4.0,423.0,317.312
317322.0,362.0,447.0,3.0,426.0,317.322
317332.0,370.0,459.0,4.0,434.0,317.332
317342.0,372.0,452.0,4.0,431.0,317.342
317352.0,358.0,441.0,4.0,419.0,317.352
317362.0,361.0,446.0,4.0,423.0,317.362
317372.0,364.0,450.0,4.0,429.0,317.372
317382.0,368.0,458.0,3.0,434.0,317.382
317392.0,370.0,451.0,4.0,430.0,317.392
317402.0,361.0,446.0,2.0,422.0,317.402
317412.0,360.0,446.0,4.0,422.0,317.412
317422.0,365.0,452.0,3.0,431.0,317.422
317432.0,369.0,458.0,5.0,433.0,317.432
317442.0,372.0,456.0,4.0,437.0,317.442
317452.0,358.0,444.0,4.0,423.0,317.452
317462.0,358.0,446.0,3.0,425.0,317.462
317472.0,364.0,453.0,3.0,435.0,317.472
317483.0,367.0,458.0,3.0,437.0,317.483
317493.0,366.0,449.0,4.0,432.0,317.493
