time (ms),signal 0,signal 1,signal 2,signal 3,time (sec)
401119.0,358.0,435.0,5.0,418.0,401.119
401129.0,352.0,427.0,4.0,415.0,401.129
401139.0,362.0,437.0,4.0,424.0,401.139
401149.0,369.0,451.0,4.0,430.0,401.149
401159.0,360.0,430.0,4.0,421.0,401.159
401169.0,358.0,438.0,3.0,418.0,401.169
401179.0,353.0,430.0,4.0,414.0,401.179
401189.0,361.0,439.0,4.0,424.0,401.189
401199.0,369.0,453.0,4.0,430.0,401.199
401209.0,358.0,430.0,4.0,418.0,401.209
401219.0,357.0,438.0,4.0,415.0,401.219
401229.0,354.0,433.0,3.0,416.0,401.229
401239.0,360.0,440.0,3.0,422.0,401.239
401249.0,368.0,457.0,3.0,430.0,401.249
401259.0,359.0,428.0,5.0,417.0,401.259
401269.0,357.0,439.0,4.0,415.0,401.269
401280.0,356.0,438.0,5.0,417.0,401.28
401290.0,362.0,438.0,3.0,424.0,401.29
401300.0,367.0,458.0,3.0,424.0,401.3
401310.0,353.0,427.0,4.0,411.0,401.31
401320.0,354.0,438.0,5.0,416.0,401.32
401330.0,358.0,445.0,4.0,421.0,401.33
401340.0,364.0,443.0,4.0,428.0,401.34
401350.0,367.0,464.0,4.0,426.0,401.35
401360.0,354.0,434.0,3.0,414.0,401.36
401370.0,358.0,450.0,4.0,418.0,401.37
401380.0,361.0,457.0,4.0,426.0,401.38
401390.0,368.0,450.0,4.0,431.0,401.39
401400.0,369.0,472.0,3.0,427.0,401.4
401410.0,360.0,442.0,4.0,419.0,401.41
401420.0,359.0,457.0,3.0,419.0,401.42
401430.0,365.0,469.0,4.0,428.0,401.43
401440.0,368.0,456.0,3.0,432.0,401.44
401451.0,369.0,483.0,4.0,428.0,401.451
401461.0,356.0,453.0,4.0,415.0,401.461
401471.0,365.0,476.0,3.0,429.0,401.471
401481.0,373.0,501.0,3.0,437.0,401.481
401491.0,368.0,471.0,3.0,429.0,401.491
401501.0,369.0,508.0,4.0,427.0,401.501
401511.0,357.0,478.0,4.0,415.0,401.511
401521.0,368.0,504.0,4.0,431.0,401.521
401531.0,374.0,529.0,4.0,438.0,401.531
401541.0,371.0,497.0,3.0,433.0,401.541
401551.0,369.0,532.0,3.0,428.0,401.551
401561.0,355.0,502.0,3.0,415.0,401.561
401571.0,369.0,525.0,4.0,431.0,401.571
401581.0,372.0,542.0,4.0,434.0,401.581
401591.0,369.0,515.0,4.0,432.0,401.591
401601.0,367.0,548.0,3.0,427.0,401.601
401611.0,355.0,521.0,3.0,418.0,401.611
401622.0,367.0,538.0,3.0,432.0,401.622
401632.0,375.0,571.0,3.0,438.0,401.632
401642.0,365.0,532.0,4.0,425.0,401.642
401652.0,362.0,565.0,4.0,421.0,401.652
401662.0,362.0,558.0,4.0,423.0,401.662
401672.0,368.0,559.0,3.0,431.0,401.672
401682.0,375.0,589.0,4.0,435.0,401.682
401692.0,364.0,547.0,4.0,420.0,401.692
401702.0,363.0,580.0,4.0,418.0,401.702
