time (ms),signal 0,signal 1,signal 2,signal 3,time (sec)
459211.0,354.0,531.0,380.0,414.0,459.211
459222.0,360.0,537.0,389.0,421.0,459.222
459232.0,368.0,526.0,398.0,429.0,459.232
459242.0,356.0,534.0,379.0,413.0,459.242
459252.0,354.0,520.0,378.0,412.0,459.252
459262.0,357.0,530.0,379.0,417.0,459.262
459272.0,360.0,539.0,385.0,420.0,459.272
459282.0,367.0,526.0,394.0,425.0,459.282
459292.0,355.0,537.0,375.0,409.0,459.292
459302.0,353.0,525.0,375.0,407.0,459.302
459312.0,352.0,531.0,373.0,408.0,459.312
459322.0,362.0,541.0,387.0,420.0,459.322
459332.0,367.0,525.0,395.0,423.0,459.332
459342.0,355.0,534.0,374.0,409.0,459.342
459352.0,356.0,522.0,379.0,412.0,459.352
459362.0,354.0,527.0,375.0,416.0,459.362
459372.0,361.0,536.0,385.0,423.0,459.372
459382.0,365.0,519.0,391.0,423.0,459.382
459392.0,357.0,528.0,375.0,413.0,459.392
459402.0,356.0,513.0,377.0,412.0,459.402
459412.0,355.0,524.0,374.0,417.0,459.412
459422.0,361.0,537.0,384.0,422.0,459.422
459432.0,364.0,521.0,389.0,422.0,459.432
459442.0,355.0,536.0,373.0,414.0,459.442
459452.0,353.0,520.0,373.0,414.0,459.452
459462.0,355.0,528.0,373.0,417.0,459.462
459472.0,360.0,540.0,379.0,420.0,459.472
459482.0,367.0,526.0,389.0,426.0,459.482
459492.0,354.0,537.0,368.0,413.0,459.492
459502.0,353.0,524.0,371.0,412.0,459.502
459512.0,356.0,533.0,373.0,420.0,459.512
459522.0,359.0,544.0,379.0,423.0,459.522
459532.0,366.0,529.0,388.0,425.0,459.532
459542.0,353.0,547.0,366.0,409.0,459.542
459552.0,352.0,535.0,370.0,414.0,459.552
459563.0,357.0,548.0,374.0,421.0,459.563
459573.0,360.0,561.0,380.0,423.0,459.573
459583.0,360.0,538.0,384.0,419.0,459.583
459593.0,350.0,556.0,364.0,408.0,459.593
459603.0,354.0,554.0,376.0,420.0,459.603
459613.0,362.0,557.0,380.0,426.0,459.613
459623.0,363.0,570.0,383.0,427.0,459.623
459633.0,361.0,546.0,385.0,421.0,459.633
459643.0,349.0,557.0,364.0,410.0,459.643
459653.0,354.0,549.0,373.0,417.0,459.653
459663.0,362.0,558.0,379.0,428.0,459.663
459673.0,363.0,571.0,383.0,428.0,459.673
459683.0,361.0,548.0,385.0,425.0,459.683
459693.0,352.0,561.0,368.0,415.0,459.693
459703.0,354.0,553.0,374.0,418.0,459.703
459713.0,364.0,561.0,383.0,428.0,459.713
459723.0,362.0,572.0,380.0,423.0,459.723
459734.0,360.0,550.0,382.0,420.0,459.734
459744.0,349.0,560.0,364.0,410.0,459.744
459754.0,359.0,564.0,380.0,424.0,459.754
459764.0,368.0,556.0,389.0,432.0,459.764
459774.0,358.0,568.0,374.0,419.0,459.774
459784.0,359.0,549.0,378.0,419.0,459.784
459794.0,350.0,554.0,361.0,410.0,459.794
459804.0,360.0,561.0,378.0,423.0,459.804
459814.0,368.0,552.0,387.0,430.0,459.814
459824.0,361.0,562.0,376.0,420.0,459.824
459834.0,357.0,542.0,377.0,417.0,459.834
459844.0,351.0,549.0,366.0,412.0,459.844
459854.0,359.0,556.0,379.0,423.0,459.854
459864.0,366.0,549.0,383.0,431.0,459.864
459874.0,360.0,556.0,377.0,424.0,459.874
459884.0,358.0,536.0,380.0,422.0,459.884
459894.0,352.0,543.0,367.0,416.0,459.894
459904.0,357.0,545.0,376.0,421.0,459.904
459914.0,367.0,545.0,383.0,433.0,459.914
459924.0,359.0,550.0,374.0,421.0,459.924
459934.0,357.0,533.0,375.0,418.0,459.934
459944.0,351.0,535.0,366.0,416.0,459.944
459954.0,356.0,538.0,377.0,423.0,459.954
459964.0,366.0,534.0,384.0,433.0,459.964
459974.0,357.0,536.0,374.0,420.0,459.974
459984.0,354.0,520.0,374.0,416.0,459.984
459994.0,348.0,522.0,367.0,413.0,459.994
460004.0,358.0,531.0,382.0,427.0,460.004
460014.0,366.0,526.0,388.0,435.0,460.014
460024.0,356.0,530.0,376.0,421.0,460.024
460034.0,357.0,516.0,382.0,423.0,460.034
460044.0,348.0,519.0,368.0,416.0,460.044
460054.0,358.0,529.0,383.0,429.0,460.054
460064.0,367.0,523.0,390.0,438.0,460.064
460075.0,355.0,525.0,376.0,423.0,460.075
460085.0,353.0,513.0,376.0,422.0,460.085
460095.0,356.0,520.0,377.0,426.0,460.095
460105.0,362.0,530.0,385.0,430.0,460.105
460115.0,363.0,513.0,389.0,428.0,460.115
460125.0,355.0,524.0,374.0,420.0,460.125
460135.0,354.0,513.0,376.0,422.0,460.135
460145.0,357.0,520.0,376.0,430.0,460.145
460155.0,361.0,530.0,386.0,433.0,460.155
460165.0,367.0,517.0,390.0,435.0,460.165
460175.0,354.0,520.0,373.0,420.0,460.175
460185.0,354.0,510.0,374.0,420.0,460.185
460195.0,358.0,518.0,377.0,427.0,460.195
460205.0,360.0,523.0,384.0,428.0,460.205
460215.0,367.0,511.0,390.0,430.0,460.215
460225.0,354.0,513.0,373.0,415.0,460.225
460235.0,352.0,504.0,374.0,415.0,460.235
460246.0,360.0,512.0,379.0,429.0,460.246
460256.0,362.0,522.0,386.0,430.0,460.256
460266.0,361.0,504.0,385.0,425.0,460.266
460276.0,348.0,502.0,368.0,413.0,460.276
460286.0,356.0,506.0,381.0,423.0,460.286
460296.0,361.0,508.0,381.0,430.0,460.296
460306.0,362.0,517.0,387.0,429.0,460.306
460316.0,361.0,501.0,385.0,426.0,460.316
460326.0,349.0,500.0,372.0,415.0,460.326
460336.0,354.0,501.0,380.0,424.0,460.336
460346.0,364.0,509.0,387.0,436.0,460.346
460356.0,363.0,517.0,392.0,432.0,460.356
460366.0,359.0,500.0,387.0,425.0,460.366
460376.0,352.0,509.0,377.0,421.0,460.376
460386.0,353.0,505.0,379.0,424.0,460.386
460396.0,363.0,511.0,386.0,435.0,460.396
460406.0,360.0,520.0,387.0,431.0,460.406
460416.0,361.0,504.0,388.0,429.0,460.416
460426.0,351.0,511.0,373.0,418.0,460.426
460436.0,356.0,511.0,381.0,429.0,460.436
460446.0,368.0,520.0,387.0,440.0,460.446
460456.0,362.0,521.0,386.0,429.0,460.456
460466.0,364.0,509.0,387.0,428.0,460.466
460476.0,352.0,496.0,374.0,415.0,460.476
460486.0,356.0,496.0,379.0,422.0,460.486
460496.0,367.0,499.0,391.0,435.0,460.496
460506.0,364.0,494.0,396.0,431.0,460.506
460516.0,363.0,481.0,394.0,430.0,460.516
460526.0,350.0,465.0,378.0,416.0,460.526
460536.0,358.0,474.0,389.0,427.0,460.536
460546.0,363.0,475.0,391.0,437.0,460.546
460556.0,362.0,474.0,396.0,436.0,460.556
460566.0,360.0,463.0,391.0,433.0,460.566
460576.0,347.0,450.0,379.0,420.0,460.576
460587.0,358.0,463.0,390.0,430.0,460.587
460597.0,367.0,467.0,395.0,440.0,460.597
460607.0,360.0,458.0,392.0,428.0,460.607
460617.0,358.0,453.0,388.0,428.0,460.617
460627.0,354.0,450.0,386.0,425.0,460.627
460637.0,359.0,459.0,395.0,430.0,460.637
460647.0,369.0,462.0,402.0,440.0,460.647
460657.0,359.0,456.0,394.0,425.0,460.657
460667.0,357.0,448.0,385.0,412.0,460.667
460677.0,347.0,438.0,377.0,404.0,460.677
460687.0,359.0,455.0,392.0,419.0,460.687
460697.0,370.0,460.0,398.0,429.0,460.697
460707.0,359.0,449.0,390.0,417.0,460.707
460717.0,360.0,448.0,390.0,421.0,460.717
460727.0,352.0,440.0,388.0,419.0,460.727
460737.0,362.0,456.0,400.0,436.0,460.737
460747.0,370.0,458.0,404.0,439.0,460.747
460758.0,357.0,447.0,395.0,427.0,460.758
460768.0,355.0,446.0,391.0,426.0,460.768
460778.0,357.0,448.0,393.0,427.0,460.778
460788.0,363.0,456.0,399.0,420.0,460.788
460798.0,364.0,449.0,397.0,418.0,460.798
460808.0,356.0,445.0,392.0,411.0,460.808
460818.0,358.0,447.0,392.0,414.0,460.818
460828.0,363.0,452.0,393.0,419.0,460.828
460838.0,367.0,458.0,402.0,425.0,460.838
460848.0,373.0,456.0,402.0,427.0,460.848
460858.0,358.0,444.0,391.0,410.0,460.858
460868.0,356.0,442.0,385.0,410.0,460.868
460878.0,364.0,452.0,398.0,430.0,460.878
460888.0,366.0,455.0,410.0,436.0,460.888
460898.0,371.0,454.0,411.0,437.0,460.898
460908.0,356.0,439.0,400.0,421.0,460.908
460918.0,356.0,442.0,392.0,417.0,460.918
460928.0,359.0,447.0,401.0,424.0,460.928
460938.0,367.0,458.0,415.0,433.0,460.938
460948.0,373.0,454.0,415.0,436.0,460.948
460958.0,361.0,441.0,407.0,418.0,460.958
460968.0,362.0,444.0,405.0,425.0,460.968
460978.0,364.0,445.0,410.0,427.0,460.978
460988.0,370.0,451.0,420.0,433.0,460.988
460998.0,370.0,447.0,414.0,430.0,460.998
461008.0,357.0,433.0,404.0,411.0,461.008
461018.0,361.0,441.0,404.0,419.0,461.018
461028.0,367.0,446.0,412.0,427.0,461.028
461038.0,371.0,452.0,418.0,426.0,461.038
461048.0,377.0,450.0,422.0,434.0,461.048
461058.0,366.0,438.0,416.0,427.0,461.058
461068.0,366.0,440.0,412.0,428.0,461.068
461078.0,370.0,445.0,420.0,441.0,461.078
461088.0,372.0,446.0,432.0,446.0,461.088
461099.0,372.0,446.0,422.0,439.0,461.099
461109.0,361.0,430.0,418.0,430.0,461.109
461119.0,366.0,442.0,424.0,443.0,461.119
461129.0,374.0,449.0,431.0,448.0,461.129
461139.0,368.0,439.0,426.0,437.0,461.139
461149.0,369.0,441.0,422.0,437.0,461.149
461159.0,357.0,425.0,417.0,426.0,461.159
461169.0,365.0,439.0,422.0,435.0,461.169
461179.0,376.0,457.0,431.0,450.0,461.179
461189.0,371.0,439.0,435.0,449.0,461.189
461199.0,369.0,449.0,422.0,440.0,461.199
461209.0,356.0,423.0,420.0,428.0,461.209
461219.0,365.0,439.0,427.0,441.0,461.219
461229.0,375.0,455.0,431.0,445.0,461.229
461239.0,374.0,440.0,437.0,442.0,461.239
461249.0,371.0,455.0,424.0,435.0,461.249
461259.0,359.0,429.0,421.0,426.0,461.259
461270.0,366.0,442.0,428.0,437.0,461.27
461280.0,376.0,465.0,436.0,445.0,461.28
461290.0,368.0,435.0,434.0,434.0,461.29
461300.0,366.0,452.0,425.0,431.0,461.3
461310.0,363.0,446.0,428.0,433.0,461.31
461320.0,362.0,444.0,428.0,430.0,461.32
461330.0,372.0,467.0,433.0,438.0,461.33
461340.0,364.0,435.0,432.0,424.0,461.34
461350.0,363.0,449.0,425.0,424.0,461.35
461360.0,358.0,440.0,426.0,426.0,461.36
461370.0,369.0,452.0,442.0,444.0,461.37
461380.0,378.0,472.0,447.0,452.0,461.38
461390.0,367.0,441.0,437.0,433.0,461.39
461400.0,369.0,455.0,431.0,435.0,461.4
461410.0,362.0,441.0,429.0,427.0,461.41
461420.0,367.0,448.0,435.0,433.0,461.42
461430.0,375.0,461.0,434.0,434.0,461.43
461440.0,366.0,437.0,430.0,422.0,461.44
461450.0,362.0,445.0,419.0,418.0,461.45
461460.0,357.0,436.0,419.0,416.0,461.46
461470.0,367.0,447.0,432.0,427.0,461.47
461480.0,374.0,459.0,433.0,432.0,461.48
461490.0,365.0,438.0,432.0,423.0,461.49
461500.0,362.0,438.0,420.0,417.0,461.5
461510.0,359.0,432.0,424.0,414.0,461.51
461520.0,368.0,443.0,434.0,426.0,461.52
461530.0,373.0,451.0,437.0,431.0,461.53
461540.0,367.0,434.0,437.0,427.0,461.54
461550.0,368.0,437.0,426.0,423.0,461.55
461560.0,365.0,434.0,428.0,423.0,461.56
461570.0,369.0,441.0,433.0,429.0,461.57
461580.0,377.0,451.0,437.0,435.0,461.58
461590.0,367.0,431.0,435.0,425.0,461.59
461600.0,365.0,438.0,426.0,427.0,461.6
461611.0,366.0,439.0,431.0,431.0,461.611
461621.0,374.0,447.0,443.0,439.0,461.621
461631.0,376.0,449.0,437.0,438.0,461.631
461641.0,364.0,429.0,432.0,424.0,461.641
461651.0,359.0,435.0,424.0,421.0,461.651
461661.0,362.0,438.0,428.0,424.0,461.661
461671.0,367.0,440.0,436.0,426.0,461.671
461681.0,370.0,445.0,429.0,425.0,461.681
461691.0,358.0,426.0,424.0,413.0,461.691
461701.0,361.0,434.0,421.0,417.0,461.701
461711.0,366.0,442.0,435.0,431.0,461.711
461721.0,369.0,443.0,438.0,427.0,461.721
461731.0,370.0,441.0,430.0,427.0,461.731
461741.0,363.0,434.0,430.0,420.0,461.741
461751.0,363.0,436.0,423.0,422.0,461.751
461761.0,368.0,442.0,433.0,431.0,461.761
461771.0,368.0,447.0,439.0,434.0,461.771
461782.0,368.0,443.0,431.0,431.0,461.782
461792.0,356.0,428.0,425.0,416.0,461.792
461802.0,362.0,441.0,429.0,426.0,461.802
461812.0,375.0,454.0,443.0,440.0,461.812
461822.0,369.0,446.0,442.0,434.0,461.822
461832.0,370.0,445.0,434.0,433.0,461.832
461842.0,358.0,433.0,427.0,422.0,461.842
461852.0,365.0,445.0,432.0,430.0,461.852
461862.0,375.0,453.0,441.0,441.0,461.862
461872.0,371.0,452.0,441.0,439.0,461.872
461882.0,369.0,444.0,431.0,435.0,461.882
461892.0,357.0,434.0,425.0,425.0,461.892
461902.0,362.0,451.0,432.0,440.0,461.902
461912.0,369.0,454.0,439.0,445.0,461.912
461922.0,367.0,454.0,437.0,437.0,461.922
461932.0,365.0,446.0,428.0,433.0,461.932
461942.0,355.0,439.0,423.0,427.0,461.942
461952.0,361.0,449.0,424.0,430.0,461.952
461962.0,372.0,460.0,437.0,447.0,461.962
461972.0,369.0,463.0,434.0,438.0,461.972
461982.0,367.0,454.0,425.0,433.0,461.982
461992.0,356.0,448.0,418.0,424.0,461.992
462002.0,361.0,454.0,415.0,421.0,462.002
462012.0,371.0,463.0,426.0,431.0,462.012
462022.0,367.0,467.0,423.0,427.0,462.022
462032.0,365.0,460.0,417.0,428.0,462.032
462042.0,357.0,455.0,413.0,422.0,462.042
462052.0,363.0,465.0,419.0,433.0,462.052
462062.0,376.0,472.0,429.0,440.0,462.062
462072.0,368.0,469.0,422.0,434.0,462.072
462082.0,369.0,462.0,419.0,435.0,462.082
462092.0,356.0,456.0,406.0,421.0,462.092
462102.0,367.0,470.0,419.0,436.0,462.102
462112.0,376.0,474.0,428.0,445.0,462.112
462123.0,367.0,472.0,419.0,435.0,462.123
462133.0,366.0,464.0,414.0,434.0,462.133
462143.0,362.0,464.0,410.0,435.0,462.143
462153.0,372.0,480.0,422.0,450.0,462.153
462163.0,379.0,475.0,423.0,448.0,462.163
