time (ms),signal 0,signal 1,signal 2,signal 3,time (sec)
642974.0,230.0,32.0,241.0,260.0,642.974
642984.0,231.0,32.0,235.0,259.0,642.984
642994.0,233.0,32.0,255.0,259.0,642.994
643004.0,225.0,32.0,232.0,251.0,643.004
643014.0,226.0,31.0,248.0,252.0,643.014
643024.0,230.0,31.0,254.0,260.0,643.024
643034.0,231.0,31.0,248.0,259.0,643.034
643044.0,232.0,32.0,268.0,258.0,643.044
643054.0,224.0,32.0,244.0,251.0,643.054
643064.0,226.0,33.0,260.0,256.0,643.064
643074.0,227.0,32.0,261.0,258.0,643.074
643084.0,231.0,31.0,262.0,261.0,643.084
643094.0,233.0,32.0,284.0,259.0,643.094
643104.0,225.0,32.0,257.0,253.0,643.104
643115.0,226.0,32.0,276.0,256.0,643.115
643125.0,233.0,32.0,284.0,262.0,643.125
643135.0,231.0,32.0,270.0,259.0,643.135
643145.0,231.0,31.0,294.0,257.0,643.145
643155.0,223.0,32.0,272.0,251.0,643.155
643165.0,227.0,32.0,288.0,256.0,643.165
643175.0,234.0,32.0,296.0,262.0,643.175
643185.0,231.0,32.0,281.0,258.0,643.185
643195.0,230.0,32.0,305.0,257.0,643.195
643205.0,225.0,32.0,282.0,250.0,643.205
643215.0,228.0,32.0,300.0,257.0,643.215
643225.0,234.0,31.0,308.0,263.0,643.225
643235.0,230.0,31.0,292.0,257.0,643.235
643245.0,231.0,32.0,318.0,258.0,643.245
643255.0,223.0,32.0,291.0,250.0,643.255
643265.0,228.0,32.0,307.0,257.0,643.265
643275.0,234.0,31.0,313.0,263.0,643.275
643286.0,231.0,31.0,296.0,257.0,643.286
643296.0,230.0,32.0,320.0,257.0,643.296
643306.0,225.0,31.0,300.0,253.0,643.306
643316.0,232.0,32.0,309.0,262.0,643.316
643326.0,235.0,32.0,321.0,263.0,643.326
643336.0,230.0,31.0,301.0,259.0,643.336
643346.0,230.0,32.0,323.0,259.0,643.346
643356.0,227.0,31.0,306.0,257.0,643.356
643366.0,233.0,32.0,313.0,264.0,643.366
643376.0,237.0,32.0,320.0,267.0,643.376
643386.0,231.0,32.0,306.0,261.0,643.386
643396.0,232.0,31.0,327.0,261.0,643.396
643406.0,229.0,32.0,309.0,260.0,643.406
643416.0,233.0,31.0,319.0,264.0,643.416
643426.0,238.0,33.0,321.0,268.0,643.426
643436.0,232.0,31.0,306.0,260.0,643.436
643446.0,232.0,32.0,325.0,260.0,643.446
643456.0,227.0,31.0,305.0,254.0,643.456
