time (ms),signal 0,signal 1,signal 2,signal 3,time (sec)
829434.0,219.0,33.0,244.0,250.0,829.434
829444.0,214.0,33.0,246.0,246.0,829.444
829454.0,213.0,32.0,237.0,244.0,829.454
829464.0,208.0,32.0,239.0,241.0,829.464
829474.0,217.0,33.0,245.0,248.0,829.474
829484.0,218.0,33.0,243.0,251.0,829.484
829494.0,214.0,32.0,245.0,248.0,829.494
829504.0,214.0,33.0,236.0,247.0,829.504
829514.0,210.0,33.0,240.0,243.0,829.514
829524.0,216.0,32.0,245.0,251.0,829.524
829534.0,220.0,33.0,243.0,252.0,829.534
829544.0,213.0,33.0,243.0,247.0,829.544
829554.0,213.0,33.0,234.0,245.0,829.554
829564.0,211.0,32.0,239.0,246.0,829.564
829574.0,213.0,33.0,241.0,250.0,829.574
829584.0,219.0,33.0,241.0,254.0,829.584
829594.0,212.0,33.0,243.0,248.0,829.594
829604.0,213.0,33.0,236.0,248.0,829.604
829614.0,206.0,33.0,236.0,243.0,829.614
829624.0,214.0,32.0,243.0,252.0,829.624
829634.0,219.0,34.0,242.0,254.0,829.634
829644.0,213.0,32.0,243.0,249.0,829.644
829654.0,213.0,33.0,236.0,249.0,829.654
829664.0,206.0,33.0,239.0,244.0,829.664
829674.0,213.0,33.0,243.0,254.0,829.674
829684.0,217.0,33.0,242.0,254.0,829.684
829694.0,211.0,32.0,243.0,249.0,829.694
829704.0,213.0,33.0,238.0,249.0,829.704
829714.0,207.0,32.0,240.0,247.0,829.714
829724.0,215.0,33.0,246.0,255.0,829.724
829734.0,220.0,33.0,242.0,255.0,829.734
829744.0,212.0,32.0,245.0,253.0,829.744
829754.0,214.0,32.0,238.0,251.0,829.754
829764.0,209.0,33.0,240.0,251.0,829.764
829774.0,216.0,33.0,247.0,257.0,829.774
829784.0,219.0,34.0,244.0,258.0,829.784
829794.0,216.0,33.0,246.0,255.0,829.794
829804.0,217.0,34.0,237.0,254.0,829.804
829814.0,213.0,32.0,241.0,253.0,829.814
829824.0,216.0,34.0,243.0,259.0,829.824
829834.0,223.0,33.0,245.0,261.0,829.834
829844.0,214.0,33.0,244.0,254.0,829.844
829854.0,215.0,33.0,237.0,252.0,829.854
829864.0,212.0,33.0,242.0,254.0,829.864
829874.0,216.0,33.0,244.0,257.0,829.874
829884.0,220.0,33.0,244.0,260.0,829.884
829894.0,213.0,33.0,244.0,253.0,829.894
829904.0,215.0,33.0,237.0,252.0,829.904
829914.0,208.0,33.0,239.0,249.0,829.914
829924.0,216.0,33.0,246.0,257.0,829.924
829934.0,221.0,34.0,245.0,259.0,829.934
829944.0,213.0,32.0,246.0,252.0,829.944
829954.0,215.0,34.0,239.0,253.0,829.954
829964.0,210.0,33.0,242.0,249.0,829.964
829974.0,215.0,33.0,247.0,256.0,829.974
829984.0,220.0,33.0,244.0,256.0,829.984
829995.0,211.0,33.0,244.0,250.0,829.995
830005.0,213.0,32.0,239.0,250.0,830.005
830015.0,215.0,34.0,245.0,255.0,830.015
830025.0,217.0,32.0,251.0,255.0,830.025
830035.0,217.0,33.0,240.0,252.0,830.035
830045.0,213.0,32.0,246.0,248.0,830.045
830055.0,214.0,33.0,240.0,250.0,830.055
830065.0,216.0,33.0,246.0,254.0,830.065
830075.0,215.0,32.0,252.0,256.0,830.075
830085.0,219.0,33.0,245.0,254.0,830.085
830095.0,210.0,32.0,246.0,247.0,830.095
830105.0,212.0,33.0,240.0,249.0,830.105
830115.0,216.0,32.0,247.0,254.0,830.115
830125.0,215.0,32.0,249.0,255.0,830.125
830135.0,218.0,32.0,242.0,254.0,830.135
830145.0,208.0,33.0,245.0,248.0,830.145
830155.0,212.0,33.0,241.0,248.0,830.155
830166.0,215.0,33.0,248.0,255.0,830.166
830176.0,216.0,33.0,250.0,253.0,830.176
830186.0,216.0,33.0,241.0,250.0,830.186
830196.0,207.0,32.0,244.0,243.0,830.196
830206.0,214.0,34.0,247.0,252.0,830.206
830216.0,217.0,32.0,250.0,254.0,830.216
