time (ms),signal 0,signal 1,signal 2,signal 3,time (sec)
1467896.0,203.0,247.0,212.0,227.0,1467.896
1467906.0,208.0,253.0,214.0,233.0,1467.906
1467916.0,213.0,254.0,215.0,236.0,1467.916
1467926.0,207.0,250.0,214.0,230.0,1467.926
1467936.0,209.0,248.0,208.0,230.0,1467.936
1467947.0,205.0,248.0,210.0,230.0,1467.947
1467957.0,210.0,255.0,217.0,236.0,1467.957
1467967.0,213.0,251.0,211.0,234.0,1467.967
1467977.0,205.0,247.0,212.0,226.0,1467.977
1467987.0,207.0,249.0,208.0,228.0,1467.987
1467997.0,206.0,247.0,213.0,229.0,1467.997
1468007.0,211.0,255.0,218.0,235.0,1468.007
1468017.0,213.0,251.0,213.0,234.0,1468.017
1468027.0,204.0,245.0,212.0,226.0,1468.027
1468037.0,208.0,251.0,211.0,230.0,1468.037
1468047.0,208.0,250.0,216.0,233.0,1468.047
1468057.0,212.0,259.0,222.0,236.0,1468.057
1468067.0,213.0,253.0,215.0,235.0,1468.067
1468077.0,207.0,254.0,220.0,232.0,1468.077
1468087.0,208.0,253.0,215.0,232.0,1468.087
1468097.0,209.0,256.0,220.0,235.0,1468.097
1468107.0,211.0,259.0,226.0,238.0,1468.107
1468118.0,212.0,255.0,219.0,237.0,1468.118
1468128.0,205.0,249.0,217.0,229.0,1468.128
1468138.0,208.0,255.0,215.0,234.0,1468.138
1468148.0,214.0,259.0,221.0,239.0,1468.148
1468158.0,210.0,258.0,218.0,235.0,1468.158
1468168.0,213.0,255.0,214.0,235.0,1468.168
1468178.0,204.0,250.0,213.0,227.0,1468.178
1468188.0,208.0,257.0,214.0,233.0,1468.188
1468198.0,215.0,261.0,219.0,239.0,1468.198
1468208.0,212.0,260.0,221.0,237.0,1468.208
1468218.0,213.0,254.0,213.0,234.0,1468.218
1468228.0,203.0,248.0,209.0,225.0,1468.228
1468238.0,209.0,255.0,210.0,232.0,1468.238
1468248.0,212.0,258.0,214.0,237.0,1468.248
1468258.0,214.0,259.0,219.0,235.0,1468.258
1468268.0,212.0,256.0,211.0,234.0,1468.268
1468278.0,204.0,249.0,211.0,225.0,1468.278
1468288.0,209.0,257.0,211.0,233.0,1468.288
1468298.0,216.0,262.0,222.0,240.0,1468.298
1468308.0,213.0,260.0,224.0,238.0,1468.308
1468318.0,212.0,257.0,219.0,237.0,1468.318
1468328.0,204.0,249.0,214.0,229.0,1468.328
1468338.0,209.0,256.0,216.0,234.0,1468.338
1468348.0,215.0,262.0,225.0,242.0,1468.348
1468358.0,213.0,261.0,226.0,238.0,1468.358
1468368.0,213.0,256.0,219.0,236.0,1468.368
1468378.0,206.0,249.0,218.0,230.0,1468.378
1468388.0,210.0,255.0,219.0,236.0,1468.388
1468398.0,216.0,261.0,225.0,242.0,1468.398
1468408.0,212.0,260.0,222.0,235.0,1468.408
1468418.0,213.0,259.0,218.0,236.0,1468.418
1468428.0,207.0,250.0,218.0,227.0,1468.428
1468438.0,209.0,256.0,216.0,233.0,1468.438
1468448.0,216.0,260.0,221.0,239.0,1468.448
1468459.0,212.0,257.0,222.0,234.0,1468.459
1468469.0,212.0,254.0,216.0,234.0,1468.469
1468479.0,207.0,249.0,216.0,232.0,1468.479
1468489.0,214.0,259.0,221.0,239.0,1468.489
1468499.0,217.0,258.0,217.0,239.0,1468.499
1468509.0,212.0,258.0,222.0,235.0,1468.509
1468519.0,213.0,257.0,216.0,235.0,1468.519
1468529.0,208.0,252.0,217.0,232.0,1468.529
1468539.0,214.0,262.0,226.0,241.0,1468.539
1468549.0,217.0,262.0,224.0,242.0,1468.549
1468559.0,212.0,256.0,225.0,238.0,1468.559
1468569.0,212.0,255.0,218.0,237.0,1468.569
1468579.0,209.0,253.0,220.0,235.0,1468.579
1468589.0,212.0,259.0,226.0,241.0,1468.589
1468599.0,219.0,263.0,229.0,245.0,1468.599
1468609.0,211.0,257.0,226.0,238.0,1468.609
1468619.0,213.0,257.0,221.0,237.0,1468.619
1468630.0,209.0,256.0,223.0,237.0,1468.63
1468640.0,216.0,265.0,232.0,244.0,1468.64
1468650.0,217.0,262.0,226.0,240.0,1468.65
1468660.0,205.0,253.0,224.0,232.0,1468.66
1468670.0,210.0,258.0,221.0,237.0,1468.67
1468680.0,213.0,266.0,225.0,240.0,1468.68
1468690.0,217.0,267.0,226.0,242.0,1468.69
1468700.0,219.0,264.0,218.0,239.0,1468.7
1468710.0,211.0,254.0,214.0,233.0,1468.71
1468720.0,216.0,257.0,211.0,233.0,1468.72
1468730.0,214.0,257.0,217.0,236.0,1468.73
1468740.0,217.0,264.0,224.0,241.0,1468.74
1468750.0,218.0,256.0,215.0,238.0,1468.75
1468760.0,215.0,262.0,220.0,238.0,1468.76
1468770.0,216.0,260.0,213.0,237.0,1468.77
1468780.0,220.0,269.0,220.0,241.0,1468.78
1468790.0,221.0,269.0,226.0,242.0,1468.79
1468800.0,225.0,272.0,221.0,243.0,1468.8
1468810.0,215.0,262.0,218.0,235.0,1468.81
1468820.0,217.0,265.0,213.0,237.0,1468.82
1468830.0,216.0,263.0,219.0,241.0,1468.83
1468840.0,218.0,262.0,222.0,242.0,1468.84
1468850.0,221.0,257.0,216.0,239.0,1468.85
1468860.0,216.0,252.0,214.0,234.0,1468.86
1468870.0,217.0,255.0,215.0,235.0,1468.87
1468880.0,215.0,255.0,219.0,238.0,1468.88
1468890.0,210.0,247.0,216.0,237.0,1468.89
1468900.0,213.0,250.0,212.0,235.0,1468.9
1468910.0,208.0,246.0,210.0,234.0,1468.91
1468920.0,217.0,258.0,215.0,241.0,1468.92
1468930.0,220.0,270.0,223.0,249.0,1468.93
1468940.0,229.0,274.0,229.0,253.0,1468.94
1468950.0,229.0,275.0,223.0,250.0,1468.95
1468960.0,226.0,279.0,226.0,248.0,1468.96
1468971.0,227.0,278.0,218.0,245.0,1468.971
1468981.0,223.0,272.0,220.0,249.0,1468.981
1468991.0,219.0,272.0,220.0,250.0,1468.991
1469001.0,208.0,266.0,218.0,251.0,1469.001
1469011.0,203.0,265.0,217.0,250.0,1469.011
1469021.0,206.0,265.0,215.0,254.0,1469.021
1469031.0,218.0,277.0,227.0,262.0,1469.031
1469041.0,224.0,285.0,230.0,260.0,1469.041
1469051.0,225.0,287.0,228.0,257.0,1469.051
1469061.0,215.0,269.0,222.0,246.0,1469.061
1469071.0,229.0,279.0,222.0,251.0,1469.071
1469081.0,243.0,283.0,226.0,256.0,1469.081
1469091.0,240.0,279.0,217.0,249.0,1469.091
1469101.0,245.0,284.0,217.0,252.0,1469.101
1469111.0,238.0,278.0,217.0,251.0,1469.111
1469121.0,235.0,272.0,219.0,252.0,1469.121
1469131.0,246.0,283.0,226.0,260.0,1469.131
1469142.0,244.0,284.0,221.0,255.0,1469.142
1469152.0,248.0,286.0,224.0,257.0,1469.152
1469162.0,239.0,280.0,223.0,252.0,1469.162
1469172.0,241.0,285.0,231.0,258.0,1469.172
1469182.0,245.0,291.0,233.0,262.0,1469.182
1469192.0,243.0,287.0,229.0,256.0,1469.192
1469202.0,247.0,286.0,223.0,257.0,1469.202
1469212.0,241.0,286.0,225.0,256.0,1469.212
1469222.0,248.0,295.0,235.0,266.0,1469.222
1469232.0,249.0,295.0,236.0,269.0,1469.232
1469242.0,240.0,282.0,235.0,261.0,1469.242
1469252.0,240.0,282.0,232.0,265.0,1469.252
1469262.0,237.0,280.0,228.0,258.0,1469.262
1469272.0,242.0,298.0,234.0,260.0,1469.272
1469282.0,246.0,303.0,232.0,264.0,1469.282
1469292.0,235.0,287.0,231.0,254.0,1469.292
1469302.0,231.0,274.0,219.0,249.0,1469.302
1469312.0,222.0,261.0,215.0,240.0,1469.312
1469322.0,233.0,276.0,230.0,256.0,1469.322
1469332.0,236.0,284.0,235.0,264.0,1469.332
1469342.0,227.0,274.0,233.0,253.0,1469.342
1469352.0,238.0,285.0,228.0,256.0,1469.352
1469362.0,231.0,275.0,226.0,251.0,1469.362
1469372.0,232.0,279.0,232.0,255.0,1469.372
1469382.0,240.0,281.0,233.0,260.0,1469.382
1469392.0,240.0,286.0,243.0,259.0,1469.392
1469402.0,242.0,291.0,241.0,269.0,1469.402
1469412.0,234.0,283.0,236.0,262.0,1469.412
1469422.0,240.0,295.0,248.0,270.0,1469.422
1469432.0,243.0,295.0,243.0,270.0,1469.432
1469442.0,233.0,288.0,244.0,259.0,1469.442
1469452.0,237.0,288.0,239.0,257.0,1469.452
1469462.0,232.0,283.0,235.0,250.0,1469.462
1469472.0,234.0,275.0,236.0,251.0,1469.472
1469483.0,242.0,282.0,228.0,252.0,1469.483
1469493.0,234.0,272.0,227.0,244.0,1469.493
1469503.0,242.0,284.0,229.0,249.0,1469.503
1469513.0,249.0,294.0,235.0,255.0,1469.513
1469523.0,249.0,292.0,239.0,254.0,1469.523
1469533.0,251.0,301.0,234.0,256.0,1469.533
1469543.0,243.0,293.0,238.0,254.0,1469.543
1469553.0,240.0,293.0,235.0,257.0,1469.553
1469563.0,251.0,306.0,246.0,265.0,1469.563
1469573.0,250.0,302.0,248.0,262.0,1469.573
1469583.0,247.0,301.0,241.0,263.0,1469.583
1469593.0,231.0,281.0,238.0,249.0,1469.593
1469603.0,234.0,281.0,234.0,249.0,1469.603
1469613.0,237.0,285.0,237.0,248.0,1469.613
1469623.0,241.0,287.0,242.0,242.0,1469.623
1469633.0,241.0,286.0,231.0,243.0,1469.633
1469643.0,232.0,279.0,233.0,234.0,1469.643
1469654.0,234.0,279.0,231.0,239.0,1469.654
1469664.0,244.0,286.0,239.0,247.0,1469.664
1469674.0,237.0,280.0,237.0,240.0,1469.674
1469684.0,235.0,275.0,225.0,236.0,1469.684
1469694.0,226.0,268.0,227.0,234.0,1469.694
1469704.0,236.0,279.0,235.0,247.0,1469.704
1469714.0,242.0,288.0,244.0,254.0,1469.714
1469724.0,236.0,282.0,246.0,247.0,1469.724
1469734.0,234.0,281.0,240.0,245.0,1469.734
1469744.0,226.0,273.0,239.0,236.0,1469.744
1469754.0,232.0,279.0,242.0,246.0,1469.754
1469764.0,238.0,282.0,243.0,251.0,1469.764
1469774.0,232.0,272.0,243.0,248.0,1469.774
1469784.0,231.0,273.0,236.0,251.0,1469.784
1469794.0,226.0,272.0,239.0,244.0,1469.794
1469804.0,232.0,277.0,243.0,255.0,1469.804
1469814.0,240.0,282.0,247.0,263.0,1469.814
1469824.0,237.0,283.0,248.0,259.0,1469.824
1469834.0,237.0,274.0,237.0,253.0,1469.834
1469844.0,224.0,263.0,236.0,242.0,1469.844
1469854.0,233.0,274.0,242.0,252.0,1469.854
1469864.0,238.0,277.0,246.0,259.0,1469.864
1469874.0,231.0,269.0,245.0,253.0,1469.874
1469884.0,232.0,266.0,232.0,247.0,1469.884
1469894.0,222.0,263.0,234.0,238.0,1469.894
1469904.0,233.0,277.0,244.0,249.0,1469.904
1469914.0,234.0,276.0,242.0,252.0,1469.914
1469924.0,230.0,274.0,243.0,252.0,1469.924
1469934.0,230.0,275.0,239.0,254.0,1469.934
1469944.0,224.0,271.0,236.0,244.0,1469.944
1469954.0,229.0,279.0,239.0,252.0,1469.954
1469964.0,237.0,282.0,243.0,257.0,1469.964
1469974.0,225.0,276.0,242.0,253.0,1469.974
1469984.0,226.0,271.0,237.0,250.0,1469.984
1469995.0,219.0,268.0,238.0,247.0,1469.995
1470005.0,230.0,278.0,250.0,259.0,1470.005
1470015.0,235.0,276.0,242.0,256.0,1470.015
1470025.0,227.0,267.0,239.0,247.0,1470.025
1470035.0,229.0,272.0,233.0,250.0,1470.035
1470045.0,224.0,266.0,234.0,244.0,1470.045
1470055.0,230.0,273.0,236.0,249.0,1470.055
1470065.0,235.0,271.0,232.0,249.0,1470.065
1470075.0,227.0,269.0,230.0,242.0,1470.075
1470085.0,232.0,271.0,226.0,247.0,1470.085
1470095.0,222.0,264.0,226.0,244.0,1470.095
1470105.0,225.0,268.0,229.0,249.0,1470.105
1470115.0,230.0,268.0,228.0,252.0,1470.115
1470125.0,225.0,275.0,224.0,248.0,1470.125
1470135.0,227.0,273.0,223.0,247.0,1470.135
1470145.0,222.0,271.0,218.0,248.0,1470.145
1470155.0,227.0,275.0,223.0,253.0,1470.155
1470166.0,232.0,271.0,217.0,249.0,1470.166
1470176.0,224.0,270.0,210.0,243.0,1470.176
1470186.0,225.0,269.0,210.0,247.0,1470.186
1470196.0,235.0,286.0,227.0,260.0,1470.196
1470206.0,231.0,285.0,220.0,257.0,1470.206
1470216.0,232.0,275.0,219.0,252.0,1470.216
1470226.0,221.0,269.0,207.0,248.0,1470.226
1470236.0,230.0,275.0,215.0,253.0,1470.236
1470246.0,233.0,275.0,214.0,257.0,1470.246
1470256.0,231.0,277.0,209.0,252.0,1470.256
1470266.0,233.0,272.0,212.0,248.0,1470.266
1470276.0,224.0,270.0,199.0,241.0,1470.276
1470286.0,226.0,272.0,206.0,247.0,1470.286
1470296.0,232.0,274.0,212.0,250.0,1470.296
1470306.0,234.0,281.0,208.0,252.0,1470.306
1470316.0,238.0,278.0,218.0,256.0,1470.316
1470326.0,229.0,274.0,198.0,246.0,1470.326
1470336.0,233.0,278.0,208.0,246.0,1470.336
1470346.0,238.0,286.0,213.0,252.0,1470.346
1470356.0,233.0,282.0,208.0,248.0,1470.356
1470366.0,237.0,277.0,223.0,243.0,1470.366
1470376.0,225.0,275.0,205.0,238.0,1470.376
1470386.0,230.0,278.0,219.0,242.0,1470.386
1470396.0,232.0,278.0,229.0,246.0,1470.396
1470406.0,232.0,281.0,223.0,249.0,1470.406
1470416.0,233.0,275.0,246.0,250.0,1470.416
1470426.0,233.0,278.0,232.0,246.0,1470.426
1470436.0,231.0,273.0,251.0,246.0,1470.436
1470446.0,234.0,280.0,264.0,255.0,1470.446
1470456.0,234.0,288.0,253.0,257.0,1470.456
1470466.0,237.0,285.0,285.0,257.0,1470.466
1470476.0,226.0,278.0,265.0,247.0,1470.476
1470486.0,228.0,280.0,284.0,253.0,1470.486
1470496.0,238.0,287.0,303.0,260.0,1470.496
1470507.0,236.0,288.0,288.0,252.0,1470.507
1470517.0,241.0,282.0,324.0,250.0,1470.517
1470527.0,230.0,274.0,309.0,243.0,1470.527
1470537.0,237.0,284.0,329.0,254.0,1470.537
1470547.0,242.0,285.0,358.0,260.0,1470.547
1470557.0,236.0,283.0,336.0,255.0,1470.557
1470567.0,241.0,280.0,374.0,252.0,1470.567
1470577.0,232.0,271.0,363.0,242.0,1470.577
1470587.0,229.0,272.0,380.0,250.0,1470.587
1470597.0,236.0,273.0,408.0,250.0,1470.597
1470607.0,232.0,269.0,392.0,240.0,1470.607
1470617.0,237.0,271.0,431.0,240.0,1470.617
1470627.0,234.0,272.0,420.0,236.0,1470.627
1470637.0,239.0,280.0,445.0,241.0,1470.637
1470647.0,248.0,285.0,475.0,249.0,1470.647
1470657.0,243.0,287.0,454.0,249.0,1470.657
1470667.0,247.0,284.0,501.0,252.0,1470.667
1470678.0,239.0,278.0,490.0,247.0,1470.678
1470688.0,248.0,289.0,502.0,257.0,1470.688
1470698.0,248.0,285.0,540.0,258.0,1470.698
1470708.0,237.0,277.0,520.0,249.0,1470.708
1470718.0,240.0,279.0,557.0,251.0,1470.718
1470728.0,239.0,279.0,555.0,249.0,1470.728
1470738.0,247.0,289.0,564.0,259.0,1470.738
1470748.0,242.0,280.0,605.0,260.0,1470.748
1470758.0,230.0,275.0,590.0,252.0,1470.758
1470768.0,234.0,277.0,631.0,255.0,1470.768
1470778.0,232.0,278.0,633.0,254.0,1470.778
1470788.0,239.0,288.0,640.0,261.0,1470.788
1470798.0,242.0,285.0,667.0,257.0,1470.798
1470808.0,232.0,279.0,664.0,254.0,1470.808
1470818.0,235.0,280.0,667.0,255.0,1470.818
1470828.0,231.0,278.0,668.0,254.0,1470.828
1470838.0,236.0,284.0,667.0,259.0,1470.838
1470848.0,239.0,285.0,668.0,261.0,1470.848
1470858.0,230.0,276.0,667.0,253.0,1470.858
1470868.0,229.0,273.0,666.0,253.0,1470.868
1470878.0,229.0,273.0,668.0,254.0,1470.878
1470888.0,232.0,280.0,666.0,258.0,1470.888
1470898.0,235.0,276.0,667.0,257.0,1470.898
1470908.0,225.0,275.0,667.0,251.0,1470.908
1470918.0,226.0,273.0,666.0,252.0,1470.918
1470928.0,226.0,273.0,668.0,253.0,1470.928
1470938.0,228.0,279.0,666.0,254.0,1470.938
1470948.0,231.0,273.0,668.0,250.0,1470.948
1470958.0,223.0,270.0,667.0,245.0,1470.958
1470968.0,225.0,271.0,667.0,244.0,1470.968
1470978.0,222.0,269.0,668.0,245.0,1470.978
1470988.0,228.0,277.0,666.0,253.0,1470.988
1470998.0,229.0,271.0,667.0,252.0,1470.998
1471008.0,218.0,269.0,667.0,248.0,1471.008
1471019.0,220.0,270.0,667.0,248.0,1471.019
1471029.0,224.0,276.0,668.0,252.0,1471.029
1471039.0,224.0,279.0,666.0,255.0,1471.039
1471049.0,224.0,269.0,668.0,250.0,1471.049
1471059.0,215.0,265.0,667.0,243.0,1471.059
1471069.0,219.0,268.0,667.0,245.0,1471.069
1471079.0,224.0,275.0,668.0,256.0,1471.079
1471089.0,224.0,279.0,667.0,256.0,1471.089
1471099.0,224.0,272.0,666.0,251.0,1471.099
1471109.0,220.0,270.0,667.0,247.0,1471.109
1471119.0,224.0,271.0,666.0,249.0,1471.119
1471129.0,230.0,278.0,668.0,254.0,1471.129
1471139.0,229.0,277.0,667.0,252.0,1471.139
1471149.0,228.0,272.0,667.0,250.0,1471.149
1471159.0,219.0,266.0,667.0,243.0,1471.159
1471169.0,221.0,269.0,666.0,244.0,1471.169
1471179.0,226.0,272.0,669.0,248.0,1471.179
1471190.0,223.0,272.0,666.0,246.0,1471.19
1471200.0,222.0,265.0,667.0,241.0,1471.2
1471210.0,214.0,259.0,667.0,237.0,1471.21
1471220.0,219.0,268.0,667.0,249.0,1471.22
1471230.0,222.0,269.0,668.0,250.0,1471.23
1471240.0,218.0,267.0,666.0,246.0,1471.24
1471250.0,218.0,262.0,667.0,244.0,1471.25
1471260.0,212.0,256.0,668.0,242.0,1471.26
1471270.0,222.0,269.0,666.0,250.0,1471.27
1471280.0,223.0,268.0,668.0,250.0,1471.28
1471290.0,220.0,265.0,666.0,247.0,1471.29
1471300.0,220.0,262.0,667.0,244.0,1471.3
1471310.0,216.0,258.0,668.0,241.0,1471.31
1471320.0,221.0,266.0,667.0,247.0,1471.32
1471330.0,226.0,269.0,667.0,251.0,1471.33
1471340.0,221.0,267.0,666.0,249.0,1471.34
1471350.0,219.0,264.0,667.0,247.0,1471.35
1471360.0,215.0,259.0,667.0,240.0,1471.36
1471370.0,221.0,268.0,667.0,250.0,1471.37
1471380.0,225.0,269.0,668.0,253.0,1471.38
1471390.0,220.0,266.0,667.0,246.0,1471.39
1471400.0,220.0,264.0,666.0,246.0,1471.4
1471410.0,213.0,259.0,668.0,238.0,1471.41
1471420.0,219.0,268.0,666.0,248.0,1471.42
1471430.0,223.0,267.0,668.0,251.0,1471.43
1471440.0,218.0,266.0,666.0,244.0,1471.44
1471450.0,219.0,264.0,667.0,244.0,1471.45
1471460.0,214.0,261.0,667.0,241.0,1471.46
1471470.0,220.0,271.0,666.0,249.0,1471.47
1471480.0,223.0,269.0,668.0,250.0,1471.48
1471490.0,220.0,271.0,666.0,246.0,1471.49
1471500.0,219.0,266.0,667.0,244.0,1471.5
1471510.0,212.0,260.0,667.0,239.0,1471.51
1471520.0,221.0,272.0,666.0,248.0,1471.52
1471531.0,222.0,268.0,668.0,249.0,1471.531
1471541.0,215.0,263.0,666.0,239.0,1471.541
1471551.0,215.0,260.0,666.0,238.0,1471.551
1471561.0,216.0,260.0,668.0,240.0,1471.561
1471571.0,219.0,264.0,667.0,243.0,1471.571
1471581.0,220.0,260.0,668.0,244.0,1471.581
1471591.0,214.0,257.0,666.0,237.0,1471.591
1471601.0,214.0,259.0,667.0,238.0,1471.601
1471611.0,216.0,262.0,667.0,241.0,1471.611
1471621.0,218.0,268.0,666.0,244.0,1471.621
1471631.0,222.0,262.0,668.0,242.0,1471.631
1471641.0,213.0,258.0,666.0,235.0,1471.641
1471651.0,215.0,259.0,666.0,237.0,1471.651
1471661.0,213.0,259.0,668.0,237.0,1471.661
1471671.0,220.0,266.0,666.0,241.0,1471.671
1471681.0,221.0,261.0,667.0,239.0,1471.681
1471691.0,213.0,254.0,667.0,232.0,1471.691
1471702.0,214.0,258.0,667.0,235.0,1471.702
1471712.0,218.0,262.0,668.0,240.0,1471.712
1471722.0,217.0,263.0,666.0,240.0,1471.722
1471732.0,215.0,257.0,666.0,236.0,1471.732
1471742.0,208.0,250.0,667.0,228.0,1471.742
1471752.0,213.0,256.0,667.0,235.0,1471.752
1471762.0,218.0,259.0,668.0,241.0,1471.762
1471772.0,216.0,256.0,666.0,237.0,1471.772
1471782.0,216.0,255.0,667.0,237.0,1471.782
1471792.0,210.0,249.0,667.0,231.0,1471.792
