time (ms),signal 0,signal 1,signal 2,signal 3,time (sec)
1589531.0,215.0,254.0,5.0,237.0,1589.531
1589541.0,209.0,245.0,3.0,231.0,1589.541
1589551.0,211.0,249.0,3.0,233.0,1589.551
1589561.0,203.0,240.0,3.0,226.0,1589.561
1589571.0,210.0,248.0,4.0,234.0,1589.571
1589581.0,215.0,253.0,4.0,238.0,1589.581
1589591.0,211.0,249.0,4.0,235.0,1589.591
1589601.0,210.0,249.0,2.0,233.0,1589.601
1589611.0,202.0,241.0,3.0,227.0,1589.611
1589621.0,210.0,249.0,3.0,236.0,1589.621
1589632.0,214.0,252.0,4.0,238.0,1589.632
1589642.0,208.0,245.0,3.0,233.0,1589.642
1589652.0,210.0,248.0,5.0,232.0,1589.652
1589662.0,208.0,248.0,2.0,233.0,1589.662
1589672.0,213.0,253.0,3.0,237.0,1589.672
1589682.0,215.0,257.0,3.0,239.0,1589.682
1589692.0,208.0,248.0,3.0,231.0,1589.692
1589702.0,210.0,249.0,5.0,231.0,1589.702
1589712.0,209.0,251.0,5.0,234.0,1589.712
1589722.0,213.0,255.0,3.0,237.0,1589.722
1589732.0,215.0,255.0,4.0,238.0,1589.732
1589742.0,209.0,247.0,4.0,231.0,1589.742
1589752.0,210.0,252.0,3.0,232.0,1589.752
1589762.0,207.0,247.0,3.0,230.0,1589.762
1589772.0,213.0,256.0,4.0,238.0,1589.772
1589782.0,218.0,257.0,5.0,238.0,1589.782
1589792.0,210.0,250.0,4.0,231.0,1589.792
1589803.0,211.0,253.0,4.0,231.0,1589.803
1589813.0,214.0,257.0,3.0,237.0,1589.813
1589823.0,216.0,258.0,3.0,238.0,1589.823
1589833.0,215.0,255.0,4.0,236.0,1589.833
1589843.0,208.0,248.0,5.0,228.0,1589.843
1589853.0,212.0,253.0,4.0,233.0,1589.853
1589863.0,215.0,259.0,4.0,238.0,1589.863
1589873.0,216.0,256.0,4.0,239.0,1589.873
1589883.0,216.0,257.0,3.0,235.0,1589.883
1589893.0,210.0,249.0,4.0,231.0,1589.893
1589903.0,213.0,253.0,4.0,234.0,1589.903
1589913.0,218.0,258.0,4.0,239.0,1589.913
1589923.0,215.0,255.0,4.0,238.0,1589.923
1589933.0,218.0,256.0,4.0,237.0,1589.933
1589943.0,210.0,248.0,3.0,231.0,1589.943
1589953.0,213.0,252.0,4.0,234.0,1589.953
1589963.0,218.0,258.0,3.0,240.0,1589.963
1589974.0,218.0,256.0,5.0,237.0,1589.974
1589984.0,216.0,254.0,4.0,235.0,1589.984
1589994.0,208.0,247.0,4.0,229.0,1589.994
1590004.0,216.0,258.0,3.0,239.0,1590.004
1590014.0,220.0,258.0,4.0,241.0,1590.014
1590024.0,215.0,254.0,3.0,238.0,1590.024
1590034.0,216.0,252.0,4.0,236.0,1590.034
1590044.0,208.0,247.0,4.0,230.0,1590.044
1590054.0,216.0,259.0,3.0,240.0,1590.054
1590064.0,220.0,261.0,3.0,242.0,1590.064
1590074.0,216.0,256.0,3.0,237.0,1590.074
1590084.0,216.0,255.0,4.0,236.0,1590.084
1590094.0,209.0,249.0,4.0,231.0,1590.094
1590104.0,215.0,255.0,4.0,236.0,1590.104
1590114.0,220.0,261.0,3.0,242.0,1590.114
1590124.0,215.0,257.0,4.0,236.0,1590.124
1590134.0,215.0,255.0,3.0,237.0,1590.134
1590144.0,209.0,249.0,4.0,229.0,1590.144
1590154.0,214.0,256.0,4.0,237.0,1590.154
1590164.0,221.0,261.0,5.0,241.0,1590.164
1590174.0,214.0,258.0,4.0,236.0,1590.174
1590184.0,215.0,257.0,3.0,235.0,1590.184
1590194.0,209.0,251.0,3.0,229.0,1590.194
1590204.0,216.0,259.0,4.0,237.0,1590.204
1590214.0,222.0,262.0,5.0,241.0,1590.214
1590224.0,214.0,258.0,4.0,235.0,1590.224
1590234.0,217.0,257.0,4.0,236.0,1590.234
1590244.0,208.0,251.0,4.0,228.0,1590.244
1590254.0,216.0,261.0,3.0,239.0,1590.254
1590264.0,221.0,264.0,3.0,241.0,1590.264
1590274.0,216.0,259.0,4.0,236.0,1590.274
1590284.0,215.0,257.0,3.0,236.0,1590.284
1590294.0,208.0,249.0,5.0,230.0,1590.294
1590304.0,215.0,259.0,4.0,239.0,1590.304
1590315.0,220.0,260.0,4.0,241.0,1590.315
1590325.0,212.0,255.0,3.0,235.0,1590.325
1590335.0,214.0,255.0,4.0,234.0,1590.335
1590345.0,213.0,256.0,3.0,237.0,1590.345
1590355.0,218.0,262.0,5.0,240.0,1590.355
1590365.0,220.0,262.0,3.0,242.0,1590.365
1590375.0,212.0,253.0,4.0,232.0,1590.375
1590385.0,213.0,259.0,3.0,234.0,1590.385
1590395.0,214.0,260.0,3.0,237.0,1590.395
1590405.0,217.0,263.0,4.0,239.0,1590.405
1590415.0,220.0,264.0,5.0,240.0,1590.415
1590425.0,211.0,253.0,4.0,231.0,1590.425
1590435.0,213.0,257.0,4.0,233.0,1590.435
1590445.0,210.0,254.0,4.0,232.0,1590.445
1590455.0,217.0,264.0,3.0,239.0,1590.455
1590465.0,219.0,262.0,5.0,238.0,1590.465
1590475.0,210.0,253.0,3.0,230.0,1590.475
1590486.0,214.0,256.0,4.0,232.0,1590.486
1590496.0,215.0,260.0,4.0,238.0,1590.496
1590506.0,215.0,259.0,4.0,237.0,1590.506
1590516.0,216.0,256.0,3.0,237.0,1590.516
1590526.0,208.0,248.0,4.0,228.0,1590.526
1590536.0,212.0,255.0,3.0,234.0,1590.536
1590546.0,216.0,260.0,5.0,240.0,1590.546
1590556.0,216.0,259.0,3.0,239.0,1590.556
1590566.0,217.0,258.0,3.0,237.0,1590.566
1590576.0,211.0,249.0,4.0,231.0,1590.576
