time (ms),signal 0,signal 1,signal 2,signal 3,time (sec)
1627706.0,210.0,253.0,3.0,234.0,1627.706
1627716.0,215.0,254.0,3.0,239.0,1627.716
1627726.0,210.0,250.0,4.0,231.0,1627.726
1627736.0,210.0,250.0,3.0,232.0,1627.736
1627746.0,204.0,244.0,5.0,224.0,1627.746
1627756.0,210.0,254.0,4.0,234.0,1627.756
1627766.0,215.0,255.0,3.0,236.0,1627.766
1627776.0,210.0,253.0,3.0,233.0,1627.776
1627786.0,210.0,251.0,4.0,231.0,1627.786
1627796.0,203.0,245.0,4.0,224.0,1627.796
1627806.0,209.0,256.0,4.0,234.0,1627.806
1627816.0,214.0,256.0,4.0,237.0,1627.816
1627826.0,208.0,252.0,2.0,234.0,1627.826
1627836.0,208.0,252.0,4.0,233.0,1627.836
1627846.0,203.0,246.0,3.0,228.0,1627.846
1627856.0,211.0,255.0,4.0,235.0,1627.856
1627866.0,213.0,256.0,4.0,238.0,1627.866
1627876.0,210.0,254.0,5.0,233.0,1627.876
1627886.0,210.0,251.0,4.0,233.0,1627.886
1627896.0,205.0,249.0,4.0,231.0,1627.896
1627906.0,210.0,257.0,3.0,237.0,1627.906
1627916.0,215.0,258.0,3.0,240.0,1627.916
1627926.0,209.0,254.0,3.0,234.0,1627.926
1627936.0,210.0,254.0,4.0,234.0,1627.936
1627947.0,207.0,253.0,4.0,231.0,1627.947
1627957.0,214.0,262.0,4.0,238.0,1627.957
1627967.0,215.0,257.0,4.0,239.0,1627.967
1627977.0,207.0,254.0,3.0,230.0,1627.977
1627987.0,209.0,255.0,4.0,232.0,1627.987
1627997.0,207.0,255.0,4.0,233.0,1627.997
1628007.0,214.0,263.0,4.0,240.0,1628.007
1628017.0,215.0,258.0,4.0,239.0,1628.017
1628027.0,208.0,252.0,4.0,233.0,1628.027
1628037.0,210.0,256.0,3.0,238.0,1628.037
1628047.0,211.0,256.0,4.0,239.0,1628.047
1628057.0,216.0,263.0,4.0,243.0,1628.057
1628067.0,217.0,257.0,4.0,240.0,1628.067
1628077.0,211.0,254.0,4.0,234.0,1628.077
1628087.0,212.0,255.0,4.0,236.0,1628.087
1628097.0,212.0,257.0,4.0,239.0,1628.097
1628107.0,216.0,264.0,3.0,242.0,1628.107
1628118.0,216.0,257.0,3.0,242.0,1628.118
1628128.0,208.0,255.0,4.0,233.0,1628.128
1628138.0,211.0,257.0,4.0,237.0,1628.138
1628148.0,216.0,262.0,4.0,242.0,1628.148
