time (ms),signal 0,signal 1,signal 2,signal 3,time (sec)
1723747.0,204.0,243.0,220.0,229.0,1723.747
1723757.0,208.0,251.0,222.0,236.0,1723.757
1723767.0,214.0,254.0,226.0,242.0,1723.767
1723777.0,211.0,253.0,227.0,240.0,1723.777
1723787.0,211.0,249.0,219.0,235.0,1723.787
1723797.0,203.0,242.0,218.0,229.0,1723.797
1723807.0,208.0,250.0,220.0,236.0,1723.807
1723817.0,214.0,253.0,223.0,241.0,1723.817
1723827.0,210.0,252.0,225.0,238.0,1723.827
1723837.0,210.0,250.0,217.0,235.0,1723.837
1723847.0,203.0,244.0,217.0,228.0,1723.847
1723857.0,209.0,252.0,221.0,237.0,1723.857
1723867.0,212.0,254.0,225.0,240.0,1723.867
1723877.0,210.0,255.0,226.0,240.0,1723.877
1723887.0,210.0,252.0,219.0,237.0,1723.887
1723897.0,203.0,241.0,217.0,230.0,1723.897
1723907.0,207.0,249.0,219.0,236.0,1723.907
1723917.0,214.0,254.0,227.0,242.0,1723.917
1723927.0,210.0,254.0,227.0,239.0,1723.927
1723937.0,211.0,252.0,220.0,237.0,1723.937
1723947.0,205.0,248.0,220.0,233.0,1723.947
1723957.0,209.0,252.0,222.0,238.0,1723.957
1723967.0,215.0,259.0,227.0,244.0,1723.967
1723977.0,212.0,253.0,228.0,240.0,1723.977
1723987.0,211.0,254.0,220.0,238.0,1723.987
1723997.0,206.0,246.0,221.0,233.0,1723.997
1724007.0,210.0,253.0,224.0,241.0,1724.007
1724017.0,217.0,257.0,228.0,246.0,1724.017
1724027.0,212.0,254.0,228.0,240.0,1724.027
1724037.0,213.0,253.0,221.0,240.0,1724.037
1724047.0,206.0,248.0,220.0,233.0,1724.047
1724057.0,212.0,257.0,226.0,243.0,1724.057
1724067.0,217.0,257.0,227.0,246.0,1724.067
1724077.0,213.0,259.0,230.0,244.0,1724.077
1724087.0,213.0,252.0,222.0,241.0,1724.087
1724097.0,205.0,248.0,219.0,235.0,1724.097
1724107.0,215.0,259.0,228.0,246.0,1724.107
1724118.0,217.0,259.0,228.0,247.0,1724.118
1724128.0,211.0,257.0,226.0,241.0,1724.128
1724138.0,211.0,257.0,220.0,240.0,1724.138
1724148.0,210.0,253.0,224.0,242.0,1724.148
1724158.0,216.0,263.0,231.0,249.0,1724.158
