time (ms),signal 0,signal 1,signal 2,signal 3,time (sec)
1877804.0,211.0,33.0,187.0,237.0,1877.804
1877814.0,215.0,32.0,191.0,238.0,1877.814
1877824.0,210.0,33.0,180.0,233.0,1877.824
1877834.0,210.0,32.0,191.0,232.0,1877.834
1877844.0,207.0,33.0,181.0,232.0,1877.844
1877854.0,210.0,33.0,189.0,235.0,1877.854
1877864.0,215.0,32.0,196.0,238.0,1877.864
1877874.0,209.0,33.0,187.0,232.0,1877.874
1877884.0,209.0,33.0,200.0,232.0,1877.884
1877894.0,204.0,32.0,188.0,226.0,1877.894
1877904.0,211.0,32.0,201.0,236.0,1877.904
1877914.0,215.0,34.0,205.0,238.0,1877.914
1877924.0,209.0,32.0,198.0,231.0,1877.924
1877934.0,210.0,33.0,216.0,232.0,1877.934
1877944.0,205.0,33.0,203.0,226.0,1877.944
1877954.0,212.0,33.0,216.0,236.0,1877.954
1877964.0,214.0,33.0,219.0,237.0,1877.964
1877974.0,211.0,33.0,215.0,234.0,1877.974
1877984.0,210.0,33.0,231.0,232.0,1877.984
1877994.0,204.0,32.0,221.0,229.0,1877.994
1878004.0,213.0,33.0,235.0,237.0,1878.004
1878014.0,215.0,34.0,235.0,239.0,1878.014
1878024.0,209.0,33.0,231.0,233.0,1878.024
1878034.0,210.0,33.0,243.0,235.0,1878.034
1878044.0,206.0,34.0,235.0,231.0,1878.044
1878054.0,212.0,33.0,243.0,239.0,1878.054
1878064.0,214.0,33.0,241.0,240.0,1878.064
1878074.0,209.0,33.0,240.0,234.0,1878.074
1878084.0,209.0,34.0,246.0,234.0,1878.084
1878094.0,207.0,33.0,243.0,233.0,1878.094
1878104.0,210.0,35.0,250.0,238.0,1878.104
1878114.0,214.0,34.0,250.0,240.0,1878.114
1878124.0,209.0,33.0,253.0,233.0,1878.124
1878134.0,210.0,33.0,255.0,233.0,1878.134
1878144.0,203.0,33.0,254.0,229.0,1878.144
1878154.0,212.0,33.0,255.0,237.0,1878.154
1878164.0,216.0,34.0,253.0,240.0,1878.164
1878174.0,208.0,33.0,251.0,233.0,1878.174
1878184.0,210.0,34.0,247.0,234.0,1878.184
1878194.0,204.0,34.0,244.0,231.0,1878.194
1878204.0,214.0,33.0,239.0,240.0,1878.204
1878214.0,216.0,34.0,234.0,240.0,1878.214
1878224.0,209.0,32.0,228.0,234.0,1878.224
1878234.0,211.0,34.0,223.0,237.0,1878.234
1878244.0,207.0,32.0,217.0,233.0,1878.244
1878254.0,214.0,33.0,211.0,241.0,1878.254
1878264.0,216.0,33.0,204.0,242.0,1878.264
1878274.0,210.0,33.0,198.0,237.0,1878.274
1878284.0,211.0,32.0,191.0,237.0,1878.284
1878294.0,207.0,34.0,185.0,236.0,1878.294
1878304.0,214.0,32.0,178.0,242.0,1878.304
1878315.0,215.0,33.0,171.0,241.0,1878.315
1878325.0,207.0,33.0,166.0,235.0,1878.325
1878335.0,210.0,32.0,158.0,237.0,1878.335
1878345.0,213.0,33.0,152.0,241.0,1878.345
1878355.0,214.0,33.0,146.0,242.0,1878.355
1878365.0,216.0,33.0,140.0,241.0,1878.365
1878375.0,208.0,32.0,134.0,234.0,1878.375
1878385.0,209.0,32.0,128.0,236.0,1878.385
1878395.0,215.0,33.0,124.0,242.0,1878.395
1878405.0,215.0,32.0,118.0,243.0,1878.405
1878415.0,215.0,33.0,113.0,240.0,1878.415
1878425.0,207.0,33.0,107.0,234.0,1878.425
1878435.0,210.0,32.0,103.0,237.0,1878.435
1878445.0,211.0,32.0,97.0,240.0,1878.445
1878455.0,214.0,32.0,93.0,243.0,1878.455
1878465.0,215.0,32.0,89.0,240.0,1878.465
1878475.0,206.0,32.0,85.0,232.0,1878.475
1878486.0,209.0,32.0,80.0,237.0,1878.486
1878496.0,215.0,32.0,76.0,244.0,1878.496
