time (ms),signal 0,signal 1,signal 2,signal 3,time (sec)
1960349.0,209.0,33.0,230.0,233.0,1960.349
1960359.0,210.0,32.0,224.0,234.0,1960.359
1960369.0,204.0,32.0,223.0,227.0,1960.369
1960379.0,211.0,33.0,228.0,235.0,1960.379
1960389.0,214.0,33.0,228.0,240.0,1960.389
1960399.0,209.0,33.0,230.0,234.0,1960.399
1960409.0,210.0,33.0,223.0,236.0,1960.409
1960419.0,203.0,32.0,223.0,229.0,1960.419
1960429.0,211.0,33.0,230.0,239.0,1960.429
1960439.0,215.0,33.0,229.0,241.0,1960.439
1960449.0,213.0,33.0,232.0,237.0,1960.449
1960459.0,210.0,33.0,223.0,236.0,1960.459
1960469.0,204.0,33.0,222.0,230.0,1960.469
1960479.0,211.0,34.0,230.0,239.0,1960.479
1960489.0,215.0,32.0,227.0,241.0,1960.489
1960499.0,211.0,33.0,229.0,236.0,1960.499
1960509.0,212.0,33.0,222.0,234.0,1960.509
1960519.0,206.0,33.0,222.0,231.0,1960.519
1960529.0,214.0,32.0,230.0,239.0,1960.529
1960539.0,216.0,34.0,228.0,242.0,1960.539
1960549.0,211.0,33.0,229.0,237.0,1960.549
1960559.0,211.0,33.0,223.0,237.0,1960.559
1960569.0,207.0,33.0,225.0,234.0,1960.569
1960579.0,212.0,33.0,228.0,239.0,1960.579
1960589.0,217.0,33.0,229.0,244.0,1960.589
1960599.0,212.0,33.0,230.0,237.0,1960.599
1960609.0,211.0,34.0,223.0,236.0,1960.609
1960619.0,206.0,32.0,223.0,229.0,1960.619
1960629.0,213.0,33.0,229.0,240.0,1960.629
1960639.0,218.0,34.0,231.0,244.0,1960.639
1960649.0,212.0,33.0,231.0,237.0,1960.649
1960659.0,213.0,33.0,225.0,237.0,1960.659
1960669.0,207.0,34.0,226.0,234.0,1960.669
1960679.0,215.0,32.0,233.0,242.0,1960.679
1960689.0,219.0,33.0,231.0,245.0,1960.689
1960699.0,213.0,32.0,233.0,239.0,1960.699
1960709.0,214.0,33.0,227.0,240.0,1960.709
1960719.0,208.0,33.0,226.0,235.0,1960.719
1960729.0,216.0,33.0,235.0,245.0,1960.729
1960739.0,218.0,33.0,233.0,246.0,1960.739
1960749.0,214.0,32.0,237.0,243.0,1960.749
1960759.0,214.0,33.0,228.0,242.0,1960.759
1960769.0,212.0,33.0,232.0,240.0,1960.769
1960779.0,220.0,32.0,242.0,250.0,1960.779
1960790.0,223.0,33.0,238.0,253.0,1960.79
1960800.0,214.0,33.0,237.0,242.0,1960.8
1960810.0,215.0,32.0,231.0,243.0,1960.81
1960820.0,216.0,33.0,237.0,249.0,1960.82
1960830.0,221.0,33.0,243.0,251.0,1960.83
1960840.0,220.0,34.0,236.0,251.0,1960.84
1960850.0,211.0,32.0,236.0,244.0,1960.85
1960860.0,213.0,34.0,232.0,245.0,1960.86
1960870.0,218.0,32.0,238.0,249.0,1960.87
1960880.0,219.0,32.0,240.0,250.0,1960.88
1960890.0,219.0,33.0,233.0,246.0,1960.89
1960900.0,210.0,33.0,232.0,240.0,1960.9
1960910.0,212.0,33.0,228.0,242.0,1960.91
1960920.0,213.0,33.0,233.0,247.0,1960.92
1960930.0,215.0,33.0,236.0,251.0,1960.93
1960940.0,213.0,33.0,229.0,247.0,1960.94
1960950.0,203.0,32.0,229.0,241.0,1960.95
1960960.0,210.0,33.0,227.0,243.0,1960.96
1960970.0,210.0,33.0,230.0,247.0,1960.97
1960980.0,213.0,33.0,235.0,249.0,1960.98
1960990.0,214.0,34.0,226.0,248.0,1960.99
1961000.0,208.0,32.0,225.0,240.0,1961.0
1961010.0,213.0,33.0,223.0,244.0,1961.01
1961020.0,220.0,33.0,232.0,252.0,1961.02
1961030.0,224.0,33.0,234.0,254.0,1961.03
1961040.0,226.0,33.0,225.0,249.0,1961.04
1961050.0,219.0,32.0,226.0,245.0,1961.05
1961060.0,220.0,33.0,223.0,244.0,1961.06
