time (ms),signal 0,signal 1,signal 2,signal 3,time (sec)
2010311.0,215.0,31.0,366.0,251.0,2010.311
2010321.0,211.0,32.0,349.0,249.0,2010.321
2010331.0,215.0,31.0,360.0,253.0,2010.331
2010341.0,221.0,33.0,373.0,257.0,2010.341
2010351.0,218.0,32.0,349.0,256.0,2010.351
2010361.0,217.0,32.0,374.0,250.0,2010.361
2010371.0,210.0,32.0,350.0,248.0,2010.371
2010381.0,215.0,32.0,366.0,254.0,2010.381
2010391.0,221.0,32.0,381.0,258.0,2010.391
2010401.0,215.0,32.0,356.0,257.0,2010.401
2010411.0,217.0,32.0,384.0,253.0,2010.411
2010421.0,209.0,33.0,358.0,250.0,2010.421
2010431.0,216.0,32.0,372.0,254.0,2010.431
2010441.0,221.0,32.0,390.0,258.0,2010.441
2010451.0,217.0,32.0,365.0,256.0,2010.451
2010461.0,218.0,31.0,393.0,253.0,2010.461
2010471.0,211.0,32.0,368.0,249.0,2010.471
2010481.0,218.0,33.0,382.0,259.0,2010.481
2010491.0,222.0,32.0,403.0,258.0,2010.491
2010501.0,219.0,32.0,377.0,258.0,2010.501
2010511.0,219.0,32.0,404.0,253.0,2010.511
2010521.0,212.0,31.0,381.0,249.0,2010.521
2010531.0,218.0,32.0,391.0,257.0,2010.531
2010541.0,222.0,33.0,408.0,259.0,2010.541
2010551.0,219.0,33.0,385.0,258.0,2010.551
2010561.0,218.0,32.0,412.0,252.0,2010.561
2010571.0,211.0,32.0,392.0,249.0,2010.571
2010582.0,220.0,32.0,398.0,257.0,2010.582
2010592.0,222.0,33.0,419.0,257.0,2010.592
2010602.0,217.0,32.0,390.0,253.0,2010.602
2010612.0,217.0,33.0,414.0,252.0,2010.612
2010622.0,217.0,32.0,407.0,254.0,2010.622
2010632.0,220.0,32.0,400.0,258.0,2010.632
2010642.0,224.0,33.0,426.0,256.0,2010.642
2010652.0,217.0,31.0,394.0,253.0,2010.652
2010662.0,218.0,33.0,419.0,252.0,2010.662
2010672.0,214.0,32.0,405.0,251.0,2010.672
2010682.0,222.0,33.0,407.0,259.0,2010.682
2010692.0,224.0,33.0,433.0,257.0,2010.692
2010702.0,217.0,32.0,402.0,254.0,2010.702
2010712.0,220.0,33.0,428.0,253.0,2010.712
2010722.0,215.0,33.0,412.0,253.0,2010.722
2010732.0,222.0,33.0,410.0,260.0,2010.732
2010742.0,225.0,34.0,437.0,257.0,2010.742
2010752.0,220.0,32.0,407.0,254.0,2010.752
2010762.0,220.0,33.0,431.0,253.0,2010.762
2010772.0,218.0,33.0,419.0,253.0,2010.772
2010782.0,223.0,33.0,413.0,260.0,2010.782
2010792.0,224.0,33.0,439.0,255.0,2010.792
2010802.0,220.0,33.0,407.0,255.0,2010.802
2010812.0,220.0,33.0,430.0,252.0,2010.812
2010822.0,220.0,32.0,420.0,253.0,2010.822
2010832.0,226.0,32.0,413.0,258.0,2010.832
2010842.0,227.0,33.0,438.0,257.0,2010.842
2010852.0,221.0,33.0,407.0,252.0,2010.852
2010862.0,222.0,32.0,428.0,251.0,2010.862
2010872.0,221.0,33.0,418.0,253.0,2010.872
2010882.0,224.0,32.0,411.0,256.0,2010.882
2010892.0,227.0,33.0,432.0,257.0,2010.892
2010902.0,222.0,32.0,400.0,253.0,2010.902
2010912.0,221.0,32.0,422.0,251.0,2010.912
2010923.0,222.0,32.0,414.0,254.0,2010.923
2010933.0,226.0,33.0,401.0,258.0,2010.933
2010943.0,224.0,32.0,426.0,253.0,2010.943
2010953.0,218.0,32.0,394.0,248.0,2010.953
2010963.0,221.0,33.0,409.0,252.0,2010.963
2010973.0,224.0,33.0,410.0,255.0,2010.973
2010983.0,226.0,32.0,393.0,257.0,2010.983
2010993.0,225.0,33.0,417.0,252.0,2010.993
2011003.0,219.0,32.0,386.0,246.0,2011.003
2011013.0,223.0,32.0,404.0,249.0,2011.013
2011023.0,225.0,32.0,402.0,254.0,2011.023
2011033.0,227.0,32.0,381.0,255.0,2011.033
2011043.0,224.0,33.0,405.0,251.0,2011.043
2011053.0,221.0,32.0,374.0,249.0,2011.053
2011063.0,222.0,34.0,391.0,250.0,2011.063
2011073.0,226.0,32.0,391.0,255.0,2011.073
2011083.0,227.0,32.0,370.0,255.0,2011.083
2011094.0,225.0,33.0,394.0,250.0,2011.094
2011104.0,218.0,31.0,363.0,246.0,2011.104
2011114.0,224.0,32.0,375.0,253.0,2011.114
2011124.0,229.0,33.0,388.0,258.0,2011.124
2011134.0,224.0,32.0,359.0,253.0,2011.134
2011144.0,224.0,32.0,383.0,252.0,2011.144
2011154.0,217.0,33.0,354.0,246.0,2011.154
2011164.0,224.0,32.0,364.0,253.0,2011.164
2011174.0,229.0,32.0,379.0,256.0,2011.174
2011184.0,227.0,32.0,348.0,254.0,2011.184
2011194.0,224.0,33.0,369.0,251.0,2011.194
2011204.0,219.0,32.0,344.0,244.0,2011.204
2011214.0,225.0,32.0,351.0,254.0,2011.214
2011224.0,229.0,33.0,363.0,255.0,2011.224
2011234.0,227.0,32.0,337.0,254.0,2011.234
2011244.0,225.0,32.0,358.0,251.0,2011.244
2011254.0,219.0,33.0,334.0,246.0,2011.254
2011264.0,223.0,32.0,342.0,250.0,2011.264
2011274.0,228.0,33.0,352.0,256.0,2011.274
2011284.0,226.0,32.0,327.0,252.0,2011.284
2011294.0,224.0,32.0,344.0,249.0,2011.294
2011304.0,218.0,32.0,322.0,245.0,2011.304
2011314.0,223.0,32.0,329.0,251.0,2011.314
2011324.0,229.0,32.0,340.0,256.0,2011.324
2011334.0,226.0,32.0,313.0,251.0,2011.334
2011344.0,225.0,32.0,329.0,249.0,2011.344
2011354.0,221.0,31.0,305.0,243.0,2011.354
2011364.0,224.0,33.0,313.0,250.0,2011.364
2011374.0,230.0,32.0,325.0,253.0,2011.374
2011384.0,226.0,33.0,297.0,249.0,2011.384
2011394.0,226.0,32.0,317.0,247.0,2011.394
2011404.0,220.0,32.0,289.0,242.0,2011.404
2011414.0,226.0,32.0,298.0,250.0,2011.414
2011424.0,230.0,33.0,309.0,253.0,2011.424
2011435.0,225.0,32.0,282.0,248.0,2011.435
2011445.0,224.0,33.0,296.0,248.0,2011.445
2011455.0,222.0,32.0,283.0,245.0,2011.455
2011465.0,228.0,32.0,281.0,253.0,2011.465
2011475.0,229.0,32.0,296.0,251.0,2011.475
2011485.0,226.0,31.0,267.0,247.0,2011.485
2011495.0,225.0,32.0,280.0,246.0,2011.495
2011505.0,223.0,32.0,270.0,248.0,2011.505
2011515.0,229.0,32.0,265.0,252.0,2011.515
2011525.0,230.0,32.0,280.0,254.0,2011.525
2011535.0,225.0,32.0,253.0,247.0,2011.535
2011545.0,226.0,32.0,263.0,245.0,2011.545
2011555.0,224.0,32.0,256.0,247.0,2011.555
2011565.0,228.0,32.0,255.0,251.0,2011.565
2011575.0,230.0,33.0,266.0,251.0,2011.575
2011585.0,225.0,32.0,241.0,246.0,2011.585
2011595.0,224.0,32.0,250.0,245.0,2011.595
2011606.0,225.0,32.0,248.0,248.0,2011.606
2011616.0,228.0,31.0,242.0,252.0,2011.616
2011626.0,227.0,32.0,254.0,248.0,2011.626
2011636.0,220.0,33.0,229.0,243.0,2011.636
2011646.0,223.0,32.0,237.0,246.0,2011.646
2011656.0,225.0,32.0,239.0,248.0,2011.656
2011666.0,227.0,32.0,232.0,249.0,2011.666
2011676.0,226.0,31.0,241.0,246.0,2011.676
2011686.0,220.0,32.0,218.0,239.0,2011.686
2011696.0,223.0,32.0,228.0,244.0,2011.696
2011706.0,225.0,32.0,231.0,249.0,2011.706
2011716.0,228.0,32.0,224.0,251.0,2011.716
2011726.0,225.0,32.0,232.0,248.0,2011.726
2011736.0,224.0,31.0,216.0,245.0,2011.736
2011746.0,222.0,32.0,223.0,246.0,2011.746
2011756.0,227.0,32.0,227.0,249.0,2011.756
2011766.0,227.0,33.0,218.0,250.0,2011.766
2011776.0,228.0,32.0,230.0,248.0,2011.776
2011786.0,227.0,32.0,208.0,242.0,2011.786
2011796.0,228.0,32.0,214.0,244.0,2011.796
2011806.0,231.0,31.0,222.0,252.0,2011.806
2011816.0,236.0,32.0,214.0,253.0,2011.816
2011826.0,236.0,32.0,223.0,252.0,2011.826
2011836.0,231.0,32.0,205.0,245.0,2011.836
2011846.0,233.0,32.0,209.0,245.0,2011.846
2011856.0,238.0,32.0,218.0,254.0,2011.856
2011866.0,241.0,31.0,211.0,254.0,2011.866
2011876.0,236.0,32.0,217.0,250.0,2011.876
2011886.0,229.0,32.0,199.0,244.0,2011.886
2011896.0,227.0,32.0,207.0,243.0,2011.896
2011906.0,230.0,32.0,210.0,245.0,2011.906
2011916.0,237.0,32.0,207.0,248.0,2011.916
2011926.0,238.0,31.0,214.0,246.0,2011.926
2011936.0,230.0,31.0,196.0,239.0,2011.936
2011947.0,236.0,32.0,201.0,242.0,2011.947
2011957.0,248.0,33.0,211.0,250.0,2011.957
2011967.0,243.0,31.0,202.0,245.0,2011.967
2011977.0,238.0,32.0,206.0,243.0,2011.977
2011987.0,236.0,31.0,197.0,240.0,2011.987
2011997.0,238.0,31.0,202.0,248.0,2011.997
2012007.0,244.0,32.0,212.0,254.0,2012.007
2012017.0,236.0,31.0,202.0,251.0,2012.017
2012027.0,230.0,32.0,203.0,248.0,2012.027
2012037.0,232.0,31.0,197.0,247.0,2012.037
2012047.0,233.0,31.0,204.0,255.0,2012.047
2012057.0,253.0,31.0,221.0,268.0,2012.057
2012067.0,263.0,32.0,216.0,268.0,2012.067
2012077.0,272.0,32.0,225.0,272.0,2012.077
2012087.0,263.0,32.0,214.0,266.0,2012.087
2012097.0,251.0,30.0,222.0,270.0,2012.097
2012107.0,244.0,32.0,223.0,269.0,2012.107
2012118.0,252.0,31.0,222.0,270.0,2012.118
2012128.0,250.0,32.0,220.0,271.0,2012.128
2012138.0,245.0,31.0,212.0,261.0,2012.138
2012148.0,251.0,33.0,217.0,263.0,2012.148
2012158.0,254.0,32.0,217.0,263.0,2012.158
2012168.0,247.0,31.0,209.0,256.0,2012.168
2012178.0,241.0,32.0,208.0,255.0,2012.178
2012188.0,241.0,31.0,205.0,252.0,2012.188
2012198.0,258.0,31.0,218.0,261.0,2012.198
2012208.0,255.0,32.0,220.0,260.0,2012.208
2012218.0,248.0,32.0,211.0,251.0,2012.218
2012228.0,246.0,32.0,211.0,252.0,2012.228
2012238.0,257.0,32.0,221.0,259.0,2012.238
2012248.0,261.0,31.0,227.0,262.0,2012.248
2012258.0,268.0,32.0,228.0,266.0,2012.258
2012268.0,256.0,32.0,220.0,257.0,2012.268
2012278.0,250.0,33.0,221.0,260.0,2012.278
2012288.0,246.0,31.0,218.0,254.0,2012.288
2012298.0,255.0,31.0,230.0,266.0,2012.298
2012308.0,255.0,32.0,232.0,265.0,2012.308
2012318.0,248.0,31.0,222.0,255.0,2012.318
2012328.0,252.0,32.0,222.0,255.0,2012.328
2012338.0,245.0,32.0,218.0,251.0,2012.338
2012348.0,253.0,32.0,227.0,258.0,2012.348
2012358.0,249.0,32.0,222.0,254.0,2012.358
2012368.0,237.0,32.0,214.0,243.0,2012.368
2012378.0,243.0,31.0,216.0,249.0,2012.378
2012388.0,238.0,32.0,214.0,249.0,2012.388
2012398.0,248.0,32.0,227.0,263.0,2012.398
2012408.0,249.0,33.0,228.0,265.0,2012.408
2012418.0,248.0,32.0,226.0,258.0,2012.418
2012428.0,242.0,32.0,221.0,255.0,2012.428
2012438.0,241.0,31.0,222.0,251.0,2012.438
2012448.0,253.0,32.0,230.0,260.0,2012.448
2012459.0,250.0,32.0,226.0,256.0,2012.459
2012469.0,243.0,32.0,219.0,244.0,2012.469
2012479.0,247.0,32.0,220.0,247.0,2012.479
2012489.0,257.0,33.0,225.0,253.0,2012.489
2012499.0,252.0,32.0,232.0,254.0,2012.499
2012509.0,255.0,33.0,229.0,258.0,2012.509
2012519.0,247.0,32.0,230.0,250.0,2012.519
2012529.0,248.0,32.0,230.0,253.0,2012.529
2012539.0,252.0,32.0,238.0,263.0,2012.539
2012549.0,246.0,32.0,240.0,262.0,2012.549
2012559.0,242.0,32.0,230.0,255.0,2012.559
2012569.0,233.0,32.0,225.0,242.0,2012.569
2012579.0,244.0,32.0,228.0,251.0,2012.579
2012589.0,248.0,32.0,234.0,255.0,2012.589
2012599.0,255.0,33.0,239.0,257.0,2012.599
2012609.0,260.0,32.0,231.0,258.0,2012.609
2012619.0,255.0,32.0,229.0,247.0,2012.619
2012630.0,259.0,32.0,231.0,250.0,2012.63
2012640.0,266.0,32.0,240.0,257.0,2012.64
2012650.0,262.0,32.0,241.0,252.0,2012.65
2012660.0,261.0,33.0,236.0,253.0,2012.66
2012670.0,252.0,32.0,239.0,245.0,2012.67
2012680.0,244.0,32.0,237.0,246.0,2012.68
2012690.0,247.0,33.0,244.0,253.0,2012.69
2012700.0,243.0,31.0,250.0,251.0,2012.7
2012710.0,242.0,33.0,242.0,251.0,2012.71
2012720.0,236.0,32.0,248.0,246.0,2012.72
2012730.0,247.0,33.0,251.0,252.0,2012.73
2012740.0,259.0,32.0,259.0,260.0,2012.74
2012750.0,245.0,32.0,258.0,249.0,2012.75
2012760.0,249.0,33.0,250.0,250.0,2012.76
2012770.0,244.0,32.0,254.0,244.0,2012.77
2012780.0,250.0,32.0,261.0,257.0,2012.78
2012790.0,252.0,33.0,267.0,264.0,2012.79
2012800.0,255.0,32.0,273.0,262.0,2012.8
2012810.0,255.0,33.0,260.0,261.0,2012.81
2012820.0,261.0,32.0,267.0,250.0,2012.82
2012830.0,267.0,32.0,272.0,260.0,2012.83
2012840.0,266.0,33.0,269.0,260.0,2012.84
2012850.0,262.0,32.0,276.0,256.0,2012.85
2012860.0,261.0,33.0,264.0,257.0,2012.86
2012870.0,252.0,32.0,270.0,249.0,2012.87
2012880.0,253.0,32.0,271.0,255.0,2012.88
2012890.0,254.0,32.0,269.0,259.0,2012.89
2012900.0,248.0,33.0,270.0,253.0,2012.9
2012910.0,243.0,32.0,259.0,250.0,2012.91
2012920.0,234.0,33.0,265.0,245.0,2012.92
2012930.0,234.0,32.0,266.0,250.0,2012.93
2012940.0,238.0,33.0,269.0,254.0,2012.94
2012950.0,232.0,32.0,274.0,247.0,2012.95
2012960.0,233.0,33.0,260.0,243.0,2012.96
2012971.0,225.0,32.0,265.0,239.0,2012.971
2012981.0,237.0,33.0,275.0,253.0,2012.981
2012991.0,238.0,32.0,271.0,258.0,2012.991
