time (ms),signal 0,signal 1,signal 2,signal 3,time (sec)
2140211.0,223.0,32.0,4.0,242.0,2140.211
2140221.0,219.0,32.0,4.0,238.0,2140.221
2140231.0,218.0,32.0,3.0,237.0,2140.231
2140241.0,212.0,32.0,5.0,231.0,2140.241
2140251.0,218.0,32.0,4.0,239.0,2140.251
2140261.0,222.0,32.0,3.0,243.0,2140.261
2140271.0,218.0,32.0,4.0,237.0,2140.271
2140281.0,217.0,32.0,3.0,236.0,2140.281
2140291.0,211.0,32.0,4.0,228.0,2140.291
2140301.0,217.0,32.0,4.0,238.0,2140.301
2140311.0,223.0,33.0,4.0,242.0,2140.311
2140321.0,217.0,31.0,4.0,235.0,2140.321
2140331.0,219.0,31.0,4.0,236.0,2140.331
2140341.0,210.0,32.0,3.0,228.0,2140.341
2140351.0,217.0,32.0,3.0,236.0,2140.351
2140361.0,222.0,32.0,4.0,242.0,2140.361
2140371.0,217.0,32.0,5.0,234.0,2140.371
2140381.0,217.0,32.0,4.0,236.0,2140.381
2140391.0,211.0,32.0,4.0,230.0,2140.391
2140401.0,216.0,33.0,3.0,242.0,2140.401
2140411.0,220.0,32.0,4.0,244.0,2140.411
2140421.0,217.0,32.0,4.0,239.0,2140.421
2140431.0,217.0,32.0,4.0,239.0,2140.431
2140441.0,211.0,31.0,4.0,232.0,2140.441
2140451.0,218.0,33.0,3.0,242.0,2140.451
2140461.0,223.0,31.0,4.0,245.0,2140.461
2140471.0,219.0,32.0,3.0,240.0,2140.471
2140481.0,219.0,32.0,4.0,239.0,2140.481
2140491.0,212.0,33.0,3.0,235.0,2140.491
2140502.0,224.0,32.0,4.0,247.0,2140.502
2140512.0,228.0,32.0,4.0,248.0,2140.512
2140522.0,219.0,32.0,4.0,239.0,2140.522
2140532.0,221.0,33.0,3.0,242.0,2140.532
2140542.0,221.0,32.0,4.0,244.0,2140.542
2140552.0,223.0,33.0,3.0,248.0,2140.552
2140562.0,226.0,33.0,5.0,247.0,2140.562
2140572.0,217.0,33.0,4.0,238.0,2140.572
2140582.0,218.0,32.0,4.0,240.0,2140.582
2140592.0,216.0,33.0,4.0,240.0,2140.592
2140602.0,223.0,33.0,3.0,246.0,2140.602
2140612.0,226.0,33.0,5.0,245.0,2140.612
2140622.0,216.0,33.0,4.0,237.0,2140.622
2140632.0,219.0,32.0,3.0,241.0,2140.632
2140642.0,217.0,33.0,4.0,240.0,2140.642
2140652.0,223.0,32.0,4.0,246.0,2140.652
2140662.0,224.0,34.0,3.0,245.0,2140.662
2140672.0,219.0,32.0,4.0,239.0,2140.672
2140682.0,220.0,32.0,4.0,240.0,2140.682
2140692.0,220.0,33.0,4.0,242.0,2140.692
2140702.0,223.0,32.0,3.0,246.0,2140.702
2140712.0,223.0,33.0,4.0,245.0,2140.712
2140722.0,218.0,32.0,4.0,239.0,2140.722
2140732.0,216.0,32.0,4.0,240.0,2140.732
