time (ms),signal 0,signal 1,signal 2,signal 3,time (sec)
2197467.0,210.0,31.0,221.0,234.0,2197.467
2197477.0,217.0,33.0,226.0,243.0,2197.477
2197487.0,221.0,33.0,229.0,246.0,2197.487
2197497.0,217.0,32.0,228.0,241.0,2197.497
2197507.0,217.0,32.0,221.0,240.0,2197.507
2197517.0,210.0,32.0,219.0,232.0,2197.517
2197527.0,216.0,33.0,225.0,242.0,2197.527
2197537.0,222.0,32.0,230.0,245.0,2197.537
2197547.0,218.0,32.0,230.0,242.0,2197.547
2197557.0,216.0,32.0,222.0,239.0,2197.557
2197567.0,210.0,33.0,219.0,233.0,2197.567
2197577.0,218.0,32.0,229.0,241.0,2197.577
2197587.0,221.0,33.0,228.0,245.0,2197.587
2197597.0,220.0,32.0,231.0,242.0,2197.597
2197607.0,217.0,32.0,223.0,240.0,2197.607
2197617.0,210.0,32.0,220.0,233.0,2197.617
2197627.0,218.0,33.0,229.0,244.0,2197.627
2197637.0,221.0,32.0,229.0,246.0,2197.637
2197647.0,219.0,32.0,230.0,240.0,2197.647
2197657.0,218.0,32.0,223.0,240.0,2197.657
2197667.0,212.0,31.0,222.0,235.0,2197.667
2197677.0,216.0,32.0,225.0,241.0,2197.677
2197687.0,223.0,32.0,231.0,247.0,2197.687
2197697.0,219.0,32.0,232.0,241.0,2197.697
2197707.0,218.0,32.0,224.0,240.0,2197.707
2197718.0,213.0,32.0,225.0,237.0,2197.718
2197728.0,223.0,31.0,235.0,246.0,2197.728
2197738.0,224.0,32.0,230.0,246.0,2197.738
2197748.0,218.0,32.0,227.0,236.0,2197.748
2197758.0,218.0,33.0,223.0,239.0,2197.758
2197768.0,215.0,32.0,224.0,238.0,2197.768
2197778.0,223.0,32.0,232.0,246.0,2197.778
2197788.0,224.0,32.0,229.0,245.0,2197.788
2197798.0,216.0,31.0,228.0,237.0,2197.798
2197808.0,218.0,32.0,226.0,241.0,2197.808
2197818.0,215.0,33.0,228.0,239.0,2197.818
2197828.0,223.0,32.0,236.0,246.0,2197.828
2197838.0,224.0,32.0,229.0,246.0,2197.838
2197848.0,219.0,32.0,231.0,240.0,2197.848
2197858.0,219.0,31.0,226.0,240.0,2197.858
2197868.0,218.0,32.0,229.0,241.0,2197.868
2197878.0,224.0,32.0,237.0,247.0,2197.878
2197888.0,225.0,33.0,233.0,250.0,2197.888
2197898.0,219.0,32.0,235.0,242.0,2197.898
2197908.0,219.0,32.0,231.0,243.0,2197.908
2197918.0,220.0,32.0,236.0,244.0,2197.918
2197928.0,224.0,32.0,240.0,248.0,2197.928
2197938.0,226.0,32.0,236.0,249.0,2197.938
2197948.0,220.0,33.0,235.0,242.0,2197.948
2197958.0,220.0,32.0,231.0,240.0,2197.958
2197968.0,223.0,32.0,236.0,243.0,2197.968
2197978.0,225.0,32.0,243.0,247.0,2197.978
2197988.0,227.0,31.0,238.0,248.0,2197.988
2197998.0,220.0,31.0,236.0,240.0,2197.998
2198008.0,221.0,32.0,231.0,242.0,2198.008
2198018.0,218.0,32.0,233.0,240.0,2198.018
2198028.0,225.0,32.0,240.0,247.0,2198.028
2198038.0,225.0,32.0,234.0,247.0,2198.038
2198048.0,219.0,31.0,234.0,239.0,2198.048
2198059.0,220.0,32.0,230.0,241.0,2198.059
2198069.0,222.0,32.0,239.0,247.0,2198.069
2198079.0,226.0,33.0,242.0,248.0,2198.079
2198089.0,224.0,32.0,234.0,245.0,2198.089
2198099.0,218.0,32.0,234.0,238.0,2198.099
2198109.0,224.0,32.0,236.0,244.0,2198.109
2198119.0,226.0,32.0,242.0,250.0,2198.119
2198129.0,228.0,32.0,245.0,249.0,2198.129
2198139.0,225.0,33.0,233.0,246.0,2198.139
2198149.0,219.0,32.0,234.0,238.0,2198.149
2198159.0,222.0,32.0,232.0,242.0,2198.159
2198169.0,225.0,32.0,239.0,248.0,2198.169
2198179.0,224.0,31.0,238.0,246.0,2198.179
2198189.0,224.0,33.0,229.0,244.0,2198.189
2198199.0,218.0,32.0,228.0,238.0,2198.199
2198209.0,222.0,33.0,227.0,244.0,2198.209
2198219.0,229.0,32.0,239.0,251.0,2198.219
2198230.0,227.0,32.0,239.0,245.0,2198.23
2198240.0,226.0,33.0,231.0,242.0,2198.24
2198250.0,220.0,32.0,228.0,233.0,2198.25
2198260.0,229.0,32.0,235.0,241.0,2198.26
2198270.0,231.0,34.0,233.0,244.0,2198.27
2198280.0,225.0,32.0,237.0,243.0,2198.28
2198290.0,227.0,33.0,233.0,246.0,2198.29
2198300.0,224.0,32.0,234.0,241.0,2198.3
2198310.0,232.0,32.0,241.0,252.0,2198.31
2198320.0,235.0,33.0,240.0,253.0,2198.32
2198330.0,228.0,33.0,238.0,247.0,2198.33
2198340.0,226.0,33.0,230.0,246.0,2198.34
2198350.0,219.0,32.0,232.0,242.0,2198.35
2198360.0,221.0,32.0,231.0,248.0,2198.36
2198370.0,227.0,33.0,245.0,258.0,2198.37
2198380.0,223.0,33.0,246.0,254.0,2198.38
2198390.0,228.0,33.0,241.0,257.0,2198.39
2198400.0,224.0,34.0,241.0,249.0,2198.4
2198410.0,233.0,32.0,249.0,260.0,2198.41
2198420.0,233.0,33.0,250.0,260.0,2198.42
2198430.0,227.0,33.0,244.0,250.0,2198.43
2198440.0,226.0,33.0,236.0,251.0,2198.44
2198450.0,219.0,32.0,231.0,239.0,2198.45
2198460.0,223.0,34.0,235.0,244.0,2198.46
2198470.0,226.0,32.0,233.0,248.0,2198.47
2198480.0,222.0,32.0,237.0,245.0,2198.48
2198490.0,226.0,34.0,237.0,251.0,2198.49
2198500.0,223.0,33.0,241.0,253.0,2198.5
2198510.0,223.0,33.0,244.0,261.0,2198.51
2198520.0,227.0,34.0,253.0,264.0,2198.52
2198530.0,223.0,33.0,251.0,258.0,2198.53
2198540.0,225.0,33.0,245.0,257.0,2198.54
2198550.0,220.0,33.0,243.0,255.0,2198.55
2198560.0,230.0,34.0,255.0,267.0,2198.56
2198571.0,232.0,34.0,250.0,264.0,2198.571
2198581.0,225.0,33.0,242.0,259.0,2198.581
2198591.0,230.0,34.0,236.0,256.0,2198.591
2198601.0,232.0,34.0,238.0,260.0,2198.601
2198611.0,238.0,34.0,253.0,270.0,2198.611
2198621.0,240.0,34.0,249.0,266.0,2198.621
2198631.0,227.0,33.0,241.0,263.0,2198.631
2198641.0,229.0,33.0,242.0,268.0,2198.641
2198651.0,228.0,34.0,246.0,271.0,2198.651
2198661.0,227.0,33.0,239.0,264.0,2198.661
2198671.0,231.0,34.0,238.0,267.0,2198.671
2198681.0,221.0,33.0,231.0,258.0,2198.681
2198691.0,223.0,33.0,233.0,264.0,2198.691
2198701.0,218.0,34.0,226.0,255.0,2198.701
2198711.0,229.0,33.0,234.0,258.0,2198.711
2198721.0,236.0,35.0,240.0,264.0,2198.721
2198731.0,230.0,32.0,243.0,262.0,2198.731
2198742.0,234.0,34.0,245.0,265.0,2198.742
2198752.0,231.0,34.0,243.0,261.0,2198.752
2198762.0,228.0,34.0,236.0,257.0,2198.762
2198772.0,227.0,33.0,230.0,249.0,2198.772
2198782.0,220.0,34.0,222.0,242.0,2198.782
2198792.0,229.0,34.0,231.0,254.0,2198.792
2198802.0,235.0,34.0,244.0,260.0,2198.802
2198812.0,232.0,33.0,243.0,255.0,2198.812
2198822.0,231.0,34.0,234.0,257.0,2198.822
2198832.0,223.0,33.0,236.0,253.0,2198.832
2198842.0,224.0,34.0,232.0,253.0,2198.842
2198852.0,230.0,34.0,232.0,257.0,2198.852
2198862.0,227.0,32.0,223.0,250.0,2198.862
2198872.0,227.0,33.0,222.0,247.0,2198.872
2198882.0,217.0,33.0,219.0,237.0,2198.882
2198892.0,217.0,33.0,219.0,245.0,2198.892
2198902.0,226.0,33.0,228.0,254.0,2198.902
2198912.0,229.0,33.0,236.0,261.0,2198.912
2198922.0,230.0,33.0,232.0,260.0,2198.922
2198932.0,221.0,33.0,225.0,251.0,2198.932
2198942.0,228.0,33.0,226.0,254.0,2198.942
2198952.0,233.0,33.0,236.0,262.0,2198.952
2198962.0,229.0,33.0,237.0,259.0,2198.962
2198972.0,231.0,34.0,232.0,260.0,2198.972
2198982.0,223.0,32.0,225.0,248.0,2198.982
2198992.0,228.0,33.0,223.0,249.0,2198.992
2199002.0,228.0,33.0,224.0,253.0,2199.002
2199012.0,228.0,33.0,226.0,255.0,2199.012
2199022.0,230.0,33.0,229.0,261.0,2199.022
2199032.0,222.0,32.0,226.0,250.0,2199.032
2199042.0,228.0,33.0,225.0,255.0,2199.042
2199052.0,233.0,32.0,231.0,259.0,2199.052
2199062.0,234.0,32.0,236.0,258.0,2199.062
2199072.0,232.0,32.0,229.0,252.0,2199.072
2199083.0,220.0,32.0,223.0,240.0,2199.083
2199093.0,228.0,33.0,231.0,251.0,2199.093
2199103.0,236.0,33.0,247.0,271.0,2199.103
2199113.0,232.0,32.0,245.0,257.0,2199.113
2199123.0,235.0,32.0,238.0,258.0,2199.123
2199133.0,228.0,32.0,237.0,247.0,2199.133
2199143.0,237.0,33.0,241.0,260.0,2199.143
2199153.0,243.0,32.0,244.0,267.0,2199.153
2199163.0,232.0,33.0,233.0,254.0,2199.163
2199173.0,233.0,32.0,229.0,255.0,2199.173
2199183.0,232.0,32.0,240.0,259.0,2199.183
2199193.0,241.0,33.0,250.0,272.0,2199.193
2199203.0,245.0,32.0,245.0,271.0,2199.203
2199213.0,239.0,33.0,247.0,266.0,2199.213
2199223.0,238.0,32.0,236.0,260.0,2199.223
2199233.0,227.0,33.0,227.0,249.0,2199.233
2199243.0,234.0,32.0,240.0,263.0,2199.243
2199254.0,236.0,32.0,243.0,265.0,2199.254
2199264.0,233.0,32.0,250.0,263.0,2199.264
2199274.0,233.0,32.0,247.0,269.0,2199.274
2199284.0,234.0,32.0,251.0,268.0,2199.284
2199294.0,237.0,33.0,248.0,261.0,2199.294
2199304.0,237.0,32.0,237.0,256.0,2199.304
2199314.0,228.0,32.0,237.0,249.0,2199.314
2199324.0,225.0,32.0,230.0,251.0,2199.324
2199334.0,222.0,32.0,230.0,250.0,2199.334
2199344.0,224.0,32.0,237.0,251.0,2199.344
2199354.0,230.0,33.0,231.0,257.0,2199.354
2199364.0,226.0,32.0,225.0,244.0,2199.364
2199374.0,228.0,32.0,225.0,250.0,2199.374
2199384.0,224.0,32.0,225.0,249.0,2199.384
2199394.0,232.0,32.0,235.0,255.0,2199.394
2199404.0,232.0,33.0,229.0,257.0,2199.404
2199414.0,224.0,32.0,229.0,247.0,2199.414
2199424.0,229.0,33.0,229.0,253.0,2199.424
2199434.0,225.0,32.0,236.0,251.0,2199.434
2199444.0,232.0,32.0,244.0,257.0,2199.444
2199454.0,239.0,33.0,241.0,255.0,2199.454
2199464.0,227.0,32.0,237.0,245.0,2199.464
2199474.0,229.0,32.0,234.0,247.0,2199.474
2199484.0,228.0,33.0,241.0,251.0,2199.484
2199494.0,236.0,32.0,253.0,263.0,2199.494
2199504.0,237.0,32.0,250.0,268.0,2199.504
2199514.0,228.0,32.0,249.0,258.0,2199.514
2199524.0,222.0,32.0,240.0,254.0,2199.524
2199534.0,217.0,32.0,238.0,251.0,2199.534
2199544.0,225.0,33.0,245.0,256.0,2199.544
2199554.0,230.0,33.0,242.0,263.0,2199.554
2199564.0,224.0,32.0,247.0,258.0,2199.564
2199574.0,226.0,33.0,247.0,263.0,2199.574
2199584.0,229.0,32.0,247.0,262.0,2199.584
2199595.0,228.0,33.0,248.0,266.0,2199.595
2199605.0,229.0,33.0,242.0,270.0,2199.605
2199615.0,225.0,33.0,247.0,264.0,2199.615
2199625.0,236.0,32.0,257.0,276.0,2199.625
2199635.0,246.0,33.0,259.0,282.0,2199.635
2199645.0,245.0,33.0,265.0,278.0,2199.645
2199655.0,244.0,33.0,252.0,279.0,2199.655
2199665.0,238.0,32.0,249.0,266.0,2199.665
2199675.0,244.0,33.0,252.0,270.0,2199.675
2199685.0,249.0,33.0,254.0,272.0,2199.685
