time (ms),signal 0,signal 1,signal 2,signal 3,time (sec)
2315107.0,665.0,33.0,230.0,233.0,2315.107
2315117.0,667.0,34.0,223.0,236.0,2315.117
2315127.0,666.0,34.0,225.0,234.0,2315.127
2315137.0,665.0,33.0,228.0,239.0,2315.137
2315147.0,667.0,34.0,227.0,243.0,2315.147
2315157.0,665.0,33.0,226.0,233.0,2315.157
2315167.0,665.0,33.0,220.0,235.0,2315.167
2315177.0,666.0,35.0,223.0,236.0,2315.177
2315187.0,665.0,33.0,226.0,238.0,2315.187
2315197.0,666.0,34.0,223.0,241.0,2315.197
2315207.0,666.0,33.0,224.0,231.0,2315.207
2315217.0,665.0,33.0,218.0,233.0,2315.217
2315227.0,666.0,33.0,218.0,230.0,2315.227
2315237.0,665.0,33.0,227.0,239.0,2315.237
2315247.0,666.0,34.0,222.0,240.0,2315.247
2315257.0,665.0,32.0,223.0,231.0,2315.257
2315267.0,665.0,33.0,219.0,234.0,2315.267
2315277.0,667.0,33.0,220.0,232.0,2315.277
2315287.0,665.0,33.0,227.0,240.0,2315.287
2315297.0,665.0,33.0,222.0,239.0,2315.297
2315307.0,665.0,34.0,225.0,235.0,2315.307
2315317.0,665.0,33.0,219.0,234.0,2315.317
2315327.0,666.0,33.0,221.0,233.0,2315.327
2315337.0,666.0,33.0,230.0,240.0,2315.337
2315347.0,666.0,33.0,222.0,240.0,2315.347
2315357.0,665.0,32.0,226.0,235.0,2315.357
2315367.0,665.0,33.0,220.0,237.0,2315.367
2315377.0,666.0,34.0,223.0,236.0,2315.377
2315387.0,665.0,33.0,231.0,242.0,2315.387
2315397.0,666.0,34.0,227.0,244.0,2315.397
2315407.0,665.0,33.0,226.0,235.0,2315.407
2315417.0,665.0,33.0,220.0,237.0,2315.417
2315427.0,666.0,32.0,225.0,239.0,2315.427
2315437.0,665.0,34.0,228.0,242.0,2315.437
2315447.0,666.0,32.0,225.0,244.0,2315.447
2315457.0,665.0,32.0,224.0,234.0,2315.457
2315467.0,666.0,33.0,221.0,237.0,2315.467
2315478.0,666.0,33.0,224.0,240.0,2315.478
2315488.0,665.0,33.0,229.0,241.0,2315.488
2315498.0,665.0,33.0,221.0,242.0,2315.498
2315508.0,665.0,32.0,221.0,231.0,2315.508
2315518.0,665.0,33.0,221.0,238.0,2315.518
