time (ms),signal 0,signal 1,signal 2,signal 3,time (sec)
2391582.0,246.0,33.0,260.0,256.0,2391.582
2391592.0,257.0,33.0,253.0,255.0,2391.592
2391602.0,240.0,32.0,260.0,251.0,2391.602
2391612.0,249.0,33.0,251.0,250.0,2391.612
2391622.0,240.0,33.0,253.0,248.0,2391.622
2391632.0,245.0,33.0,262.0,256.0,2391.632
2391642.0,254.0,34.0,256.0,255.0,2391.642
2391652.0,238.0,33.0,259.0,251.0,2391.652
2391662.0,248.0,33.0,249.0,250.0,2391.662
2391672.0,240.0,34.0,254.0,249.0,2391.672
2391682.0,244.0,33.0,256.0,254.0,2391.682
2391692.0,253.0,33.0,255.0,257.0,2391.692
2391702.0,238.0,33.0,261.0,253.0,2391.702
2391712.0,246.0,33.0,252.0,252.0,2391.712
2391723.0,241.0,33.0,256.0,253.0,2391.723
2391733.0,242.0,34.0,262.0,259.0,2391.733
2391743.0,252.0,32.0,251.0,255.0,2391.743
2391753.0,234.0,33.0,253.0,250.0,2391.753
2391763.0,241.0,33.0,249.0,251.0,2391.763
2391773.0,240.0,34.0,254.0,254.0,2391.773
2391783.0,240.0,33.0,260.0,260.0,2391.783
2391793.0,249.0,34.0,250.0,256.0,2391.793
2391803.0,231.0,33.0,254.0,250.0,2391.803
2391813.0,240.0,33.0,249.0,254.0,2391.813
2391823.0,239.0,33.0,257.0,256.0,2391.823
2391833.0,238.0,33.0,263.0,260.0,2391.833
2391843.0,248.0,34.0,251.0,256.0,2391.843
2391853.0,232.0,33.0,259.0,253.0,2391.853
2391863.0,240.0,34.0,252.0,254.0,2391.863
2391873.0,241.0,34.0,259.0,258.0,2391.873
2391883.0,237.0,33.0,264.0,260.0,2391.883
2391894.0,248.0,34.0,254.0,257.0,2391.894
2391904.0,230.0,33.0,258.0,251.0,2391.904
2391914.0,238.0,33.0,257.0,256.0,2391.914
2391924.0,246.0,34.0,262.0,263.0,2391.924
2391934.0,233.0,34.0,266.0,260.0,2391.934
2391944.0,245.0,34.0,256.0,258.0,2391.944
2391954.0,229.0,33.0,260.0,250.0,2391.954
2391964.0,236.0,33.0,259.0,258.0,2391.964
2391974.0,245.0,34.0,262.0,263.0,2391.974
2391984.0,234.0,33.0,267.0,261.0,2391.984
2391994.0,243.0,35.0,255.0,257.0,2391.994
2392004.0,228.0,34.0,256.0,249.0,2392.004
2392014.0,235.0,33.0,258.0,258.0,2392.014
2392024.0,243.0,33.0,262.0,261.0,2392.024
2392034.0,232.0,34.0,261.0,260.0,2392.034
2392044.0,242.0,33.0,248.0,255.0,2392.044
2392054.0,227.0,34.0,248.0,249.0,2392.054
2392064.0,235.0,33.0,248.0,253.0,2392.064
2392074.0,243.0,33.0,255.0,261.0,2392.074
2392084.0,234.0,33.0,258.0,259.0,2392.084
2392094.0,242.0,34.0,246.0,256.0,2392.094
2392104.0,229.0,33.0,246.0,250.0,2392.104
2392114.0,236.0,33.0,247.0,257.0,2392.114
2392124.0,246.0,34.0,253.0,262.0,2392.124
2392134.0,235.0,32.0,255.0,260.0,2392.134
2392144.0,245.0,33.0,246.0,257.0,2392.144
2392154.0,231.0,33.0,247.0,252.0,2392.154
2392164.0,237.0,33.0,247.0,258.0,2392.164
2392174.0,247.0,33.0,251.0,263.0,2392.174
2392184.0,234.0,33.0,251.0,259.0,2392.184
2392194.0,246.0,34.0,245.0,258.0,2392.194
2392204.0,230.0,33.0,244.0,250.0,2392.204
2392214.0,238.0,34.0,248.0,258.0,2392.214
2392224.0,247.0,34.0,250.0,263.0,2392.224
2392235.0,233.0,33.0,252.0,259.0,2392.235
2392245.0,242.0,34.0,243.0,258.0,2392.245
2392255.0,233.0,34.0,246.0,254.0,2392.255
2392265.0,237.0,33.0,255.0,263.0,2392.265
2392275.0,247.0,33.0,250.0,262.0,2392.275
2392285.0,231.0,33.0,252.0,257.0,2392.285
2392295.0,239.0,33.0,244.0,257.0,2392.295
2392305.0,232.0,33.0,246.0,255.0,2392.305
2392315.0,235.0,33.0,254.0,261.0,2392.315
2392325.0,244.0,33.0,249.0,261.0,2392.325
2392335.0,229.0,33.0,251.0,255.0,2392.335
2392345.0,237.0,33.0,245.0,254.0,2392.345
2392355.0,231.0,33.0,250.0,255.0,2392.355
2392365.0,233.0,33.0,254.0,260.0,2392.365
2392375.0,243.0,34.0,253.0,262.0,2392.375
2392385.0,228.0,32.0,256.0,254.0,2392.385
