time (ms),signal 0,signal 1,signal 2,signal 3,time (sec)
2483100.0,207.0,33.0,5.0,230.0,2483.1
2483110.0,213.0,33.0,3.0,236.0,2483.11
2483120.0,216.0,34.0,4.0,236.0,2483.12
2483130.0,208.0,33.0,4.0,228.0,2483.13
2483140.0,211.0,33.0,5.0,230.0,2483.14
2483150.0,206.0,33.0,4.0,228.0,2483.15
2483160.0,210.0,33.0,4.0,233.0,2483.16
2483170.0,215.0,34.0,4.0,237.0,2483.17
2483180.0,207.0,32.0,4.0,228.0,2483.18
2483190.0,209.0,33.0,4.0,229.0,2483.19
2483200.0,203.0,33.0,3.0,224.0,2483.2
2483210.0,211.0,33.0,4.0,234.0,2483.21
2483220.0,215.0,33.0,3.0,236.0,2483.22
2483230.0,208.0,33.0,3.0,230.0,2483.23
2483240.0,210.0,33.0,3.0,232.0,2483.24
2483250.0,205.0,32.0,4.0,227.0,2483.25
2483260.0,213.0,33.0,4.0,237.0,2483.26
2483270.0,217.0,33.0,4.0,239.0,2483.27
2483280.0,207.0,33.0,4.0,231.0,2483.28
2483290.0,212.0,33.0,5.0,234.0,2483.29
2483300.0,206.0,32.0,3.0,230.0,2483.3
2483310.0,213.0,32.0,3.0,238.0,2483.31
2483320.0,217.0,32.0,4.0,240.0,2483.32
2483330.0,211.0,32.0,3.0,233.0,2483.33
2483340.0,212.0,32.0,4.0,234.0,2483.34
2483350.0,207.0,32.0,3.0,232.0,2483.35
2483360.0,214.0,32.0,4.0,240.0,2483.36
2483371.0,217.0,33.0,3.0,240.0,2483.371
2483381.0,208.0,32.0,4.0,230.0,2483.381
2483391.0,212.0,32.0,4.0,233.0,2483.391
2483401.0,215.0,33.0,4.0,239.0,2483.401
2483411.0,214.0,32.0,4.0,238.0,2483.411
2483421.0,219.0,33.0,4.0,239.0,2483.421
2483431.0,208.0,33.0,3.0,231.0,2483.431
2483441.0,211.0,32.0,4.0,233.0,2483.441
2483451.0,216.0,31.0,4.0,240.0,2483.451
2483461.0,216.0,32.0,3.0,240.0,2483.461
2483471.0,219.0,32.0,4.0,239.0,2483.471
2483481.0,209.0,32.0,4.0,232.0,2483.481
2483491.0,212.0,32.0,4.0,237.0,2483.491
2483501.0,213.0,32.0,4.0,237.0,2483.501
2483511.0,217.0,32.0,3.0,242.0,2483.511
2483521.0,219.0,32.0,5.0,240.0,2483.521
2483531.0,209.0,31.0,4.0,231.0,2483.531
2483542.0,212.0,32.0,3.0,236.0,2483.542
2483552.0,219.0,32.0,4.0,244.0,2483.552
2483562.0,215.0,32.0,3.0,239.0,2483.562
2483572.0,216.0,32.0,3.0,239.0,2483.572
2483582.0,207.0,32.0,4.0,231.0,2483.582
2483592.0,214.0,31.0,3.0,238.0,2483.592
2483602.0,220.0,32.0,4.0,244.0,2483.602
2483612.0,216.0,31.0,4.0,238.0,2483.612
2483622.0,217.0,33.0,3.0,238.0,2483.622
2483632.0,209.0,32.0,3.0,230.0,2483.632
2483642.0,214.0,32.0,4.0,238.0,2483.642
2483652.0,221.0,32.0,5.0,243.0,2483.652
2483662.0,215.0,31.0,2.0,238.0,2483.662
2483672.0,218.0,32.0,5.0,239.0,2483.672
2483682.0,209.0,33.0,3.0,231.0,2483.682
2483692.0,215.0,32.0,4.0,238.0,2483.692
