time (ms),signal 0,signal 1,signal 2,signal 3,time (sec)
2597804.0,221.0,33.0,2.0,243.0,2597.804
2597814.0,223.0,34.0,4.0,243.0,2597.814
2597824.0,214.0,32.0,4.0,234.0,2597.824
2597834.0,214.0,33.0,4.0,235.0,2597.834
2597844.0,218.0,33.0,4.0,239.0,2597.844
2597854.0,220.0,32.0,4.0,241.0,2597.854
2597864.0,221.0,32.0,4.0,239.0,2597.864
2597874.0,212.0,33.0,4.0,232.0,2597.874
2597884.0,216.0,33.0,4.0,234.0,2597.884
2597894.0,213.0,33.0,3.0,235.0,2597.894
2597904.0,220.0,32.0,4.0,240.0,2597.904
2597914.0,221.0,35.0,3.0,240.0,2597.914
2597924.0,213.0,33.0,3.0,231.0,2597.924
2597934.0,217.0,34.0,3.0,236.0,2597.934
2597944.0,215.0,34.0,2.0,239.0,2597.944
2597954.0,221.0,33.0,4.0,242.0,2597.954
2597964.0,222.0,34.0,4.0,241.0,2597.964
2597974.0,214.0,33.0,3.0,235.0,2597.974
2597984.0,216.0,34.0,3.0,236.0,2597.984
2597994.0,217.0,32.0,3.0,239.0,2597.994
2598004.0,220.0,33.0,3.0,242.0,2598.004
2598014.0,222.0,33.0,5.0,239.0,2598.014
2598024.0,214.0,33.0,3.0,234.0,2598.024
2598034.0,217.0,33.0,4.0,237.0,2598.034
2598044.0,218.0,34.0,3.0,241.0,2598.044
2598054.0,220.0,33.0,4.0,242.0,2598.054
2598064.0,223.0,34.0,3.0,242.0,2598.064
2598074.0,214.0,33.0,4.0,236.0,2598.074
2598084.0,216.0,34.0,4.0,237.0,2598.084
2598094.0,219.0,33.0,4.0,242.0,2598.094
2598104.0,221.0,33.0,4.0,244.0,2598.104
2598114.0,223.0,34.0,3.0,243.0,2598.114
2598124.0,214.0,32.0,4.0,235.0,2598.124
2598134.0,216.0,33.0,4.0,237.0,2598.134
2598144.0,215.0,33.0,4.0,237.0,2598.144
2598154.0,222.0,33.0,3.0,244.0,2598.154
