time (ms),signal 0,signal 1,signal 2,signal 3,time (sec)
2618073.0,219.0,32.0,4.0,237.0,2618.073
2618083.0,215.0,32.0,3.0,233.0,2618.083
2618093.0,216.0,32.0,4.0,235.0,2618.093
2618103.0,221.0,32.0,4.0,241.0,2618.103
2618113.0,222.0,31.0,4.0,240.0,2618.113
2618123.0,222.0,31.0,3.0,238.0,2618.123
2618133.0,215.0,31.0,4.0,230.0,2618.133
2618143.0,217.0,32.0,4.0,236.0,2618.143
2618153.0,223.0,32.0,3.0,241.0,2618.153
2618163.0,223.0,31.0,3.0,240.0,2618.163
2618173.0,221.0,32.0,4.0,238.0,2618.173
2618183.0,214.0,31.0,4.0,229.0,2618.183
2618193.0,218.0,32.0,4.0,237.0,2618.193
2618203.0,221.0,32.0,4.0,239.0,2618.203
2618213.0,223.0,32.0,3.0,240.0,2618.213
2618223.0,221.0,30.0,4.0,238.0,2618.223
2618233.0,215.0,31.0,3.0,230.0,2618.233
2618243.0,220.0,31.0,5.0,235.0,2618.243
2618253.0,222.0,31.0,4.0,241.0,2618.253
2618263.0,224.0,31.0,4.0,240.0,2618.263
2618273.0,222.0,32.0,3.0,239.0,2618.273
2618283.0,218.0,31.0,4.0,233.0,2618.283
2618293.0,220.0,32.0,4.0,236.0,2618.293
2618303.0,224.0,32.0,4.0,242.0,2618.303
2618313.0,224.0,31.0,4.0,240.0,2618.313
2618323.0,222.0,31.0,4.0,239.0,2618.323
2618333.0,218.0,31.0,4.0,233.0,2618.333
2618343.0,219.0,32.0,3.0,237.0,2618.343
2618353.0,224.0,31.0,4.0,244.0,2618.353
2618363.0,223.0,31.0,4.0,241.0,2618.363
2618373.0,223.0,32.0,4.0,240.0,2618.373
2618383.0,216.0,31.0,3.0,233.0,2618.383
2618393.0,219.0,31.0,4.0,237.0,2618.393
2618403.0,225.0,33.0,3.0,245.0,2618.403
2618413.0,225.0,32.0,4.0,241.0,2618.413
2618423.0,223.0,32.0,3.0,241.0,2618.423
2618433.0,217.0,32.0,5.0,232.0,2618.433
2618443.0,220.0,32.0,4.0,239.0,2618.443
2618454.0,226.0,32.0,4.0,245.0,2618.454
2618464.0,223.0,32.0,3.0,240.0,2618.464
2618474.0,222.0,32.0,4.0,239.0,2618.474
2618484.0,216.0,32.0,4.0,233.0,2618.484
2618494.0,224.0,32.0,4.0,244.0,2618.494
2618504.0,227.0,32.0,3.0,245.0,2618.504
2618514.0,222.0,32.0,4.0,240.0,2618.514
2618524.0,222.0,32.0,4.0,239.0,2618.524
2618534.0,216.0,33.0,4.0,236.0,2618.534
2618544.0,222.0,32.0,4.0,242.0,2618.544
2618554.0,226.0,32.0,4.0,246.0,2618.554
2618564.0,223.0,32.0,5.0,240.0,2618.564
2618574.0,221.0,33.0,4.0,239.0,2618.574
2618584.0,217.0,32.0,5.0,233.0,2618.584
2618594.0,222.0,34.0,3.0,243.0,2618.594
