time (ms),signal 0,signal 1,signal 2,signal 3,time (sec)
2764109.0,213.0,32.0,3.0,244.0,2764.109
2764119.0,214.0,31.0,4.0,245.0,2764.119
2764129.0,218.0,32.0,3.0,249.0,2764.129
2764139.0,219.0,32.0,3.0,245.0,2764.139
2764149.0,209.0,31.0,3.0,238.0,2764.149
2764160.0,213.0,32.0,3.0,242.0,2764.16
2764170.0,218.0,32.0,3.0,250.0,2764.17
2764180.0,217.0,31.0,5.0,246.0,2764.18
2764190.0,217.0,32.0,4.0,244.0,2764.19
2764200.0,209.0,32.0,3.0,238.0,2764.2
2764210.0,214.0,32.0,3.0,245.0,2764.21
2764220.0,221.0,32.0,3.0,250.0,2764.22
2764230.0,217.0,31.0,4.0,245.0,2764.23
2764240.0,217.0,32.0,4.0,246.0,2764.24
2764250.0,212.0,30.0,3.0,238.0,2764.25
2764260.0,216.0,31.0,3.0,245.0,2764.26
2764270.0,222.0,31.0,4.0,252.0,2764.27
2764280.0,217.0,33.0,3.0,247.0,2764.28
2764290.0,220.0,32.0,4.0,247.0,2764.29
2764300.0,211.0,32.0,4.0,240.0,2764.3
2764310.0,217.0,31.0,4.0,248.0,2764.31
2764320.0,224.0,32.0,3.0,254.0,2764.32
2764331.0,218.0,32.0,4.0,248.0,2764.331
2764341.0,220.0,32.0,3.0,249.0,2764.341
2764351.0,213.0,32.0,4.0,244.0,2764.351
2764361.0,220.0,32.0,3.0,252.0,2764.361
2764371.0,223.0,32.0,5.0,251.0,2764.371
2764381.0,217.0,31.0,3.0,244.0,2764.381
2764391.0,218.0,31.0,3.0,245.0,2764.391
2764401.0,213.0,32.0,3.0,243.0,2764.401
2764411.0,221.0,32.0,3.0,250.0,2764.411
2764421.0,224.0,32.0,4.0,253.0,2764.421
2764431.0,217.0,32.0,3.0,246.0,2764.431
2764441.0,220.0,31.0,4.0,248.0,2764.441
2764451.0,215.0,32.0,2.0,246.0,2764.451
2764461.0,220.0,31.0,4.0,251.0,2764.461
2764471.0,227.0,32.0,3.0,253.0,2764.471
2764481.0,222.0,31.0,4.0,245.0,2764.481
2764491.0,223.0,31.0,3.0,248.0,2764.491
2764502.0,219.0,31.0,4.0,248.0,2764.502
2764512.0,224.0,31.0,4.0,254.0,2764.512
2764522.0,225.0,32.0,3.0,252.0,2764.522
2764532.0,217.0,32.0,4.0,245.0,2764.532
2764542.0,219.0,31.0,3.0,248.0,2764.542
2764552.0,220.0,31.0,4.0,250.0,2764.552
2764562.0,224.0,31.0,3.0,256.0,2764.562
2764572.0,226.0,31.0,4.0,253.0,2764.572
2764582.0,216.0,31.0,4.0,244.0,2764.582
2764592.0,221.0,32.0,4.0,249.0,2764.592
2764602.0,221.0,32.0,3.0,252.0,2764.602
2764612.0,226.0,30.0,3.0,255.0,2764.612
2764622.0,225.0,32.0,3.0,252.0,2764.622
2764632.0,220.0,31.0,5.0,246.0,2764.632
2764642.0,222.0,31.0,4.0,249.0,2764.642
2764652.0,222.0,31.0,4.0,252.0,2764.652
2764662.0,225.0,30.0,3.0,254.0,2764.662
2764672.0,228.0,32.0,4.0,255.0,2764.672
2764682.0,219.0,31.0,4.0,246.0,2764.682
2764692.0,221.0,32.0,5.0,248.0,2764.692
2764702.0,225.0,31.0,4.0,255.0,2764.702
2764712.0,226.0,32.0,4.0,255.0,2764.712
2764722.0,229.0,33.0,3.0,256.0,2764.722
2764732.0,220.0,32.0,3.0,247.0,2764.732
2764742.0,223.0,32.0,3.0,250.0,2764.742
2764752.0,226.0,32.0,4.0,255.0,2764.752
2764762.0,229.0,31.0,4.0,258.0,2764.762
2764772.0,228.0,32.0,3.0,256.0,2764.772
2764782.0,219.0,32.0,4.0,247.0,2764.782
2764792.0,223.0,33.0,3.0,252.0,2764.792
2764802.0,222.0,32.0,3.0,252.0,2764.802
2764812.0,227.0,31.0,4.0,256.0,2764.812
2764822.0,227.0,33.0,2.0,254.0,2764.822
2764832.0,218.0,31.0,4.0,244.0,2764.832
2764843.0,222.0,31.0,4.0,249.0,2764.843
2764853.0,226.0,33.0,3.0,256.0,2764.853
2764863.0,223.0,32.0,3.0,250.0,2764.863
2764873.0,224.0,32.0,3.0,249.0,2764.873
2764883.0,215.0,32.0,3.0,240.0,2764.883
2764893.0,221.0,32.0,3.0,248.0,2764.893
2764903.0,226.0,32.0,4.0,255.0,2764.903
2764913.0,222.0,32.0,4.0,251.0,2764.913
2764923.0,223.0,33.0,3.0,251.0,2764.923
2764933.0,215.0,32.0,3.0,243.0,2764.933
2764943.0,220.0,32.0,3.0,249.0,2764.943
2764953.0,228.0,32.0,5.0,256.0,2764.953
2764963.0,220.0,31.0,3.0,250.0,2764.963
2764973.0,224.0,32.0,5.0,252.0,2764.973
2764983.0,215.0,32.0,3.0,246.0,2764.983
2764993.0,221.0,32.0,3.0,252.0,2764.993
2765003.0,228.0,32.0,4.0,257.0,2765.003
2765014.0,224.0,32.0,4.0,251.0,2765.014
2765024.0,226.0,31.0,4.0,252.0,2765.024
2765034.0,222.0,32.0,4.0,248.0,2765.034
