time (ms),signal 0,signal 1,signal 2,signal 3,time (sec)
2823279.0,219.0,32.0,4.0,249.0,2823.279
2823289.0,213.0,32.0,4.0,244.0,2823.289
2823299.0,215.0,33.0,2.0,243.0,2823.299
2823309.0,207.0,33.0,3.0,236.0,2823.309
2823319.0,214.0,33.0,4.0,247.0,2823.319
2823329.0,218.0,33.0,5.0,249.0,2823.329
2823339.0,215.0,32.0,3.0,246.0,2823.339
2823349.0,214.0,33.0,2.0,243.0,2823.349
2823359.0,207.0,33.0,3.0,238.0,2823.359
2823369.0,217.0,33.0,3.0,248.0,2823.369
2823379.0,220.0,33.0,4.0,249.0,2823.379
2823389.0,216.0,33.0,3.0,246.0,2823.389
2823399.0,216.0,33.0,5.0,244.0,2823.399
2823409.0,210.0,33.0,2.0,239.0,2823.409
2823419.0,217.0,33.0,4.0,248.0,2823.419
2823429.0,220.0,32.0,2.0,248.0,2823.429
2823439.0,215.0,32.0,4.0,242.0,2823.439
2823449.0,215.0,33.0,3.0,243.0,2823.449
2823459.0,210.0,33.0,3.0,239.0,2823.459
2823469.0,215.0,33.0,3.0,244.0,2823.469
2823479.0,220.0,33.0,4.0,248.0,2823.479
2823489.0,216.0,33.0,3.0,243.0,2823.489
2823499.0,216.0,33.0,4.0,242.0,2823.499
2823510.0,211.0,32.0,3.0,240.0,2823.51
2823520.0,219.0,32.0,4.0,248.0,2823.52
2823530.0,222.0,33.0,4.0,247.0,2823.53
2823540.0,213.0,33.0,4.0,239.0,2823.54
2823550.0,214.0,33.0,4.0,242.0,2823.55
2823560.0,211.0,34.0,2.0,242.0,2823.56
2823570.0,219.0,32.0,3.0,249.0,2823.57
2823580.0,221.0,33.0,3.0,249.0,2823.58
2823590.0,214.0,33.0,5.0,241.0,2823.59
2823600.0,217.0,33.0,3.0,245.0,2823.6
2823610.0,215.0,33.0,4.0,245.0,2823.61
2823620.0,220.0,33.0,4.0,251.0,2823.62
2823630.0,221.0,34.0,3.0,247.0,2823.63
2823640.0,217.0,32.0,4.0,242.0,2823.64
2823650.0,217.0,34.0,4.0,243.0,2823.65
2823660.0,219.0,33.0,4.0,245.0,2823.66
2823670.0,222.0,34.0,3.0,248.0,2823.67
2823680.0,225.0,33.0,4.0,250.0,2823.68
2823690.0,218.0,34.0,3.0,241.0,2823.69
2823700.0,219.0,33.0,4.0,244.0,2823.7
2823710.0,219.0,33.0,3.0,246.0,2823.71
2823720.0,224.0,33.0,5.0,249.0,2823.72
2823730.0,224.0,34.0,3.0,251.0,2823.73
2823740.0,218.0,33.0,3.0,240.0,2823.74
2823750.0,220.0,33.0,3.0,244.0,2823.75
2823760.0,221.0,34.0,3.0,247.0,2823.76
2823770.0,223.0,33.0,3.0,250.0,2823.77
2823780.0,224.0,33.0,4.0,250.0,2823.78
