time (ms),signal 0,signal 1,signal 2,signal 3,time (sec)
2988295.0,222.0,32.0,4.0,245.0,2988.295
2988305.0,221.0,33.0,4.0,242.0,2988.305
2988315.0,213.0,32.0,4.0,234.0,2988.315
2988325.0,218.0,32.0,3.0,242.0,2988.325
2988335.0,219.0,33.0,2.0,245.0,2988.335
2988345.0,221.0,32.0,4.0,244.0,2988.345
2988355.0,220.0,32.0,4.0,242.0,2988.355
2988365.0,214.0,32.0,5.0,233.0,2988.365
2988375.0,216.0,33.0,3.0,238.0,2988.375
2988385.0,221.0,32.0,3.0,245.0,2988.385
2988395.0,221.0,33.0,3.0,245.0,2988.395
2988405.0,219.0,32.0,3.0,241.0,2988.405
2988416.0,213.0,32.0,4.0,234.0,2988.416
2988426.0,220.0,33.0,4.0,244.0,2988.426
2988436.0,225.0,33.0,3.0,248.0,2988.436
2988446.0,219.0,33.0,3.0,241.0,2988.446
2988456.0,219.0,33.0,4.0,242.0,2988.456
2988466.0,213.0,33.0,3.0,236.0,2988.466
2988476.0,221.0,32.0,4.0,246.0,2988.476
2988486.0,225.0,33.0,4.0,248.0,2988.486
2988496.0,221.0,32.0,4.0,242.0,2988.496
2988506.0,221.0,33.0,4.0,244.0,2988.506
2988516.0,214.0,32.0,4.0,237.0,2988.516
2988526.0,223.0,33.0,3.0,248.0,2988.526
2988536.0,226.0,32.0,4.0,249.0,2988.536
2988546.0,222.0,32.0,3.0,246.0,2988.546
2988556.0,222.0,32.0,5.0,244.0,2988.556
2988566.0,214.0,33.0,4.0,239.0,2988.566
2988576.0,223.0,33.0,4.0,249.0,2988.576
2988587.0,226.0,33.0,3.0,251.0,2988.587
2988597.0,220.0,32.0,3.0,243.0,2988.597
2988607.0,221.0,32.0,4.0,245.0,2988.607
2988617.0,221.0,33.0,3.0,247.0,2988.617
2988627.0,225.0,33.0,4.0,251.0,2988.627
2988637.0,226.0,33.0,3.0,251.0,2988.637
2988647.0,220.0,32.0,4.0,244.0,2988.647
2988657.0,222.0,32.0,4.0,245.0,2988.657
2988667.0,224.0,33.0,4.0,248.0,2988.667
2988677.0,226.0,33.0,3.0,252.0,2988.677
2988687.0,228.0,33.0,5.0,251.0,2988.687
2988697.0,220.0,33.0,2.0,244.0,2988.697
2988707.0,221.0,32.0,4.0,245.0,2988.707
2988717.0,219.0,33.0,4.0,246.0,2988.717
2988727.0,226.0,32.0,4.0,252.0,2988.727
2988737.0,227.0,32.0,4.0,250.0,2988.737
2988747.0,220.0,32.0,4.0,243.0,2988.747
2988758.0,222.0,31.0,4.0,245.0,2988.758
2988768.0,225.0,33.0,3.0,251.0,2988.768
2988778.0,226.0,32.0,3.0,251.0,2988.778
2988788.0,224.0,33.0,3.0,249.0,2988.788
2988798.0,217.0,32.0,4.0,239.0,2988.798
2988808.0,221.0,32.0,4.0,246.0,2988.808
2988818.0,227.0,33.0,4.0,252.0,2988.818
2988828.0,226.0,32.0,4.0,250.0,2988.828
2988838.0,225.0,32.0,4.0,247.0,2988.838
2988848.0,220.0,32.0,3.0,242.0,2988.848
2988858.0,222.0,32.0,4.0,246.0,2988.858
2988868.0,228.0,32.0,3.0,253.0,2988.868
2988878.0,227.0,32.0,5.0,250.0,2988.878
2988888.0,227.0,32.0,4.0,249.0,2988.888
2988898.0,219.0,32.0,4.0,242.0,2988.898
2988908.0,223.0,32.0,3.0,248.0,2988.908
2988918.0,229.0,32.0,3.0,254.0,2988.918
