time (ms),signal 0,signal 1,signal 2,signal 3,time (sec)
3055539.0,223.0,33.0,3.0,248.0,3055.539
3055549.0,227.0,31.0,4.0,250.0,3055.549
3055559.0,225.0,32.0,4.0,249.0,3055.559
3055569.0,218.0,31.0,4.0,239.0,3055.569
3055579.0,222.0,33.0,3.0,245.0,3055.579
3055589.0,223.0,32.0,3.0,249.0,3055.589
3055599.0,227.0,31.0,4.0,249.0,3055.599
3055609.0,226.0,31.0,4.0,248.0,3055.609
3055619.0,220.0,31.0,3.0,242.0,3055.619
3055629.0,222.0,32.0,4.0,244.0,3055.629
3055639.0,225.0,32.0,3.0,250.0,3055.639
3055649.0,227.0,32.0,4.0,250.0,3055.649
3055659.0,227.0,32.0,4.0,249.0,3055.659
3055669.0,220.0,32.0,4.0,240.0,3055.669
3055679.0,222.0,31.0,4.0,243.0,3055.679
3055689.0,226.0,32.0,4.0,250.0,3055.689
3055699.0,226.0,31.0,3.0,250.0,3055.699
3055709.0,227.0,32.0,3.0,250.0,3055.709
3055719.0,222.0,31.0,4.0,244.0,3055.719
3055729.0,224.0,32.0,3.0,250.0,3055.729
3055739.0,230.0,32.0,5.0,255.0,3055.739
3055749.0,230.0,31.0,4.0,255.0,3055.749
3055759.0,228.0,32.0,4.0,253.0,3055.759
3055769.0,221.0,32.0,3.0,245.0,3055.769
3055779.0,223.0,32.0,4.0,249.0,3055.779
3055789.0,226.0,31.0,4.0,252.0,3055.789
3055799.0,230.0,31.0,4.0,253.0,3055.799
3055809.0,228.0,31.0,4.0,251.0,3055.809
3055819.0,222.0,33.0,3.0,242.0,3055.819
3055830.0,225.0,32.0,3.0,249.0,3055.83
3055840.0,231.0,32.0,3.0,254.0,3055.84
3055850.0,228.0,31.0,4.0,249.0,3055.85
3055860.0,227.0,32.0,4.0,249.0,3055.86
3055870.0,220.0,31.0,4.0,242.0,3055.87
3055880.0,225.0,32.0,3.0,250.0,3055.88
3055890.0,231.0,32.0,4.0,255.0,3055.89
3055900.0,226.0,32.0,3.0,250.0,3055.9
3055910.0,227.0,32.0,4.0,249.0,3055.91
3055920.0,220.0,31.0,4.0,242.0,3055.92
3055930.0,226.0,31.0,3.0,250.0,3055.93
3055940.0,231.0,31.0,2.0,255.0,3055.94
3055950.0,226.0,31.0,3.0,247.0,3055.95
3055960.0,227.0,32.0,3.0,249.0,3055.96
3055970.0,219.0,31.0,3.0,239.0,3055.97
3055980.0,226.0,32.0,4.0,251.0,3055.98
3055990.0,232.0,32.0,4.0,257.0,3055.99
3056000.0,229.0,31.0,3.0,252.0,3056.0
3056010.0,228.0,31.0,3.0,252.0,3056.01
3056020.0,220.0,32.0,4.0,242.0,3056.02
3056030.0,227.0,33.0,3.0,254.0,3056.03
3056040.0,232.0,30.0,4.0,256.0,3056.04
3056050.0,229.0,31.0,4.0,252.0,3056.05
3056060.0,228.0,31.0,5.0,250.0,3056.06
3056070.0,219.0,31.0,3.0,242.0,3056.07
3056080.0,228.0,31.0,4.0,254.0,3056.08
3056090.0,232.0,31.0,4.0,257.0,3056.09
3056100.0,227.0,31.0,4.0,250.0,3056.1
3056110.0,227.0,31.0,3.0,251.0,3056.11
3056120.0,221.0,31.0,5.0,245.0,3056.12
3056130.0,225.0,31.0,3.0,251.0,3056.13
3056140.0,232.0,32.0,3.0,256.0,3056.14
3056150.0,226.0,31.0,3.0,250.0,3056.15
3056160.0,226.0,32.0,3.0,250.0,3056.16
3056171.0,221.0,31.0,4.0,245.0,3056.171
3056181.0,230.0,31.0,4.0,254.0,3056.181
3056191.0,232.0,31.0,4.0,255.0,3056.191
3056201.0,224.0,32.0,3.0,249.0,3056.201
3056211.0,226.0,30.0,4.0,252.0,3056.211
3056221.0,222.0,33.0,3.0,250.0,3056.221
3056231.0,230.0,30.0,3.0,258.0,3056.231
3056241.0,231.0,31.0,4.0,256.0,3056.241
3056251.0,224.0,31.0,5.0,248.0,3056.251
3056261.0,226.0,31.0,3.0,251.0,3056.261
3056271.0,224.0,31.0,3.0,247.0,3056.271
3056281.0,230.0,32.0,4.0,256.0,3056.281
3056291.0,231.0,32.0,3.0,252.0,3056.291
3056301.0,225.0,30.0,4.0,249.0,3056.301
3056311.0,226.0,31.0,4.0,246.0,3056.311
3056321.0,225.0,31.0,4.0,252.0,3056.321
3056331.0,231.0,32.0,3.0,258.0,3056.331
3056342.0,230.0,32.0,4.0,253.0,3056.342
3056352.0,221.0,32.0,3.0,247.0,3056.352
3056362.0,224.0,30.0,4.0,252.0,3056.362
3056372.0,229.0,32.0,3.0,261.0,3056.372
3056382.0,228.0,31.0,4.0,257.0,3056.382
3056392.0,229.0,31.0,2.0,257.0,3056.392
3056402.0,222.0,31.0,4.0,253.0,3056.402
3056412.0,226.0,32.0,3.0,261.0,3056.412
3056422.0,233.0,32.0,4.0,264.0,3056.422
3056432.0,230.0,31.0,3.0,253.0,3056.432
3056442.0,231.0,32.0,4.0,250.0,3056.442
3056452.0,222.0,31.0,4.0,238.0,3056.452
3056462.0,225.0,32.0,3.0,242.0,3056.462
3056472.0,227.0,32.0,4.0,244.0,3056.472
3056482.0,227.0,32.0,3.0,250.0,3056.482
3056492.0,234.0,32.0,3.0,262.0,3056.492
3056502.0,222.0,32.0,3.0,250.0,3056.502
3056512.0,230.0,31.0,4.0,256.0,3056.512
3056522.0,230.0,32.0,3.0,256.0,3056.522
3056532.0,228.0,31.0,3.0,256.0,3056.532
3056542.0,227.0,33.0,3.0,259.0,3056.542
3056552.0,218.0,32.0,3.0,243.0,3056.552
3056562.0,220.0,32.0,3.0,248.0,3056.562
3056572.0,226.0,32.0,4.0,253.0,3056.572
3056582.0,224.0,31.0,2.0,254.0,3056.582
3056592.0,222.0,32.0,4.0,241.0,3056.592
3056602.0,223.0,32.0,4.0,239.0,3056.602
3056612.0,225.0,31.0,3.0,244.0,3056.612
3056622.0,229.0,31.0,4.0,254.0,3056.622
3056632.0,228.0,32.0,4.0,253.0,3056.632
3056642.0,231.0,31.0,4.0,259.0,3056.642
3056652.0,224.0,32.0,3.0,257.0,3056.652
3056662.0,227.0,31.0,4.0,265.0,3056.662
3056672.0,233.0,33.0,3.0,276.0,3056.672
3056683.0,230.0,31.0,4.0,272.0,3056.683
3056693.0,227.0,32.0,3.0,268.0,3056.693
3056703.0,224.0,31.0,4.0,251.0,3056.703
3056713.0,236.0,31.0,2.0,268.0,3056.713
3056723.0,236.0,32.0,4.0,264.0,3056.723
3056733.0,235.0,31.0,3.0,276.0,3056.733
3056743.0,237.0,32.0,3.0,270.0,3056.743
3056753.0,227.0,31.0,4.0,270.0,3056.753
3056763.0,238.0,32.0,5.0,263.0,3056.763
3056773.0,231.0,32.0,4.0,262.0,3056.773
3056783.0,221.0,32.0,3.0,263.0,3056.783
3056793.0,217.0,32.0,4.0,255.0,3056.793
3056803.0,209.0,32.0,3.0,249.0,3056.803
3056813.0,218.0,32.0,4.0,269.0,3056.813
3056823.0,228.0,32.0,4.0,283.0,3056.823
3056833.0,221.0,31.0,4.0,275.0,3056.833
3056843.0,224.0,32.0,4.0,293.0,3056.843
3056854.0,224.0,32.0,4.0,279.0,3056.854
3056864.0,235.0,33.0,3.0,287.0,3056.864
3056874.0,235.0,32.0,4.0,275.0,3056.874
3056884.0,225.0,32.0,3.0,265.0,3056.884
3056894.0,229.0,31.0,5.0,277.0,3056.894
3056904.0,234.0,32.0,4.0,310.0,3056.904
3056914.0,242.0,32.0,4.0,319.0,3056.914
3056924.0,245.0,33.0,4.0,332.0,3056.924
3056934.0,239.0,32.0,4.0,324.0,3056.934
3056944.0,240.0,33.0,3.0,331.0,3056.944
3056954.0,236.0,32.0,4.0,324.0,3056.954
3056964.0,240.0,31.0,3.0,334.0,3056.964
3056974.0,242.0,33.0,3.0,338.0,3056.974
3056984.0,233.0,32.0,4.0,320.0,3056.984
3056994.0,235.0,34.0,3.0,314.0,3056.994
3057004.0,233.0,32.0,3.0,318.0,3057.004
3057014.0,237.0,32.0,3.0,317.0,3057.014
3057024.0,240.0,32.0,4.0,311.0,3057.024
3057034.0,228.0,32.0,4.0,288.0,3057.034
3057044.0,232.0,32.0,4.0,276.0,3057.044
3057054.0,236.0,34.0,3.0,298.0,3057.054
3057064.0,239.0,32.0,4.0,292.0,3057.064
3057074.0,240.0,33.0,3.0,291.0,3057.074
3057084.0,230.0,32.0,4.0,272.0,3057.084
3057094.0,234.0,31.0,4.0,272.0,3057.094
3057104.0,242.0,33.0,3.0,306.0,3057.104
3057114.0,240.0,33.0,3.0,305.0,3057.114
3057124.0,244.0,34.0,3.0,306.0,3057.124
3057134.0,234.0,32.0,4.0,297.0,3057.134
3057144.0,238.0,32.0,4.0,288.0,3057.144
3057154.0,235.0,33.0,4.0,281.0,3057.154
3057164.0,236.0,33.0,4.0,270.0,3057.164
3057174.0,237.0,33.0,4.0,297.0,3057.174
3057184.0,224.0,33.0,3.0,273.0,3057.184
3057195.0,232.0,33.0,4.0,276.0,3057.195
3057205.0,239.0,33.0,3.0,276.0,3057.205
3057215.0,241.0,32.0,4.0,290.0,3057.215
3057225.0,238.0,33.0,4.0,279.0,3057.225
3057235.0,224.0,32.0,3.0,281.0,3057.235
3057245.0,236.0,33.0,3.0,321.0,3057.245
3057255.0,246.0,33.0,3.0,337.0,3057.255
3057265.0,246.0,32.0,4.0,326.0,3057.265
3057275.0,249.0,33.0,4.0,322.0,3057.275
3057285.0,240.0,31.0,4.0,324.0,3057.285
3057295.0,236.0,33.0,4.0,332.0,3057.295
3057305.0,240.0,33.0,4.0,321.0,3057.305
3057315.0,235.0,33.0,3.0,325.0,3057.315
3057325.0,237.0,32.0,4.0,327.0,3057.325
3057335.0,231.0,32.0,3.0,315.0,3057.335
3057345.0,240.0,32.0,4.0,334.0,3057.345
3057355.0,252.0,33.0,4.0,359.0,3057.355
