time (ms),signal 0,signal 1,signal 2,signal 3,time (sec)
3088114.0,219.0,32.0,3.0,244.0,3088.114
3088124.0,223.0,32.0,3.0,246.0,3088.124
3088134.0,224.0,33.0,4.0,248.0,3088.134
3088144.0,215.0,32.0,3.0,239.0,3088.144
3088154.0,218.0,32.0,3.0,243.0,3088.154
3088164.0,222.0,33.0,3.0,249.0,3088.164
3088174.0,223.0,32.0,3.0,249.0,3088.174
3088184.0,223.0,33.0,4.0,247.0,3088.184
3088194.0,218.0,32.0,4.0,240.0,3088.194
3088204.0,219.0,32.0,4.0,242.0,3088.204
3088214.0,218.0,32.0,5.0,241.0,3088.214
3088224.0,224.0,33.0,3.0,245.0,3088.224
3088234.0,223.0,33.0,3.0,242.0,3088.234
3088244.0,216.0,32.0,4.0,234.0,3088.244
3088254.0,219.0,32.0,5.0,239.0,3088.254
3088264.0,220.0,33.0,3.0,251.0,3088.264
3088274.0,225.0,32.0,3.0,255.0,3088.274
3088284.0,224.0,33.0,4.0,255.0,3088.284
3088294.0,217.0,33.0,3.0,244.0,3088.294
3088304.0,221.0,33.0,4.0,250.0,3088.304
3088314.0,221.0,33.0,4.0,253.0,3088.314
3088324.0,226.0,32.0,4.0,255.0,3088.324
3088334.0,224.0,33.0,4.0,253.0,3088.334
3088344.0,221.0,33.0,4.0,248.0,3088.344
3088354.0,222.0,34.0,3.0,253.0,3088.354
3088364.0,223.0,32.0,3.0,256.0,3088.364
3088374.0,225.0,32.0,4.0,256.0,3088.374
3088384.0,228.0,33.0,3.0,258.0,3088.384
3088394.0,221.0,31.0,4.0,246.0,3088.394
3088404.0,222.0,33.0,4.0,249.0,3088.404
3088414.0,225.0,33.0,3.0,255.0,3088.414
3088424.0,227.0,32.0,3.0,255.0,3088.424
3088434.0,229.0,33.0,4.0,257.0,3088.434
3088444.0,221.0,33.0,4.0,248.0,3088.444
3088454.0,225.0,31.0,4.0,251.0,3088.454
3088464.0,228.0,33.0,4.0,257.0,3088.464
3088474.0,229.0,32.0,4.0,256.0,3088.474
3088484.0,228.0,33.0,3.0,257.0,3088.484
3088494.0,222.0,32.0,3.0,249.0,3088.494
3088504.0,224.0,33.0,3.0,254.0,3088.504
3088514.0,224.0,32.0,3.0,255.0,3088.514
3088524.0,230.0,32.0,4.0,259.0,3088.524
3088534.0,229.0,32.0,4.0,256.0,3088.534
3088544.0,222.0,33.0,3.0,248.0,3088.544
3088555.0,225.0,32.0,4.0,254.0,3088.555
3088565.0,229.0,33.0,4.0,258.0,3088.565
3088575.0,228.0,32.0,5.0,253.0,3088.575
3088585.0,227.0,32.0,4.0,251.0,3088.585
3088595.0,218.0,32.0,4.0,243.0,3088.595
3088605.0,223.0,31.0,3.0,250.0,3088.605
3088615.0,229.0,33.0,3.0,256.0,3088.615
3088625.0,226.0,32.0,3.0,254.0,3088.625
3088635.0,225.0,33.0,4.0,253.0,3088.635
3088645.0,221.0,32.0,4.0,247.0,3088.645
3088655.0,224.0,33.0,2.0,255.0,3088.655
3088665.0,230.0,33.0,3.0,260.0,3088.665
3088675.0,227.0,33.0,3.0,256.0,3088.675
3088685.0,227.0,33.0,3.0,257.0,3088.685
3088695.0,219.0,33.0,3.0,247.0,3088.695
3088705.0,226.0,33.0,4.0,257.0,3088.705
3088715.0,230.0,33.0,4.0,261.0,3088.715
3088726.0,225.0,32.0,4.0,256.0,3088.726
3088736.0,225.0,33.0,3.0,257.0,3088.736
3088746.0,220.0,32.0,3.0,252.0,3088.746
3088756.0,229.0,32.0,3.0,262.0,3088.756
3088766.0,230.0,33.0,4.0,261.0,3088.766
3088776.0,225.0,32.0,3.0,254.0,3088.776
3088786.0,225.0,32.0,3.0,255.0,3088.786
3088796.0,221.0,32.0,4.0,252.0,3088.796
3088806.0,229.0,33.0,3.0,260.0,3088.806
3088816.0,231.0,32.0,4.0,260.0,3088.816
3088826.0,225.0,32.0,4.0,252.0,3088.826
3088836.0,226.0,33.0,4.0,253.0,3088.836
3088846.0,222.0,32.0,3.0,252.0,3088.846
3088856.0,228.0,32.0,4.0,257.0,3088.856
3088866.0,230.0,33.0,3.0,261.0,3088.866
3088876.0,223.0,32.0,3.0,252.0,3088.876
3088886.0,224.0,32.0,3.0,251.0,3088.886
