time (ms),signal 0,signal 1,signal 2,signal 3,time (sec)
3215796.0,223.0,218.0,4.0,249.0,3215.796
3215806.0,221.0,211.0,3.0,246.0,3215.806
3215816.0,213.0,209.0,4.0,237.0,3215.816
3215826.0,216.0,209.0,4.0,242.0,3215.826
3215836.0,218.0,208.0,4.0,246.0,3215.836
3215846.0,221.0,215.0,3.0,249.0,3215.846
3215856.0,220.0,211.0,3.0,248.0,3215.856
3215866.0,213.0,206.0,4.0,238.0,3215.866
3215876.0,216.0,207.0,4.0,245.0,3215.876
3215886.0,218.0,206.0,2.0,248.0,3215.886
3215896.0,220.0,213.0,4.0,250.0,3215.896
3215906.0,220.0,207.0,3.0,248.0,3215.906
3215916.0,215.0,206.0,3.0,242.0,3215.916
3215926.0,213.0,204.0,3.0,243.0,3215.926
3215936.0,217.0,204.0,4.0,247.0,3215.936
3215946.0,218.0,214.0,3.0,249.0,3215.946
3215956.0,219.0,209.0,4.0,247.0,3215.956
3215966.0,214.0,207.0,4.0,242.0,3215.966
3215976.0,215.0,205.0,4.0,245.0,3215.976
3215986.0,219.0,206.0,3.0,254.0,3215.986
3215996.0,220.0,212.0,4.0,251.0,3215.996
3216006.0,222.0,207.0,3.0,251.0,3216.006
3216016.0,215.0,205.0,4.0,240.0,3216.016
3216026.0,217.0,204.0,4.0,246.0,3216.026
3216036.0,223.0,204.0,4.0,252.0,3216.036
3216046.0,223.0,212.0,3.0,250.0,3216.046
3216056.0,221.0,205.0,3.0,248.0,3216.056
3216066.0,214.0,205.0,3.0,242.0,3216.066
3216076.0,219.0,203.0,5.0,247.0,3216.076
3216086.0,223.0,203.0,4.0,250.0,3216.086
3216096.0,224.0,211.0,3.0,250.0,3216.096
3216106.0,223.0,204.0,4.0,249.0,3216.106
3216116.0,216.0,203.0,3.0,241.0,3216.116
3216126.0,221.0,203.0,4.0,247.0,3216.126
3216136.0,223.0,202.0,3.0,253.0,3216.136
3216146.0,226.0,209.0,4.0,252.0,3216.146
3216156.0,223.0,204.0,4.0,251.0,3216.156
3216166.0,217.0,201.0,3.0,245.0,3216.166
3216176.0,221.0,203.0,3.0,252.0,3216.176
3216186.0,226.0,203.0,4.0,257.0,3216.186
3216196.0,226.0,210.0,4.0,256.0,3216.196
3216206.0,225.0,204.0,5.0,253.0,3216.206
3216216.0,220.0,205.0,4.0,248.0,3216.216
3216226.0,221.0,203.0,3.0,253.0,3216.226
3216236.0,226.0,203.0,4.0,257.0,3216.236
3216246.0,225.0,212.0,3.0,254.0,3216.246
3216256.0,223.0,205.0,4.0,254.0,3216.256
3216266.0,214.0,203.0,3.0,246.0,3216.266
3216276.0,218.0,202.0,5.0,251.0,3216.276
3216286.0,224.0,202.0,4.0,258.0,3216.286
3216296.0,222.0,208.0,4.0,255.0,3216.296
3216306.0,223.0,204.0,4.0,256.0,3216.306
3216316.0,216.0,202.0,4.0,247.0,3216.316
3216326.0,220.0,202.0,3.0,254.0,3216.326
3216336.0,226.0,203.0,3.0,260.0,3216.336
3216346.0,226.0,211.0,4.0,258.0,3216.346
3216356.0,222.0,204.0,4.0,255.0,3216.356
3216366.0,213.0,202.0,4.0,247.0,3216.366
3216376.0,218.0,205.0,3.0,255.0,3216.376
3216386.0,222.0,202.0,3.0,260.0,3216.386
3216396.0,223.0,210.0,4.0,259.0,3216.396
3216406.0,223.0,203.0,4.0,257.0,3216.406
3216416.0,214.0,201.0,3.0,248.0,3216.416
3216427.0,221.0,205.0,3.0,258.0,3216.427
3216437.0,227.0,202.0,3.0,262.0,3216.437
3216447.0,223.0,206.0,4.0,255.0,3216.447
3216457.0,224.0,202.0,3.0,256.0,3216.457
3216467.0,219.0,200.0,4.0,254.0,3216.467
3216477.0,223.0,204.0,4.0,259.0,3216.477
3216487.0,228.0,201.0,4.0,263.0,3216.487
3216497.0,224.0,208.0,3.0,257.0,3216.497
3216507.0,222.0,200.0,3.0,254.0,3216.507
3216517.0,215.0,199.0,4.0,246.0,3216.517
3216527.0,220.0,203.0,4.0,259.0,3216.527
3216537.0,224.0,197.0,4.0,263.0,3216.537
3216547.0,218.0,201.0,3.0,254.0,3216.547
3216557.0,221.0,200.0,3.0,256.0,3216.557
3216567.0,215.0,196.0,3.0,251.0,3216.567
3216577.0,222.0,204.0,4.0,260.0,3216.577
3216587.0,227.0,198.0,4.0,262.0,3216.587
3216598.0,221.0,203.0,4.0,254.0,3216.598
3216608.0,220.0,198.0,4.0,254.0,3216.608
3216618.0,220.0,197.0,3.0,255.0,3216.618
3216628.0,225.0,207.0,3.0,258.0,3216.628
3216638.0,226.0,200.0,4.0,257.0,3216.638
3216648.0,220.0,202.0,3.0,250.0,3216.648
3216658.0,220.0,198.0,4.0,251.0,3216.658
3216668.0,222.0,198.0,4.0,255.0,3216.668
3216678.0,224.0,204.0,4.0,257.0,3216.678
3216688.0,223.0,197.0,4.0,257.0,3216.688
3216698.0,219.0,202.0,3.0,251.0,3216.698
3216708.0,222.0,199.0,4.0,253.0,3216.708
3216718.0,222.0,197.0,4.0,259.0,3216.718
3216728.0,231.0,213.0,4.0,262.0,3216.728
3216738.0,238.0,208.0,4.0,265.0,3216.738
3216748.0,229.0,206.0,3.0,258.0,3216.748
3216758.0,236.0,205.0,3.0,258.0,3216.758
3216768.0,236.0,202.0,4.0,258.0,3216.768
3216778.0,240.0,207.0,3.0,265.0,3216.778
3216788.0,231.0,194.0,5.0,251.0,3216.788
3216798.0,237.0,215.0,4.0,251.0,3216.798
3216808.0,240.0,216.0,3.0,253.0,3216.808
3216818.0,247.0,223.0,3.0,258.0,3216.818
3216828.0,245.0,222.0,3.0,257.0,3216.828
3216838.0,244.0,212.0,3.0,259.0,3216.838
3216848.0,239.0,220.0,4.0,256.0,3216.848
3216858.0,249.0,220.0,4.0,264.0,3216.858
3216868.0,264.0,241.0,3.0,285.0,3216.868
3216878.0,277.0,252.0,4.0,295.0,3216.878
3216888.0,275.0,243.0,3.0,296.0,3216.888
3216898.0,271.0,242.0,4.0,286.0,3216.898
3216908.0,275.0,239.0,4.0,282.0,3216.908
3216918.0,278.0,234.0,4.0,283.0,3216.918
3216928.0,286.0,237.0,3.0,282.0,3216.928
3216939.0,269.0,226.0,4.0,264.0,3216.939
3216949.0,262.0,218.0,3.0,259.0,3216.949
3216959.0,254.0,214.0,4.0,260.0,3216.959
3216969.0,256.0,222.0,4.0,269.0,3216.969
3216979.0,248.0,213.0,5.0,259.0,3216.979
3216989.0,251.0,213.0,3.0,263.0,3216.989
3216999.0,244.0,206.0,4.0,251.0,3216.999
3217009.0,238.0,197.0,4.0,244.0,3217.009
3217019.0,245.0,196.0,3.0,246.0,3217.019
3217029.0,248.0,200.0,4.0,242.0,3217.029
3217039.0,239.0,199.0,4.0,246.0,3217.039
3217049.0,240.0,203.0,4.0,245.0,3217.049
3217059.0,245.0,203.0,3.0,251.0,3217.059
3217069.0,247.0,196.0,3.0,269.0,3217.069
3217079.0,240.0,196.0,3.0,265.0,3217.079
3217089.0,239.0,190.0,4.0,270.0,3217.089
3217099.0,229.0,186.0,3.0,265.0,3217.099
3217110.0,241.0,190.0,4.0,275.0,3217.11
3217120.0,245.0,190.0,4.0,269.0,3217.12
3217130.0,233.0,184.0,4.0,248.0,3217.13
3217140.0,229.0,184.0,3.0,259.0,3217.14
3217150.0,229.0,182.0,4.0,258.0,3217.15
3217160.0,235.0,185.0,3.0,254.0,3217.16
3217170.0,241.0,181.0,5.0,261.0,3217.17
3217180.0,238.0,185.0,4.0,262.0,3217.18
3217190.0,242.0,185.0,3.0,268.0,3217.19
3217200.0,236.0,181.0,3.0,274.0,3217.2
3217210.0,250.0,193.0,3.0,295.0,3217.21
3217220.0,254.0,190.0,4.0,296.0,3217.22
3217230.0,246.0,191.0,4.0,293.0,3217.23
3217240.0,250.0,188.0,5.0,301.0,3217.24
3217250.0,243.0,187.0,4.0,300.0,3217.25
3217260.0,250.0,196.0,3.0,307.0,3217.26
3217270.0,251.0,189.0,3.0,301.0,3217.27
3217280.0,243.0,191.0,3.0,287.0,3217.28
3217290.0,245.0,183.0,3.0,278.0,3217.29
3217300.0,244.0,191.0,5.0,278.0,3217.3
3217310.0,251.0,203.0,4.0,285.0,3217.31
3217320.0,251.0,198.0,3.0,280.0,3217.32
3217330.0,244.0,209.0,4.0,276.0,3217.33
3217340.0,245.0,202.0,3.0,278.0,3217.34
3217350.0,241.0,210.0,3.0,280.0,3217.35
3217360.0,247.0,217.0,4.0,287.0,3217.36
3217370.0,250.0,208.0,4.0,291.0,3217.37
3217380.0,242.0,217.0,4.0,293.0,3217.38
3217390.0,245.0,208.0,3.0,298.0,3217.39
3217400.0,245.0,209.0,3.0,300.0,3217.4
3217410.0,248.0,216.0,3.0,294.0,3217.41
3217420.0,249.0,210.0,4.0,295.0,3217.42
3217430.0,240.0,219.0,4.0,286.0,3217.43
3217440.0,242.0,211.0,3.0,288.0,3217.44
3217451.0,238.0,212.0,4.0,301.0,3217.451
3217461.0,240.0,224.0,3.0,298.0,3217.461
3217471.0,245.0,216.0,4.0,292.0,3217.471
3217481.0,235.0,212.0,4.0,278.0,3217.481
3217491.0,241.0,211.0,4.0,283.0,3217.491
3217501.0,245.0,211.0,4.0,284.0,3217.501
3217511.0,245.0,223.0,4.0,283.0,3217.511
3217521.0,246.0,213.0,4.0,285.0,3217.521
3217531.0,235.0,212.0,3.0,273.0,3217.531
3217541.0,237.0,208.0,4.0,276.0,3217.541
3217551.0,238.0,212.0,3.0,281.0,3217.551
3217561.0,242.0,223.0,5.0,280.0,3217.561
3217571.0,242.0,216.0,4.0,276.0,3217.571
3217581.0,234.0,225.0,3.0,278.0,3217.581
3217591.0,238.0,221.0,3.0,277.0,3217.591
3217601.0,245.0,228.0,3.0,285.0,3217.601
3217611.0,242.0,238.0,4.0,282.0,3217.611
3217622.0,241.0,226.0,5.0,269.0,3217.622
3217632.0,231.0,230.0,4.0,257.0,3217.632
3217642.0,241.0,234.0,4.0,269.0,3217.642
3217652.0,250.0,230.0,4.0,278.0,3217.652
3217662.0,245.0,233.0,3.0,264.0,3217.662
3217672.0,249.0,227.0,3.0,271.0,3217.672
3217682.0,235.0,221.0,4.0,255.0,3217.682
3217692.0,244.0,227.0,4.0,272.0,3217.692
3217702.0,250.0,222.0,4.0,288.0,3217.702
3217712.0,242.0,225.0,4.0,280.0,3217.712
3217722.0,242.0,221.0,3.0,289.0,3217.722
3217732.0,239.0,216.0,4.0,284.0,3217.732
3217742.0,248.0,221.0,4.0,285.0,3217.742
3217752.0,249.0,211.0,5.0,291.0,3217.752
3217762.0,245.0,223.0,4.0,292.0,3217.762
3217772.0,249.0,219.0,3.0,311.0,3217.772
3217782.0,243.0,217.0,3.0,307.0,3217.782
3217792.0,252.0,225.0,3.0,316.0,3217.792
3217802.0,260.0,220.0,4.0,324.0,3217.802
3217812.0,250.0,223.0,4.0,309.0,3217.812
3217822.0,247.0,218.0,4.0,298.0,3217.822
3217832.0,240.0,219.0,3.0,300.0,3217.832
3217842.0,246.0,221.0,4.0,301.0,3217.842
3217852.0,249.0,222.0,3.0,327.0,3217.852
3217862.0,237.0,222.0,4.0,312.0,3217.862
3217872.0,236.0,218.0,3.0,308.0,3217.872
3217882.0,229.0,216.0,4.0,294.0,3217.882
3217892.0,237.0,223.0,2.0,305.0,3217.892
3217902.0,241.0,218.0,4.0,307.0,3217.902
3217912.0,231.0,224.0,3.0,298.0,3217.912
3217922.0,237.0,218.0,3.0,302.0,3217.922
3217932.0,230.0,215.0,4.0,295.0,3217.932
3217942.0,237.0,222.0,4.0,303.0,3217.942
3217952.0,241.0,214.0,3.0,297.0,3217.952
3217963.0,230.0,218.0,4.0,280.0,3217.963
3217973.0,231.0,213.0,4.0,273.0,3217.973
3217983.0,229.0,211.0,3.0,273.0,3217.983
3217993.0,234.0,222.0,4.0,273.0,3217.993
3218003.0,237.0,214.0,4.0,270.0,3218.003
3218013.0,230.0,218.0,4.0,262.0,3218.013
3218023.0,230.0,213.0,2.0,265.0,3218.023
3218033.0,229.0,212.0,4.0,266.0,3218.033
3218043.0,229.0,223.0,3.0,262.0,3218.043
3218053.0,232.0,214.0,3.0,263.0,3218.053
3218063.0,221.0,219.0,3.0,259.0,3218.063
3218073.0,226.0,215.0,5.0,260.0,3218.073
3218083.0,229.0,217.0,2.0,268.0,3218.083
3218093.0,233.0,229.0,3.0,273.0,3218.093
3218103.0,236.0,221.0,4.0,272.0,3218.103
